table,was,now,kind
aappss_malpas_2019_scl,Adult (18+),Adult (18+),confirmed
abouhashish_2025_chatgpt_attitudes,Adult (18+),Adult (18+),confirmed
act_kay_2025,Adult (18+),Adult (18+),confirmed
addy_2021_sdq_ghana,Mixed,Mixed,confirmed
aditama_2024_strs,Child (<18y),Child (<18y),confirmed
afaya_2020_complications_knowledge,Adult (18+),Adult (18+),confirmed
afaya_2020_diet_knowledge,Adult (18+),Adult (18+),confirmed
afaya_2020_exercise_knowledge,Adult (18+),Adult (18+),confirmed
afaya_2020_footcare_knowledge,Adult (18+),Adult (18+),confirmed
afaya_2020_general_knowledge,Adult (18+),Adult (18+),confirmed
afaya_2020_medication_knowledge,Adult (18+),Adult (18+),confirmed
afaya_2020_monitoring_knowledge,Adult (18+),Adult (18+),confirmed
agn_kay_2025,Adult (18+),Adult (18+),confirmed
agogue_2020_self_perceived_creativity,Adult (18+),Adult (18+),confirmed
aguirre_camacho_2021_champion,Adult (18+),Adult (18+),confirmed
aguirre_camacho_2021_shai,Adult (18+),Adult (18+),confirmed
ai_fear_dong_2026_ai,Adult (18+),Adult (18+),confirmed
ai_fear_dong_2026_incentive,Adult (18+),Adult (18+),confirmed
ai_fear_dong_2026_other_fear,Adult (18+),Adult (18+),confirmed
ai_fear_dong_2026_own_fear,Adult (18+),Adult (18+),confirmed
ai_fear_dong_2026_requirement,Adult (18+),Adult (18+),confirmed
aiquipa_2026_dgs,Adult (18+),Adult (18+),confirmed
alsuhibani_2022_gcbs,Adult (18+),Adult (18+),confirmed
alsuhibani_2022_consp_s1,Adult (18+),Adult (18+),confirmed
alqerem_2024_diabetic_health_literacy,Mixed,Mixed,confirmed
alsuhibani_2022_gcbs_extra_s2,Adult (18+),Adult (18+),confirmed
alloubani_2021_stai_trait,Adult (18+),Adult (18+),confirmed
almuqbil_2022_epds,Adult (18+),Adult (18+),confirmed
alloubani_2021_stai_state,Adult (18+),Adult (18+),confirmed
alsuhibani_2022_ecrs_s3,Adult (18+),Adult (18+),confirmed
algner2022_uwes,Adult (18+),Adult (18+),confirmed
algner2022_sia,Adult (18+),Adult (18+),confirmed
algner2022_cse,Adult (18+),Adult (18+),confirmed
algner2022_wis,Adult (18+),Adult (18+),confirmed
algner2022_oss,Adult (18+),Adult (18+),confirmed
algner2022_mimi16,Adult (18+),Adult (18+),confirmed
alexandrowicz_2018_cesd,Adult (18+),Adult (18+),confirmed
algner2022_mimi_pool,Adult (18+),Adult (18+),confirmed
alfort_2023_finger_fx_prom,Mixed,Mixed,confirmed
alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup,Adult (18+),Adult (18+),confirmed
algner2022_tis,Adult (18+),Adult (18+),confirmed
algner2022_psgbi,Adult (18+),Adult (18+),confirmed
alcoholhealthwarninglabel_brennan_2022_awareness_harms_followup,Adult (18+),Adult (18+),confirmed
alcoholhealthwarninglabel_brennan_2022_intentions_postexposure,Adult (18+),Adult (18+),confirmed
amarilla_2020_barthel,Elderly (minimum age >50),Elderly (minimum age >50),confirmed
amarilla_2020_eq5d,Elderly (minimum age >50),Elderly (minimum age >50),confirmed
amatus_cipora_2024_amas,Adult (18+),Adult (18+),confirmed
alsuhibani_2022_pads_s2,Adult (18+),Adult (18+),confirmed
alsuhibani_2022_pads_s1,Adult (18+),Adult (18+),confirmed
alsuhibani_2022_sers,Adult (18+),Adult (18+),confirmed
amarilla_2020_sf12,Elderly (minimum age >50),Elderly (minimum age >50),confirmed
amarilla_2020_lawton_brody,Elderly (minimum age >50),Elderly (minimum age >50),confirmed
altman_2020_capq,Adult (18+),Adult (18+),confirmed
alsuhibani_2022_paranoia_s3,Adult (18+),Adult (18+),confirmed
alsuhibani_2022_npi_s3,Adult (18+),Adult (18+),confirmed
alsuhibani_2022_loc,Adult (18+),Adult (18+),confirmed
anunciacao_2024_intelligence_gmi,Mixed,Mixed,confirmed
anjum_2022_gad7,Child (<18y),Child (<18y),confirmed
amorim_2025_climej_florescimentonotrabalho,Adult (18+),Adult (18+),confirmed
amorim_2025_climej_desenhonotrabalho,Adult (18+),Adult (18+),confirmed
amorim_2025_climej_suporteorganizacional,Adult (18+),Adult (18+),confirmed
amorim_2025_climej_climej,Adult (18+),Adult (18+),confirmed
amatus_cipora_2024_bfi_n,Adult (18+),Adult (18+),confirmed
amatus_cipora_2024_stai,Adult (18+),Adult (18+),confirmed
amatus_cipora_2024_arithmetic,Adult (18+),Adult (18+),confirmed
amatus_cipora_2024_gad,Adult (18+),Adult (18+),confirmed
amatus_cipora_2024_sdq_m,Adult (18+),Adult (18+),confirmed
amatus_cipora_2024_sdq_l,Adult (18+),Adult (18+),confirmed
amatus_cipora_2024_pisa_me,Adult (18+),Adult (18+),confirmed
amatus_cipora_2024_tai,Adult (18+),Adult (18+),confirmed
assessment_time_fournier_2025_phq,Adult (18+),Adult (18+),confirmed
assessment_time_fournier_2025_bscs,Adult (18+),Adult (18+),confirmed
assessment_time_fournier_2025_pmpuq,Adult (18+),Adult (18+),confirmed
assessment_time_fournier_2025_gad,Adult (18+),Adult (18+),confirmed
assessment_time_fournier_2025_upps,Adult (18+),Adult (18+),confirmed
arnulf_2022_general_knowledge,Adult (18+),Adult (18+),confirmed
anunciacao_2025_personality_persistence,Mixed,Mixed,confirmed
anunciacao_2025_personality_exhibition,Mixed,Mixed,confirmed
apaza_2026_self_esteem,Mixed,Mixed,confirmed
anunciacao_2025_personality_order,Mixed,Mixed,confirmed
arnulf_2022_conspiracy_thinking,Adult (18+),Adult (18+),confirmed
anunciacao_2025_personality_dominance,Mixed,Mixed,confirmed
anunciacao_2025_personality_autonomy,Mixed,Mixed,confirmed
anunciacao_2025_personality_nurturance,Mixed,Mixed,confirmed
apaza_2026_meim_r,Mixed,Mixed,confirmed
apaza_2026_sdo,Mixed,Mixed,confirmed
anunciacao_2025_personality_change,Mixed,Mixed,confirmed
anunciacao_2025_personality_intraception,Mixed,Mixed,confirmed
anunciacao_2025_personality_affiliation,Mixed,Mixed,confirmed
anunciacao_2025_personality_aggression,Mixed,Mixed,confirmed
anunciacao_2025_personality_achievement,Mixed,Mixed,confirmed
anunciacao_2025_personality_deference,Mixed,Mixed,confirmed
anunciacao_2025_personality_succorance,Mixed,Mixed,confirmed
autism_blotner_2025_s1_aq,Adult (18+),Adult (18+),confirmed
autism_blotner_2025_s1_bes,Adult (18+),Adult (18+),confirmed
autism_blotner_2025_s1_tactics,Adult (18+),Adult (18+),confirmed
autism_blotner_2025_s1_views,Adult (18+),Adult (18+),confirmed
autism_blotner_2025_s2_acme,Adult (18+),Adult (18+),confirmed
autism_blotner_2025_s2_aq,Adult (18+),Adult (18+),confirmed
autism_blotner_2025_s2_ffmi,Adult (18+),Adult (18+),confirmed
autism_blotner_2025_s2_qcae,Adult (18+),Adult (18+),confirmed
avci_2024_aktif_gir_yonel,Adult (18+),Adult (18+),confirmed
avci_2024_bagmsz_gir_yonel,Adult (18+),Adult (18+),confirmed
avci_2024_basrmaarzu_gir_yonel,Adult (18+),Adult (18+),confirmed
avci_2024_belirsiz_kac,Adult (18+),Adult (18+),confirmed
avci_2024_bskdaykontrol_odak,Adult (18+),Adult (18+),confirmed
avci_2024_gecmis_gir_yonel,Adult (18+),Adult (18+),confirmed
avci_2024_guc_gir_yonel,Adult (18+),Adult (18+),confirmed
avci_2024_ickontrol_odak,Adult (18+),Adult (18+),confirmed
avci_2024_ikyoz_yeterlk,Adult (18+),Adult (18+),confirmed
avci_2024_issahp_gir_yonel,Adult (18+),Adult (18+),confirmed
avci_2024_kazanc_gir_yonel,Adult (18+),Adult (18+),confirmed
avci_2024_kimlik_com,Adult (18+),Adult (18+),confirmed
avci_2024_kimlik_dar,Adult (18+),Adult (18+),confirmed
avci_2024_kimlik_miss,Adult (18+),Adult (18+),confirmed
avci_2024_oz_norm,Adult (18+),Adult (18+),confirmed
avci_2024_risk_algi,Adult (18+),Adult (18+),confirmed
avci_2024_risk_gir_yonel,Adult (18+),Adult (18+),confirmed
baka2023_olbi,Adult (18+),Adult (18+),confirmed
baekgaard_2023_mastery,Adult (18+),Adult (18+),confirmed
baekgaard_2023_stigma,Adult (18+),Adult (18+),confirmed
avci_2024_yencevolsoz_yeterlk,Adult (18+),Adult (18+),confirmed
baka2023_bpnsf,Adult (18+),Adult (18+),confirmed
baekgaard_2023_autonomy_loss,Adult (18+),Adult (18+),confirmed
baekgaard_2023_learning,Adult (18+),Adult (18+),confirmed
baekgaard_2023_stress,Adult (18+),Adult (18+),confirmed
avci_2024_zorunluluk_gir_yonel,Adult (18+),Adult (18+),confirmed
baaziz_2023_sms2,Mixed,Mixed,confirmed
avilesgonzalez2019_ces,Adult (18+),Adult (18+),confirmed
bakker_2020_pss10,Adult (18+),Adult (18+),confirmed
bakker_2020_rses,Adult (18+),Adult (18+),confirmed
baekgaard_2023_compliance,Adult (18+),Adult (18+),confirmed
baka2023_uwes,Adult (18+),Adult (18+),confirmed
balmas2018_leader_attitudes,Adult (18+),Adult (18+),confirmed
baka2023_jcs,Adult (18+),Adult (18+),confirmed
avci_2024_urunpazgeloz_yeterlk,Adult (18+),Adult (18+),confirmed
avci_2024_toplmfayd_gir_yonel,Adult (18+),Adult (18+),confirmed
avci_2024_zorbasetoz_yeterlk,Adult (18+),Adult (18+),confirmed
avci_2024_sureklgel_gir_yonel,Adult (18+),Adult (18+),confirmed
avci_2024_tmlamacoz_yeterlk,Adult (18+),Adult (18+),confirmed
avci_2024_sansdaykontrol_odak,Adult (18+),Adult (18+),confirmed
avci_2024_yatrmciliskoz_yeterlk,Adult (18+),Adult (18+),confirmed
avci_2024_statu_gir_yonel,Adult (18+),Adult (18+),confirmed
bilotta_2018_tas20,Adult (18+),Adult (18+),confirmed
bitew_2020_anxiety,Adult (18+),Adult (18+),confirmed
bang_2023_depression,Adult (18+),Adult (18+),confirmed
bicb-j_ishiguro_2025,Adult (18+),Adult (18+),confirmed
benchelbi_2021_mtq48,Mixed,Mixed,confirmed
bcti21_kay_2025,Adult (18+),Adult (18+),confirmed
bang_2023_self_esteem,Adult (18+),Adult (18+),confirmed
benitezsillero_2021_bullying,Child (<18y),Child (<18y),confirmed
bang_2023_health,Adult (18+),Adult (18+),confirmed
bang_2023_parenting_stress,Adult (18+),Adult (18+),confirmed
balparda_2021_korq_symptoms,Mixed,Mixed,confirmed
bang_2023_anxiety,Adult (18+),Adult (18+),confirmed
balparda_2021_korq_activity_limitation,Mixed,Mixed,confirmed
balmas2018_leader_personality,Adult (18+),Adult (18+),confirmed
bilotta_2018_scl90,Adult (18+),Adult (18+),confirmed
bitew_2020_lte,Adult (18+),Adult (18+),confirmed
bitew_2020_osss3,Adult (18+),Adult (18+),confirmed
baumgaertner_2018_vaccine_trust,Adult (18+),Adult (18+),confirmed
burnout_assessment_tool_teachers,Adult (18+),Adult (18+),confirmed
bukurov_2022_comq12,Adult (18+),Adult (18+),confirmed
