"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp","language"
"lys_2020_rape_3_cons","lys_2020_rape_3_cons_1","cons1","Political Opinion Questionnaire (Wojciszke, as cited in Radkiewicz 2011): cultural/social conservatism subscale",NA,NA,NA,NA,NA,1,"Polish"
"lys_2020_rape_3_cons","lys_2020_rape_3_cons_1","cons1","Political Opinion Questionnaire (Wojciszke, as cited in Radkiewicz 2011): cultural/social conservatism subscale",NA,NA,NA,NA,NA,2,"Polish"
"lys_2020_rape_3_cons","lys_2020_rape_3_cons_1","cons1","Political Opinion Questionnaire (Wojciszke, as cited in Radkiewicz 2011): cultural/social conservatism subscale",NA,NA,NA,NA,NA,3,"Polish"
"lys_2020_rape_3_cons","lys_2020_rape_3_cons_1","cons1","Political Opinion Questionnaire (Wojciszke, as cited in Radkiewicz 2011): cultural/social conservatism subscale",NA,NA,NA,NA,NA,4,"Polish"
"lys_2020_rape_3_cons","lys_2020_rape_3_cons_1","cons1","Political Opinion Questionnaire (Wojciszke, as cited in Radkiewicz 2011): cultural/social conservatism subscale",NA,NA,NA,NA,NA,5,"Polish"
"lys_2020_rape_3_cons","lys_2020_rape_3_cons_1","cons3","Political Opinion Questionnaire (Wojciszke, as cited in Radkiewicz 2011): cultural/social conservatism subscale",NA,NA,NA,NA,NA,1,"Polish"
"lys_2020_rape_3_cons","lys_2020_rape_3_cons_1","cons3","Political Opinion Questionnaire (Wojciszke, as cited in Radkiewicz 2011): cultural/social conservatism subscale",NA,NA,NA,NA,NA,2,"Polish"
"lys_2020_rape_3_cons","lys_2020_rape_3_cons_1","cons3","Political Opinion Questionnaire (Wojciszke, as cited in Radkiewicz 2011): cultural/social conservatism subscale",NA,NA,NA,NA,NA,3,"Polish"
"lys_2020_rape_3_cons","lys_2020_rape_3_cons_1","cons3","Political Opinion Questionnaire (Wojciszke, as cited in Radkiewicz 2011): cultural/social conservatism subscale",NA,NA,NA,NA,NA,4,"Polish"
"lys_2020_rape_3_cons","lys_2020_rape_3_cons_1","cons3","Political Opinion Questionnaire (Wojciszke, as cited in Radkiewicz 2011): cultural/social conservatism subscale",NA,NA,NA,NA,NA,5,"Polish"
"lys_2020_rape_3_cons","lys_2020_rape_3_cons_1","cons5","Political Opinion Questionnaire (Wojciszke, as cited in Radkiewicz 2011): cultural/social conservatism subscale",NA,NA,NA,NA,NA,1,"Polish"
"lys_2020_rape_3_cons","lys_2020_rape_3_cons_1","cons5","Political Opinion Questionnaire (Wojciszke, as cited in Radkiewicz 2011): cultural/social conservatism subscale",NA,NA,NA,NA,NA,2,"Polish"
"lys_2020_rape_3_cons","lys_2020_rape_3_cons_1","cons5","Political Opinion Questionnaire (Wojciszke, as cited in Radkiewicz 2011): cultural/social conservatism subscale",NA,NA,NA,NA,NA,3,"Polish"
"lys_2020_rape_3_cons","lys_2020_rape_3_cons_1","cons5","Political Opinion Questionnaire (Wojciszke, as cited in Radkiewicz 2011): cultural/social conservatism subscale",NA,NA,NA,NA,NA,4,"Polish"
"lys_2020_rape_3_cons","lys_2020_rape_3_cons_1","cons5","Political Opinion Questionnaire (Wojciszke, as cited in Radkiewicz 2011): cultural/social conservatism subscale",NA,NA,NA,NA,NA,5,"Polish"
"lys_2020_rape_3_cons","lys_2020_rape_3_cons_1","cons7","Political Opinion Questionnaire (Wojciszke, as cited in Radkiewicz 2011): cultural/social conservatism subscale",NA,NA,NA,NA,NA,1,"Polish"
"lys_2020_rape_3_cons","lys_2020_rape_3_cons_1","cons7","Political Opinion Questionnaire (Wojciszke, as cited in Radkiewicz 2011): cultural/social conservatism subscale",NA,NA,NA,NA,NA,2,"Polish"
