"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp","raw_resp"
"mturkddm_by","mturkddm_by_1","10 15","Dot-difference (brightness/numerosity) task, Experiment 2 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","An array of yellow and blue dots was presented and the participant decided which colour was more numerous, responding with key 1 for “more yellow dots” and key 2 for “more blue dots”.",NA,"[stimulus: 10 yellow dots and 15 blue dots]","more blue dots","more yellow dots",0,"key 1"
"mturkddm_by","mturkddm_by_1","10 15","Dot-difference (brightness/numerosity) task, Experiment 2 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","An array of yellow and blue dots was presented and the participant decided which colour was more numerous, responding with key 1 for “more yellow dots” and key 2 for “more blue dots”.",NA,"[stimulus: 10 yellow dots and 15 blue dots]","more blue dots","more blue dots",1,"key 2"
"mturkddm_by","mturkddm_by_1","10 20","Dot-difference (brightness/numerosity) task, Experiment 2 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","An array of yellow and blue dots was presented and the participant decided which colour was more numerous, responding with key 1 for “more yellow dots” and key 2 for “more blue dots”.",NA,"[stimulus: 10 yellow dots and 20 blue dots]","more blue dots","more yellow dots",0,"key 1"
"mturkddm_by","mturkddm_by_1","10 20","Dot-difference (brightness/numerosity) task, Experiment 2 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","An array of yellow and blue dots was presented and the participant decided which colour was more numerous, responding with key 1 for “more yellow dots” and key 2 for “more blue dots”.",NA,"[stimulus: 10 yellow dots and 20 blue dots]","more blue dots","more blue dots",1,"key 2"
"mturkddm_by","mturkddm_by_1","10 30","Dot-difference (brightness/numerosity) task, Experiment 2 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","An array of yellow and blue dots was presented and the participant decided which colour was more numerous, responding with key 1 for “more yellow dots” and key 2 for “more blue dots”.",NA,"[stimulus: 10 yellow dots and 30 blue dots]","more blue dots","more yellow dots",0,"key 1"
"mturkddm_by","mturkddm_by_1","10 30","Dot-difference (brightness/numerosity) task, Experiment 2 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","An array of yellow and blue dots was presented and the participant decided which colour was more numerous, responding with key 1 for “more yellow dots” and key 2 for “more blue dots”.",NA,"[stimulus: 10 yellow dots and 30 blue dots]","more blue dots","more blue dots",1,"key 2"
"mturkddm_by","mturkddm_by_1","15 10","Dot-difference (brightness/numerosity) task, Experiment 2 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","An array of yellow and blue dots was presented and the participant decided which colour was more numerous, responding with key 1 for “more yellow dots” and key 2 for “more blue dots”.",NA,"[stimulus: 15 yellow dots and 10 blue dots]","more yellow dots","more yellow dots",1,"key 1"
"mturkddm_by","mturkddm_by_1","15 10","Dot-difference (brightness/numerosity) task, Experiment 2 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","An array of yellow and blue dots was presented and the participant decided which colour was more numerous, responding with key 1 for “more yellow dots” and key 2 for “more blue dots”.",NA,"[stimulus: 15 yellow dots and 10 blue dots]","more yellow dots","more blue dots",0,"key 2"
"mturkddm_by","mturkddm_by_1","15 20","Dot-difference (brightness/numerosity) task, Experiment 2 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","An array of yellow and blue dots was presented and the participant decided which colour was more numerous, responding with key 1 for “more yellow dots” and key 2 for “more blue dots”.",NA,"[stimulus: 15 yellow dots and 20 blue dots]","more blue dots","more yellow dots",0,"key 1"
"mturkddm_by","mturkddm_by_1","15 20","Dot-difference (brightness/numerosity) task, Experiment 2 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","An array of yellow and blue dots was presented and the participant decided which colour was more numerous, responding with key 1 for “more yellow dots” and key 2 for “more blue dots”.",NA,"[stimulus: 15 yellow dots and 20 blue dots]","more blue dots","more blue dots",1,"key 2"
"mturkddm_by","mturkddm_by_1","20 10","Dot-difference (brightness/numerosity) task, Experiment 2 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","An array of yellow and blue dots was presented and the participant decided which colour was more numerous, responding with key 1 for “more yellow dots” and key 2 for “more blue dots”.",NA,"[stimulus: 20 yellow dots and 10 blue dots]","more yellow dots","more yellow dots",1,"key 1"
"mturkddm_by","mturkddm_by_1","20 10","Dot-difference (brightness/numerosity) task, Experiment 2 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","An array of yellow and blue dots was presented and the participant decided which colour was more numerous, responding with key 1 for “more yellow dots” and key 2 for “more blue dots”.",NA,"[stimulus: 20 yellow dots and 10 blue dots]","more yellow dots","more blue dots",0,"key 2"
"mturkddm_by","mturkddm_by_1","20 15","Dot-difference (brightness/numerosity) task, Experiment 2 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","An array of yellow and blue dots was presented and the participant decided which colour was more numerous, responding with key 1 for “more yellow dots” and key 2 for “more blue dots”.",NA,"[stimulus: 20 yellow dots and 15 blue dots]","more yellow dots","more yellow dots",1,"key 1"
"mturkddm_by","mturkddm_by_1","20 15","Dot-difference (brightness/numerosity) task, Experiment 2 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","An array of yellow and blue dots was presented and the participant decided which colour was more numerous, responding with key 1 for “more yellow dots” and key 2 for “more blue dots”.",NA,"[stimulus: 20 yellow dots and 15 blue dots]","more yellow dots","more blue dots",0,"key 2"
"mturkddm_by","mturkddm_by_1","20 25","Dot-difference (brightness/numerosity) task, Experiment 2 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","An array of yellow and blue dots was presented and the participant decided which colour was more numerous, responding with key 1 for “more yellow dots” and key 2 for “more blue dots”.",NA,"[stimulus: 20 yellow dots and 25 blue dots]","more blue dots","more yellow dots",0,"key 1"
"mturkddm_by","mturkddm_by_1","20 25","Dot-difference (brightness/numerosity) task, Experiment 2 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","An array of yellow and blue dots was presented and the participant decided which colour was more numerous, responding with key 1 for “more yellow dots” and key 2 for “more blue dots”.",NA,"[stimulus: 20 yellow dots and 25 blue dots]","more blue dots","more blue dots",1,"key 2"
"mturkddm_by","mturkddm_by_1","20 30","Dot-difference (brightness/numerosity) task, Experiment 2 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","An array of yellow and blue dots was presented and the participant decided which colour was more numerous, responding with key 1 for “more yellow dots” and key 2 for “more blue dots”.",NA,"[stimulus: 20 yellow dots and 30 blue dots]","more blue dots","more yellow dots",0,"key 1"
"mturkddm_by","mturkddm_by_1","20 30","Dot-difference (brightness/numerosity) task, Experiment 2 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","An array of yellow and blue dots was presented and the participant decided which colour was more numerous, responding with key 1 for “more yellow dots” and key 2 for “more blue dots”.",NA,"[stimulus: 20 yellow dots and 30 blue dots]","more blue dots","more blue dots",1,"key 2"
"mturkddm_by","mturkddm_by_1","20 40","Dot-difference (brightness/numerosity) task, Experiment 2 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","An array of yellow and blue dots was presented and the participant decided which colour was more numerous, responding with key 1 for “more yellow dots” and key 2 for “more blue dots”.",NA,"[stimulus: 20 yellow dots and 40 blue dots]","more blue dots","more yellow dots",0,"key 1"
"mturkddm_by","mturkddm_by_1","20 40","Dot-difference (brightness/numerosity) task, Experiment 2 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","An array of yellow and blue dots was presented and the participant decided which colour was more numerous, responding with key 1 for “more yellow dots” and key 2 for “more blue dots”.",NA,"[stimulus: 20 yellow dots and 40 blue dots]","more blue dots","more blue dots",1,"key 2"
"mturkddm_by","mturkddm_by_1","25 20","Dot-difference (brightness/numerosity) task, Experiment 2 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","An array of yellow and blue dots was presented and the participant decided which colour was more numerous, responding with key 1 for “more yellow dots” and key 2 for “more blue dots”.",NA,"[stimulus: 25 yellow dots and 20 blue dots]","more yellow dots","more yellow dots",1,"key 1"
"mturkddm_by","mturkddm_by_1","25 20","Dot-difference (brightness/numerosity) task, Experiment 2 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","An array of yellow and blue dots was presented and the participant decided which colour was more numerous, responding with key 1 for “more yellow dots” and key 2 for “more blue dots”.",NA,"[stimulus: 25 yellow dots and 20 blue dots]","more yellow dots","more blue dots",0,"key 2"
"mturkddm_by","mturkddm_by_1","25 30","Dot-difference (brightness/numerosity) task, Experiment 2 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","An array of yellow and blue dots was presented and the participant decided which colour was more numerous, responding with key 1 for “more yellow dots” and key 2 for “more blue dots”.",NA,"[stimulus: 25 yellow dots and 30 blue dots]","more blue dots","more yellow dots",0,"key 1"
"mturkddm_by","mturkddm_by_1","25 30","Dot-difference (brightness/numerosity) task, Experiment 2 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","An array of yellow and blue dots was presented and the participant decided which colour was more numerous, responding with key 1 for “more yellow dots” and key 2 for “more blue dots”.",NA,"[stimulus: 25 yellow dots and 30 blue dots]","more blue dots","more blue dots",1,"key 2"
"mturkddm_by","mturkddm_by_1","30 10","Dot-difference (brightness/numerosity) task, Experiment 2 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","An array of yellow and blue dots was presented and the participant decided which colour was more numerous, responding with key 1 for “more yellow dots” and key 2 for “more blue dots”.",NA,"[stimulus: 30 yellow dots and 10 blue dots]","more yellow dots","more yellow dots",1,"key 1"
"mturkddm_by","mturkddm_by_1","30 10","Dot-difference (brightness/numerosity) task, Experiment 2 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","An array of yellow and blue dots was presented and the participant decided which colour was more numerous, responding with key 1 for “more yellow dots” and key 2 for “more blue dots”.",NA,"[stimulus: 30 yellow dots and 10 blue dots]","more yellow dots","more blue dots",0,"key 2"
"mturkddm_by","mturkddm_by_1","30 20","Dot-difference (brightness/numerosity) task, Experiment 2 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","An array of yellow and blue dots was presented and the participant decided which colour was more numerous, responding with key 1 for “more yellow dots” and key 2 for “more blue dots”.",NA,"[stimulus: 30 yellow dots and 20 blue dots]","more yellow dots","more yellow dots",1,"key 1"
