"table","mapping_basis","text_source","translation_source","source_ref","note","public_note","uploaded"
"mturkddm_lexical","data_labels","study_materials","","Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302, CC BY; deposit osf.io/za9y8. Response mapping documented in the header of data/mturk_ddm.R. Word/nonword status re-read from Experiment1.data (column_7_value).","THE ITEM CODE IS THE STIMULUS STRING, so there is no mapping step and no possibility of the text drifting from the code: data/mturk_ddm.R sets item <- x$test_word_string, which its own header documents as 'the character string presented at test'. item_text is a transcription of the code. THE KEY COMES FROM THE DEPOSIT. column_7_value is 1 for 'valid word' and 2 for 'nonword', and the script scores resp as response_key_ID == column_7_value. Re-reading Experiment1.data (practice trials dropped, task_number == 1) gives 4,588 distinct strings with ZERO conflicting flags -- 2,295 words and 2,293 nonwords -- matching the live item set exactly. So every option row carries resp, raw_resp and correct_response, and the table is fully joinable on (item, resp). SECTION_PROMPT IS THE FREQUENCY POOL (high, low, very low) from column_8_value. Note the script's header qualifies this for nonwords: they are 'associated with the word pool from which each was derived', so for a nonword the pool describes where the string came from rather than a property of a real word.","A lexical decision task: 4,588 letter strings, 2,295 real words and 2,293 nonwords, each flashed briefly on screen. The item code is the string itself. Participants pressed the right arrow for a real word and the left arrow for a nonword, and resp records whether that judgement was correct, so each string is listed twice -- once for the response that was correct for it and once for the response that was not. Items are grouped by the word-frequency pool they were drawn from.","NA"
"mturkddm_by","data_labels","study_materials","","Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302, CC BY; deposit osf.io/za9y8. Response mapping documented in the header of data/mturk_ddm.R.","THE ITEM CODE IS THE STIMULUS, ARITHMETICALLY, so this table needs no external file at all. Experiment 2's dot-difference task pastes the two dot counts together -- data/mturk_ddm.R does x1$item <- paste(x1$column_7_value, x1$column_8_value), where column_7_value is the number of YELLOW dots and column_8_value the number of BLUE. So '10 15' is ten yellow and fifteen blue, and which colour is more numerous follows from the code itself. correct_response is checked against that arithmetic for all 20 items. The script header fixes the buttons: key 1 = 'more yellow dots', key 2 = 'more blue dots'. ONE THING THE ITEM CODE DOES NOT CARRY: dot AREA was manipulated separately (columns 9-11 of the source, either forced near-equal or left proportional to count), and it is not in the code, so two trials with the same counts but different area conditions collapse into one item here.","A dot-numerosity task: an array of yellow and blue dots was shown and the participant chose which colour was more numerous. The item code gives the two counts, yellow first -- so '10 15' means ten yellow dots and fifteen blue. resp is whether the choice was correct. The total dot area was also varied in the original experiment but is not part of the item code, so trials differing only in area are pooled here.","NA"
"polca_carcinoma","data_labels","study_materials","","The carcinoma data set in the poLCA R package (CRAN, GPL-2+); its man page states 'Dichotomous ratings by seven pathologists of 118 slides for the presence or absence of carcinoma in the uterine cervix. Pathologists are labeled A through G.' Originally Agresti (2002), Categorical Data Analysis 2nd ed., Table 13.1, p. 542. Codes assigned by data/polca.R as names(x)[i].","THE ITEMS ARE RATERS, NOT QUESTIONS, and the persons are slides -- the usual roles are inverted. There is no administered wording anywhere to transcribe, so item_text describes the rating task in brackets ('[rating by pathologist A: is carcinoma present in this slide?]') following the convention used for FEDSP_Trzcinska_2023_MonKnow and the simsalRbim tables. THE RECODE IS DOCUMENTED AND SHIPS BOTH WAYS. The man page says the source stores 1 = 'no' and 2 = 'yes'; data/polca.R does df$resp <- df$resp - 1, so the live values are 0 and 1. option_text gives the labels and raw_resp keeps the source's original 1/2, so a reader can recover the original coding. TWO PUBLISHED FACTS WERE USED AS CHECKS rather than taken on trust: 118 slides and 20 distinct response patterns, both stated on the man page and both reproduced from the live data. RIGHTS, answering the question @ben-domingue raises in #2229: this is the GPL-3.0 CRAN shape that blocked quantshort in batch_205, and it lands on the simsalRbim side of the line rather than needing the licence to carry it. There is no instrument here to redistribute. The seven item codes A-G are seven PATHOLOGISTS, not questionnaire items, and the 118 'responses' each rater gives are slide ratings; the item_text is a bracketed description of what each rater was doing, written by this project, not wording anyone administered. The poLCA package's GPL is therefore irrelevant to the question -- no third party's item wording ships. Contrast cavalini_mokken in batch_303, which is on the other side: seventeen coping statements are an instrument, and its case has to rest on the 1992 dissertation rather than on the package licence.","Seven pathologists each rated the same 118 slides for whether carcinoma was present in the uterine cervix. The items here are the pathologists, labelled A to G, and the persons being measured are the slides -- the reverse of a questionnaire. There is no question wording: each entry is one rater's verdict on one slide. Responses are 0 for no and 1 for yes; the original source coded these 1 and 2, which is kept alongside.","NA"
"much_tte_2025_effort","paper_explicit","study_materials","","Much, Mutak, Pohl & Ranger (2025), 'Data From a Validation Study of Two Psychometric Models on Test-taking Behavior', Journal of Open Psychology Data 13(1), doi:10.5334/jopd.124, CC BY; deposit osf.io/9j6hm. Item wording and instruction text from the deposit's '2_Supplemental files'; response scales from the paper's Methods.","THE DEPOSIT PRINTS THE ITEMS, which is unusual and is what makes these three tables cheap. efcm_ItemOverview.pdf gives the Effort and Current Motivation phrasings side by side with the original TTMI-Effort wording (Knekta & Eklof 2015) plus the instruction text at each timepoint, and ct_ItemOverview.pdf prints every concentration-task grid with its target letter and the number of occurrences. Nothing here is reconstructed from a published instrument. THE FIVE ITEMS ARE THE RETROSPECTIVE PHRASINGS ('the previous test block'), as against the prospective ones in much_tte_2025_currentmotivation. The scale is the paper's: 'a 4-point Likert-type scale ranging from 1 (strongly disagree) to 4 (strongly agree)'. Only the endpoints are labelled, so 2 and 3 ship with option_text blank rather than invented. The block a response refers to is a property of the response, not the item -- the live table carries wave for that -- so the same five items serve every block.","Five statements about how much effort the participant put into the test block they had just finished, answered from 1 (strongly disagree) to 4 (strongly agree). Only the two ends of the scale were labelled. The same five items were asked after each block; which block a given answer refers to is recorded in the response data rather than in the item.","NA"
"much_tte_2025_currentmotivation","paper_explicit","study_materials","","Much, Mutak, Pohl & Ranger (2025), 'Data From a Validation Study of Two Psychometric Models on Test-taking Behavior', Journal of Open Psychology Data 13(1), doi:10.5334/jopd.124, CC BY; deposit osf.io/9j6hm. Item wording and instruction text from the deposit's '2_Supplemental files'; response scales from the paper's Methods.","THE DEPOSIT PRINTS THE ITEMS, which is unusual and is what makes these three tables cheap. efcm_ItemOverview.pdf gives the Effort and Current Motivation phrasings side by side with the original TTMI-Effort wording (Knekta & Eklof 2015) plus the instruction text at each timepoint, and ct_ItemOverview.pdf prints every concentration-task grid with its target letter and the number of occurrences. Nothing here is reconstructed from a published instrument. THESE ARE THE PROSPECTIVE PHRASINGS ('the next test block'). Only three of the five TTMI items were used: the item overview marks E4 and E5 '[removed]' for this version, and the paper explains why -- rephrasing them forward 'would be semantically unsuitable'. That is why this table has three items where much_tte_2025_effort has five. THE SCALE IS A 101-POINT VISUAL ANALOGUE, quoted from the paper: 'a visual analogue scale from strongly disagree to strongly agree with an internal range of 101 points. The selected numerical value was not displayed.' So the table ships one row per observed value, with only 0 and 100 labelled -- the same treatment the continuous items get in tears and the chile tables.","Three statements about how much effort the participant intended to put into the test block they were about to start, answered on a sliding scale from 'strongly disagree' to 'strongly agree' with 101 internal points. The number was not shown to the participant while answering. Two further items from the same source scale were dropped from this version because they could not be sensibly rephrased in the future tense.","NA"
"much_tte_2025_concentrationtask","paper_explicit","study_materials","","Much, Mutak, Pohl & Ranger (2025), 'Data From a Validation Study of Two Psychometric Models on Test-taking Behavior', Journal of Open Psychology Data 13(1), doi:10.5334/jopd.124, CC BY; deposit osf.io/9j6hm. Item wording and instruction text from the deposit's '2_Supplemental files'; response scales from the paper's Methods.","THE DEPOSIT PRINTS THE ITEMS, which is unusual and is what makes these three tables cheap. efcm_ItemOverview.pdf gives the Effort and Current Motivation phrasings side by side with the original TTMI-Effort wording (Knekta & Eklof 2015) plus the instruction text at each timepoint, and ct_ItemOverview.pdf prints every concentration-task grid with its target letter and the number of occurrences. Nothing here is reconstructed from a published instrument. EACH ITEM IS A LETTER-SEARCH GRID, so item_text is a bracketed description naming the target letter and how many times it occurs, and correct_response carries that true count -- both read off ct_ItemOverview.pdf, which prints every grid. resp is 0/1 for whether the count the participant gave was right. The 4 x 15 array of visually confusable letters is a visual stimulus and is not reproduced. A SOURCE DEFECT WAS RESOLVED RATHER THAN INHERITED: in ct_ItemOverview.pdf all three Block 3 grids are labelled 'CT07_03' -- the labels for the eighth and ninth items were never incremented. The supplementary codebook disambiguates by position, documenting the page-time variables as 'the first', 'the fourth', 'the sixth ... concentration task item' in the same order, so the three Block 3 grids are CT07, CT08 and CT09 as printed. Reported upstream-worthy but harmless here.","Nine concentration items. Each showed a grid of visually confusable letters and one target letter, and the participant counted how many times the target appeared. The description here names the target letter and the true number of occurrences, which is also given as the correct answer; the grid itself was a picture and is not reproduced. Responses are 0 or 1 for whether the count given was right. The items came in three blocks of three.","NA"
"nas_rogoza_2024_study2_ngs","paper_explicit","translated_substitute","study_supplied","Rogoza, Baran, Flakus, Krammer & Fatfouta (2024), 'Introducing the Narcissistic Antagonism Scale: A missing puzzle piece in the assessment of momentary narcissism', Psychological Assessment, doi:10.1037/pas0001344; OSF deposit osf.io/u93eq, CC0. Adjectives, instruction text and anchors from the deposit's 'Study 2 Codebook.docx'; factor assignment cross-checked against 'Supplementary materials (Study 1 and Study 2).docx', Supplementary Table 2. Codes are the Study 2 NAS.sav column names.","THE CODEBOOK LISTS THE ADJECTIVES IN ADMINISTRATION ORDER but does not label them NGS1..NGS13, so the load-bearing step was matching its running order onto the .sav's column blocks -- and that is exact rather than approximate. The codebook prints 42 adjectives in one list; the .sav carries NVS1-11, NAS1-18 and NGS1-13 in that order, which is 11 + 18 + 13 = 42 with no slack. Any other alignment leaves a block short, so the last thirteen adjectives are the NGS block and NGS1 = Perfect through NGS13 = Powerful. A SECOND, INDEPENDENT SOURCE PICKS OUT THE SAME THIRTEEN: Supplementary Table 2 reports oblimin-rotated loadings on three factors, and exactly these thirteen load on Agentic rather than Neurotic or Antagonistic. A codebook listing order and a factor-loading table are separate artefacts and they agree. THE ADJECTIVES SHIP IN ENGLISH though the study was run in Polish. The deposit gives both -- NAS.xlsx has English, Polish and German columns for the NAS block -- but the codebook's list, which is the thing that fixes the order, is English, so English is what is transcribed and language records Polish. STATUS IS PARTIAL because nothing in the response data separates one adjective from another within the block.","Thirteen adjectives from the Narcissistic Grandiosity Scale, answered from 1 (not at all) to 7 (extremely) for how well each word describes you in general. They were administered as part of a longer list of 42 narcissism adjectives, of which these are the grandiosity block. The words are shown in English; the study was run in Polish and the Polish wording is in the deposit but not reproduced here. Which adjective is item 1 versus item 2 follows the order the deposit's codebook prints them in.","NA"
"pass20_klosowska_2025_dass_online","paper_order","translated_substitute","third_party_english","Klosowska et al. (2025), Psychological Assessment, doi:10.1037/pas0001376; deposit uj.rodbuk.pl doi:10.57903/UJ/JSJTEV, CC0. Anchors from the deposit's PASS20_Codebook_online_sample.csv. Item wording and the 1-21 numbering from a CC BY paper printing all 21 items grouped by subscale with their numbers (Europe PMC PMC12785381).","THE DEPOSIT GIVES THE ANCHORS BUT NOT THE ITEMS. Its codebook labels each column 'item of DASS-21 (scale 0-3)' with values '0 = did not apply to me at all/never' and '3 = applied to me very much/almost always', which fixes the scale and the direction but supplies no wording. The wording and numbering come from an open-licence paper that prints all 21 items numbered and assigned to the Depression, Anxiety and Stress subscales. THE SUBSCALE SPLIT IS A CHECK ON THE NUMBERING, not decoration: the DASS-21 is defined by seven items per subscale, so a shifted numbering would produce unequal subscales. It comes out 7/7/7. ITS SIBLING IS BLOCKED, AND THE CONTRAST IS THE POINT. pass20_klosowska_2025_pass_hospital comes from the same deposit and is blocked because two published sources number the PASS-20 incompatibly. The DASS-21 has one standard, unambiguous numbering, which is why this one ships. The administered language is Polish and the deposit does not publish the Polish wording, so item_text is English, the _translated columns are absent and language records Polish.","The 21-item Depression Anxiety Stress Scales, asking how much each statement applied to you over the past week, from 0 (did not apply to me at all) to 3 (applied to me very much or most of the time). The items are grouped into the scale's three subscales of seven items each. The text is the English original -- the study was run in Polish and that wording is not published in the deposit, so what is shown here is a rendering rather than what respondents read.","NA"
"mental_health_malawi","data_labels","study_materials","","Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3, CC BY. Item wording, instruction text and anchors transcribed from the deposit's own administered instrument, 'IAT_SRQ20 Survey_tool.pdf'. Item numbering reproduced by re-running data/mental_health_malawi.R over the deposit's IAT_data_imported.csv.","THE DEPOSIT SHIPS THE ADMINISTERED QUESTIONNAIRE, so every one of the forty items is a verbatim transcription rather than a reconstruction: PART 2 prints the twenty Internet Addiction Test questions with the 0-5 scale and PART 3 the twenty SRQ-20 questions with yes/no. THE ITEM NUMBERING HAD TO BE REPRODUCED, NOT INFERRED, AND A FIRST PASS GOT IT WRONG. The script assigns codes with row_number() over unique(df$item) AFTER pivot_longer(values_drop_na = TRUE), so item n is the position of each column at its FIRST NON-MISSING APPEARANCE rather than its position in the file. Respondent 1 is missing on two IAT columns, which pushes both to the end: 'excitement' is question 3 of the printed instrument but item 39 here, and 'late_night_logins' is question 14 but item 40. Everything between shifts up. A first version of this table assumed plain column order and mis-assigned 18 of 40 items; re-running the script over the raw file reproduces 35,111 long rows against the live table's 35,111 and fixes the order exactly. This is the case SKILL.md means when it says to re-run rather than reason about a script-generated integer. THE IAT SCALE IS 1-5 IN THE LIVE DATA THOUGH THE INSTRUMENT PRINTS 0-5. The script recodes 0 ('Does Not Apply') and 99 to NA, so 0 never reaches the table and only the five labelled points 1-5 ship. The SRQ-20 block is 0/1 with 7 recoded to NA. ONE TRANSCRIPTION NOTE: SRQ item 8 ships as 'Do you have trouble thinking clearly?' where the PDF omits the closing question mark.","Forty questions from two instruments given to university students in Malawi. Items 1-18, 39 and 40 are the Internet Addiction Test, answered from 1 (rarely) to 5 (always) -- the questionnaire also offered a 'does not apply' option, but those answers were treated as missing and are not in the data. Items 19-38 are the SRQ-20 mental health screen, answered no or yes. THE ITEM NUMBERS ARE NOT THE QUESTIONNAIRE'S NUMBERS: they were generated by the processing script in order of first non-missing answer, which moved two Internet Addiction questions to the end of the list. The wording shown is transcribed from the survey form included in the deposit.","NA"
"nomt_hooper_2024_study2","data_labels","study_materials","","Hooper, Tomarken & Gauthier (2024), 'Measuring visual ability in linguistically diverse populations', Behavior Research Methods 57:36, doi:10.3758/s13428-024-02579-x, CC BY; data at doi:10.6084/m9.figshare.24395098.v2. Task description from the paper's Methods. Codes assigned by data/nomt_hooper_2024.R as str_extract(item_obj, '[0-9]+') over the Accurate/Selection/Rt column names.","THE STIMULI ARE PICTURES, so there is no administered item wording at all. Each trial shows three novel objects and the participant picks the one studied earlier; item_text describes that in brackets and says outright that the stimuli are images, following the convention used for FEDSP_Trzcinska_2023_MonKnow and the simsalRbim tables. The instruction text is the paper's description of the procedure, not screen text. NO NOMT IS ASSIGNED TO ANY ITEM, AND THAT IS WHY THIS IS PARTIAL. The paper says three tests were used (Greebles, Ziggerins, Sheinbugs) and that Study 2 combined two of them into a 144-trial measure, but the trial numbers here run 12 to 212 with internal gaps and do not divide into two 72-trial blocks at any cut -- 69/75, 70/74 and 71/73 are the closest. Rather than guess a boundary, section_prompt is left empty. The gaps themselves are explained: only test-phase trials are scored, so the study-phase trials have no item. THE KEY IS EXACTLY RECOVERABLE AND IS DELIBERATELY NOT SHIPPED. The live table carries resp_raw, the chosen alternative 1-3, and for all 144 items every correct response used the same alternative -- so the correct position is determined without ambiguity. Filling correct_response from it would make this project the author of the key, which owes an entry on the public issues page under the 2026-09-03 ruling (key_source=derived_from_responses), and the value is small without the images. Recorded so a later pass can add it cheaply if the ruling is applied.","A visual memory test using novel, unfamiliar object categories. Participants first studied six target objects, then on each trial chose which of three objects shown was one of the targets. The item is the trial number and resp is whether the choice was correct; chance is one in three. There is no question wording because the stimuli are pictures, which are in the original deposit but not reproduced here. The study compared groups given English and Spanish instructions, but the trials themselves are nonverbal and identical across groups.","NA"
