"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"moon_2023_korean_proficiency","moon_2023_korean_proficiency_1","koreanspeaking","Korean communication ability (Lee et al., 2013)","Korean; Vietnamese; Chinese; Filipino; English","How good is your Korean? Please mark O where applicable for each of the following questions.",NA,"KoreanSpeaking",NA,"Never",1
"moon_2023_korean_proficiency","moon_2023_korean_proficiency_1","koreanspeaking","Korean communication ability (Lee et al., 2013)","Korean; Vietnamese; Chinese; Filipino; English","How good is your Korean? Please mark O where applicable for each of the following questions.",NA,"KoreanSpeaking",NA,"not good",2
"moon_2023_korean_proficiency","moon_2023_korean_proficiency_1","koreanspeaking","Korean communication ability (Lee et al., 2013)","Korean; Vietnamese; Chinese; Filipino; English","How good is your Korean? Please mark O where applicable for each of the following questions.",NA,"KoreanSpeaking",NA,"moderate",3
"moon_2023_korean_proficiency","moon_2023_korean_proficiency_1","koreanspeaking","Korean communication ability (Lee et al., 2013)","Korean; Vietnamese; Chinese; Filipino; English","How good is your Korean? Please mark O where applicable for each of the following questions.",NA,"KoreanSpeaking",NA,"Good",4
"moon_2023_korean_proficiency","moon_2023_korean_proficiency_1","koreanspeaking","Korean communication ability (Lee et al., 2013)","Korean; Vietnamese; Chinese; Filipino; English","How good is your Korean? Please mark O where applicable for each of the following questions.",NA,"KoreanSpeaking",NA,"Very good",5
"moon_2023_korean_proficiency","moon_2023_korean_proficiency_1","koreanhearing","Korean communication ability (Lee et al., 2013)","Korean; Vietnamese; Chinese; Filipino; English","How good is your Korean? Please mark O where applicable for each of the following questions.",NA,"KoreanListening",NA,"Never",1
"moon_2023_korean_proficiency","moon_2023_korean_proficiency_1","koreanhearing","Korean communication ability (Lee et al., 2013)","Korean; Vietnamese; Chinese; Filipino; English","How good is your Korean? Please mark O where applicable for each of the following questions.",NA,"KoreanListening",NA,"not good",2
"moon_2023_korean_proficiency","moon_2023_korean_proficiency_1","koreanhearing","Korean communication ability (Lee et al., 2013)","Korean; Vietnamese; Chinese; Filipino; English","How good is your Korean? Please mark O where applicable for each of the following questions.",NA,"KoreanListening",NA,"moderate",3
"moon_2023_korean_proficiency","moon_2023_korean_proficiency_1","koreanhearing","Korean communication ability (Lee et al., 2013)","Korean; Vietnamese; Chinese; Filipino; English","How good is your Korean? Please mark O where applicable for each of the following questions.",NA,"KoreanListening",NA,"Good",4
"moon_2023_korean_proficiency","moon_2023_korean_proficiency_1","koreanhearing","Korean communication ability (Lee et al., 2013)","Korean; Vietnamese; Chinese; Filipino; English","How good is your Korean? Please mark O where applicable for each of the following questions.",NA,"KoreanListening",NA,"Very good",5
"moon_2023_korean_proficiency","moon_2023_korean_proficiency_1","koreanreading","Korean communication ability (Lee et al., 2013)","Korean; Vietnamese; Chinese; Filipino; English","How good is your Korean? Please mark O where applicable for each of the following questions.",NA,"KoreanReading",NA,"Never",1
"moon_2023_korean_proficiency","moon_2023_korean_proficiency_1","koreanreading","Korean communication ability (Lee et al., 2013)","Korean; Vietnamese; Chinese; Filipino; English","How good is your Korean? Please mark O where applicable for each of the following questions.",NA,"KoreanReading",NA,"not good",2
"moon_2023_korean_proficiency","moon_2023_korean_proficiency_1","koreanreading","Korean communication ability (Lee et al., 2013)","Korean; Vietnamese; Chinese; Filipino; English","How good is your Korean? Please mark O where applicable for each of the following questions.",NA,"KoreanReading",NA,"moderate",3
"moon_2023_korean_proficiency","moon_2023_korean_proficiency_1","koreanreading","Korean communication ability (Lee et al., 2013)","Korean; Vietnamese; Chinese; Filipino; English","How good is your Korean? Please mark O where applicable for each of the following questions.",NA,"KoreanReading",NA,"Good",4
"moon_2023_korean_proficiency","moon_2023_korean_proficiency_1","koreanreading","Korean communication ability (Lee et al., 2013)","Korean; Vietnamese; Chinese; Filipino; English","How good is your Korean? Please mark O where applicable for each of the following questions.",NA,"KoreanReading",NA,"Very good",5
"moon_2023_korean_proficiency","moon_2023_korean_proficiency_1","koreanwriting","Korean communication ability (Lee et al., 2013)","Korean; Vietnamese; Chinese; Filipino; English","How good is your Korean? Please mark O where applicable for each of the following questions.",NA,"KoreanWriting",NA,"Never",1
"moon_2023_korean_proficiency","moon_2023_korean_proficiency_1","koreanwriting","Korean communication ability (Lee et al., 2013)","Korean; Vietnamese; Chinese; Filipino; English","How good is your Korean? Please mark O where applicable for each of the following questions.",NA,"KoreanWriting",NA,"not good",2
"moon_2023_korean_proficiency","moon_2023_korean_proficiency_1","koreanwriting","Korean communication ability (Lee et al., 2013)","Korean; Vietnamese; Chinese; Filipino; English","How good is your Korean? Please mark O where applicable for each of the following questions.",NA,"KoreanWriting",NA,"moderate",3
"moon_2023_korean_proficiency","moon_2023_korean_proficiency_1","koreanwriting","Korean communication ability (Lee et al., 2013)","Korean; Vietnamese; Chinese; Filipino; English","How good is your Korean? Please mark O where applicable for each of the following questions.",NA,"KoreanWriting",NA,"Good",4
"moon_2023_korean_proficiency","moon_2023_korean_proficiency_1","koreanwriting","Korean communication ability (Lee et al., 2013)","Korean; Vietnamese; Chinese; Filipino; English","How good is your Korean? Please mark O where applicable for each of the following questions.",NA,"KoreanWriting",NA,"Very good",5
