"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"moon_2023_selfesteem","moon_2023_selfesteem_1","selfesteem1","Self-esteem (Prenatal Psychosocial Profile self-esteem subscale; Curry, Campbell & Christian, 1994; Kim, 2000)","Korean; Vietnamese; Chinese; Filipino; English","Please think of your usual thoughts and choose one of the most similar states and mark O.",NA,"I feel at much as valuable as other people",NA,"not at all",1
"moon_2023_selfesteem","moon_2023_selfesteem_1","selfesteem1","Self-esteem (Prenatal Psychosocial Profile self-esteem subscale; Curry, Campbell & Christian, 1994; Kim, 2000)","Korean; Vietnamese; Chinese; Filipino; English","Please think of your usual thoughts and choose one of the most similar states and mark O.",NA,"I feel at much as valuable as other people",NA,NA,2
"moon_2023_selfesteem","moon_2023_selfesteem_1","selfesteem1","Self-esteem (Prenatal Psychosocial Profile self-esteem subscale; Curry, Campbell & Christian, 1994; Kim, 2000)","Korean; Vietnamese; Chinese; Filipino; English","Please think of your usual thoughts and choose one of the most similar states and mark O.",NA,"I feel at much as valuable as other people",NA,NA,3
"moon_2023_selfesteem","moon_2023_selfesteem_1","selfesteem1","Self-esteem (Prenatal Psychosocial Profile self-esteem subscale; Curry, Campbell & Christian, 1994; Kim, 2000)","Korean; Vietnamese; Chinese; Filipino; English","Please think of your usual thoughts and choose one of the most similar states and mark O.",NA,"I feel at much as valuable as other people",NA,"always",4
"moon_2023_selfesteem","moon_2023_selfesteem_1","se2","Self-esteem (Prenatal Psychosocial Profile self-esteem subscale; Curry, Campbell & Christian, 1994; Kim, 2000)","Korean; Vietnamese; Chinese; Filipino; English","Please think of your usual thoughts and choose one of the most similar states and mark O.",NA,"I feel that I have some good characteristics",NA,"not at all",1
"moon_2023_selfesteem","moon_2023_selfesteem_1","se2","Self-esteem (Prenatal Psychosocial Profile self-esteem subscale; Curry, Campbell & Christian, 1994; Kim, 2000)","Korean; Vietnamese; Chinese; Filipino; English","Please think of your usual thoughts and choose one of the most similar states and mark O.",NA,"I feel that I have some good characteristics",NA,NA,2
"moon_2023_selfesteem","moon_2023_selfesteem_1","se2","Self-esteem (Prenatal Psychosocial Profile self-esteem subscale; Curry, Campbell & Christian, 1994; Kim, 2000)","Korean; Vietnamese; Chinese; Filipino; English","Please think of your usual thoughts and choose one of the most similar states and mark O.",NA,"I feel that I have some good characteristics",NA,NA,3
"moon_2023_selfesteem","moon_2023_selfesteem_1","se2","Self-esteem (Prenatal Psychosocial Profile self-esteem subscale; Curry, Campbell & Christian, 1994; Kim, 2000)","Korean; Vietnamese; Chinese; Filipino; English","Please think of your usual thoughts and choose one of the most similar states and mark O.",NA,"I feel that I have some good characteristics",NA,"always",4
"moon_2023_selfesteem","moon_2023_selfesteem_1","se3","Self-esteem (Prenatal Psychosocial Profile self-esteem subscale; Curry, Campbell & Christian, 1994; Kim, 2000)","Korean; Vietnamese; Chinese; Filipino; English","Please think of your usual thoughts and choose one of the most similar states and mark O.",NA,"I feel unsuccessful",NA,"always",1
"moon_2023_selfesteem","moon_2023_selfesteem_1","se3","Self-esteem (Prenatal Psychosocial Profile self-esteem subscale; Curry, Campbell & Christian, 1994; Kim, 2000)","Korean; Vietnamese; Chinese; Filipino; English","Please think of your usual thoughts and choose one of the most similar states and mark O.",NA,"I feel unsuccessful",NA,NA,2
