"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress1","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Finantial worries",NA,"not stressful at all",1
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress1","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Finantial worries",NA,NA,2
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress1","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Finantial worries",NA,NA,3
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress1","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Finantial worries",NA,"very stressful",4
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress2","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Family problems (e.g.children, etc)",NA,"not stressful at all",1
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress2","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Family problems (e.g.children, etc)",NA,NA,2
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress2","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Family problems (e.g.children, etc)",NA,NA,3
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress2","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Family problems (e.g.children, etc)",NA,"very stressful",4
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress3","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Parents-in-law or relatives problems",NA,"not stressful at all",1
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress3","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Parents-in-law or relatives problems",NA,NA,2
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress3","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Parents-in-law or relatives problems",NA,NA,3
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress3","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Parents-in-law or relatives problems",NA,"very stressful",4
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress4","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Sexual life problems",NA,"not stressful at all",1
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress4","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Sexual life problems",NA,NA,2
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress4","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Sexual life problems",NA,NA,3
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress4","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Sexual life problems",NA,"very stressful",4
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress5","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"marital relationship problems",NA,"not stressful at all",1
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress5","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"marital relationship problems",NA,NA,2
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress5","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"marital relationship problems",NA,NA,3
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress5","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"marital relationship problems",NA,"very stressful",4
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress6","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Housing or Surrounding environment(including moving) problems",NA,"not stressful at all",1
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress6","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Housing or Surrounding environment(including moving) problems",NA,NA,2
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress6","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Housing or Surrounding environment(including moving) problems",NA,NA,3
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress6","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Housing or Surrounding environment(including moving) problems",NA,"very stressful",4
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress7","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Being exposed to violence (emotional)",NA,"not stressful at all",1
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress7","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Being exposed to violence (emotional)",NA,NA,2
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress7","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Being exposed to violence (emotional)",NA,NA,3
"moon_2023_pregnancy_stress","moon_2023_pregnancy_stress_1","pregnancystress7","Pregnancy stress (11 stress items of the Prenatal Psychosocial Profile; Curry, Campbell & Christian 1994; Korean version, Kim 2000)","Korean; Vietnamese; Chinese; Filipino; English","To what extent are the following currently a stress or hastle for you?",NA,"Being exposed to violence (emotional)",NA,"very stressful",4
