journal,issn_l,pmcid,http_status,content_length,n_files,manifest,error
PLOS ONE,1932-6203,PMC11856288,200,,12,pone.0318711.s002.doc;pone.0318711.t004.jpg;pone.0318711.t003.jpg;pone.0318711.t001.gif;pone.0318711.g001.jpg;pone.0318711.t001.jpg;pone.0318711.t003.gif;pone.0318711.t004.gif;pone.0318711.s001.xls;pone.0318711.g001.gif;pone.0318711.t002.jpg;pone.0318711.t002.gif,
PLOS ONE,1932-6203,PMC12548853,200,,19,pone.0333883.t002.gif;pone.0333883.t002.jpg;pone.0333883.g002.jpg;pone.0333883.g004.jpg;pone.0333883.t001.gif;pone.0333883.t004.gif;pone.0333883.t004.jpg;pone.0333883.g003.gif;pone.0333883.t003.jpg;pone.0333883.s002.docx;pone.0333883.t001.jpg;pone.0333883.e001.jpg;pone.0333883.g001.gif;pone.0333883.t003.gif;pone.0333883.g002.gif;pone.0333883.g001.jpg;pone.0333883.s001.docx;pone.0333883.g003.jpg;pone.0333883.g004.gif,
PLOS ONE,1932-6203,PMC11684709,200,,12,pone.0316364.t003.gif;pone.0316364.t003.jpg;pone.0316364.t005.jpg;pone.0316364.t004.gif;pone.0316364.t002.gif;pone.0316364.t001.gif;pone.0316364.t006.gif;pone.0316364.t005.gif;pone.0316364.t002.jpg;pone.0316364.t001.jpg;pone.0316364.t006.jpg;pone.0316364.t004.jpg,
PLOS ONE,1932-6203,PMC11970674,200,,21,pone.0321022.g007.gif;pone.0321022.g009.jpg;pone.0321022.g001.jpg;pone.0321022.g003.jpg;pone.0321022.g002.jpg;pone.0321022.g004.jpg;pone.0321022.g006.gif;pone.0321022.g010.jpg;pone.0321022.g001.gif;pone.0321022.g007.jpg;pone.0321022.g010.gif;pone.0321022.g004.gif;pone.0321022.g009.gif;pone.0321022.s001.pdf;pone.0321022.g002.gif;pone.0321022.g008.gif;pone.0321022.g003.gif;pone.0321022.g005.jpg;pone.0321022.g008.jpg;pone.0321022.g005.gif;pone.0321022.g006.jpg,
PLOS ONE,1932-6203,PMC12309983,200,,10,pone.0328717.g002.gif;pone.0328717.g005.jpg;pone.0328717.g003.jpg;pone.0328717.g002.jpg;pone.0328717.g001.gif;pone.0328717.g005.gif;pone.0328717.g004.gif;pone.0328717.g003.gif;pone.0328717.g001.jpg;pone.0328717.g004.jpg,
PLOS ONE,1932-6203,PMC12463221,200,,108,pone.0331896.e074.jpg;pone.0331896.t004.jpg;pone.0331896.e062.jpg;pone.0331896.e039.jpg;pone.0331896.e044.jpg;pone.0331896.e022.jpg;pone.0331896.e023.jpg;pone.0331896.e020.jpg;pone.0331896.e058.jpg;pone.0331896.e056.jpg;pone.0331896.e027.jpg;pone.0331896.e014.jpg;pone.0331896.e052.jpg;pone.0331896.e016.jpg;pone.0331896.e051.jpg;pone.0331896.e012.jpg;pone.0331896.e049.jpg;pone.0331896.e045.jpg;pone.0331896.e065.jpg;pone.0331896.t001.gif;pone.0331896.e057.jpg;pone.0331896.e080.jpg;pone.0331896.e005.jpg;pone.0331896.e007.jpg;pone.0331896.t002.gif;pone.0331896.e071.jpg;pone.0331896.g003.gif;pone.0331896.g002.jpg;pone.0331896.e055.jpg;pone.0331896.e003.jpg;pone.0331896.e014.gif;pone.0331896.e015.gif;pone.0331896.g005.jpg;pone.0331896.t001.jpg;pone.0331896.e015.jpg;pone.0331896.g005.gif;pone.0331896.e068.jpg;pone.0331896.e001.jpg;pone.0331896.e078.jpg;pone.0331896.e047.jpg;pone.0331896.e063.jpg;pone.0331896.e031.jpg;pone.0331896.e073.jpg;pone.0331896.e032.jpg;pone.0331896.e077.jpg;pone.0331896.e067.jpg;pone.0331896.e037.jpg;pone.0331896.t005.gif;pone.0331896.e076.jpg;pone.0331896.e024.jpg;pone.0331896.e006.jpg;pone.0331896.t005.jpg;pone.0331896.e029.jpg;pone.0331896.e081.jpg;pone.0331896.t003.gif;pone.0331896.e043.jpg;pone.0331896.e059.jpg;pone.0331896.e004.jpg;pone.0331896.g003.jpg;pone.0331896.e050.jpg;pone.0331896.e018.jpg;pone.0331896.e025.jpg;pone.0331896.e002.jpg;pone.0331896.g006.gif;pone.0331896.e040.jpg;pone.0331896.e048.jpg;pone.0331896.e010.jpg;pone.0331896.t004.gif;pone.0331896.e064.jpg;pone.0331896.e016.gif;pone.0331896.e017.jpg;pone.0331896.e038.jpg;pone.0331896.e061.jpg;pone.0331896.e060.jpg;pone.0331896.e019.jpg;pone.0331896.e034.jpg;pone.0331896.e013.jpg;pone.0331896.e011.jpg;pone.0331896.e072.jpg;pone.0331896.g004.jpg;pone.0331896.e075.jpg;pone.0331896.e018.gif;pone.0331896.e053.jpg;pone.0331896.e021.jpg;pone.0331896.t003.jpg;pone.0331896.g006.jpg;pone.0331896.e069.jpg;pone.0331896.e009.jpg;pone.0331896.g001.jpg;pone.0331896.e035.jpg;pone.0331896.e054.jpg;pone.0331896.e036.jpg;pone.0331896.e041.jpg;pone.0331896.e033.jpg;pone.0331896.e030.jpg;pone.0331896.e026.jpg;pone.0331896.g001.gif;pone.0331896.e070.jpg;pone.0331896.e008.jpg;pone.0331896.e079.jpg;pone.0331896.e017.gif;pone.0331896.e066.jpg;pone.0331896.e028.jpg;pone.0331896.g002.gif;pone.0331896.t002.jpg;pone.0331896.e042.jpg;pone.0331896.g004.gif;pone.0331896.e046.jpg,
PLOS ONE,1932-6203,PMC11838898,200,,20,pone.0312789.g002.gif;pone.0312789.g001.jpg;pone.0312789.g003.jpg;pone.0312789.t002.gif;pone.0312789.g003.gif;pone.0312789.t003.jpg;pone.0312789.t003.gif;pone.0312789.g001.gif;pone.0312789.g006.jpg;pone.0312789.t001.gif;pone.0312789.t002.jpg;pone.0312789.g005.jpg;pone.0312789.g002.jpg;pone.0312789.g005.gif;pone.0312789.g006.gif;pone.0312789.t001.jpg;pone.0312789.s001.xlsx;pone.0312789.g004.gif;pone.0312789.g004.jpg;pone.0312789.s002.rtf,
PLOS ONE,1932-6203,PMC12124586,200,,123,pone.0322488.e009.jpg;pone.0322488.t002.gif;pone.0322488.e056.gif;pone.0322488.g013.gif;pone.0322488.e047.jpg;pone.0322488.g015.gif;pone.0322488.e014.jpg;pone.0322488.e005.jpg;pone.0322488.g016.jpg;pone.0322488.e055.gif;pone.0322488.e046.jpg;pone.0322488.e043.jpg;pone.0322488.g010.jpg;pone.0322488.t007.jpg;pone.0322488.e008.jpg;pone.0322488.s001.pdf;pone.0322488.g017.jpg;pone.0322488.g014.gif;pone.0322488.g009.gif;pone.0322488.g002.jpg;pone.0322488.t003.jpg;pone.0322488.e045.gif;pone.0322488.e041.gif;pone.0322488.e058.gif;pone.0322488.t006.gif;pone.0322488.e059.jpg;pone.0322488.g010.gif;pone.0322488.e044.gif;pone.0322488.e025.jpg;pone.0322488.t004.jpg;pone.0322488.e018.jpg;pone.0322488.g002.gif;pone.0322488.e040.gif;pone.0322488.e004.jpg;pone.0322488.g012.gif;pone.0322488.e056.jpg;pone.0322488.e054.jpg;pone.0322488.e010.jpg;pone.0322488.e002.jpg;pone.0322488.e029.jpg;pone.0322488.g008.jpg;pone.0322488.g004.gif;pone.0322488.e023.jpg;pone.0322488.g014.jpg;pone.0322488.g001.gif;pone.0322488.e039.gif;pone.0322488.e057.jpg;pone.0322488.e038.gif;pone.0322488.e051.jpg;pone.0322488.g013.jpg;pone.0322488.e050.jpg;pone.0322488.g004.jpg;pone.0322488.e028.jpg;pone.0322488.g003.jpg;pone.0322488.e034.jpg;pone.0322488.e037.jpg;pone.0322488.e017.jpg;pone.0322488.g008.gif;pone.0322488.e038.jpg;pone.0322488.e043.gif;pone.0322488.e052.jpg;pone.0322488.g003.gif;pone.0322488.e030.jpg;pone.0322488.e026.jpg;pone.0322488.g005.gif;pone.0322488.e022.jpg;pone.0322488.e021.jpg;pone.0322488.g015.jpg;pone.0322488.g006.jpg;pone.0322488.t006.jpg;pone.0322488.t003.gif;pone.0322488.e058.jpg;pone.0322488.e007.jpg;pone.0322488.g018.jpg;pone.0322488.g011.jpg;pone.0322488.e040.jpg;pone.0322488.g001.jpg;pone.0322488.t001.jpg;pone.0322488.e046.gif;pone.0322488.e035.jpg;pone.0322488.e020.jpg;pone.0322488.t002.jpg;pone.0322488.e042.jpg;pone.0322488.g011.gif;pone.0322488.e016.jpg;pone.0322488.e019.jpg;pone.0322488.e011.jpg;pone.0322488.g006.gif;pone.0322488.e053.jpg;pone.0322488.t007.gif;pone.0322488.t004.gif;pone.0322488.e006.jpg;pone.0322488.e032.jpg;pone.0322488.e015.jpg;pone.0322488.g018.gif;pone.0322488.g005.jpg;pone.0322488.e012.jpg;pone.0322488.g016.gif;pone.0322488.e049.jpg;pone.0322488.e024.jpg;pone.0322488.g012.jpg;pone.0322488.e041.jpg;pone.0322488.g007.gif;pone.0322488.t005.gif;pone.0322488.e048.jpg;pone.0322488.e036.jpg;pone.0322488.e037.gif;pone.0322488.e027.jpg;pone.0322488.e013.jpg;pone.0322488.t001.gif;pone.0322488.e055.jpg;pone.0322488.e045.jpg;pone.0322488.g007.jpg;pone.0322488.e057.gif;pone.0322488.e031.jpg;pone.0322488.t005.jpg;pone.0322488.e001.jpg;pone.0322488.e033.jpg;pone.0322488.g009.jpg;pone.0322488.e003.jpg;pone.0322488.e044.jpg;pone.0322488.g017.gif;pone.0322488.e039.jpg,
PLOS ONE,1932-6203,PMC12282920,200,,119,pone.0327851.e006.jpg;pone.0327851.e035.jpg;pone.0327851.e081.jpg;pone.0327851.g011.gif;pone.0327851.e028.jpg;pone.0327851.e027.jpg;pone.0327851.e069.jpg;pone.0327851.e032.jpg;pone.0327851.g002.jpg;pone.0327851.e037.jpg;pone.0327851.e063.jpg;pone.0327851.e055.jpg;pone.0327851.g010.jpg;pone.0327851.e052.jpg;pone.0327851.g012.jpg;pone.0327851.e053.jpg;pone.0327851.e057.jpg;pone.0327851.g013.jpg;pone.0327851.e066.jpg;pone.0327851.e051.jpg;pone.0327851.e025.jpg;pone.0327851.e003.jpg;pone.0327851.e015.jpg;pone.0327851.e079.jpg;pone.0327851.e040.jpg;pone.0327851.e048.jpg;pone.0327851.t004.jpg;pone.0327851.e018.jpg;pone.0327851.e047.jpg;pone.0327851.e059.jpg;pone.0327851.e034.jpg;pone.0327851.g009.jpg;pone.0327851.g008.jpg;pone.0327851.e071.jpg;pone.0327851.e064.jpg;pone.0327851.e074.jpg;pone.0327851.e077.jpg;pone.0327851.e042.jpg;pone.0327851.e007.jpg;pone.0327851.e044.jpg;pone.0327851.e056.jpg;pone.0327851.e070.jpg;pone.0327851.e024.jpg;pone.0327851.t002.jpg;pone.0327851.g005.gif;pone.0327851.e008.jpg;pone.0327851.t003.gif;pone.0327851.e009.jpg;pone.0327851.e001.jpg;pone.0327851.e031.jpg;pone.0327851.g010.gif;pone.0327851.e005.jpg;pone.0327851.e067.jpg;pone.0327851.e033.jpg;pone.0327851.g013.gif;pone.0327851.e073.jpg;pone.0327851.e030.jpg;pone.0327851.g012.gif;pone.0327851.t002.gif;pone.0327851.e023.jpg;pone.0327851.g008.gif;pone.0327851.s001.docx;pone.0327851.g009.gif;pone.0327851.g011.jpg;pone.0327851.t001.jpg;pone.0327851.e065.jpg;pone.0327851.t005.jpg;pone.0327851.t004.gif;pone.0327851.t005.gif;pone.0327851.e076.jpg;pone.0327851.g006.gif;pone.0327851.e054.jpg;pone.0327851.e041.jpg;pone.0327851.t003.jpg;pone.0327851.g004.jpg;pone.0327851.e036.jpg;pone.0327851.e058.jpg;pone.0327851.t001.gif;pone.0327851.e082.jpg;pone.0327851.e061.jpg;pone.0327851.g003.gif;pone.0327851.e080.jpg;pone.0327851.e002.jpg;pone.0327851.g001.gif;pone.0327851.e012.jpg;pone.0327851.e010.jpg;pone.0327851.g002.gif;pone.0327851.g005.jpg;pone.0327851.e016.jpg;pone.0327851.e046.jpg;pone.0327851.e062.jpg;pone.0327851.e049.jpg;pone.0327851.e068.jpg;pone.0327851.e043.jpg;pone.0327851.e004.jpg;pone.0327851.e026.jpg;pone.0327851.e014.jpg;pone.0327851.e013.jpg;pone.0327851.e020.jpg;pone.0327851.e075.jpg;pone.0327851.e060.jpg;pone.0327851.g006.jpg;pone.0327851.e039.jpg;pone.0327851.g003.jpg;pone.0327851.e078.jpg;pone.0327851.e050.jpg;pone.0327851.e017.jpg;pone.0327851.g007.gif;pone.0327851.e029.jpg;pone.0327851.g007.jpg;pone.0327851.e019.jpg;pone.0327851.e072.jpg;pone.0327851.e021.jpg;pone.0327851.g001.jpg;pone.0327851.e038.jpg;pone.0327851.e022.jpg;pone.0327851.e011.jpg;pone.0327851.e045.jpg;pone.0327851.g004.gif,
PLOS ONE,1932-6203,PMC11856465,200,,156,pone.0319182.e067.jpg;pone.0319182.g011.gif;pone.0319182.e004.jpg;pone.0319182.g012.gif;pone.0319182.e076.jpg;pone.0319182.e133.gif;pone.0319182.g002.gif;pone.0319182.g007.gif;pone.0319182.e121.gif;pone.0319182.e004.gif;pone.0319182.e039.jpg;pone.0319182.e101.jpg;pone.0319182.e050.jpg;pone.0319182.t003.jpg;pone.0319182.g005.jpg;pone.0319182.g002.jpg;pone.0319182.g001.gif;pone.0319182.e033.gif;pone.0319182.g008.jpg;pone.0319182.e125.gif;pone.0319182.e087.jpg;pone.0319182.g006.gif;pone.0319182.t002.jpg;pone.0319182.e035.jpg;pone.0319182.g010.jpg;pone.0319182.e117.jpg;pone.0319182.e083.jpg;pone.0319182.t008.jpg;pone.0319182.e109.jpg;pone.0319182.g016.jpg;pone.0319182.e033.jpg;pone.0319182.e064.jpg;pone.0319182.g017.gif;pone.0319182.t001.jpg;pone.0319182.t004.gif;pone.0319182.e043.gif;pone.0319182.t001.gif;pone.0319182.e084.jpg;pone.0319182.g001.jpg;pone.0319182.e038.jpg;pone.0319182.e095.jpg;pone.0319182.e072.jpg;pone.0319182.g015.jpg;pone.0319182.e105.gif;pone.0319182.e056.jpg;pone.0319182.e039.gif;pone.0319182.e006.jpg;pone.0319182.e002.gif;pone.0319182.e077.jpg;pone.0319182.g009.gif;pone.0319182.g013.jpg;pone.0319182.e021.jpg;pone.0319182.e041.gif;pone.0319182.e071.jpg;pone.0319182.e088.jpg;pone.0319182.g014.gif;pone.0319182.t009.gif;pone.0319182.e015.jpg;pone.0319182.e069.jpg;pone.0319182.e074.jpg;pone.0319182.e019.jpg;pone.0319182.e055.jpg;pone.0319182.g007.jpg;pone.0319182.g011.jpg;pone.0319182.e029.jpg;pone.0319182.e053.jpg;pone.0319182.e121.jpg;pone.0319182.e129.jpg;pone.0319182.g013.gif;pone.0319182.e055.gif;pone.0319182.e013.gif;pone.0319182.e046.jpg;pone.0319182.e063.jpg;pone.0319182.s001.zip;pone.0319182.e061.jpg;pone.0319182.e059.jpg;pone.0319182.e037.jpg;pone.0319182.t002.gif;pone.0319182.g014.jpg;pone.0319182.e021.gif;pone.0319182.e080.jpg;pone.0319182.e096.jpg;pone.0319182.e002.jpg;pone.0319182.t009.jpg;pone.0319182.g009.jpg;pone.0319182.g012.jpg;pone.0319182.e017.jpg;pone.0319182.e041.jpg;pone.0319182.e025.jpg;pone.0319182.e079.jpg;pone.0319182.e010.jpg;pone.0319182.t005.jpg;pone.0319182.e062.jpg;pone.0319182.e022.jpg;pone.0319182.e133.jpg;pone.0319182.e082.jpg;pone.0319182.e101.gif;pone.0319182.g016.gif;pone.0319182.e022.gif;pone.0319182.e068.jpg;pone.0319182.e081.jpg;pone.0319182.e086.jpg;pone.0319182.g003.gif;pone.0319182.e105.jpg;pone.0319182.e043.jpg;pone.0319182.t003.gif;pone.0319182.e027.gif;pone.0319182.g005.gif;pone.0319182.e058.jpg;pone.0319182.g004.gif;pone.0319182.t007.jpg;pone.0319182.g004.jpg;pone.0319182.e013.jpg;pone.0319182.g003.jpg;pone.0319182.t004.jpg;pone.0319182.e035.gif;pone.0319182.e038.gif;pone.0319182.e129.gif;pone.0319182.g010.gif;pone.0319182.e065.jpg;pone.0319182.g006.jpg;pone.0319182.e008.gif;pone.0319182.t006.jpg;pone.0319182.e006.gif;pone.0319182.e029.gif;pone.0319182.e070.jpg;pone.0319182.t008.gif;pone.0319182.e049.jpg;pone.0319182.e015.gif;pone.0319182.e027.jpg;pone.0319182.g015.gif;pone.0319182.e085.jpg;pone.0319182.t007.gif;pone.0319182.e125.jpg;pone.0319182.e010.gif;pone.0319182.e066.jpg;pone.0319182.e098.jpg;pone.0319182.e117.gif;pone.0319182.t006.gif;pone.0319182.t005.gif;pone.0319182.e053.gif;pone.0319182.e060.jpg;pone.0319182.e008.jpg;pone.0319182.e017.gif;pone.0319182.e025.gif;pone.0319182.e049.gif;pone.0319182.e109.gif;pone.0319182.e073.jpg;pone.0319182.g008.gif;pone.0319182.e113.jpg;pone.0319182.e050.gif;pone.0319182.e019.gif;pone.0319182.e046.gif;pone.0319182.g017.jpg;pone.0319182.e037.gif;pone.0319182.e113.gif,
