journal,issn_l,publisher,in_pmc,pmc_deposit_scope_proxy,year,n_records,n_fulltext,n_oa,pct_fulltext,pct_oa,springer_oa_n,sample_n,pct_with_supp,pct_with_data_like_supp,pct_data_like_ambiguous_only,median_data_files,pct_cc_by,pct_cc_by_nc,pct_cc_by_nc_nd,pct_license_other,pct_license_unknown
PLOS ONE,1932-6203,Public Library of Science,TRUE,0.993,2015,29765,29765,29765,1.0,1.0,,100,96.0,24.0,7.0,1,98.0,0.0,0.0,2.0,0.0
PLOS ONE,1932-6203,Public Library of Science,TRUE,0.993,2016,23022,23022,23022,1.0,1.0,,100,96.0,24.0,7.0,1,98.0,0.0,0.0,2.0,0.0
PLOS ONE,1932-6203,Public Library of Science,TRUE,0.993,2017,21150,21150,21150,1.0,1.0,,100,96.0,24.0,7.0,1,98.0,0.0,0.0,2.0,0.0
PLOS ONE,1932-6203,Public Library of Science,TRUE,0.993,2018,18833,18833,18833,1.0,1.0,,100,96.0,24.0,7.0,1,98.0,0.0,0.0,2.0,0.0
PLOS ONE,1932-6203,Public Library of Science,TRUE,0.993,2019,16227,16225,16225,1.0,1.0,,100,96.0,24.0,7.0,1,98.0,0.0,0.0,2.0,0.0
PLOS ONE,1932-6203,Public Library of Science,TRUE,0.993,2020,16684,16682,16682,1.0,1.0,,100,96.0,24.0,7.0,1,98.0,0.0,0.0,2.0,0.0
PLOS ONE,1932-6203,Public Library of Science,TRUE,0.993,2021,16625,16623,16623,1.0,1.0,,100,96.0,24.0,7.0,1,98.0,0.0,0.0,2.0,0.0
PLOS ONE,1932-6203,Public Library of Science,TRUE,0.993,2022,16068,16066,16065,1.0,1.0,,100,96.0,24.0,7.0,1,98.0,0.0,0.0,2.0,0.0
PLOS ONE,1932-6203,Public Library of Science,TRUE,0.993,2023,15030,14926,14926,0.993,0.993,,100,96.0,24.0,7.0,1,98.0,0.0,0.0,2.0,0.0
PLOS ONE,1932-6203,Public Library of Science,TRUE,0.993,2024,17792,17571,17570,0.988,0.988,,100,96.0,24.0,7.0,1,98.0,0.0,0.0,2.0,0.0
PLOS ONE,1932-6203,Public Library of Science,TRUE,0.993,2025,19600,19550,19550,0.997,0.997,,100,96.0,24.0,7.0,1,98.0,0.0,0.0,2.0,0.0
PLOS Mental Health,2837-8156,Public Library of Science,UNKNOWN,,2015,0,0,0,,,,100,91.0,24.0,1.0,1,97.0,0.0,0.0,0.0,3.0
PLOS Mental Health,2837-8156,Public Library of Science,UNKNOWN,,2016,0,0,0,,,,100,91.0,24.0,1.0,1,97.0,0.0,0.0,0.0,3.0
PLOS Mental Health,2837-8156,Public Library of Science,UNKNOWN,,2017,0,0,0,,,,100,91.0,24.0,1.0,1,97.0,0.0,0.0,0.0,3.0
PLOS Mental Health,2837-8156,Public Library of Science,UNKNOWN,,2018,0,0,0,,,,100,91.0,24.0,1.0,1,97.0,0.0,0.0,0.0,3.0
PLOS Mental Health,2837-8156,Public Library of Science,UNKNOWN,,2019,0,0,0,,,,100,91.0,24.0,1.0,1,97.0,0.0,0.0,0.0,3.0
PLOS Mental Health,2837-8156,Public Library of Science,UNKNOWN,,2020,0,0,0,,,,100,91.0,24.0,1.0,1,97.0,0.0,0.0,0.0,3.0
PLOS Mental Health,2837-8156,Public Library of Science,UNKNOWN,,2021,0,0,0,,,,100,91.0,24.0,1.0,1,97.0,0.0,0.0,0.0,3.0
PLOS Mental Health,2837-8156,Public Library of Science,UNKNOWN,,2022,0,0,0,,,,100,91.0,24.0,1.0,1,97.0,0.0,0.0,0.0,3.0
PLOS Mental Health,2837-8156,Public Library of Science,UNKNOWN,,2023,0,0,0,,,,100,91.0,24.0,1.0,1,97.0,0.0,0.0,0.0,3.0
PLOS Mental Health,2837-8156,Public Library of Science,TRUE,,2024,124,122,122,0.984,0.984,,100,91.0,24.0,1.0,1,97.0,0.0,0.0,0.0,3.0
PLOS Mental Health,2837-8156,Public Library of Science,TRUE,,2025,293,292,291,0.997,0.993,,100,91.0,24.0,1.0,1,97.0,0.0,0.0,0.0,3.0
PLOS Global Public Health,2767-3375,Public Library of Science,UNKNOWN,0.992,2015,0,0,0,,,,100,92.0,31.0,0.0,1,97.0,0.0,0.0,3.0,0.0
PLOS Global Public Health,2767-3375,Public Library of Science,UNKNOWN,0.992,2016,0,0,0,,,,100,92.0,31.0,0.0,1,97.0,0.0,0.0,3.0,0.0
PLOS Global Public Health,2767-3375,Public Library of Science,UNKNOWN,0.992,2017,0,0,0,,,,100,92.0,31.0,0.0,1,97.0,0.0,0.0,3.0,0.0
PLOS Global Public Health,2767-3375,Public Library of Science,UNKNOWN,0.992,2018,0,0,0,,,,100,92.0,31.0,0.0,1,97.0,0.0,0.0,3.0,0.0
PLOS Global Public Health,2767-3375,Public Library of Science,UNKNOWN,0.992,2019,0,0,0,,,,100,92.0,31.0,0.0,1,97.0,0.0,0.0,3.0,0.0
PLOS Global Public Health,2767-3375,Public Library of Science,UNKNOWN,0.992,2020,0,0,0,,,,100,92.0,31.0,0.0,1,97.0,0.0,0.0,3.0,0.0
PLOS Global Public Health,2767-3375,Public Library of Science,TRUE,0.992,2021,53,53,53,1.0,1.0,,100,92.0,31.0,0.0,1,97.0,0.0,0.0,3.0,0.0
PLOS Global Public Health,2767-3375,Public Library of Science,TRUE,0.992,2022,759,758,758,0.999,0.999,,100,92.0,31.0,0.0,1,97.0,0.0,0.0,3.0,0.0
PLOS Global Public Health,2767-3375,Public Library of Science,TRUE,0.992,2023,1059,1051,1051,0.992,0.992,,100,92.0,31.0,0.0,1,97.0,0.0,0.0,3.0,0.0
PLOS Global Public Health,2767-3375,Public Library of Science,TRUE,0.992,2024,1094,1081,1080,0.988,0.987,,100,92.0,31.0,0.0,1,97.0,0.0,0.0,3.0,0.0
PLOS Global Public Health,2767-3375,Public Library of Science,TRUE,0.992,2025,1145,1143,1143,0.998,0.998,,100,92.0,31.0,0.0,1,97.0,0.0,0.0,3.0,0.0
PLOS Medicine,1549-1277,Public Library of Science,TRUE,0.994,2015,155,155,155,1.0,1.0,,100,83.0,19.0,3.0,2,94.0,0.0,0.0,6.0,0.0
PLOS Medicine,1549-1277,Public Library of Science,TRUE,0.994,2016,271,271,271,1.0,1.0,,100,83.0,19.0,3.0,2,94.0,0.0,0.0,6.0,0.0
PLOS Medicine,1549-1277,Public Library of Science,TRUE,0.994,2017,274,274,274,1.0,1.0,,100,83.0,19.0,3.0,2,94.0,0.0,0.0,6.0,0.0
PLOS Medicine,1549-1277,Public Library of Science,TRUE,0.994,2018,239,239,239,1.0,1.0,,100,83.0,19.0,3.0,2,94.0,0.0,0.0,6.0,0.0
PLOS Medicine,1549-1277,Public Library of Science,TRUE,0.994,2019,290,290,290,1.0,1.0,,100,83.0,19.0,3.0,2,94.0,0.0,0.0,6.0,0.0
PLOS Medicine,1549-1277,Public Library of Science,TRUE,0.994,2020,343,343,343,1.0,1.0,,100,83.0,19.0,3.0,2,94.0,0.0,0.0,6.0,0.0
PLOS Medicine,1549-1277,Public Library of Science,TRUE,0.994,2021,335,335,335,1.0,1.0,,100,83.0,19.0,3.0,2,94.0,0.0,0.0,6.0,0.0
PLOS Medicine,1549-1277,Public Library of Science,TRUE,0.994,2022,237,237,237,1.0,1.0,,100,83.0,19.0,3.0,2,94.0,0.0,0.0,6.0,0.0
