tier,title_queried,title_crossref,title_openalex,issn_l,issn_print,issn_electronic,issn_crossref_all,publisher_crossref,publisher_openalex,is_oa_openalex,in_doaj,pmc_deposit_ratio_2023_proxy,pmc_total_hitcount_2023_proxy,crossref_n_candidates,openalex_n_candidates,flags
positive_control,PLOS ONE,PLOS One,PLoS ONE,1932-6203,,1932-6203,1932-6203,Public Library of Science,Public Library of Science,True,True,0.993,15030,1,1,
A_plos_siblings,PLOS Mental Health,PLOS Mental Health,PLOS mental health.,2837-8156,,2837-8156,2837-8156,Public Library of Science,Public Library of Science,True,True,,0,1,1,
A_plos_siblings,PLOS Global Public Health,PLOS Global Public Health,PLOS Global Public Health,2767-3375,,2767-3375,2767-3375,Public Library of Science,Public Library of Science,True,True,0.992,1059,1,1,
A_plos_siblings,PLOS Medicine,PLoS Medicine,PLoS Medicine,1549-1277,1549-1277,1549-1676,1549-1277;1549-1676,Public Library of Science,Public Library of Science,True,True,0.994,175,1,1,
A_plos_siblings,PLOS Digital Health,PLOS Digital Health,PLOS Digital Health,2767-3170,,2767-3170,2767-3170,Public Library of Science,Public Library of Science,True,True,0.995,200,1,1,
B_fully_oa_high_volume,Frontiers in Psychology,Frontiers in Psychology,Frontiers in Psychology,1664-1078,,1664-1078,1664-1078,Frontiers Media SA,Frontiers Media,True,True,0.996,5003,5,5,
B_fully_oa_high_volume,BMC Psychology,BMC Psychology,BMC Psychology,2050-7283,2050-7283,2050-7283,2050-7283;2050-7283,Springer (Biomed Central Ltd.),BioMed Central,True,True,0.996,447,1,1,
B_fully_oa_high_volume,BMC Public Health,BMC Public Health,BMC Public Health,1471-2458,1471-2458,1471-2458,1471-2458;1471-2458,Springer (Biomed Central Ltd.),BioMed Central,True,True,0.998,2564,2,2,
B_fully_oa_high_volume,BMC Medical Research Methodology,BMC Medical Research Methodology,BMC Medical Research Methodology,1471-2288,1471-2288,1471-2288,1471-2288;1471-2288,Springer (Biomed Central Ltd.),BioMed Central,True,True,1.0,302,1,1,
B_fully_oa_high_volume,PeerJ,PeerJ,PeerJ,2167-8359,,2167-8359,2167-8359,PeerJ,"PeerJ, Inc.",True,True,0.988,2106,5,5,
