table,note
komura_2026_gqs_perceived_intelligence,"PASS WITH CAVEATS. validate_items.R --table-sets: item set 5/5 and resp set {1,2,3,4,5} both match exactly. (1) LANGUAGE FALLBACK: administered in Japanese (148 Yahoo! Crowdsourcing respondents; the S2 File's five embedded interface screenshots are all in Japanese). No Japanese questionnaire wording exists in scope -- S1/S2/S4/S5 contain zero CJK characters and the S3 workbook's 45 headers are bare codes with no label row -- so the authors' own English from the S2 File (titled 'translated in English') ships in the base fields, the four _translated columns are empty, and language=Japanese. text_source=translated_substitute, translation_source=study_supplied. (2) SOURCE ANOMALY, shipped as written: this study's Perceived Intelligence block is not the canonical Godspeed set. Canonical item 5 is 'Foolish - Sensible'; here item 2 is 'Unresponsive <-> Responsive', which is a Godspeed ANIMACY anchor and is printed a second time in the same S2 list as Animacy item 4. Transcribed literally, not repaired. (3) MAPPING is PARTIAL, not VERIFIED: verify_komura_2026_gqs_perceived_intelligence.R (VERDICT: PASS) bridges every S3 column to its live item by exact resp-level counts, reproduces the paper's Table 3 Perceived Intelligence row to <=0.004 (3.704/3.448/3.570 vs 3.70/3.45/3.57), pins item 2 via the duplicated anchor (r=0.741 with gqs_animacy_4, the maximum of the whole 5x5 PI x Animacy matrix, next in that column 0.624) and pins item 4 via its partial r with the MDMT Ethical mean (0.387 vs -0.018..0.221) -- but does not separate items 1, 3 and 5 from one another. (4) option_text is populated at resp 1 and resp 5 only; scale points 2-4 are unlabelled in the source and left blank by design, not padded. RETRY TEST: NO -- a determinate verdict was reached; every source fetched cleanly and is cached under itemtext/.cache/komura_2026_gqs_perceived_intelligence/. Nothing is pending on access. What would flip the PARTIAL to VERIFIED is new evidence, not a retry: published per-item statistics for this block, or the Japanese original showing three distinguishable wordings for items 1/3/5."
komura_2026_gqs_perceived_safety,"PASS WITH CAVEATS. validate_items.R --table-sets: item set 3/3 and resp set {1,2,3,4,5} both match exactly. (1) LANGUAGE FALLBACK: administered in Japanese (148 respondents recruited in Japan; the S3 workbook's free-text column aiFeedback_comment holds 2,286 CJK characters). No Japanese instrument wording exists in scope -- the four .docx supplements S1/S2/S4/S5 contain ZERO CJK characters between them (6,945 / 8,783 / 14,806 / 6,546 characters checked), and the S3 workbook's 45 column headers are bare codes with no label row, with Japanese present only in participant free text. So the study's own English (S2 File, titled 'User Instructions for Frontend Interface (translated in English)') ships in the base fields, the four _translated columns are left empty, language=Japanese and text_source=translated_substitute -- the documented fallback, not the preferred shape. (2) MAPPING is PARTIAL, not VERIFIED: verify_komura_2026_gqs_perceived_safety.R reproduces the paper's Table 3 Perceived Safety row to <=0.005 on both M and SD in all three conditions (and F=3.064 vs published 3.06) ONLY when items 2 and 3 are reverse-scored, exactly the two S2 flags as '(reversed item)' -- which pins item 1 against items 2/3 and pins the scale direction -- but nothing separates item 2 from item 3 (r with item 1 -0.328 vs -0.354; the paper publishes no per-item statistics). (3) The S2 File's '(reversed item)' annotation is scoring metadata for the reader of that document, not wording respondents saw, so it is deliberately NOT carried into item_text. (4) Scale points 2-4 are unlabelled in the source; option_text is populated at resp 1 and resp 5 only and is not padded with its own resp number. (5) The study's English anchors depart slightly from the canonical Godspeed Perceived Safety set (Anxious-Relaxed / Agitated-Calm / Quiescent-Surprised): 'Calm' is used where the canonical set has 'Relaxed', 'Peaceful' where it has 'Quiescent', and item 2's pair is printed in the reverse order of the canonical one. Transcribed as printed; no canonical wording substituted. A side-effect worth flagging is that 'Calm' appears as the RIGHT anchor of item 1 and the LEFT anchor of item 2. (6) STEP 3b, clean: 3 items on 1-5 is the S2 File's Perceived Safety block exactly (the one non-5-item GQS block), and only the Perceived Safety row of Table 3 reproduces (3.93/3.64/3.61) -- not Animacy 3.68/3.50/3.45, Likeability 3.57/3.43/3.45, Anthropomorphism 2.93/2.75/2.93 or Perceived Intelligence 3.70/3.45/3.57. No instrument mismatch, no data defect. (7) RIGHTS: nothing quotable. The wording came from a CC BY 4.0 PLOS deposit, which governs per the ECR-R ruling; the Godspeed rights holder's own page (bartneck.de) states no licence terms and no restriction. Neither 2026-09-04 trigger (enforced fee, no-redistribution clause) fires. (8) RETRY TEST: NO -- an unchanged retry could not produce a different result. This is a clean pass, not a block; every source resolved without error and is cached under itemtext/.cache/komura_2026_gqs_perceived_safety/. The one thing left open (separating item 2 from item 3 by data) would flip only if the authors published per-item statistics or the Japanese original, neither of which exists in the deposit today. (9) SCOPE: the five sibling komura_2026_* tables are not this table's scope; no file was written for them. The S2/S3 sources are shared and were read read-only."
komura_2026_mdmt_capable,"PASS WITH CAVEATS. validate_items.R --table-sets: item set 4/4 and resp set {0..7} both match exactly. (1) FALLBACK LANGUAGE HANDLING: administered in Japanese (Japanese participants recruited via Yahoo CrowdSourcing; the S3 workbook's free-text comment fields are Japanese). No Japanese instrument wording exists anywhere in the deposit -- S1/S2/S4/S5 .docx supplements hold zero CJK characters and the S3 workbook carries Japanese only in free-text comment fields, never in headers or labels -- so the authors' own English (S2 File, titled 'User Instructions for Frontend Interface (translated in English)') ships in the base fields, the four _translated columns are left empty, and language=Japanese. That combination is the documented signal that the base fields are not the administered wording. (2) MAPPING is PARTIAL, not VERIFIED: verify_komura_2026_mdmt_capable.R reproduces the paper's Table 2 Capability row to <=0.005 on the mean in all three conditions (4.8125 vs 4.81, 4.0050 vs 4.00, 4.2228 vs 4.22), pinning subscale membership, raw unreversed storage and the 0=not at all / 7=very much so direction, and pins mdmt_capable_4 as 'Meticulous' on two statistics; but nothing separates mdmt_capable_1/_2/_3 ('Capable', 'Skilled', 'Competent') from one another. Their order rests on the S2 File's within-block numbering, which happens to match the canonical MDMT Capable subscale order exactly. (3) SOURCE CITATION ERROR IN THE PAPER, not corrected here: the article attributes the MDMT to reference [13], Lee JD & See KA, 'Trust in automation: designing for appropriate reliance', Hum Factors -- which is not the MDMT. The 16 items the S2 File actually administers are verbatim the MDMT v1 (2019-04-01) of Ullman D & Malle BF, whose Capable subscale is 'capable, skilled, competent, meticulous'. The instrument field names the real instrument; the table itself is correctly named. (4) The study omits the MDMT's canonical 'Does Not Fit' option (S2 File's error message requires every question answered, and all 148 respondents have all four items), so no such option row was invented. (5) option_text is populated at resp 0 and resp 7 only, using the anchors the S2 File's own instruction line states ('0 (not at all)' / '7 (very much so)'); scale points 1-6 are unlabelled in the source and are left blank, not padded with their own numbers. (6) RIGHTS: no restriction is quotable from the MDMT rights holder. The instrument PDF (research.clps.brown.edu/SocCogSci/Measures/MDMT_v1.pdf, fetched 2026-09-08) states under CONDITIONS OF USE only that 'The MDMT is intended to be used by researchers studying trust and is free for this purpose.' -- no fee, no non-commercial clause, no redistribution bar. Silence is permission; and the wording shipped here was in any case copied from a CC BY 4.0 PLOS supplement, whose licence governs under the ECR-R ruling. RETRY TEST: NO -- an unchanged retry now would not produce a different result. This is a determinate pass; every source fetched cleanly (article XML/text, S1-S5 supplements, S3 workbook, MDMT v1 PDF), all cached under itemtext/.cache/komura_2026_mdmt_capable/. Only new evidence separating 'Capable'/'Skilled'/'Competent' -- published per-item statistics, or the raw Japanese questionnaire -- could lift the verification from PARTIAL to VERIFIED."
komura_2026_mdmt_ethical,"Administered in Japanese (sample recruited in Japan; the S3 File's free-text comment and sticky-note columns are Japanese). No Japanese instrument wording is published anywhere in the deposit: S1/S2/S4/S5 File all contain 0 CJK characters, and the S3 workbook's only text columns are participant free text. S2 File is titled 'User Instructions for Frontend Interface (translated in English)' and is the authors' own English rendering of the survey screens, so the shipped item_text/instructions are that English -- text_source=translated_substitute, translation_source=study_supplied, language=Japanese, _translated columns intentionally empty per the fallback rule."
komura_2026_mdmt_ethical,"Within-subscale item order is NOT verified against the data and cannot be. All four items ('Ethical', 'Respectable', 'Has integrity', 'Honest/upright') are near-synonymous adjectives on one 0-7 scale, and the paper publishes no per-item statistic (Table 2 is subscale x condition only). The 1->_1 .. 4->_4 assignment rests entirely on the S2 File's own numbered list under the heading 'Ethical:' matching the S3 File column suffixes mdmt_ethical_1..4, which are the IRW item codes verbatim. verification status is PARTIAL for this reason."
komura_2026_mdmt_ethical,"The study's Ethical subscale wording departs from the canonical MDMT. Ullman & Malle's MDMT v1 (2019-04-01) lists the Ethical subscale as 'ethical, respectable, principled, has integrity'; the S2 File lists 'Ethical, Respectable, Has integrity, Honest/upright'. Items 3 and 4 are therefore not the canonical items 3 and 4 -- 'Honest/upright' appears to be this study's Japanese-then-English rendering of 'principled'. Shipped as the study wrote it, not normalised to canonical wording."
komura_2026_mdmt_ethical,"Response-table defect (not an item-text defect), affects all nine komura_2026_* tables: cov_aitype has a fourth level 'unknown' for 6 of the 148 respondents. Paper Table 1 gives Random (Control) n=46 while the S3 File labels only 40 rows 'random', so those 6 belong to the control arm. Pooling them reproduces paper Table 2 exactly (Ethicality 4.71/4.21/4.11, SD 1.22/1.35/1.30, max deviation 0.005); treating 'unknown' as its own group misses every Random cell of every subscale by ~0.15."
komura_2026_mdmt_ethical,"Rights checked, not blocked. MDMT v1 PDF (research.clps.brown.edu/SocCogSci/Measures/MDMT_v1.pdf), CONDITIONS OF USE: 'The MDMT is intended to be used by researchers studying trust and is free for this purpose.' No fee, no non-commercial clause and no redistribution bar is stated. The source IRW copied from (PLOS ONE 10.1371/journal.pone.0340449 and its S2 File) is CC BY 4.0."
komura_2026_mdmt_ethical,"Source citation error in the paper, recorded for the record: the article attributes the MDMT to 'Lee and See's [13] Multidimensional Measure of Trust'. Reference 13 is Lee & See's trust-in-automation paper; the MDMT is Ullman & Malle (2019). The instrument field names the correct instrument."
komura_2026_mdmt_ethical,"RETRY TEST: NO. A determinate verdict was reached and the CSV shipped -- the source was located, fully accessible (PLOS CC BY article + S1-S5 supplements + S3 workbook, all fetched without error), the hard gate passed, and the verification route ran to VERDICT: PASS. The one residual uncertainty (order of the four items within the Ethical subscale) is a property of the published record, not of this run: the study publishes no per-item statistic and the four items are near-synonyms on one shared 0-7 scale, so an unchanged retry would reach the same PARTIAL. To flip it to VERIFIED, something new would have to exist -- per-item means/loadings from the authors, the original Japanese questionnaire file (which would fix the wording but still not the order), or the study's raw Qualtrics/form export with per-item labels. Note also that the shipped English is the authors' own and the administered Japanese is not published; recovering it would change text_source, not the verification status."
