"table","section_id","item","instrument","language","instructions","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_attention","LF1","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Atenção","Attention","Quando o/a (nome da criança) toma/tomava mamadeira, eu seguro/segurava (a mamadeira) para cima","When (child’s name) drinks/use to drink from a baby bottle, I hold/held (his/her) bottle up",NA,"never",NA,1
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_attention","LF1","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Atenção","Attention","Quando o/a (nome da criança) toma/tomava mamadeira, eu seguro/segurava (a mamadeira) para cima","When (child’s name) drinks/use to drink from a baby bottle, I hold/held (his/her) bottle up",NA,"seldom",NA,2
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_attention","LF1","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Atenção","Attention","Quando o/a (nome da criança) toma/tomava mamadeira, eu seguro/segurava (a mamadeira) para cima","When (child’s name) drinks/use to drink from a baby bottle, I hold/held (his/her) bottle up",NA,"half of the time",NA,3
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_attention","LF1","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Atenção","Attention","Quando o/a (nome da criança) toma/tomava mamadeira, eu seguro/segurava (a mamadeira) para cima","When (child’s name) drinks/use to drink from a baby bottle, I hold/held (his/her) bottle up",NA,"most of the time",NA,4
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_attention","LF1","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Atenção","Attention","Quando o/a (nome da criança) toma/tomava mamadeira, eu seguro/segurava (a mamadeira) para cima","When (child’s name) drinks/use to drink from a baby bottle, I hold/held (his/her) bottle up",NA,"always",NA,5
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_attention","LF2","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Atenção","Attention","O/A (nome da criança) assiste TV enquanto come","(The child) watches TV while he/she eats",NA,"never",NA,1
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_attention","LF2","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Atenção","Attention","O/A (nome da criança) assiste TV enquanto come","(The child) watches TV while he/she eats",NA,"seldom",NA,2
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_attention","LF2","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Atenção","Attention","O/A (nome da criança) assiste TV enquanto come","(The child) watches TV while he/she eats",NA,"half of the time",NA,3
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_attention","LF2","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Atenção","Attention","O/A (nome da criança) assiste TV enquanto come","(The child) watches TV while he/she eats",NA,"most of the time",NA,4
"pedroso_2021_ifsq_laissezfaire","pedroso_2021_ifsq_laissezfaire_attention","LF2","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), laissez-faire style","Portuguese",NA,"Atenção","Attention","O/A (nome da criança) assiste TV enquanto come","(The child) watches TV while he/she eats",NA,"always",NA,5
