"table","section_id","item","instrument","language","instructions","section_prompt","item_text","item_text_translated","correct_response","resp","option_text","option_text_translated"
"ramadan_2026_perceived_competence","ramadan_2026_perceived_competence_1","PC1","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 3: Prompt Engineering & Critical Appraisal","Arabic",NA,NA,"أستطيع كتابة أوامر (Prompts) تساعد في الحصول على نتائجَ دقيقةٍ في المواد اللُّغويّة.","I can write prompts that help obtain accurate results in linguistic subjects.",NA,1,"strongly disagree",NA
"ramadan_2026_perceived_competence","ramadan_2026_perceived_competence_1","PC1","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 3: Prompt Engineering & Critical Appraisal","Arabic",NA,NA,"أستطيع كتابة أوامر (Prompts) تساعد في الحصول على نتائجَ دقيقةٍ في المواد اللُّغويّة.","I can write prompts that help obtain accurate results in linguistic subjects.",NA,2,"disagree",NA
"ramadan_2026_perceived_competence","ramadan_2026_perceived_competence_1","PC1","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 3: Prompt Engineering & Critical Appraisal","Arabic",NA,NA,"أستطيع كتابة أوامر (Prompts) تساعد في الحصول على نتائجَ دقيقةٍ في المواد اللُّغويّة.","I can write prompts that help obtain accurate results in linguistic subjects.",NA,3,"neutral",NA
"ramadan_2026_perceived_competence","ramadan_2026_perceived_competence_1","PC1","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 3: Prompt Engineering & Critical Appraisal","Arabic",NA,NA,"أستطيع كتابة أوامر (Prompts) تساعد في الحصول على نتائجَ دقيقةٍ في المواد اللُّغويّة.","I can write prompts that help obtain accurate results in linguistic subjects.",NA,4,"agree",NA
"ramadan_2026_perceived_competence","ramadan_2026_perceived_competence_1","PC1","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 3: Prompt Engineering & Critical Appraisal","Arabic",NA,NA,"أستطيع كتابة أوامر (Prompts) تساعد في الحصول على نتائجَ دقيقةٍ في المواد اللُّغويّة.","I can write prompts that help obtain accurate results in linguistic subjects.",NA,5,"strongly agree",NA
"ramadan_2026_perceived_competence","ramadan_2026_perceived_competence_1","PC2","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 3: Prompt Engineering & Critical Appraisal","Arabic",NA,NA,"أستطيع كتابة أوامر (Prompts) تساعد في الحصول على نتائجَ دقيقةٍ في المواد الأدبية.","I can write prompts that help obtain accurate results in literary subjects.",NA,1,"strongly disagree",NA
"ramadan_2026_perceived_competence","ramadan_2026_perceived_competence_1","PC2","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 3: Prompt Engineering & Critical Appraisal","Arabic",NA,NA,"أستطيع كتابة أوامر (Prompts) تساعد في الحصول على نتائجَ دقيقةٍ في المواد الأدبية.","I can write prompts that help obtain accurate results in literary subjects.",NA,2,"disagree",NA
"ramadan_2026_perceived_competence","ramadan_2026_perceived_competence_1","PC2","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 3: Prompt Engineering & Critical Appraisal","Arabic",NA,NA,"أستطيع كتابة أوامر (Prompts) تساعد في الحصول على نتائجَ دقيقةٍ في المواد الأدبية.","I can write prompts that help obtain accurate results in literary subjects.",NA,3,"neutral",NA
"ramadan_2026_perceived_competence","ramadan_2026_perceived_competence_1","PC2","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 3: Prompt Engineering & Critical Appraisal","Arabic",NA,NA,"أستطيع كتابة أوامر (Prompts) تساعد في الحصول على نتائجَ دقيقةٍ في المواد الأدبية.","I can write prompts that help obtain accurate results in literary subjects.",NA,4,"agree",NA
"ramadan_2026_perceived_competence","ramadan_2026_perceived_competence_1","PC2","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 3: Prompt Engineering & Critical Appraisal","Arabic",NA,NA,"أستطيع كتابة أوامر (Prompts) تساعد في الحصول على نتائجَ دقيقةٍ في المواد الأدبية.","I can write prompts that help obtain accurate results in literary subjects.",NA,5,"strongly agree",NA
"ramadan_2026_perceived_competence","ramadan_2026_perceived_competence_1","PC3","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 3: Prompt Engineering & Critical Appraisal","Arabic",NA,NA,"أستطيع التَّمييز بين المعلومات الصَّحيحة وغير الدَّقيقة، فيما تقدِّمه نماذج الذَّكاء الاصطناعيّ لغةً وأدبًا.","I can distinguish accurate from inaccurate information in what AI models provide on language and literature.",NA,1,"strongly disagree",NA
"ramadan_2026_perceived_competence","ramadan_2026_perceived_competence_1","PC3","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 3: Prompt Engineering & Critical Appraisal","Arabic",NA,NA,"أستطيع التَّمييز بين المعلومات الصَّحيحة وغير الدَّقيقة، فيما تقدِّمه نماذج الذَّكاء الاصطناعيّ لغةً وأدبًا.","I can distinguish accurate from inaccurate information in what AI models provide on language and literature.",NA,2,"disagree",NA
"ramadan_2026_perceived_competence","ramadan_2026_perceived_competence_1","PC3","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 3: Prompt Engineering & Critical Appraisal","Arabic",NA,NA,"أستطيع التَّمييز بين المعلومات الصَّحيحة وغير الدَّقيقة، فيما تقدِّمه نماذج الذَّكاء الاصطناعيّ لغةً وأدبًا.","I can distinguish accurate from inaccurate information in what AI models provide on language and literature.",NA,3,"neutral",NA
"ramadan_2026_perceived_competence","ramadan_2026_perceived_competence_1","PC3","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 3: Prompt Engineering & Critical Appraisal","Arabic",NA,NA,"أستطيع التَّمييز بين المعلومات الصَّحيحة وغير الدَّقيقة، فيما تقدِّمه نماذج الذَّكاء الاصطناعيّ لغةً وأدبًا.","I can distinguish accurate from inaccurate information in what AI models provide on language and literature.",NA,4,"agree",NA
"ramadan_2026_perceived_competence","ramadan_2026_perceived_competence_1","PC3","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 3: Prompt Engineering & Critical Appraisal","Arabic",NA,NA,"أستطيع التَّمييز بين المعلومات الصَّحيحة وغير الدَّقيقة، فيما تقدِّمه نماذج الذَّكاء الاصطناعيّ لغةً وأدبًا.","I can distinguish accurate from inaccurate information in what AI models provide on language and literature.",NA,5,"strongly agree",NA
"ramadan_2026_perceived_competence","ramadan_2026_perceived_competence_1","PC4","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 3: Prompt Engineering & Critical Appraisal","Arabic",NA,NA,"أتحقَّق من المراجع التُراثية والحديثة التي يذكرها الذَّكاء الاصطناعيّ لضمان الأمانة العلمية والأكاديمية في اللُّغة والأدب.","I verify the heritage and modern references that AI cites, to ensure scholarly and academic integrity in language and literature.",NA,1,"strongly disagree",NA
"ramadan_2026_perceived_competence","ramadan_2026_perceived_competence_1","PC4","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 3: Prompt Engineering & Critical Appraisal","Arabic",NA,NA,"أتحقَّق من المراجع التُراثية والحديثة التي يذكرها الذَّكاء الاصطناعيّ لضمان الأمانة العلمية والأكاديمية في اللُّغة والأدب.","I verify the heritage and modern references that AI cites, to ensure scholarly and academic integrity in language and literature.",NA,2,"disagree",NA
"ramadan_2026_perceived_competence","ramadan_2026_perceived_competence_1","PC4","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 3: Prompt Engineering & Critical Appraisal","Arabic",NA,NA,"أتحقَّق من المراجع التُراثية والحديثة التي يذكرها الذَّكاء الاصطناعيّ لضمان الأمانة العلمية والأكاديمية في اللُّغة والأدب.","I verify the heritage and modern references that AI cites, to ensure scholarly and academic integrity in language and literature.",NA,3,"neutral",NA
"ramadan_2026_perceived_competence","ramadan_2026_perceived_competence_1","PC4","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 3: Prompt Engineering & Critical Appraisal","Arabic",NA,NA,"أتحقَّق من المراجع التُراثية والحديثة التي يذكرها الذَّكاء الاصطناعيّ لضمان الأمانة العلمية والأكاديمية في اللُّغة والأدب.","I verify the heritage and modern references that AI cites, to ensure scholarly and academic integrity in language and literature.",NA,4,"agree",NA
"ramadan_2026_perceived_competence","ramadan_2026_perceived_competence_1","PC4","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 3: Prompt Engineering & Critical Appraisal","Arabic",NA,NA,"أتحقَّق من المراجع التُراثية والحديثة التي يذكرها الذَّكاء الاصطناعيّ لضمان الأمانة العلمية والأكاديمية في اللُّغة والأدب.","I verify the heritage and modern references that AI cites, to ensure scholarly and academic integrity in language and literature.",NA,5,"strongly agree",NA
"ramadan_2026_perceived_competence","ramadan_2026_perceived_competence_1","PC5","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 3: Prompt Engineering & Critical Appraisal","Arabic",NA,NA,"أعاني من ضعفٍ في المحتوى العربيّ الدقيق عند استخدام أدوات الذَّكاء الاصطناعيّ في الجانب اللُّغويّ.","I experience weakness in accurate Arabic content when using AI tools on the linguistic side.",NA,1,"strongly disagree",NA
"ramadan_2026_perceived_competence","ramadan_2026_perceived_competence_1","PC5","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 3: Prompt Engineering & Critical Appraisal","Arabic",NA,NA,"أعاني من ضعفٍ في المحتوى العربيّ الدقيق عند استخدام أدوات الذَّكاء الاصطناعيّ في الجانب اللُّغويّ.","I experience weakness in accurate Arabic content when using AI tools on the linguistic side.",NA,2,"disagree",NA
"ramadan_2026_perceived_competence","ramadan_2026_perceived_competence_1","PC5","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 3: Prompt Engineering & Critical Appraisal","Arabic",NA,NA,"أعاني من ضعفٍ في المحتوى العربيّ الدقيق عند استخدام أدوات الذَّكاء الاصطناعيّ في الجانب اللُّغويّ.","I experience weakness in accurate Arabic content when using AI tools on the linguistic side.",NA,3,"neutral",NA
