"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"mede_2025_sdo","mede_2025_sdo_1","SDO_allgroupsconsider","Social dominance orientation, 4-item scale adopted from Pratto et al. (2013) (TISP core questionnaire, block SDO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","There are many kinds of groups in the world: men and women, ethnic and religious groups, nationalities, political factions. How much do you favor or oppose the ideas about groups in general?",NA,"In setting priorities, we must consider all groups.",NA,"Extremely oppose",1
"mede_2025_sdo","mede_2025_sdo_1","SDO_allgroupsconsider","Social dominance orientation, 4-item scale adopted from Pratto et al. (2013) (TISP core questionnaire, block SDO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","There are many kinds of groups in the world: men and women, ethnic and religious groups, nationalities, political factions. How much do you favor or oppose the ideas about groups in general?",NA,"In setting priorities, we must consider all groups.",NA,NA,2
"mede_2025_sdo","mede_2025_sdo_1","SDO_allgroupsconsider","Social dominance orientation, 4-item scale adopted from Pratto et al. (2013) (TISP core questionnaire, block SDO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","There are many kinds of groups in the world: men and women, ethnic and religious groups, nationalities, political factions. How much do you favor or oppose the ideas about groups in general?",NA,"In setting priorities, we must consider all groups.",NA,NA,3
"mede_2025_sdo","mede_2025_sdo_1","SDO_allgroupsconsider","Social dominance orientation, 4-item scale adopted from Pratto et al. (2013) (TISP core questionnaire, block SDO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","There are many kinds of groups in the world: men and women, ethnic and religious groups, nationalities, political factions. How much do you favor or oppose the ideas about groups in general?",NA,"In setting priorities, we must consider all groups.",NA,NA,4
"mede_2025_sdo","mede_2025_sdo_1","SDO_allgroupsconsider","Social dominance orientation, 4-item scale adopted from Pratto et al. (2013) (TISP core questionnaire, block SDO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","There are many kinds of groups in the world: men and women, ethnic and religious groups, nationalities, political factions. How much do you favor or oppose the ideas about groups in general?",NA,"In setting priorities, we must consider all groups.",NA,NA,5
"mede_2025_sdo","mede_2025_sdo_1","SDO_allgroupsconsider","Social dominance orientation, 4-item scale adopted from Pratto et al. (2013) (TISP core questionnaire, block SDO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","There are many kinds of groups in the world: men and women, ethnic and religious groups, nationalities, political factions. How much do you favor or oppose the ideas about groups in general?",NA,"In setting priorities, we must consider all groups.",NA,NA,6
"mede_2025_sdo","mede_2025_sdo_1","SDO_allgroupsconsider","Social dominance orientation, 4-item scale adopted from Pratto et al. (2013) (TISP core questionnaire, block SDO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","There are many kinds of groups in the world: men and women, ethnic and religious groups, nationalities, political factions. How much do you favor or oppose the ideas about groups in general?",NA,"In setting priorities, we must consider all groups.",NA,NA,7
"mede_2025_sdo","mede_2025_sdo_1","SDO_allgroupsconsider","Social dominance orientation, 4-item scale adopted from Pratto et al. (2013) (TISP core questionnaire, block SDO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","There are many kinds of groups in the world: men and women, ethnic and religious groups, nationalities, political factions. How much do you favor or oppose the ideas about groups in general?",NA,"In setting priorities, we must consider all groups.",NA,NA,8
"mede_2025_sdo","mede_2025_sdo_1","SDO_allgroupsconsider","Social dominance orientation, 4-item scale adopted from Pratto et al. (2013) (TISP core questionnaire, block SDO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","There are many kinds of groups in the world: men and women, ethnic and religious groups, nationalities, political factions. How much do you favor or oppose the ideas about groups in general?",NA,"In setting priorities, we must consider all groups.",NA,NA,9
"mede_2025_sdo","mede_2025_sdo_1","SDO_allgroupsconsider","Social dominance orientation, 4-item scale adopted from Pratto et al. (2013) (TISP core questionnaire, block SDO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","There are many kinds of groups in the world: men and women, ethnic and religious groups, nationalities, political factions. How much do you favor or oppose the ideas about groups in general?",NA,"In setting priorities, we must consider all groups.",NA,"Extremely favor",10
