table,section_id,item,instrument,instructions,section_prompt,item_text,correct_response,option_text,wording_rights,resp
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_1,Interpersonal Reactivity Index (IRI),,,"I daydream and fantasize, with some regularity, about things that might happen to me.",,does not describe me well,NC,1
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_1,Interpersonal Reactivity Index (IRI),,,"I daydream and fantasize, with some regularity, about things that might happen to me.",,,NC,2
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_1,Interpersonal Reactivity Index (IRI),,,"I daydream and fantasize, with some regularity, about things that might happen to me.",,,NC,3
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_1,Interpersonal Reactivity Index (IRI),,,"I daydream and fantasize, with some regularity, about things that might happen to me.",,,NC,4
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_1,Interpersonal Reactivity Index (IRI),,,"I daydream and fantasize, with some regularity, about things that might happen to me.",,describes me very well,NC,5
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_3,Interpersonal Reactivity Index (IRI),,,I sometimes find it difficult to see things from the 'other guy's' point of view.,,does not describe me well,NC,1
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_3,Interpersonal Reactivity Index (IRI),,,I sometimes find it difficult to see things from the 'other guy's' point of view.,,,NC,2
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_3,Interpersonal Reactivity Index (IRI),,,I sometimes find it difficult to see things from the 'other guy's' point of view.,,,NC,3
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_3,Interpersonal Reactivity Index (IRI),,,I sometimes find it difficult to see things from the 'other guy's' point of view.,,,NC,4
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_3,Interpersonal Reactivity Index (IRI),,,I sometimes find it difficult to see things from the 'other guy's' point of view.,,describes me very well,NC,5
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_5,Interpersonal Reactivity Index (IRI),,,I really get involved with the feelings of the characters in a novel.,,does not describe me well,NC,1
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_5,Interpersonal Reactivity Index (IRI),,,I really get involved with the feelings of the characters in a novel.,,,NC,2
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_5,Interpersonal Reactivity Index (IRI),,,I really get involved with the feelings of the characters in a novel.,,,NC,3
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_5,Interpersonal Reactivity Index (IRI),,,I really get involved with the feelings of the characters in a novel.,,,NC,4
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_5,Interpersonal Reactivity Index (IRI),,,I really get involved with the feelings of the characters in a novel.,,describes me very well,NC,5
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_6,Interpersonal Reactivity Index (IRI),,,"In emergency situations, I feel apprehensive and ill-at-ease.",,does not describe me well,NC,1
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_6,Interpersonal Reactivity Index (IRI),,,"In emergency situations, I feel apprehensive and ill-at-ease.",,,NC,2
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_6,Interpersonal Reactivity Index (IRI),,,"In emergency situations, I feel apprehensive and ill-at-ease.",,,NC,3
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_6,Interpersonal Reactivity Index (IRI),,,"In emergency situations, I feel apprehensive and ill-at-ease.",,,NC,4
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_6,Interpersonal Reactivity Index (IRI),,,"In emergency situations, I feel apprehensive and ill-at-ease.",,describes me very well,NC,5
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_7,Interpersonal Reactivity Index (IRI),,,"I am usually objective when I watch a movie or play, and I don't often get completely caught up in it.",,does not describe me well,NC,1
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_7,Interpersonal Reactivity Index (IRI),,,"I am usually objective when I watch a movie or play, and I don't often get completely caught up in it.",,,NC,2
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_7,Interpersonal Reactivity Index (IRI),,,"I am usually objective when I watch a movie or play, and I don't often get completely caught up in it.",,,NC,3
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_7,Interpersonal Reactivity Index (IRI),,,"I am usually objective when I watch a movie or play, and I don't often get completely caught up in it.",,,NC,4
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_7,Interpersonal Reactivity Index (IRI),,,"I am usually objective when I watch a movie or play, and I don't often get completely caught up in it.",,describes me very well,NC,5
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_8,Interpersonal Reactivity Index (IRI),,,I try to look at everybody's side of a disagreement before I make a decision.,,does not describe me well,NC,1
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_8,Interpersonal Reactivity Index (IRI),,,I try to look at everybody's side of a disagreement before I make a decision.,,,NC,2
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_8,Interpersonal Reactivity Index (IRI),,,I try to look at everybody's side of a disagreement before I make a decision.,,,NC,3
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_8,Interpersonal Reactivity Index (IRI),,,I try to look at everybody's side of a disagreement before I make a decision.,,,NC,4
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_8,Interpersonal Reactivity Index (IRI),,,I try to look at everybody's side of a disagreement before I make a decision.,,describes me very well,NC,5
dpt_noncog__interpersonal_reactivity,dpt_noncog__interpersonal_reactivity_1,iri_12,Interpersonal Reactivity Index (IRI),,,Becoming extremely involved in a good book or movie is somewhat rare for me.,,does not describe me well,NC,1
