"table","status","n_items_live","n_items_candidate","item_set_match","resp_set_match","uses_raw_resp","canonical_nulls","pct_item_text_missing","pct_option_text_missing","note"
"di_riso_2025_mask_emotion","PASS",8,8,TRUE,TRUE,FALSE,TRUE,0,60,"60% of rows have blank option_text"
"DMCT_Addis_2020_PSIQ","PASS",35,35,TRUE,TRUE,FALSE,TRUE,0,81.8,"81.8% of rows have blank option_text"
"dominguez_2018_jcs","WARN",21,21,TRUE,TRUE,FALSE,TRUE,4.8,4.8,"4.8% of rows have blank item_text | 4.8% of rows have blank option_text | 1 of 21 items have NO option_text rows while others do (item_17)"
"donati_2021_cfq7","PASS",7,7,TRUE,TRUE,FALSE,TRUE,0,0,""
"dong_2025_teacher_leadership","PASS",16,16,TRUE,TRUE,FALSE,TRUE,0,0,""
"dopmeijer_2022_loneliness","PASS",11,11,TRUE,TRUE,FALSE,TRUE,0,0,""
"dou2025_area","PASS",12,12,TRUE,TRUE,FALSE,TRUE,0,60,"60% of rows have blank option_text"
"doustmohammadian_2017_fnlit","WARN",58,58,TRUE,TRUE,FALSE,TRUE,0,27.6,"27.6% of rows have blank option_text | 16 of 58 items have NO option_text rows while others do (Avaiability_HowtoFind, Critical_DontcorrectMedia, Critical_Management4, Critical_Management6, Critical_MediaLiteracy, Critical_TrustMedia, ...)"
"dpt_noncog__emotional_intelligence","PASS",14,14,TRUE,TRUE,FALSE,TRUE,0,60,"60% of rows have blank option_text"
"dpt_noncog__interpersonal_reactivity","PASS",15,15,TRUE,TRUE,FALSE,TRUE,0,60,"60% of rows have blank option_text"
