table,mapping_basis,text_source,source_ref,note,public_note,uploaded,translation_source
DMCT_Addis_2020_PSIQ,paper_order,translated_substitute,"Suggate (2024) Behav Res Methods 56:8658-8676, doi:10.3758/s13428-024-02496-z (Study 1, PSIQ; response anchors quoted from its Measures section); OSF vf27z Study1/Data_merged_multilevel_trimmed.sav (item codes + subscale columns); item wording from the Psi-Q form order as fixed by Woelk, Hagenaars & Krans (2022) Dutch validation, OSF 6ebnw 'Data Study 1.sav' variable labels (CC BY 4.0), with English wording taken from Fuentes-Sanchez et al. (2020) Front Psychol 11:916 Appendix I (CC BY) and Nishimura et al. (2023) Front Psychol PMC10327475 Table 1 (CC BY).","Study 1 of Suggate (2024) was administered in German ('all measures were conducted in German'); no German Psi-Q wording exists in the OSF deposit (all 12 files across Study1/2/3 checked: .sav files carry no variable or value labels for the PsiQ columns, Analyses_exp1.sps names the variables only) or in the paper, which has no appendix or supplement. English is therefore shipped in the base fields as the documented fallback and language=German records the administration. Item codes PsiQ1-PsiQ3/PsyQ4-PsyQ35 are the source .sav column names carried through unchanged by data/DMCT_Addis_2020.r (a plain pivot_longer), so there is no rename step; the numbers are the Psi-Q's own 1-35 item numbers. Modality blocks are established from the data, not assumed: the .sav's own PsiQ_Visual/Sound/Smell/Taste/Touch/Bodily/Feeling columns equal the sum of items 1-5/6-10/.../31-35 exactly (max deviation 0 across all 7 subscales and all 92 participants). Within-modality order follows the Psi-Q form itself, evidenced by the Woelk Dutch .sav's variable labels (Visueel1='Een vriend die je goed kent' ... Visueel5='Een kampvuur') and independently by the psytests.org reproduction of the form; the Spanish and Japanese validation appendices print a different within-block order in which the 21-item short-form items are renumbered to positions 1-3 of each block, and per-item means cannot separate the two (r=0.589 form order vs 0.556 appendix order against the Dutch sample). Response anchors are the study's own English rendering of its German anchors, quoted from the paper: 11-point scale 'from ""no mental image"" to ""clear and alive, like in real life""'; intermediate points 1-9 are unlabelled and left blank rather than padded. Direction confirmed against the data: PsiQ_total correlates +0.37 with SUIS_total (1=never..5=always), so 10 is the vivid end. instructions is left blank: the administered German instruction text is not in the deposit or the paper, and the Spanish adaptation's instructions describe a 1-7 scale that this study did not use. Rights: no non-commercial, redistribution or fee clause could be quoted for the Psi-Q; the authors distribute the form freely and the English wording shipped here was taken from two CC BY articles. The rights holders' own PDF of the form (hosted on ResearchGate) could not be retrieved (bot-walled), so absence of a clause on that copy is not established.","Item text is English while the study administered the Psi-Q in German (no German wording is published in the deposit or paper), and within each sensory modality the item order follows the Psi-Q form's own numbering - the Spanish and Japanese validation appendices publish a different within-block order that this study's data cannot rule out, so a residual mismatch would be confined to items within one modality.",,
di_riso_2025_mask_emotion,paper_explicit,translated_substitute,"Di Riso D, Spaggiari S, Calignano G, Rigo P, Miscioscia M (2025) PLOS ONE 20(3):e0314607, doi:10.1371/journal.pone.0314607 (CC BY 4.0) -- Table 2 'Emotions experienced when wearing face masks' (item labels + M/SD) and Methods (5-point Likert 1='I strongly disagree' to 5='I strongly agree'); S1 Data zip .s005 for the raw column names","Item codes ARE the source CSV column names (Emotion_Controlled ... Emotion_Protected in dataset_linear_model.csv); data/di_riso_2025_mask_emotion.py melts them unchanged, so there is no rename or positional step. The codes are self-describing and the paper's Table 2 lists the same eight adjectives, so the tie is a label match. Mapping additionally checked against Table 2's per-item M/SD (Step 5b route 1, all eight matched to <=0.005). English is the authors' own rendering in an English-language paper; the administered Italian wording is not published anywhere in the deposit or supplements, hence translated_substitute rather than a base/_translated pair. No NC, redistribution or fee restriction: the instrument is the authors' own ad hoc interview, published CC BY 4.0.","The instrument is an ad hoc block administered in Italian, and no Italian wording was published; the shipped item text is the English one-word emotion label the paper's Table 2 uses (Controlled, Weak, Scared, Silly, Brave, Caring, Strong, Protected), not a full administered item stem, and scale points 2-4 are unlabelled in the source",,
dominguez_2018_jcs,paper_explicit,translated_substitute,"PLOS ONE 10.1371/journal.pone.0197276 (CC BY 4.0), S1 File .s001 XLSX sheet 'Hoja1' rows 1-3 (scale name + English anchor legend, four subscale block headers, 'Item 1'..'Item 21' column headers) and Measures section; item wording from Rodriguez-Garcia, Ramos-Martinez & Cruz-Cobo, Nursing Reports 2024;14(4):3410-3421, doi:10.3390/nursrep14040249 (PMC11587447, CC BY 4.0), Table 2, which prints all 21 English DJCS items numbered 1-21 under the same four subscale blocks (identical to Tims, Bakker & Derks 2012 JVB 80:173-186 Table 1, isonderhouden.nl/.../articles_arnold_bakker_265.pdf); NC clause from arnoldbakker.com/questionnaires-details; data/dominguez_2018_job_crafting.py","Ground truth via irw::irw_table_sets() (21 items, resp 1-5, 4242 rows, n=202). Code derivation (core model s3): POSITIONAL -- data/dominguez_2018_job_crafting.py assigns item_N to the Nth entry of a hard-coded column list, so the positional claim was checked rather than assumed: for all 21 items the live item x resp frequency table matches the source column's value counts cell for cell (e.g. item_10 49/84/47/16/6). Block assignment corroborated by the paper's published skill means (structural 4.505 vs 4.50, hindering 2.719 vs 2.71, social 3.862 vs 3.86; challenging 3.325 vs 3.39, low only because of the item_17 defect). DEVIATIONS from literal transcription, all deliberate: (a) item_17 ships with blank item_text and blank option_text because the source column labelled 'Item 17' holds the mean of items 18-21, not a response (see notes); (b) item 14 is shipped as 'I look to my supervisor for inspiration' -- the CC BY Table 2 reads '...for inspiration capabilities', a duplication artifact from the row above; the Tims et al. 2012 original has no 'capabilities'; (c) English wording is a substitute for the Spanish administration (deposit and paper contain no Spanish item text); (d) no instructions text exists in either source, left blank rather than invented. option_text is the deposit's own anchor legend, transcribed verbatim from S1 row 1: '1: Never, 2: Almost never, 3: Sometimes, 4: Often 5: Very often'. wording_rights=NC recorded on the arnoldbakker.com clause quoted in notes; basis is weak in one respect (the questionnaire list is login-gated so JCS coverage is inferred from the page's scope), and the table ships under the source-licence rule because the wording was copied from a CC BY 4.0 article.","item_17 carries no item text: in this study's own data file the column labelled 'Item 17' contains the mean of items 18-21 (141 of 202 values are non-integers) rather than a response, and IRW stores it truncated to an integer, so no wording can honestly be attached to it. The other 20 items are the canonical English Job Crafting Scale wording; the study administered a Spanish version whose wording is not in the deposit or the paper.",,
dominguez_2018_uwes,unknown,unknown,"10.1371/journal.pone.0197276 (PLOS ONE, CC BY 4.0) S1 File .s001 XLSX ; Schaufeli WB & Bakker AB, UWES Utrecht Work Engagement Scale Preliminary Manual v1.1 (2004), wilmarschaufeli.nl, Spanish work version pp.54-55","BLOCKED on the itemtext_standard.md 2026-09-04 non-commercial ruling (irw#1891); no __items.csv written, so no mapping_basis or text_source is claimed. The only source of the administered Spanish UWES-17 wording is the rights holders' own UWES Preliminary Manual (v1.1, Dec 2004, pp.54-55), which states on that page: ""(c) Schaufeli & Bakker (2003). The Utrecht Work Engagement Scale is free for use for non-commercial scientific research. Commercial and/or non-scientific use is prohibited, unless previous written permission is granted by the authors."" The study's own CC BY 4.0 deposit (PLOS S1 File XLSX) publishes no item wording at all -- the UWES block is headed ""Item 1""..""Item 17"" -- and the article quotes one item of 17, so the ECR-R source-licence carve-out has nothing to attach to. Had it been shippable the mapping would have been reconstructed and is fully verified (positional cols 32-48, live per-item means reproduce the source columns to 0.00e+00, subscale fingerprint 17/17 vs canonical UWES-17); see verify_dominguez_2018_uwes.R. Response anchors were recoverable verbatim from the deposit's own header but were not shipped alone per irw#1770.",,,
donati_2021_cfq7,paper_order,study_materials,"Donati MA, Berrocal C, Bernini O, Gori C, Primi C (2021) PLOS ONE 16(2):e0246434, doi:10.1371/journal.pone.0246434 (CC BY 4.0); S1 Appendix (.s001 DOCX) = Italian CFQ-7; S1 Dataset (.s003 SAV); Table 1 (t001 image) = per-item Sk/Ku; data/donati_2021_cfq7.py; English wording cross-keyed via PMC11875431 Appendix A and PMC13082997","Administered wording is the Italian CFQ-7 transcribed verbatim from S1 Appendix of the source paper (Donati MA, Berrocal C, Bernini O, Gori C, Primi C (2021) PLOS ONE 16(2):e0246434, CC BY 4.0), 'Italian version of the Cognitive Fusion Questionnaire-7', read with python-docx (the docx table cells; the appendix has 7 unnumbered item rows and a header row of 7 anchors). The study's own S1 Dataset (.sav, .s003) was opened first: it carries NO variable labels for any CFQ column (only 'ID' -> 'Codice ID') and NO value labels at all, so data_labels was unavailable. IRW item codes CFQ1..CFQ7 ARE the .sav column names (data/donati_2021_cfq7.py melts them unrenamed), so there is no positional or generated-code step. The appendix rows carry no numbers, hence paper_order: row i is read as canonical CFQ-7 item i. That reading is corroborated by two independent CC BY sources that print the English CFQ items keyed to the same codes -- PMC11875431 Appendix A (CFQ1, CFQ2, CFQ4, CFQ5, CFQ6, CFQ7 verbatim) and PMC13082997 (Item 3 'I over-analyze situations to the point where it's unhelpful', item 4 'I struggle with my thoughts') -- and by the source paper itself, which quotes 'My thoughts cause me distress or emotional pain' and 'I tend to get very entangled in my thoughts' as CFQ examples. English in the _translated columns is the CFQ's own English wording (Gillanders et al. 2014, Behavior Therapy 45:83-101), i.e. the original of which the Italian is a translation, not a rendering made here; the 1-7 anchors Never/Very seldom/Seldom/Sometimes/Frequently/Almost always true are the CFQ/AAQ-II scale's published English anchors and translate the Italian one-for-one (the paper's Table 1 note independently confirms 1 = 'Never True' to 7 = 'Always True'). instructions and section_prompt are left blank: the S1 Appendix publishes only the item grid, and no framing text was invented. Rights checked before transcribing: the rights holder's page (contextualscience.org/cfq, Gillanders) states 'The CFQ is free to use for clinical and research purposes, permission is not needed' -- no non-commercial clause, no redistribution bar and no fee is stated, so none of the itemtext_standard.md 2026-09-04 rights rules fire; the copy shipped here came from the CC BY 4.0 PLOS appendix in any case. Separately flagged in notes: the live table's cov_population labels are inverted (a response-data defect).",,,official_instrument_english
dong_2025_teacher_leadership,data_labels,translated_substitute,"Dong J, Chen X, Chen C, Chen C (2025) PLOS ONE 20(9):e0331560, doi:10.1371/journal.pone.0331560 (CC BY 4.0); S1 Data (.s001, XLSX) Sheet1 column headers 11-26 = the 16 item stems, and its stored label strings = the response options; article section 3.2 for the label->integer coding; data/dong_2025_teacher_leadership.py","mapping_basis=data_labels: S1 Data's Sheet1 column headers ARE the full item wording, each prefixed with its own item number ('1. I have a clear plan...' ... '16. There are teacher leadership behaviors present in your school.'), and data/dong_2025_teacher_leadership.py renames the columns matching ^\d+\. to item_{i+1} in file order, so item_N is the header numbered N -- the positional step is checkable from the header text itself and no inference remains. Deviation: the leading 'N. ' numbering was stripped from each header; nothing else was altered. Option text is the verbatim label strings stored in S1 Data ('complete non-compliance' ... 'complete compliance', lowercase as in the file); the label->integer direction is stated outright in the paper's section 3.2 ('5 representing complete compliance, 4 representing relatively compliance, 3 representing basic compliance, 2 representing basic non-compliance, and 1 representing complete non-compliance') and is independently corroborated quota-free against server-side aggregates: in S1 Data exactly six of the sixteen items (4,5,6,8,10,11) have no 'complete non-compliance' response and four distinct labels, and irw_table_sets() reports resp_min=2 with n_resp_levels=4 for exactly those same six item codes (all other ten have resp_min=1, 5 levels) -- a 6-of-16 signature (1 in 8008 by chance) that would break under any permutation of the item codes and under a flipped label->integer direction. Per-item n is 400 for all 16 items in both the file and the live table. LANGUAGE FALLBACK: administration was in Chinese (inferred -- the paper does not say so, but the sample is Xinjiang primary/secondary teachers and the questionnaire's own title is Chinese); zero CJK characters appear in S1 Data, S2 Data or the article, so English base fields with language=Chinese and the _translated columns omitted, per the scoped-recoverability rule. instructions and section_prompt blank -- none published; the paper states the four dimensions were deliberately NOT disclosed to respondents, so a single trivial section_id is correct. correct_response blank: a self-assessment scale has no key. RIGHTS: PLOS ONE CC BY 4.0, instrument developed by the study's own authors; no non-commercial, redistribution or fee clause found anywhere in the article or supplements, so no wording_rights column. RETRY TEST: NO -- determinate, the extraction completed and passed the gate.","The 16 items are shipped in the authors' English wording from the S1 Data column headers; the questionnaire was administered to teachers in Xinjiang, China and no Chinese wording appears in the article or either supplementary workbook, so this is an English substitute for what respondents read. The paper's own prose quotes some of the same items in a slightly different English rendering.",,
dopmeijer_2022_loneliness,data_labels,translated_substitute,"PLOS ONE 10.1371/journal.pone.0267175 (CC BY 4.0), S1 File .s001 SPSS .sav variable + value labels; data/dopmeijer_2022_burnout_battery.py; Van Tilburg & de Jong Gierveld, Manual of the Loneliness Scale (home.fsw.vu.nl/tg.van.tilburg/manual_loneliness_scale_1999.html, archived 2024-05-20) consulted for rights and for the canonical Dutch wording NOT shipped","Source: Dopmeijer JM et al. (2022) PLOS ONE 17(12):e0267175 (CC BY 4.0), S1 File (.s001, SPSS .sav); data/dopmeijer_2022_burnout_battery.py. mapping_basis=data_labels: the IRW item codes ARE the .sav column names (the script melts Loneliness_A..K unrenamed, no positional or renaming step), and each column carries a variable label giving its item text, so code-to-text is tied at the source. item_text is those labels transcribed VERBATIM, including the file's own typos -- 'There are enough people woth whom I feel close' (H), 'I often feel abondoned' (J), 'cosyness' (E); nothing was normalised or upgraded to canonical wording. LANGUAGE FALLBACK: the study was administered online to Dutch students at Windesheim/HAN universities of applied sciences, so the administered wording is Dutch, but neither the deposit nor the paper's supplements carries it -- S1 File is the only supplement and all 11 variable labels are English (the authors' own rendering). Per SKILL.md core model 4 this is the fallback: English in the base fields, language=Dutch, _translated columns empty, text_source=translated_substitute. For a later backfill, the canonical Dutch wording IS published, off-source, in Van Tilburg & de Jong Gierveld's own Manual of the Loneliness Scale (home.fsw.vu.nl/tg.van.tilburg/manual_loneliness_scale_1999.html; archived copy at web.archive.org/web/20240520183843) which prints all 11 items in Dutch and English -- e.g. item 3 'Ik ervaar een leegte om me heen' / 'I experience a general sense of emptiness'. The study's English labels are recognisably independent translations of that same Dutch (D: 'in geval van narigheid' -> 'in case of bad circumstances'), and the A..K order matches the canonical 1..11 order exactly: the .sav's own LON_B/C/E/F/I/J_mirrored columns, labelled 'positively formulated', are precisely the six canonically negative items 2,3,5,6,9,10. RESP DIRECTION IS REVERSED relative to the source and the paper, deliberately, by the processing script: the .sav's value labels read 1='Yes! Totally agree!' ... 5='No! Totally disagree!' and the paper says 'All items were scored from 1 (Yes! Totally agree) to 5 (No! Totally disagree)', but MAP_LON in the .py re-maps the label strings so IRW stores 1='No! Totally disagree!' ... 5='Yes! Totally agree!'. The shipped option_text follows the LIVE data, checked cell for cell (route 9, all 55 item x level counts identical; the reversed reading is off by 41,586). RIGHTS checked before transcribing: no clause fires. The wording IRW copied comes from a CC BY 4.0 PLOS deposit. The rights holder's own manual states only 'The scale is available for scientific research programs, under the following conditions: a. The source of the scale should be mentioned ...', that it may be used in survey research, and that it is 'not permissible' to use it to diagnose loneliness in individuals without consultation -- no non-commercial clause, no redistribution bar, no fee, and no copyright/permission statement anywhere in the manual (grepped). wording_rights is therefore not set; flagged in notes so a human can override if 'available for scientific research programs' is read as an NC statement. instructions/section_prompt left blank: the deposit publishes none, and the manual's administration instructions were not imported since they are off-source like the Dutch item wording. correct_response blank (no correct answer). One irw_fetch export (34,551 rows) was spent deliberately, to get the per-item x per-level counts route 9 needs; the gate itself ran with --table-sets.","IRW stores this table's responses in the OPPOSITE direction to its source: resp 1 = 'No! Totally disagree!' through resp 5 = 'Yes! Totally agree!', whereas the study's SPSS file and the paper both code 1 = 'Yes! Totally agree' to 5 = 'No! Totally disagree' -- the shipped option_text follows the live data and was confirmed cell for cell against the source's per-item response counts; separately, the item wording shown is the authors' own English variable labels, not the Dutch that respondents actually read",,
dou2025_area,data_labels,study_materials,"https://plos.figshare.com/articles/dataset/_/30033097 (file 57597382, Sheet1 headers + Sheet2 descriptives); paper DOI 10.1371/journal.pone.0331067; data/dou2025_aesthetics.py","Item wording = level-1 data labels: the source workbook's column headers ARE the item text. data/dou2025_aesthetics.py assigns codes positionally (area_{i+1} over raw.columns[27:39]), so the positional step was re-run against the downloaded raw.xlsx: the 12 headers at those positions are the AReA block, and their per-column means/SDs over the 748 valid respondents reproduce the deposit's own SPSS descriptives on Sheet2 (re1-re5, r1-r4, rb1-rb3) to 4 dp and in order -- e.g. area_1 3.6832/0.88563 = re1, area_11 2.6578/1.24635 = rb2, area_12 3.1070/1.15785 = rb3; live per-item n is 748 for all 12 (irw_table_sets), matching. Instrument confirmed as the 12-item Chinese revision of the AReA (Peng & Chen, 2023), 1-5 Likert, per the paper's Measures section; not the 18-item Schlotz et al. (2021) original, and not the paper's other two scales (ANS 1-6, WCTS). Rights checked before transcribing: the source article and its figshare deposit are CC BY 4.0 (PLOS ONE 10.1371/journal.pone.0331067), and the AReA's own distribution page (edvessel.com/area, OSF downloads) states no non-commercial clause, no fee and no redistribution bar -- nothing quotable fires the SKILL's rights rules. No instructions text is published in either the deposit or the paper, so instructions/section_prompt are blank. option_text is the paper's English endpoint gloss, not administered Chinese anchors (see notes).","The English item_text_translated for this table was produced by IRW, not by the study authors; and its response anchors are shipped as the paper's English gloss (1 = strongly disagree, 5 = strongly agree) because the Chinese wording respondents actually saw for the scale points is not published in the deposit or the paper.",,machine_translation
doustmohammadian_2017_fnlit,reconstructed,study_materials,"10.1371/journal.pone.0179196 ; S1 Table (s003.docx), S2 Table (s004.docx), English FNLIT questionnaire (s005.pdf), Persian FNLIT questionnaire (s006.pdf), SPSS data (s007.sav)","IRW item codes ARE the .sav column names (data/doustmohammadian_2017_fnlit.py melts them unrenamed), so there is no positional step -- but the .sav (PLOS s007) carries NO variable labels and NO value labels on any of the 58 item columns (only 'sex' is labelled), so data_labels was unavailable and the mapping had to be rebuilt. Wording comes from three of the study's own openly licensed supplements: the Persian questionnaire (s006 PDF, 'پرسشنامه سنجش سواد غذا و تغذیه در کودکان ایرانی') for the 42 items retained in the final 46-item FNLIT, the authors' parallel English version (s005 PDF) for the _translated columns and the response anchors, and the S1/S2 Tables (s003/s004 .docx) for the 16 items dropped during validation. The IRW table is the 58-item VALIDATION form, not the published 46-item scale: the S1/S2 Tables list exactly 58 items (Q2..Q67) with wording, which is what allowed all 58 codes to be covered. The 16 dropped items exist only in English in the deposit (they are absent from both questionnaire PDFs), so those rows carry English item_text with empty item_text_translated -- the documented translated_substitute fallback -- while the other 42 carry administered Persian. Persian was extracted with pdftotext + NFKC normalisation from a right-to-left PDF; three mechanical repairs were applied and are the only deviations from literal transcription: bidi-mirrored parentheses were un-mirrored, a displaced ellipsis inside parentheses was moved back inside, and comma spacing was normalised. Zero-width non-joiners are absent from the source PDF's text layer, so compound forms appear space-separated (e.g. 'می توانم' for 'می‌توانم'); the Arabic yeh/kaf code points are the source file's own. English is transcribed verbatim including the source's typos ('If may family were overweight', 'Reading of production and expiration dated on food packaged', 'Sautee'). Anchor-to-resp direction was settled from the data, not assumed: for the seven agreement items and the one 'how well do you understand' item the stored 0-4 runs OPPOSITE to the printed option order (4 = 'کاملا صحیح'/strongly agree, 4 = 'خیلی زیاد'/understand very well), because the published knowledge means (3.18-3.76) are only readable that way; Interactive_familyDebate is stored reverse-scored (4 = 'اصلا'/Never accept unhealthy snacks; r=+0.489 with the six positively keyed Interactive items), while Critical_Management1 is stored raw (4 = 'همیشه'; r=-0.203 with the three positively keyed Critical items) -- both confirmed by the alpha-if-deleted reproduction in verify_doustmohammadian_2017_fnlit.R. Note that the authors' English version renders item 42's anchors as 'Definitely won't...Definitely will' where the Persian prints the standard frequency anchors; the English is shipped as-is in option_text_translated. Rights checked before transcription: PLOS ONE, CC BY 4.0; the questionnaire PDFs carry only '© Doustmohammadian. et al., 2016' with no non-commercial clause, no redistribution bar and no fee, and the authors are the instrument's rights holders, so none of the SKILL's rights rules fire.","Two things to know about this table's item text: 16 of the 58 items were dropped during validation and never appear in the published Persian or English FNLIT questionnaires, so they ship English-only wording taken from the paper's S1/S2 item-analysis tables while the other 42 carry the administered Persian with the authors' English alongside; and Interactive_familyDebate is stored reverse-scored, so its anchors run 'always'=0 to 'never'=4, the opposite of every other frequency item and of the printed questionnaire.",,study_supplied
dpt_noncog__emotional_intelligence,data_labels,study_materials,"Harvard Dataverse doi:10.7910/DVN/Y75CP2 (CC0), file 'Jeehp_15_19_raw data.xlsx', header rows 1-4 (Q-code / Scale_Num / Domain / Question); response anchors from Canham et al., J Educ Eval Health Prof 2018;15:19, PMC6194478 (CC BY 4.0)","The source workbook carries four header rows: row 1 the survey Q-code (Q20_1..Q20_14), row 2 the original scale item number (Schutte_1, Schutte_2, Schutte_7, ...), row 3 the domain, row 4 the literal item text. The IRW code schutte_N is a case-lowered copy of row 2, so code-to-text is tied at the source with no inference (data_labels); data/dpt_noncognitive_traits.py only lowercases the row-2 labels. Corroborated independently: all 14 wordings match canonical Schutte et al. (1998) SSEIT numbering exactly, and the paper's EFA table reproduces 6 of the 14 wordings verbatim (including the sole reverse-worded item, schutte_33, loading -0.440). Item text transcribed literally including two source typos (schutte_2 'I faces', schutte_13 'events other enjoy'). Anchors 1=strongly disagree / 5=strongly agree taken from the paper's own description of the SSEIT administration; midpoints unlabelled, left blank. No quotable non-commercial, redistribution or fee restriction was found for the SSEIT; the deposit is CC0 and the article CC BY, so no wording_rights flag is set.",,,
