table,name_surname,name_year,resolved_first_author,resolved_all_authors,resolved_year,doi,registrant,verdict,batch_date,proposed_name,note
alomari_2025_student_questionnaire,alomari,2025,Xie,Xie; Zhu; Wang; Bai; Zhang,2026,10.1371/journal.pone.0340806,,name_absent_from_authors,6/23/2026,xie_2026_student_questionnaire,"RENAMED to xie_2026_student_questionnaire (agreed on #1651, completed across IRW3, irw_text and the dictionary). This is the only rename carried out; the other 15 stand as they are."
burgess_2025_soas,burgess,2025,David,David; Stowe; Caruana; Norberg,2025,10.7717/peerj.20153,,name_absent_from_authors,8/12/2026,david_2025_soas,"RENAMING DECLINED -- see naming_audit_README.md. proposed_name documents what the correct name would be; it is not a task list. Reference string carries the correct title but the same fabricated surname, so Screen 1 (name vs Reference) cannot see it"
clifford_2018_police_blame,clifford,2018,Boudreau,Boudreau; MacKenzie; Simmons,2019,10.1086/703540,,name_absent_from_authors,6/23/2026,boudreau_2019_police_blame,RENAMING DECLINED -- see naming_audit_README.md. proposed_name documents what the correct name would be; it is not a task list. 
dalky_2020_sf36,dalky,2020,Nabolsi,Nabolsi; Safadi; Sun; Ahmad; Al-Maharma; Halasa; Saleh; Dohrn,2020,10.7717/peerj.9990,,name_absent_from_authors,8/12/2026,nabolsi_2020_sf36,"RENAMING DECLINED -- see naming_audit_README.md. proposed_name documents what the correct name would be; it is not a task list. Reference string carries the correct title but the same fabricated surname, so Screen 1 (name vs Reference) cannot see it"
gizaw_2023_phq9,gizaw,2023,Workneh,Workneh; Worku; Assefa; Berhane,2023,10.7717/peerj.15053,,name_absent_from_authors,8/12/2026,workneh_2023_phq9,"RENAMING DECLINED -- see naming_audit_README.md. proposed_name documents what the correct name would be; it is not a task list. Reference string carries the correct title but the same fabricated surname, so Screen 1 (name vs Reference) cannot see it"
kern_2021_connectedness,kern,2021,Yang,Yang; Beevi; Low; Lee; Hall,2021,10.6084/m9.figshare.14870235.v1,figshare,name_absent_from_authors,6/23/2026,yang_2021_connectedness,"RENAMING DECLINED -- see naming_audit_README.md. proposed_name documents what the correct name would be; it is not a task list. Reference string carries the correct title but the same fabricated surname, so Screen 1 (name vs Reference) cannot see it"
kern_2021_engagement,kern,2021,Yang,Yang; Beevi; Low; Lee; Hall,2021,10.6084/m9.figshare.14870235.v1,figshare,name_absent_from_authors,6/23/2026,yang_2021_engagement,"RENAMING DECLINED -- see naming_audit_README.md. proposed_name documents what the correct name would be; it is not a task list. Reference string carries the correct title but the same fabricated surname, so Screen 1 (name vs Reference) cannot see it"
kern_2021_happiness,kern,2021,Yang,Yang; Beevi; Low; Lee; Hall,2021,10.6084/m9.figshare.14870235.v1,figshare,name_absent_from_authors,6/23/2026,yang_2021_happiness,"RENAMING DECLINED -- see naming_audit_README.md. proposed_name documents what the correct name would be; it is not a task list. Reference string carries the correct title but the same fabricated surname, so Screen 1 (name vs Reference) cannot see it"
kern_2021_learning,kern,2021,Yang,Yang; Beevi; Low; Lee; Hall,2021,10.6084/m9.figshare.14870235.v1,figshare,name_absent_from_authors,6/23/2026,yang_2021_learning,"RENAMING DECLINED -- see naming_audit_README.md. proposed_name documents what the correct name would be; it is not a task list. Reference string carries the correct title but the same fabricated surname, so Screen 1 (name vs Reference) cannot see it"
kern_2021_life_satisfaction,kern,2021,Yang,Yang; Beevi; Low; Lee; Hall,2021,10.6084/m9.figshare.14870235.v1,figshare,name_absent_from_authors,6/23/2026,yang_2021_life_satisfaction,"RENAMING DECLINED -- see naming_audit_README.md. proposed_name documents what the correct name would be; it is not a task list. Reference string carries the correct title but the same fabricated surname, so Screen 1 (name vs Reference) cannot see it"
kilic_2024_mental_toughness,kilic,2024,Özsarı,Özsarı; Kara; Dilek; Uysal; Tek; Deli,2024,10.7717/peerj.17174,,name_absent_from_authors,8/12/2026,ozsari_2024_mental_toughness,"RENAMING DECLINED -- see naming_audit_README.md. proposed_name documents what the correct name would be; it is not a task list. Reference string carries the correct title but the same fabricated surname, so Screen 1 (name vs Reference) cannot see it"
kilic_2024_nutrition_attitude,kilic,2024,Özsarı,Özsarı; Kara; Dilek; Uysal; Tek; Deli,2024,10.7717/peerj.17174,,name_absent_from_authors,8/12/2026,ozsari_2024_nutrition_attitude,"RENAMING DECLINED -- see naming_audit_README.md. proposed_name documents what the correct name would be; it is not a task list. Reference string carries the correct title but the same fabricated surname, so Screen 1 (name vs Reference) cannot see it"
nakano_2020_osce_contact_precautions,nakano,2020,Nagoshi,Nagoshi; Cooper; Meyer; Cherabuddi; Close; Dow; Markham; Stalvey,2019,10.3352/jeehp.2019.16.31,,name_absent_from_authors,6/23/2026,nagoshi_2019_osce_contact_precautions,RENAMING DECLINED -- see naming_audit_README.md. proposed_name documents what the correct name would be; it is not a task list. 
perfectionismlit_2021_engagement,perfectionismlit,2021,Hill,Hill,2021,10.25421/yorksj.16595141.v1,figshare-inst,name_absent_from_authors,6/23/2026,hill_2021_engagement,"RENAMING DECLINED -- see naming_audit_README.md. proposed_name documents what the correct name would be; it is not a task list. Reference is an author-less dataset citation; name derived from the dataset title, not an author"
perfectionismlit_2021_prepost,perfectionismlit,2021,Hill,Hill,2021,10.25421/yorksj.16595141.v1,figshare-inst,name_absent_from_authors,6/23/2026,hill_2021_prepost,"RENAMING DECLINED -- see naming_audit_README.md. proposed_name documents what the correct name would be; it is not a task list. Reference is an author-less dataset citation; name derived from the dataset title, not an author"
divia_2025_tiktok_fomo_shopping,divia,2025,Arifin,Arifin,2025,10.6084/m9.figshare.29378996.v2,figshare,given_name_used,6/23/2026,arifin_2025_tiktok_fomo_shopping,RENAMING DECLINED -- see naming_audit_README.md. proposed_name documents what the correct name would be; it is not a task list. 
lee_2025_nursing_exam,lee,2025,Ko,Ko; Lee; Jeong,2025,10.3352/jeehp.2025.22.23,,non_first_author,8/1/2026,,
pietraszkiewicz_2017_leader_eval,pietraszkiewicz,2017,Rovira-Asenjo,Rovira-Asenjo; Pietraszkiewicz; Sczesny; Gumí; Guimerà; Sales-Pardo,2017,10.1371/journal.pone.0186045,,non_first_author,8/3/2026,,
rosetti_2023_cas,rosetti,2023,Ramírez-López,Ramírez-López; Rosetti; Poma,2023,10.1089/eco.2022.0049,,non_first_author,6/23/2026,,
rosetti_2023_gad7,rosetti,2023,Ramírez-López,Ramírez-López; Rosetti; Poma,2023,10.1089/eco.2022.0049,,non_first_author,6/23/2026,,
villarrealzegarra2026_trif,villarrealzegarra,2026,Escobar-Agreda,Escobar-Agreda; Villareal-Zegarra; Reategui-Rivera; Paredes-Gonzales; Rojas-Mezarina,2026,10.64898/2026.07.01.26356790,,non_first_author,7/15/2026,,"Villareal-Zegarra is 2nd author; table spells it with -rr-, source record with -r-"
westhoff2023_pbat,westhoff,2023,Hofmann,Hofmann; Westhoff; Heshmati; Siepe; Hayes; Vogelbacher; Ciarrochi,2023,10.17605/osf.io/ejtzs,osf,non_first_author,7/13/2026,,
westhoff2023_stopd,westhoff,2023,Hofmann,Hofmann; Westhoff; Heshmati; Siepe; Hayes; Vogelbacher; Ciarrochi,2023,10.17605/osf.io/ejtzs,osf,non_first_author,7/13/2026,,
goldberg_2018_eps_adjectives,goldberg,2018,Saucier,Saucier,2018,10.7910/DVN/GCV3ZZ,dataverse,named_for_corpus_pi,2026-08-26,,Eugene-Springfield Community Sample (Goldberg corpus); Dataverse creator of record is Gerard Saucier
