"table","section_id","item","instrument","language","instructions","section_prompt","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"hellstrom_2019_isi","hellstrom_2019_isi_1","ISI_1a","Insomnia Severity Index (ISI)","Swedish",NA,NA,"Difficulty falling asleep",NA,NA,"no problem",NA,0
"hellstrom_2019_isi","hellstrom_2019_isi_1","ISI_1a","Insomnia Severity Index (ISI)","Swedish",NA,NA,"Difficulty falling asleep",NA,NA,"mild",NA,1
"hellstrom_2019_isi","hellstrom_2019_isi_1","ISI_1a","Insomnia Severity Index (ISI)","Swedish",NA,NA,"Difficulty falling asleep",NA,NA,"moderate",NA,2
"hellstrom_2019_isi","hellstrom_2019_isi_1","ISI_1a","Insomnia Severity Index (ISI)","Swedish",NA,NA,"Difficulty falling asleep",NA,NA,"severe",NA,3
"hellstrom_2019_isi","hellstrom_2019_isi_1","ISI_1a","Insomnia Severity Index (ISI)","Swedish",NA,NA,"Difficulty falling asleep",NA,NA,"very severe",NA,4
"hellstrom_2019_isi","hellstrom_2019_isi_1","ISI_1b","Insomnia Severity Index (ISI)","Swedish",NA,NA,"Difficulty staying asleep",NA,NA,"no problem",NA,0
"hellstrom_2019_isi","hellstrom_2019_isi_1","ISI_1b","Insomnia Severity Index (ISI)","Swedish",NA,NA,"Difficulty staying asleep",NA,NA,"mild",NA,1
"hellstrom_2019_isi","hellstrom_2019_isi_1","ISI_1b","Insomnia Severity Index (ISI)","Swedish",NA,NA,"Difficulty staying asleep",NA,NA,"moderate",NA,2
"hellstrom_2019_isi","hellstrom_2019_isi_1","ISI_1b","Insomnia Severity Index (ISI)","Swedish",NA,NA,"Difficulty staying asleep",NA,NA,"severe",NA,3
"hellstrom_2019_isi","hellstrom_2019_isi_1","ISI_1b","Insomnia Severity Index (ISI)","Swedish",NA,NA,"Difficulty staying asleep",NA,NA,"very severe",NA,4
"hellstrom_2019_isi","hellstrom_2019_isi_1","ISI_1c","Insomnia Severity Index (ISI)","Swedish",NA,NA,"Waking up early",NA,NA,"no problem",NA,0
"hellstrom_2019_isi","hellstrom_2019_isi_1","ISI_1c","Insomnia Severity Index (ISI)","Swedish",NA,NA,"Waking up early",NA,NA,"mild",NA,1
"hellstrom_2019_isi","hellstrom_2019_isi_1","ISI_1c","Insomnia Severity Index (ISI)","Swedish",NA,NA,"Waking up early",NA,NA,"moderate",NA,2
"hellstrom_2019_isi","hellstrom_2019_isi_1","ISI_1c","Insomnia Severity Index (ISI)","Swedish",NA,NA,"Waking up early",NA,NA,"severe",NA,3
"hellstrom_2019_isi","hellstrom_2019_isi_1","ISI_1c","Insomnia Severity Index (ISI)","Swedish",NA,NA,"Waking up early",NA,NA,"very severe",NA,4
"hellstrom_2019_isi","hellstrom_2019_isi_1","ISI_2","Insomnia Severity Index (ISI)","Swedish",NA,NA,"Satisfaction with sleep",NA,NA,"very satisfied",NA,0
