"table","status","n_items_live","n_items_candidate","item_set_match","resp_set_match","uses_raw_resp","canonical_nulls","pct_item_text_missing","pct_option_text_missing","note"
"chinvararak_2021_phq15","PASS",15,15,TRUE,TRUE,FALSE,TRUE,0,0,""
"choy_2022_extraneous_events","PASS",4,4,TRUE,TRUE,FALSE,TRUE,0,66.7,"66.7% of rows have blank option_text"
"chuemchit_2024_nonpartner_violence","PASS",5,5,TRUE,TRUE,FALSE,TRUE,0,0,""
"chuemchit_2024_partner_violence","PASS",5,5,TRUE,TRUE,FALSE,TRUE,0,0,""
"cinar_tanriverdi_2023_gad7","PASS",7,7,TRUE,TRUE,FALSE,TRUE,0,0,""
"COACH_Chen_2022_ADL","PASS",14,14,TRUE,TRUE,FALSE,TRUE,0,0,""
"COACH_Chen_2022_CSQ","PASS",8,8,TRUE,TRUE,FALSE,TRUE,0,0,""
"COACH_Chen_2022_IADL","WARN",8,8,TRUE,TRUE,FALSE,TRUE,0,0,"6 item(s) have live resp values with no option_text row: ra_iadl_q1(4), ra_iadl_q3(4), ra_iadl_q5(3,4), ra_iadl_q6(4), ra_iadl_q7(4), ra_iadl_q8(3,4)"
"COACH_Chen_2022_MOS_SSS_C","PASS",19,19,TRUE,TRUE,FALSE,TRUE,0,0,""
"COACH_Chen_2022_WHOQOL_BREF","PASS",26,26,TRUE,TRUE,FALSE,TRUE,0,0,""
"cogcontrol_gyurkovics_2019_flanker","WARN",16,16,TRUE,TRUE,FALSE,TRUE,0,0,"row-count anomaly (possible item-code conflation or missingness skew), median=1453: targ_19, targ_25, targ_30, targ_32"
