table,mapping_basis,text_source,source_ref,note,public_note,uploaded
COACH_Chen_2022_ADL,data_labels,translated_substitute,"Harvard Dataverse doi:10.7910/DVN/6RWH41, COACH_Code Book_Final_version.xlsx Sheet1 rows 69-82 (variable + value labels for RA_ADL_Q1..Q14); item codes via data/COACH_Chen_2022.R; protocol paper Chen et al. 2018 BMC Geriatrics doi:10.1186/s12877-018-0808-1","mapping_basis=data_labels, no inference: COACH_Code Book_Final_version.xlsx Sheet1 rows 69-82 label RA_ADL_Q1..Q14 with the item text and give the identical 1-4 value labels for every item, and data/COACH_Chen_2022.R builds the IRW code by lowercasing the source column name and deleting the wave token (RA_Baseline_ADL_Q1 / RA_Sixth_Month_ADL_Q1 / RA_Twelfth_Month_ADL_Q1 -> ra_adl_q1), a number-preserving rename with no positional step, so ra_adl_qN IS codebook RA_ADL_QN. The IADL sibling is a different variable block (RA_*_IADL_Q1..Q8, 8 items, 0-4 value labels) and grepl('_adl') in the script does not match 'iadl', so there is no ADL/IADL confusion in this table. resp: the script drops resp==0 for the ADL block, leaving 1-4, which matches the codebook's four labelled levels exactly. Direction of the value labels was checked against the raw workbook rather than assumed (quota-free, no export): with 1='on one's own', basic self-care sits at the floor -- Eating 1.14 (91.5% at 1), Dressing 1.19, Toileting 1.23, Continence 1.23 -- while instrumental tasks sit highest -- Using the telephone 2.01, Using transportation 1.89, Shopping 1.78; the reverse reading would put a community sample of older adults at 'can't finish' for eating. Text transcribed verbatim including the codebook's non-idiomatic English ('have some trouble to do', ""can't finish"", 'Washing'); nothing normalised. English base fields with language=Chinese and no _translated columns is the documented fallback: the deposit's two files carry zero Chinese item text.","The COACH trial was conducted in Chinese, but no Chinese wording is deposited; the item and response text shown is the study codebook's own English rendering. Item ra_adl_q9 is labelled 'Washing' in that codebook, but respondents report more difficulty with it than with 'Bathing' (ra_adl_q10), so the underlying item is likely doing laundry rather than personal washing.",2026-09-04
COACH_Chen_2022_CSQ,data_labels,translated_substitute,"Harvard Dataverse doi:10.7910/DVN/6RWH41 (COACH study), file 'COACH_Code Book_Final_version.xlsx' Sheet1 rows for RA_Customer_satisfaction_Questionnaire_Q1..Q8 (item text + 1-5 value labels) and 'Copy of COACH_raw_data_22_5_16.xlsx' headers; instrument identity cross-checked against Baker (1990) CSQ, BJGP, via gp-training.net CSQ-9 rendering","mapping_basis=data_labels: the deposit's own 'COACH_Code Book_Final_version.xlsx' keys item text to the EXACT source variable names (RA_Customer_satisfaction_Questionnaire_Q1..Q8) and the raw file's headers are RA_Baseline_Customer_satisfaction_Questionnaire_Q1..Q8; data/COACH_Chen_2022.R lowercases the header and strips '_baseline' (str_replace(item, '(.?)baseline', '')), giving ra_customer_satisfaction_questionnaire_qN verbatim -- a mechanical, number-preserving derivation with no positional assignment, so there is no inference step for statistics to check. Value labels come from the same codebook rows (1='Strongly agree' ... 5='Strongly disagree') and the script does no recoding (mutate(across(-id, as.numeric)) only), so the stored integers ARE the codebook codes. Independently corroborated: the eight stems and the five anchors match Baker's CSQ-9 short form (gp-training.net rendering) in the same 1-8 order, which the study codebook mislabels 'Customer Satisfaction Questionnaire' and the IRW dictionary mislabels as Larsen's Client Satisfaction Questionnaire (CSQ-8). Raw per-item value counts (n=2366 raw rows) are 1-5 throughout except Q2, which has no 5 (193/1051/1018/100/0); a resp=5 row is still shipped for Q2 as a harmless extra. Non-numeric raw cells ('#NULL!' and a repeated header row) become NA and are dropped by the script. LANGUAGE FALLBACK: Chinese administration; checked both deposited files (codebook.xlsx, raw .xlsx headers) -- zero CJK characters in either, so English base text with _translated omitted. Text transcribed verbatim including the codebook's missing space in item 5, missing terminal periods on items 7-8, and inconsistent option-label casing. correct_response blank -- a satisfaction scale has no key. RETRY TEST: NO -- determinate verdict, the extraction completed and gated.","This table is dictionary-described as the 8-item Client Satisfaction Questionnaire (CSQ-8), but its items are not that instrument: they are items 1-8 of Baker's Consultation Satisfaction Questionnaire short form (CSQ-9), rated 1 'Strongly agree' to 5 'Strongly disagree', taken verbatim from the study's own codebook. The two reverse-worded items (q3 and q8) are stored raw, and the wording shipped is the deposit's English codebook text -- the questionnaire was administered in Chinese, and no Chinese wording appears anywhere in the deposit.",2026-09-04
COACH_Chen_2022_IADL,data_labels,translated_substitute,"Harvard Dataverse doi:10.7910/DVN/6RWH41 (CC0), file ""COACH_Code Book_Final_version.xlsx"" Sheet1 rows RA_IADL_Q1-Q8 and Sheet2 rows RA_Baseline_IADL_Q1-Q8; instrument named in Chen et al. 2022 PLOS Med 10.1371/journal.pmed.1004019 ref [29] (Tong & Man 2002)","Codebook Sheet1/Sheet2 tie each variable name (RA_Baseline_IADL_Q1 ... RA_Twelfth_Month_IADL_Q8) to its label and its value labels; data/COACH_Chen_2022.R lowercases and strips the wave segment, a number-preserving mechanical rename to ra_iadl_qN, so no positional inference. Corroborated by re-running the script's selection over the raw xlsx: per-item live n reproduced exactly (q1 6833, q2 6833, q3 6831, q4 6831, q5 6830, q6 6831, q7 6831, q8 6833; total 54,653 = live row count), and the codebook's unequal per-item maxima are the baseline data's exact per-item maxima (3,4,3,4,2,3,3,2 - a signature that would break under any permutation of the 8 codes). Text transcribed verbatim from the codebook including its non-canonical spots (q6 uses the generic 'on one's own / have some trouble to do / need help to do / can't finish' anchors, q7 level 2 reads 'need reminder or assistance'); no normalisation to canonical Lawton wording. Rights: wording copied from a CC0 Dataverse deposit, no NC clause stated anywhere in the deposit, so no wording_rights flag. Base text is English though administration was Chinese (fallback per SKILL.md core model 4); _translated columns omitted as empty, language=Chinese is the backfill signal.","Item and option wording is the English text of the study's own codebook; the trial was administered in Chinese and the administered wording is not published in the deposit or the paper. The eight IADL items deliberately have different numbers of response options (three to five), which is how the Lawton IADL is written, so the shipped option text is keyed correctly item by item. Separately, 65 of the table's 54,653 responses (0.12%) hold a value above their own item's maximum and therefore carry no option text; these occur only at the 6- and 12-month waves, and at baseline every item's largest observed value equals its expected ceiling.",2026-09-04
COACH_Chen_2022_MOS_SSS_C,reconstructed,translated_substitute,"Sherbourne CD & Stewart AL (1991) Soc Sci Med 32(6):705-714, APPENDIX 'MOS Social Support Survey' (numbered items 2-20); Harvard Dataverse doi:10.7910/DVN/6RWH41 'COACH_Code Book_Final_version.xlsx' Sheet1 rows RA_MOS_SSS_C_Q2..Q20 (value labels; item text ordering rejected) and 'Copy of COACH_raw_data_22_5_16.xlsx' headers; data/COACH_Chen_2022.R","mapping_basis=reconstructed, NOT data_labels, and this is the whole story of the table. The deposit's codebook does label RA_MOS_SSS_C_Q2..Q20, and data/COACH_Chen_2022.R derives the IRW code mechanically (lowercase the raw header RA_Baseline_MOS_SSS_C_QN, strip the wave token), so the code->label tie is clean -- but the LABELS are ordered by subscale, matching RAND's grouped web rendering of the instrument line for line, not the questionnaire's numbering. The live data reject that ordering and match Sherbourne & Stewart (1991) appendix numbering (see verify_COACH_Chen_2022_MOS_SSS_C.R and verification_COACH_Chen_2022_MOS_SSS_C.csv: gap 0.1666 vs 0.0488, random max 0.1499; EFA tangible factor loads 0.70-0.81 on exactly q2/q5/q12/q15; those same four items are the four highest means in all three waves). Item wording is therefore transcribed verbatim from the 1991 appendix at each questionnaire number, not from the codebook -- the two differ only in assignment plus three codebook typos ('listen to when you need to talk', 'get your minds off things', 'Someone to love you and make you feel wanted'). Option text 1='None of the time' ... 5='All of the time' is level-1: identical value labels on all 19 codebook rows, so it is unaffected by the numbering dispute, and it agrees with the appendix's own column headers; the processing script does no recoding. instructions are the appendix's own framing sentence. correct_response blank -- no key. Step 3b: 19 items on a 1-5 scale, q2..q20 with no q1, exactly the MOS-SSS's 19 functional-support items plus the omitted structural item 1 -- the table name is correct. Language fallback: Chinese administration, zero CJK characters in either deposited file (raw.xlsx, codebook.xlsx) outside font names, so English base text and the _translated columns omitted. Deposit licence CC0 1.0; no non-commercial statement on the MOS-SSS wording, so no wording_rights column. RETRY TEST: NO -- determinate verdict.","The 19 MOS Social Support Survey items are shipped against the questionnaire's own numbering (Sherbourne & Stewart 1991) rather than the study codebook's. That codebook lists the items grouped by subscale and numbers them Q2-Q20 in that grouped order, but the responses match the canonical numbering: the four tangible-support items are q2, q5, q12 and q15, which load 0.70-0.81 on their own factor and are the four highest-mean items in all three waves (3.96/3.93/3.91/3.76 against 2.62-3.04), where the codebook would place them at q10-q13. The order of items within a subscale is not independently confirmed. The wording shown is the English original; the survey was administered in Chinese and no Chinese text appears anywhere in the deposit.",2026-09-04
COACH_Chen_2022_WHOQOL_BREF,data_labels,translated_substitute,"Harvard Dataverse doi:10.7910/DVN/6RWH41 (COACH study, licence CC0 1.0), file 'COACH_Code Book_Final_version.xlsx' Sheet1 rows RA_WHOQOL_BREF_Q1..Q26 (item text + 1-5 value labels) and 'Copy of COACH_raw_data_22_5_16.xlsx' headers; protocol Chen et al. (2018) BMC Geriatrics 18:124","mapping_basis=data_labels: the deposit's 'COACH_Code Book_Final_version.xlsx' Sheet1 keys full item text and 1-5 value labels to the exact source variable names RA_WHOQOL_BREF_Q1..Q26, and the raw file's headers are RA_{Baseline,Sixth_Month,Twelfth_Month}_WHOQOL_BREF_Q1..Q26 (78 columns, verified). data/COACH_Chen_2022.R lowercases and strips the wave token, giving ra_whoqol_bref_qN verbatim -- a name-preserving derivation with no positional assignment, so there is no item_text<->item inference for statistics to check. It does no recoding (mutate(across(-id, as.numeric)) only), so the stored integers are the codebook codes. All 26 items and resp 1-5 match the live sets exactly (validate_items.R --table-sets). DEVIATION DISCLOSED: item 26's option_text is shipped in REVERSED order relative to the codebook's printed anchors (shipped 1='Never' ... 5='Always'), because the delivered data contradict the codebook -- q26 r=-0.410 with the positive-item rest and +0.187/+0.219 with baseline PHQ-9/HDRS totals, the sign pattern of q3 (pain) and q4 (medical dependence), not of a 'high = never distressed' item. See verify_COACH_Chen_2022_WHOQOL_BREF.R. LANGUAGE FALLBACK: Chinese administration; checked both deposited files, zero CJK characters in either, so English base text with _translated omitted. instructions/section_prompt left blank -- the codebook carries none and none were imported from the canonical instrument. correct_response blank: a quality-of-life scale has no key. RIGHTS: source is CC0 (Harvard Dataverse dataset licence 'CC0 1.0'), which governs per the 2026-09-04 source-licence ruling; no verbatim WHO non-commercial clause could be retrieved, so wording_rights was not set. RETRY TEST: NO. WITHDRAWN 2026-09-04: this table's item text has been pulled from irw_text and the table is now blocked. The WHOQOL rights holders' own terms state that a user 'will not reproduce copies of the WHOQOL instruments except for the limited purpose of generating sufficient copies for use in investigations stated hereunder and shall in no event distribute them to third parties by sale, rental, lease, lending or any other means' (AUT/NZ WHOQOL Terms and Conditions). Ben ruled that IRW does not offer WHOQOL item text, notwithstanding that IRW's copy came from an openly licensed deposit. The uploaded= date below records that it WAS shipped and later withdrawn; it is history, not current state.","IRW does not offer item text for the WHOQOL instruments. The rights holders' terms bar reproducing the instruments and distributing them to third parties, so any item text previously shipped for this table has been withdrawn.",2026-09-04
chinvararak_2021_phq15,data_labels,translated_substitute,"Chinvararak C, Kirdchok P, Lueboonthavatchai P (2021) PLoS ONE 16(8):e0255995, doi:10.1371/journal.pone.0255995, CC BY 4.0 -- S1 File (.s001, SPSS) supplies the phq1..phq15 column names, the Thai symptom variable labels and the administered Thai value labels; PHQ-15 English wording transcribed from 'Patient Health Questionnaire-15: Physical Symptoms', RDC/TMD International Consortium version 12May2013 (ubwp.buffalo.edu/rdc-tmdinternational/wp-content/uploads/sites/58/2017/01/PHQ-15_2013-05-12.pdf), 'Copyright Pfizer Inc. No permission required to reproduce, translate, display, or distribute.'; PHQ/GAD-7 Instruction Manual, phqscreeners.com/images/sites/g/files/g10016261/f/201412/instructions.pdf, p.9 public-domain statement; data/chinvararak_2021_attachment_depression.py","mapping_basis=data_labels: the S1 .sav labels every phqN with a distinct Thai symptom keyword and data/chinvararak_2021_attachment_depression.py melts PHQ_COLS=phq1..phq15 with NO renaming, so the IRW code IS the source column name (core-model pattern 1, nothing to infer). text_source=translated_substitute applies to item_text and instructions ONLY -- the administered Thai stems are in neither the deposit nor the supplements, so canonical English ships in the base fields with language=Thai and empty *_translated, per the fallback rule. option_text is NOT a substitute: it is the .sav's own administered Thai value labels, with the instrument publisher's English in option_text_translated (hence translation_source=mixed). Deviations: instructions drop the RDC/TMD reprint's 'Please place a check mark in the box' sentence and correct its 'have you have been' typo; the 'phq ' prefix on the variable labels was stripped and never shipped. Rights checked and clear: the PHQ instruction manual says the measures are public domain with 'No permission is required to reproduce, translate, display or distribute', so irw#1891 does not fire and no wording_rights column is emitted.","Item text and instructions are the PHQ-15's canonical English wording, not the Thai the 180 respondents actually read: the PLOS deposit and supplements contain only 2-4 word Thai keyword tags as SPSS variable labels, never the Thai stems, so `language` is set to Thai beside an empty `item_text_translated` to mark the table for a later backfill. The response options are genuine administered Thai (ไม่รบกวน / รบกวนเล็กน้อย / รบกวนมาก = 0/1/2), taken from the deposit's own value labels.",2026-09-04
choy_2022_extraneous_events,paper_order,study_materials,"Choy MW, Yeung AS (2022) PLOS ONE 17(12):e0279411, Table 1 (item wording, image) and Table 4 (per-item loadings); S1 Data (10.1371/journal.pone.0279411.s001) for the response file. CC BY 4.0.","Item codes ARE the source spreadsheet column names (data/choy_2022_career_choice.py melts Extraneous1..4 verbatim), so there is no positional step. Wording transcribed by eye from the Table 1 PNG (PLOS serves this table only as an image); Table 1 labels its column 'Sample item' but prints all four Extraneous items, matching its own 'No. of Items = 4'. Table 1 carries no item numbering, so the text-to-code order is inferred from presentation order and corroborated by the Methods sentence listing the same four referents in the same order. Response anchors from Methods: '1 (Disagree strongly) to 6 (Agree strongly)'; levels 2-5 unlabelled and left blank. Survey administered bilingually English-Chinese; no Chinese wording appears in the paper or S1 Data, so English (an administered language) is shipped and no _translated columns are emitted.","The four item wordings come from the paper's Table 1, which prints them as an unnumbered list, so their assignment to the codes Extraneous1-Extraneous4 rests on presentation order; a CFA on the live data reproduces the paper's published Extraneous loadings (.67/.77/.82/.85 vs .67/.76/.83/.85) and confirms the codes match the paper's item numbering, but not that the list is in that order.",2026-09-04
choy_2022_intent_career,unknown,unknown,"10.1371/journal.pone.0279411 (PLOS ONE, CC BY); Table 1, Table 4; S1 Data xlsx","BLOCKED - no items CSV. Paper publishes wording for 1 of 3 Intent items (Table 1 'sample item', unnumbered) and none for the other two; S1 Data carries only bare column names. Item codes Intent1-3 are the raw column names verbatim (data/choy_2022_career_choice.py), and the numbering matches the paper's Table 4 loadings (.910/.648/.922 vs .90/.66/.92), but wording is unrecoverable from the deposit and the paper's supplements.","The source paper prints only one sample item for this 3-item Intent scale and does not number it, so IRW ships no item text for this table.",
chuemchit_2024_nonpartner_violence,paper_explicit,translated_substitute,"Chuemchit et al. 2024, PLOS ONE 10.1371/journal.pone.0300388 (CC BY 4.0): Methods 'Research instruments' for the per-type act definitions and Results/Table 4 for the prevalences; S1 File (questionnaire PDF, .s001) Q126-Q191 and the non-partner battery preamble; S2 File (.s002 xlsx) for the column codes; data/chuemchit_2024_migrant_violence.py","Item codes ARE the source column names: data/chuemchit_2024_migrant_violence.py melts the S2 File xlsx columns npeco12/nppsy12/npcyb12/npphy12/npsex12 by name (value_vars), so there is no positional or renaming step. The S2 xlsx carries no variable labels - only bare headers - so the words come from the paper. item_text quotes the Methods' own definition of each violence type verbatim ('economic (restricting working or making money, forcibly taking income, and expelling from residence)' etc.); the only added words are the scope prefix '<Type> violence by someone other than a partner, in the last 12 months:'. instructions is the verbatim S1 File preamble to the non-partner battery (transcribed literally including its 'you may not be able to answer' typo). DEVIATION DISCLOSED: each item is an author-derived binary composite over several questionnaire questions (S1 File Q126-Q191); no composite key is published and the non-partner raw columns are absent from S2, so no single administered stem could be shipped per item. LANGUAGE: administered face-to-face in the respondents' own languages (Khmer, Lao, Myanmar; questionnaire developed in English, Khmer, Lao, Myanmar); the only deposited version is the English S1 File PDF, so the scoped fallback applies - English in base fields, _translated columns present but empty, language populated. option_text 'No'/'Yes' for resp 0/1 describes the derived indicator; direction verified against the published prevalences. RIGHTS: PLOS ONE CC BY 4.0; the instrument is adapted from the WHO multi-country study, which the paper states is 'both standardized and freely accessible for use' - no NC clause found, so wording_rights is omitted.","Each of the five items is an author-derived binary indicator summarising several separate questionnaire questions, not one question: the `item_text` shipped here is the authors' own definition of that violence type (from the paper's Methods), and the study publishes no key saying which of the 14 non-partner questions (S1 File Q126-Q191) feed each indicator. The interviews were conducted in Khmer, Lao and Myanmar; only the English questionnaire version is deposited, so the shipped wording is not the string respondents heard.",2026-09-04
chuemchit_2024_partner_violence,reconstructed,translated_substitute,"Chuemchit et al. (2024) PLOS ONE 10.1371/journal.pone.0300388 -- S1 File (survey instrument, Q75-Q124) and S2 File (data, .s002 .xlsx); CC BY 4.0","Item codes ARE the S2 File column names (data/chuemchit_2024_migrant_violence.py melts peco12/pcyb12/ppsy12/pphy12/psex12 directly), so there is no positional or renaming step. The S2 .xlsx carries no variable labels, only bare column names, so mapping_basis is not data_labels; the code->text tie was established by reconstructing each derived indicator from the S1 questionnaire's own violence-type blocks and matching it against the S2 column (494/494 rows for all five items). Deviations from literal transcription: item_text is a composite that names the derived construct and then quotes the constituent stems verbatim, because no single source sentence corresponds to a live item; option_text 'No'/'Yes' states the derived indicator's meaning rather than a verbatim source anchor. The bridging sentence 'The next questions will be about what happens to many women...' appears once, immediately before Q86, and was recorded as section_prompt for the cyber section only (its literal position); it may have been intended to introduce all of Q86-Q124. Administered orally in Lao/Burmese/Khmer; S1 File (the only questionnaire in the deposit) is English-only, zero non-Latin script characters, hence the translated_substitute fallback with language populated. No non-commercial restriction anywhere: PLOS ONE CC BY 4.0, study-developed questionnaire (UN Women / Chulalongkorn), not a commercially published instrument.","The five items are derived binary indicators, each collapsing 2-4 questionnaire questions of one violence type crossed with a 'in the last 12 months' follow-up, so `item_text` quotes the constituent questions rather than a single stem. The survey was administered orally in Lao, Burmese and Khmer and only the English master questionnaire was published, so the shipped wording is an English substitute for what respondents heard.",2026-09-04
