"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"alsuhibani_2022_gcbs","alsuhibani_2022_gcbs_1","GCBS_01","Generic Conspiracist Beliefs Scale (GCBS)","There is often debate about whether or not the public is told the whole truth about various important issues. This brief survey is designed to assess your beliefs about some of these subjects. Please indicate the degree to which you believe each statement is likely to be true on the following scale: Definitely not true; Probably not true; Not sure/cannot decide; Probably true; Definitely true","NA","The government is involved in the murder of innocent citizens and/or well-known public figures, and keeps this a secret.","NA","Definitely not true","1"
"alsuhibani_2022_gcbs","alsuhibani_2022_gcbs_1","GCBS_01","Generic Conspiracist Beliefs Scale (GCBS)","There is often debate about whether or not the public is told the whole truth about various important issues. This brief survey is designed to assess your beliefs about some of these subjects. Please indicate the degree to which you believe each statement is likely to be true on the following scale: Definitely not true; Probably not true; Not sure/cannot decide; Probably true; Definitely true","NA","The government is involved in the murder of innocent citizens and/or well-known public figures, and keeps this a secret.","NA","Probably not true","2"
"alsuhibani_2022_gcbs","alsuhibani_2022_gcbs_1","GCBS_01","Generic Conspiracist Beliefs Scale (GCBS)","There is often debate about whether or not the public is told the whole truth about various important issues. This brief survey is designed to assess your beliefs about some of these subjects. Please indicate the degree to which you believe each statement is likely to be true on the following scale: Definitely not true; Probably not true; Not sure/cannot decide; Probably true; Definitely true","NA","The government is involved in the murder of innocent citizens and/or well-known public figures, and keeps this a secret.","NA","Not sure/cannot decide","3"
"alsuhibani_2022_gcbs","alsuhibani_2022_gcbs_1","GCBS_01","Generic Conspiracist Beliefs Scale (GCBS)","There is often debate about whether or not the public is told the whole truth about various important issues. This brief survey is designed to assess your beliefs about some of these subjects. Please indicate the degree to which you believe each statement is likely to be true on the following scale: Definitely not true; Probably not true; Not sure/cannot decide; Probably true; Definitely true","NA","The government is involved in the murder of innocent citizens and/or well-known public figures, and keeps this a secret.","NA","Probably true","4"
"alsuhibani_2022_gcbs","alsuhibani_2022_gcbs_1","GCBS_01","Generic Conspiracist Beliefs Scale (GCBS)","There is often debate about whether or not the public is told the whole truth about various important issues. This brief survey is designed to assess your beliefs about some of these subjects. Please indicate the degree to which you believe each statement is likely to be true on the following scale: Definitely not true; Probably not true; Not sure/cannot decide; Probably true; Definitely true","NA","The government is involved in the murder of innocent citizens and/or well-known public figures, and keeps this a secret.","NA","Definitely true","5"
"alsuhibani_2022_gcbs","alsuhibani_2022_gcbs_1","GCBS_02","Generic Conspiracist Beliefs Scale (GCBS)","There is often debate about whether or not the public is told the whole truth about various important issues. This brief survey is designed to assess your beliefs about some of these subjects. Please indicate the degree to which you believe each statement is likely to be true on the following scale: Definitely not true; Probably not true; Not sure/cannot decide; Probably true; Definitely true","NA","The power held by heads of state is second to that of small unknown groups who really control world politics.","NA","Definitely not true","1"
"alsuhibani_2022_gcbs","alsuhibani_2022_gcbs_1","GCBS_02","Generic Conspiracist Beliefs Scale (GCBS)","There is often debate about whether or not the public is told the whole truth about various important issues. This brief survey is designed to assess your beliefs about some of these subjects. Please indicate the degree to which you believe each statement is likely to be true on the following scale: Definitely not true; Probably not true; Not sure/cannot decide; Probably true; Definitely true","NA","The power held by heads of state is second to that of small unknown groups who really control world politics.","NA","Probably not true","2"
"alsuhibani_2022_gcbs","alsuhibani_2022_gcbs_1","GCBS_02","Generic Conspiracist Beliefs Scale (GCBS)","There is often debate about whether or not the public is told the whole truth about various important issues. This brief survey is designed to assess your beliefs about some of these subjects. Please indicate the degree to which you believe each statement is likely to be true on the following scale: Definitely not true; Probably not true; Not sure/cannot decide; Probably true; Definitely true","NA","The power held by heads of state is second to that of small unknown groups who really control world politics.","NA","Not sure/cannot decide","3"
"alsuhibani_2022_gcbs","alsuhibani_2022_gcbs_1","GCBS_02","Generic Conspiracist Beliefs Scale (GCBS)","There is often debate about whether or not the public is told the whole truth about various important issues. This brief survey is designed to assess your beliefs about some of these subjects. Please indicate the degree to which you believe each statement is likely to be true on the following scale: Definitely not true; Probably not true; Not sure/cannot decide; Probably true; Definitely true","NA","The power held by heads of state is second to that of small unknown groups who really control world politics.","NA","Probably true","4"
"alsuhibani_2022_gcbs","alsuhibani_2022_gcbs_1","GCBS_02","Generic Conspiracist Beliefs Scale (GCBS)","There is often debate about whether or not the public is told the whole truth about various important issues. This brief survey is designed to assess your beliefs about some of these subjects. Please indicate the degree to which you believe each statement is likely to be true on the following scale: Definitely not true; Probably not true; Not sure/cannot decide; Probably true; Definitely true","NA","The power held by heads of state is second to that of small unknown groups who really control world politics.","NA","Definitely true","5"
"alsuhibani_2022_gcbs","alsuhibani_2022_gcbs_1","GCBS_03","Generic Conspiracist Beliefs Scale (GCBS)","There is often debate about whether or not the public is told the whole truth about various important issues. This brief survey is designed to assess your beliefs about some of these subjects. Please indicate the degree to which you believe each statement is likely to be true on the following scale: Definitely not true; Probably not true; Not sure/cannot decide; Probably true; Definitely true","NA","Secret organizations communicate with extraterrestrials, but keep this fact from the public.","NA","Definitely not true","1"
"alsuhibani_2022_gcbs","alsuhibani_2022_gcbs_1","GCBS_03","Generic Conspiracist Beliefs Scale (GCBS)","There is often debate about whether or not the public is told the whole truth about various important issues. This brief survey is designed to assess your beliefs about some of these subjects. Please indicate the degree to which you believe each statement is likely to be true on the following scale: Definitely not true; Probably not true; Not sure/cannot decide; Probably true; Definitely true","NA","Secret organizations communicate with extraterrestrials, but keep this fact from the public.","NA","Probably not true","2"
"alsuhibani_2022_gcbs","alsuhibani_2022_gcbs_1","GCBS_03","Generic Conspiracist Beliefs Scale (GCBS)","There is often debate about whether or not the public is told the whole truth about various important issues. This brief survey is designed to assess your beliefs about some of these subjects. Please indicate the degree to which you believe each statement is likely to be true on the following scale: Definitely not true; Probably not true; Not sure/cannot decide; Probably true; Definitely true","NA","Secret organizations communicate with extraterrestrials, but keep this fact from the public.","NA","Not sure/cannot decide","3"
"alsuhibani_2022_gcbs","alsuhibani_2022_gcbs_1","GCBS_03","Generic Conspiracist Beliefs Scale (GCBS)","There is often debate about whether or not the public is told the whole truth about various important issues. This brief survey is designed to assess your beliefs about some of these subjects. Please indicate the degree to which you believe each statement is likely to be true on the following scale: Definitely not true; Probably not true; Not sure/cannot decide; Probably true; Definitely true","NA","Secret organizations communicate with extraterrestrials, but keep this fact from the public.","NA","Probably true","4"
"alsuhibani_2022_gcbs","alsuhibani_2022_gcbs_1","GCBS_03","Generic Conspiracist Beliefs Scale (GCBS)","There is often debate about whether or not the public is told the whole truth about various important issues. This brief survey is designed to assess your beliefs about some of these subjects. Please indicate the degree to which you believe each statement is likely to be true on the following scale: Definitely not true; Probably not true; Not sure/cannot decide; Probably true; Definitely true","NA","Secret organizations communicate with extraterrestrials, but keep this fact from the public.","NA","Definitely true","5"
"alsuhibani_2022_gcbs","alsuhibani_2022_gcbs_1","GCBS_04","Generic Conspiracist Beliefs Scale (GCBS)","There is often debate about whether or not the public is told the whole truth about various important issues. This brief survey is designed to assess your beliefs about some of these subjects. Please indicate the degree to which you believe each statement is likely to be true on the following scale: Definitely not true; Probably not true; Not sure/cannot decide; Probably true; Definitely true","NA","The spread of certain viruses and/or diseases is the result of the deliberate, concealed efforts of some organization.","NA","Definitely not true","1"
"alsuhibani_2022_gcbs","alsuhibani_2022_gcbs_1","GCBS_04","Generic Conspiracist Beliefs Scale (GCBS)","There is often debate about whether or not the public is told the whole truth about various important issues. This brief survey is designed to assess your beliefs about some of these subjects. Please indicate the degree to which you believe each statement is likely to be true on the following scale: Definitely not true; Probably not true; Not sure/cannot decide; Probably true; Definitely true","NA","The spread of certain viruses and/or diseases is the result of the deliberate, concealed efforts of some organization.","NA","Probably not true","2"
