table,section_id,item,instrument,instructions,section_prompt,item_text,correct_response,option_text,resp,wording_rights
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS10,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,I need a lot of reassurance that close relationship partners really care about me.,NA,Strongly disagree,1,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS03R,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,I usually discuss my problems and concerns with close others.,NA,Strongly disagree,1,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS11R,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,I feel comfortable sharing my private thoughts and feelings with others.,NA,Strongly disagree,1,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS01R,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,I feel comfortable depending on others.,NA,Strongly disagree,1,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS08,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,I worry about being alone.,NA,Strongly disagree,1,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS06,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,I worry a lot about my relationships.,NA,Strongly disagree,1,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS07R,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,"I don't mind asking close others for comfort, advice, or help.",NA,Strongly disagree,1,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS02,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,I worry that others won't care about me as much as I care about them.,NA,Strongly disagree,1,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS05R,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,I tell my close relationship partners just about everything.,NA,Strongly disagree,1,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS04,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,I worry a fair amount about losing my close relationship partners.,NA,Strongly disagree,1,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS09,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,I don't feel comfortable opening up to others.,NA,Strongly disagree,1,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS12,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,"If I can't get a relationship partner to show interest in me, I get upset or angry.",NA,Strongly disagree,1,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS03R,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,I usually discuss my problems and concerns with close others.,NA,Disagree,2,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS05R,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,I tell my close relationship partners just about everything.,NA,Disagree,2,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS02,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,I worry that others won't care about me as much as I care about them.,NA,Disagree,2,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS06,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,I worry a lot about my relationships.,NA,Disagree,2,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS09,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,I don't feel comfortable opening up to others.,NA,Disagree,2,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS12,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,"If I can't get a relationship partner to show interest in me, I get upset or angry.",NA,Disagree,2,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS08,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,I worry about being alone.,NA,Disagree,2,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS11R,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,I feel comfortable sharing my private thoughts and feelings with others.,NA,Disagree,2,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS10,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,I need a lot of reassurance that close relationship partners really care about me.,NA,Disagree,2,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS07R,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,"I don't mind asking close others for comfort, advice, or help.",NA,Disagree,2,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS04,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,I worry a fair amount about losing my close relationship partners.,NA,Disagree,2,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS01R,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,I feel comfortable depending on others.,NA,Disagree,2,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS04,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,I worry a fair amount about losing my close relationship partners.,NA,Slightly disagree,3,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS05R,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,I tell my close relationship partners just about everything.,NA,Slightly disagree,3,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS02,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,I worry that others won't care about me as much as I care about them.,NA,Slightly disagree,3,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS08,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,I worry about being alone.,NA,Slightly disagree,3,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS11R,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,I feel comfortable sharing my private thoughts and feelings with others.,NA,Slightly disagree,3,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS09,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,I don't feel comfortable opening up to others.,NA,Slightly disagree,3,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS10,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,I need a lot of reassurance that close relationship partners really care about me.,NA,Slightly disagree,3,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS06,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,I worry a lot about my relationships.,NA,Slightly disagree,3,NC
alsuhibani_2022_ecrs_s3,alsuhibani_2022_ecrs_s3_1,ECRS07R,Experiences in Close Relationships Scale - Short Form (ECR-12),"The statements below concern how you feel in emotionally intimate relationships. We are interested in how you generally experience relationships, not just in what is happening in a current relationship. Respond to each statement by indicating how much you agree or disagree with it.",NA,"I don't mind asking close others for comfort, advice, or help.",NA,Slightly disagree,3,NC
