"table","instrument","language","instructions","section_id","section_prompt","item","item_text","item_text_translated","correct_response","resp","option_text","option_text_translated"
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_1","The mask negatively influenced the relationship with the therapist.",NA,NA,1,"definitely disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_1","The mask negatively influenced the relationship with the therapist.",NA,NA,2,"slightly disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_1","The mask negatively influenced the relationship with the therapist.",NA,NA,3,"undecided",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_1","The mask negatively influenced the relationship with the therapist.",NA,NA,4,"slightly agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_1","The mask negatively influenced the relationship with the therapist.",NA,NA,5,"definitely agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_2","The mask distracted me from the therapy session.",NA,NA,1,"definitely disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_2","The mask distracted me from the therapy session.",NA,NA,2,"slightly disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_2","The mask distracted me from the therapy session.",NA,NA,3,"undecided",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_2","The mask distracted me from the therapy session.",NA,NA,4,"slightly agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_2","The mask distracted me from the therapy session.",NA,NA,5,"definitely agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_3","The mask made it more difficult for the therapist to understand me acoustically.",NA,NA,1,"definitely disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_3","The mask made it more difficult for the therapist to understand me acoustically.",NA,NA,2,"slightly disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_3","The mask made it more difficult for the therapist to understand me acoustically.",NA,NA,3,"undecided",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_3","The mask made it more difficult for the therapist to understand me acoustically.",NA,NA,4,"slightly agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_3","The mask made it more difficult for the therapist to understand me acoustically.",NA,NA,5,"definitely agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_4","The mask made it harder for the therapist to understand my feelings.",NA,NA,1,"definitely disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_4","The mask made it harder for the therapist to understand my feelings.",NA,NA,2,"slightly disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_4","The mask made it harder for the therapist to understand my feelings.",NA,NA,3,"undecided",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_4","The mask made it harder for the therapist to understand my feelings.",NA,NA,4,"slightly agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_4","The mask made it harder for the therapist to understand my feelings.",NA,NA,5,"definitely agree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_5","The mask made me feel safe from infection during therapy.",NA,NA,1,"definitely disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_5","The mask made me feel safe from infection during therapy.",NA,NA,2,"slightly disagree",NA
"kuczyk_2024_facemask_fbe","Questionnaire on expectations and experiences with wearing face masks, post-version (experiences)","German",NA,"kuczyk_2024_facemask_fbe_1",NA,"FBE_5","The mask made me feel safe from infection during therapy.",NA,NA,3,"undecided",NA
