"table","instrument","language","instructions","instructions_translated","section_id","section_prompt","section_prompt_translated","item","item_text","item_text_translated","correct_response","resp","option_text","option_text_translated"
"kuehner_2017_mw_rumination","Ambulatory assessment single-item measures of mind wandering (MW) and perceived uncontrollability of rumination (RUM)","German",NA,NA,"kuehner_2017_mw_rumination_1",NA,NA,"MW","At the time of the beep, were you thinking about something other than what you were currently doing?",NA,NA,1,"I was completely on task",NA
"kuehner_2017_mw_rumination","Ambulatory assessment single-item measures of mind wandering (MW) and perceived uncontrollability of rumination (RUM)","German",NA,NA,"kuehner_2017_mw_rumination_1",NA,NA,"MW","At the time of the beep, were you thinking about something other than what you were currently doing?",NA,NA,2,NA,NA
"kuehner_2017_mw_rumination","Ambulatory assessment single-item measures of mind wandering (MW) and perceived uncontrollability of rumination (RUM)","German",NA,NA,"kuehner_2017_mw_rumination_1",NA,NA,"MW","At the time of the beep, were you thinking about something other than what you were currently doing?",NA,NA,3,NA,NA
"kuehner_2017_mw_rumination","Ambulatory assessment single-item measures of mind wandering (MW) and perceived uncontrollability of rumination (RUM)","German",NA,NA,"kuehner_2017_mw_rumination_1",NA,NA,"MW","At the time of the beep, were you thinking about something other than what you were currently doing?",NA,NA,4,NA,NA
"kuehner_2017_mw_rumination","Ambulatory assessment single-item measures of mind wandering (MW) and perceived uncontrollability of rumination (RUM)","German",NA,NA,"kuehner_2017_mw_rumination_1",NA,NA,"MW","At the time of the beep, were you thinking about something other than what you were currently doing?",NA,NA,5,NA,NA
"kuehner_2017_mw_rumination","Ambulatory assessment single-item measures of mind wandering (MW) and perceived uncontrollability of rumination (RUM)","German",NA,NA,"kuehner_2017_mw_rumination_1",NA,NA,"MW","At the time of the beep, were you thinking about something other than what you were currently doing?",NA,NA,6,NA,NA
"kuehner_2017_mw_rumination","Ambulatory assessment single-item measures of mind wandering (MW) and perceived uncontrollability of rumination (RUM)","German",NA,NA,"kuehner_2017_mw_rumination_1",NA,NA,"MW","At the time of the beep, were you thinking about something other than what you were currently doing?",NA,NA,7,"I was completely off task",NA
"kuehner_2017_mw_rumination","Ambulatory assessment single-item measures of mind wandering (MW) and perceived uncontrollability of rumination (RUM)","German",NA,NA,"kuehner_2017_mw_rumination_1",NA,NA,"RUM","At the moment, I am stuck on negative thoughts and cannot disengage from them",NA,NA,1,NA,NA
"kuehner_2017_mw_rumination","Ambulatory assessment single-item measures of mind wandering (MW) and perceived uncontrollability of rumination (RUM)","German",NA,NA,"kuehner_2017_mw_rumination_1",NA,NA,"RUM","At the moment, I am stuck on negative thoughts and cannot disengage from them",NA,NA,2,NA,NA
"kuehner_2017_mw_rumination","Ambulatory assessment single-item measures of mind wandering (MW) and perceived uncontrollability of rumination (RUM)","German",NA,NA,"kuehner_2017_mw_rumination_1",NA,NA,"RUM","At the moment, I am stuck on negative thoughts and cannot disengage from them",NA,NA,3,NA,NA
"kuehner_2017_mw_rumination","Ambulatory assessment single-item measures of mind wandering (MW) and perceived uncontrollability of rumination (RUM)","German",NA,NA,"kuehner_2017_mw_rumination_1",NA,NA,"RUM","At the moment, I am stuck on negative thoughts and cannot disengage from them",NA,NA,4,NA,NA
"kuehner_2017_mw_rumination","Ambulatory assessment single-item measures of mind wandering (MW) and perceived uncontrollability of rumination (RUM)","German",NA,NA,"kuehner_2017_mw_rumination_1",NA,NA,"RUM","At the moment, I am stuck on negative thoughts and cannot disengage from them",NA,NA,5,NA,NA
"kuehner_2017_mw_rumination","Ambulatory assessment single-item measures of mind wandering (MW) and perceived uncontrollability of rumination (RUM)","German",NA,NA,"kuehner_2017_mw_rumination_1",NA,NA,"RUM","At the moment, I am stuck on negative thoughts and cannot disengage from them",NA,NA,6,NA,NA
"kuehner_2017_mw_rumination","Ambulatory assessment single-item measures of mind wandering (MW) and perceived uncontrollability of rumination (RUM)","German",NA,NA,"kuehner_2017_mw_rumination_1",NA,NA,"RUM","At the moment, I am stuck on negative thoughts and cannot disengage from them",NA,NA,7,NA,NA
