"table","instrument","language","instructions","section_id","section_prompt","section_prompt_translated","item","item_text","item_text_translated","correct_response","resp","option_text","option_text_translated"
"kuczyk_2024_facemask_fba","Questionnaire on expectations and experiences with wearing face masks in inpatient and day hospitals, pre-version (expectations), with the general mask-attitude validity items","German",NA,"kuczyk_2024_facemask_fba_1",NA,NA,"FBA_1","The mask will negatively influence the relationship with the therapist.",NA,NA,1,"definitely disagree",NA
"kuczyk_2024_facemask_fba","Questionnaire on expectations and experiences with wearing face masks in inpatient and day hospitals, pre-version (expectations), with the general mask-attitude validity items","German",NA,"kuczyk_2024_facemask_fba_1",NA,NA,"FBA_1","The mask will negatively influence the relationship with the therapist.",NA,NA,2,"slightly disagree",NA
"kuczyk_2024_facemask_fba","Questionnaire on expectations and experiences with wearing face masks in inpatient and day hospitals, pre-version (expectations), with the general mask-attitude validity items","German",NA,"kuczyk_2024_facemask_fba_1",NA,NA,"FBA_1","The mask will negatively influence the relationship with the therapist.",NA,NA,3,"undecided",NA
"kuczyk_2024_facemask_fba","Questionnaire on expectations and experiences with wearing face masks in inpatient and day hospitals, pre-version (expectations), with the general mask-attitude validity items","German",NA,"kuczyk_2024_facemask_fba_1",NA,NA,"FBA_1","The mask will negatively influence the relationship with the therapist.",NA,NA,4,"slightly agree",NA
"kuczyk_2024_facemask_fba","Questionnaire on expectations and experiences with wearing face masks in inpatient and day hospitals, pre-version (expectations), with the general mask-attitude validity items","German",NA,"kuczyk_2024_facemask_fba_1",NA,NA,"FBA_1","The mask will negatively influence the relationship with the therapist.",NA,NA,5,"definitely agree",NA
"kuczyk_2024_facemask_fba","Questionnaire on expectations and experiences with wearing face masks in inpatient and day hospitals, pre-version (expectations), with the general mask-attitude validity items","German",NA,"kuczyk_2024_facemask_fba_1",NA,NA,"FBA_2","The mask will distract me from the therapy conversation.",NA,NA,1,"definitely disagree",NA
"kuczyk_2024_facemask_fba","Questionnaire on expectations and experiences with wearing face masks in inpatient and day hospitals, pre-version (expectations), with the general mask-attitude validity items","German",NA,"kuczyk_2024_facemask_fba_1",NA,NA,"FBA_2","The mask will distract me from the therapy conversation.",NA,NA,2,"slightly disagree",NA
"kuczyk_2024_facemask_fba","Questionnaire on expectations and experiences with wearing face masks in inpatient and day hospitals, pre-version (expectations), with the general mask-attitude validity items","German",NA,"kuczyk_2024_facemask_fba_1",NA,NA,"FBA_2","The mask will distract me from the therapy conversation.",NA,NA,3,"undecided",NA
"kuczyk_2024_facemask_fba","Questionnaire on expectations and experiences with wearing face masks in inpatient and day hospitals, pre-version (expectations), with the general mask-attitude validity items","German",NA,"kuczyk_2024_facemask_fba_1",NA,NA,"FBA_2","The mask will distract me from the therapy conversation.",NA,NA,4,"slightly agree",NA
"kuczyk_2024_facemask_fba","Questionnaire on expectations and experiences with wearing face masks in inpatient and day hospitals, pre-version (expectations), with the general mask-attitude validity items","German",NA,"kuczyk_2024_facemask_fba_1",NA,NA,"FBA_2","The mask will distract me from the therapy conversation.",NA,NA,5,"definitely agree",NA
"kuczyk_2024_facemask_fba","Questionnaire on expectations and experiences with wearing face masks in inpatient and day hospitals, pre-version (expectations), with the general mask-attitude validity items","German",NA,"kuczyk_2024_facemask_fba_1",NA,NA,"FBA_3","The mask will make it more difficult for the therapist to understand me acoustically.",NA,NA,1,"definitely disagree",NA
"kuczyk_2024_facemask_fba","Questionnaire on expectations and experiences with wearing face masks in inpatient and day hospitals, pre-version (expectations), with the general mask-attitude validity items","German",NA,"kuczyk_2024_facemask_fba_1",NA,NA,"FBA_3","The mask will make it more difficult for the therapist to understand me acoustically.",NA,NA,2,"slightly disagree",NA
"kuczyk_2024_facemask_fba","Questionnaire on expectations and experiences with wearing face masks in inpatient and day hospitals, pre-version (expectations), with the general mask-attitude validity items","German",NA,"kuczyk_2024_facemask_fba_1",NA,NA,"FBA_3","The mask will make it more difficult for the therapist to understand me acoustically.",NA,NA,3,"undecided",NA
"kuczyk_2024_facemask_fba","Questionnaire on expectations and experiences with wearing face masks in inpatient and day hospitals, pre-version (expectations), with the general mask-attitude validity items","German",NA,"kuczyk_2024_facemask_fba_1",NA,NA,"FBA_3","The mask will make it more difficult for the therapist to understand me acoustically.",NA,NA,4,"slightly agree",NA
