"table","instrument","instructions","section_id","section_prompt","item","item_text","correct_response","option_text","resp"
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_01","My beliefs about myself often conflict with one another.",NA,"Strongly disagree",1
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_01","My beliefs about myself often conflict with one another.",NA,NA,2
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_01","My beliefs about myself often conflict with one another.",NA,"Neutral; no opinion",3
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_01","My beliefs about myself often conflict with one another.",NA,NA,4
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_01","My beliefs about myself often conflict with one another.",NA,"strongly agree",5
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_02","On one day I might have one opinion of myself and on another day I might have a different opinion.",NA,"Strongly disagree",1
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_02","On one day I might have one opinion of myself and on another day I might have a different opinion.",NA,NA,2
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_02","On one day I might have one opinion of myself and on another day I might have a different opinion.",NA,"Neutral; no opinion",3
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_02","On one day I might have one opinion of myself and on another day I might have a different opinion.",NA,NA,4
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_02","On one day I might have one opinion of myself and on another day I might have a different opinion.",NA,"strongly agree",5
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_03","I spend a lot of time wondering about what kind of person I really am.",NA,"Strongly disagree",1
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_03","I spend a lot of time wondering about what kind of person I really am.",NA,NA,2
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_03","I spend a lot of time wondering about what kind of person I really am.",NA,"Neutral; no opinion",3
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_03","I spend a lot of time wondering about what kind of person I really am.",NA,NA,4
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_03","I spend a lot of time wondering about what kind of person I really am.",NA,"strongly agree",5
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_04","Sometimes I feel that I am not really the person that I appear to be.",NA,"Strongly disagree",1
"personalitychange_kramer_2025_sccs","Self-Concept Clarity Scale (SCCS; Campbell et al., 1996)","Below are twelve statements that you may agree or disagree with. Using the scale below, indicate your agreement with each item. Please be open and honest in your responding.","personalitychange_kramer_2025_sccs_1",NA,"sc01_04","Sometimes I feel that I am not really the person that I appear to be.",NA,NA,2
