table,note
florida_twins_friends,"Audit mode (fresh blind extraction) confirmed 19/21 items (friends1-friends19) exactly against W1_Child codebook LDBase.docx. friends20 (My friends attend the same school as me.) and friends21 (My friends are older than me.) are in the live data and current curation but not documented in that codebook -- left blank in the fresh extraction rather than guessed; not evidence the existing curated text is wrong, just unverified against this one source. See itemtext/audit_pending_review/florida_twins_friends_diff.md."
mpsycho_rogers_ocd,"Audit mode: item identity/order/resp-range for the Y-BOCS-SR (10 items) confirmed exactly via MPsychoR::Rogers package docs. Item_text/option_text left blank -- current curation's specific self-report wording doesn't match the generic public Y-BOCS PDF or anything else locatable via reasonable web search; not evidence it's wrong, just unverified against an independent source. See itemtext/audit_pending_review/mpsycho_rogers_ocd_diff.md."
himmelstein-number_series-2025,"Audit mode: item identity/count (9 items, NS_1-NS_9) and instrument identity confirmed via forecastingresearch/fpt GitHub repo (data_cognitive_tasks/task_datasets/data_number_series.csv has correct_answer values matching current curation's implied answers). Could NOT independently verify the actual number-sequence stimuli shown to participants -- the public codebook (data_number_series.docx) only documents column meanings, and the data CSV has no stimulus-text column, only responses/answers; the raw jsPsych trial-config likely lives elsewhere in the repo (cache/ or raw_session_data/, not checked in reasonable effort). Current curation's sequences (e.g. NS_1: 10, 4, ___, -8, -14, -20) are plausible and internally consistent with the stated correct answers, but this is not an independent confirmation. Not flagged as a replace-candidate -- no evidence of a problem, just an unverified source."
lshs-e_quidaja_2022,"Audit mode: response-scale structure (0=no es mi caso...4=es sin duda mi caso, i.e. certainly does not/does apply) independently confirmed as standard LSHS item-family wording via published Spanish LSHS-R literature (Fonseca-Pedrero et al., redalyc.org/pdf/167/16713758006.pdf). Could not verbatim-verify this specific paper's (Quijada, Saldivia, Bustos et al. 2022) own Spanish LSHS-E translation -- the only public OSF materials (osf.io/4jb6k) are raw data spreadsheets with no item-text codebook, and the closest public Spanish LSHS text found is a different translation for the related-but-distinct LSHS-R. Current curation's 16 items are thematically consistent with the known LSHS item family (thought intrusion, daydream vividness, voice-hearing, visual hallucination) and internally consistent; no evidence of a problem, just not independently reproduced verbatim. Not flagged as a replace-candidate."
gilbert_meta_40,"Audit mode: could not verify -- source (Harvard Dataverse doi:10.7910/DVN/FXL7JW) returns an AWS WAF bot-challenge (empty body) to both curl and WebFetch, same blocking pattern noted elsewhere in this skill's history (e.g. gilbert_meta_12's Figshare block). Current curation (140 rows, arithmetic computation items like 'Add: 4 + ...', 'Subtract: ...') looks plausible for a randomized computation/numeracy test, and item names (b1_q1001-1010, f1_q901-920) suggest per-respondent algorithmically-generated arithmetic problems rather than a single fixed published instrument -- if so there may be no canonical 'correct' item text to verify against beyond what the RCT's own generated stimuli were. Also note a pre-existing NOTES flag in the index workbook: 'b1_q1001-1010 should be in gilbert meta_39, they both cognitive tests' -- worth a human look at whether this table's baseline items belong here or in gilbert_meta_39, separate from the source-access issue. Not flagged as a replace-candidate; source access blocked."
sun_2025_morality_study2_self-moral-character,"Audit mode: OSF project (5e9y3) has no measures codebook, only analyses.R/data-clean/tables/figures -- the paper itself (Sun, Wu & Goodwin 2025, JPSP) is paywalled. Current curation's 10 Chinese trait-adjective items (trustworthy/fair/kind/generous/loyal/grateful/principled/helpful/honest/humble) were spot-checked for translation accuracy only (all 10 Chinese terms independently confirmed as correct translations of the expected English trait) and the trait set matches the known moral-character-trait paradigm from this paper's co-author's (Goodwin) prior work -- plausible and internally consistent, but not verified against a primary source describing this specific study's actual item wording/instructions. Not flagged as a replace-candidate."
threat_isler_2024_exp1_cog_panas,"Audit mode: OSF project (grafm) only has a data zip + README.pdf, no separate survey materials/codebook found; README doesn't mention PANAS. Current curation's 22-item list (standard 20 PANAS words + repulsed + disgusted) is internally consistent and plausible for a PANAS-X-style extension, and item_text/option_text formatting is self-consistent, but not independently verified against a primary source. Not flagged as a replace-candidate -- no evidence of a problem, just unverified."
pezzuti_2025_coolpeople_traditional,"Audit mode: item content/phrasing (third-person 'He/she thinks it is important...') closely matches the style of Schwartz's Portrait Values Questionnaire (PVQ) Tradition subscale, but could not confirm verbatim against this specific paper's (Pezzuti, Warren & Chen, 2025) own materials -- OSF project uses a view-only link that didn't return file listings via API in reasonable effort. Plausible, not evidence of a problem, not independently verified."
pezzuti_2025_coolpeople_conforming,"Audit mode: same as pezzuti_2025_coolpeople_traditional -- item phrasing matches PVQ Conformity subscale style closely but not verbatim-confirmed against this paper's own materials (OSF view-only link, no file listing returned)."
mhscdc_fried_2020_motivation,"Audit mode: 16-item structure ('Why are you currently participating in this research?' stem + reason items) and the distinctive 7-point 'Corresponds not at all...Corresponds exactly' response scale exactly match the signature format of Vallerand's SDT-based motivation scales (Academic/Situational Motivation Scale), adapted for research-participation context. Could not locate this specific study's own materials describing this adaptation (not in Measures_Baseline.pdf or Measures_EMA.pdf, the only OSF mvdpe materials found). Plausible and well-structured, not evidence of a problem, not primary-source verified."
chile_2023_social-welfare-survey_f,"Audit mode: 24-item trust/civic-participation module (confianza en instituciones: Congreso, Gobierno, Carabineros, bomberos, municipios, sindicatos; participacion: partido politico, sindicato, iglesia, huelga, marcha) is well-formed and plausible for a Chilean government social survey, but could not be verbatim-confirmed -- checked the official CASEN 2022 questionnaire PDF (observatorio.ministeriodesarrollosocial.gob.cl) directly and did not find matching item text, suggesting this may be from a different survey wave/module than base CASEN despite the dictionary description. Not flagged as a replace-candidate -- no evidence of a problem, just unverified against the specific source instrument."
