table,section_id,item,instrument,instructions,section_prompt,item_text,correct_response,option_text,resp
iwasa_2016_padua_inventory,iwasa_2016_padua_inventory_1,pi01,"Padua Inventory (Sanavio, 1988), 60-item version",Reply to each question with a rating of 0 to 4 (0 equals not at all; 1 equals a little; 2 equals some; 3 equals a lot; 4 equals very much.),,I feel my hands are dirty when I touch money.,,Not at all,0
iwasa_2016_padua_inventory,iwasa_2016_padua_inventory_1,pi01,"Padua Inventory (Sanavio, 1988), 60-item version",Reply to each question with a rating of 0 to 4 (0 equals not at all; 1 equals a little; 2 equals some; 3 equals a lot; 4 equals very much.),,I feel my hands are dirty when I touch money.,,A little,1
iwasa_2016_padua_inventory,iwasa_2016_padua_inventory_1,pi01,"Padua Inventory (Sanavio, 1988), 60-item version",Reply to each question with a rating of 0 to 4 (0 equals not at all; 1 equals a little; 2 equals some; 3 equals a lot; 4 equals very much.),,I feel my hands are dirty when I touch money.,,Some,2
iwasa_2016_padua_inventory,iwasa_2016_padua_inventory_1,pi01,"Padua Inventory (Sanavio, 1988), 60-item version",Reply to each question with a rating of 0 to 4 (0 equals not at all; 1 equals a little; 2 equals some; 3 equals a lot; 4 equals very much.),,I feel my hands are dirty when I touch money.,,A lot,3
iwasa_2016_padua_inventory,iwasa_2016_padua_inventory_1,pi01,"Padua Inventory (Sanavio, 1988), 60-item version",Reply to each question with a rating of 0 to 4 (0 equals not at all; 1 equals a little; 2 equals some; 3 equals a lot; 4 equals very much.),,I feel my hands are dirty when I touch money.,,Very much,4
iwasa_2016_padua_inventory,iwasa_2016_padua_inventory_1,pi02,"Padua Inventory (Sanavio, 1988), 60-item version",Reply to each question with a rating of 0 to 4 (0 equals not at all; 1 equals a little; 2 equals some; 3 equals a lot; 4 equals very much.),,"I think even slight contact with bodily secretions (perspiration, saliva, urine, etc.) may contaminate my clothes or somehow harm me.",,Not at all,0
iwasa_2016_padua_inventory,iwasa_2016_padua_inventory_1,pi02,"Padua Inventory (Sanavio, 1988), 60-item version",Reply to each question with a rating of 0 to 4 (0 equals not at all; 1 equals a little; 2 equals some; 3 equals a lot; 4 equals very much.),,"I think even slight contact with bodily secretions (perspiration, saliva, urine, etc.) may contaminate my clothes or somehow harm me.",,A little,1
iwasa_2016_padua_inventory,iwasa_2016_padua_inventory_1,pi02,"Padua Inventory (Sanavio, 1988), 60-item version",Reply to each question with a rating of 0 to 4 (0 equals not at all; 1 equals a little; 2 equals some; 3 equals a lot; 4 equals very much.),,"I think even slight contact with bodily secretions (perspiration, saliva, urine, etc.) may contaminate my clothes or somehow harm me.",,Some,2
iwasa_2016_padua_inventory,iwasa_2016_padua_inventory_1,pi02,"Padua Inventory (Sanavio, 1988), 60-item version",Reply to each question with a rating of 0 to 4 (0 equals not at all; 1 equals a little; 2 equals some; 3 equals a lot; 4 equals very much.),,"I think even slight contact with bodily secretions (perspiration, saliva, urine, etc.) may contaminate my clothes or somehow harm me.",,A lot,3
iwasa_2016_padua_inventory,iwasa_2016_padua_inventory_1,pi02,"Padua Inventory (Sanavio, 1988), 60-item version",Reply to each question with a rating of 0 to 4 (0 equals not at all; 1 equals a little; 2 equals some; 3 equals a lot; 4 equals very much.),,"I think even slight contact with bodily secretions (perspiration, saliva, urine, etc.) may contaminate my clothes or somehow harm me.",,Very much,4
iwasa_2016_padua_inventory,iwasa_2016_padua_inventory_1,pi03,"Padua Inventory (Sanavio, 1988), 60-item version",Reply to each question with a rating of 0 to 4 (0 equals not at all; 1 equals a little; 2 equals some; 3 equals a lot; 4 equals very much.),,I find it difficult to touch an object when I know it has been touched by strangers or by certain people.,,Not at all,0
