table,bucket,classification,source_checked,reasoning
wolf_2017_study2_anxiety_pre,open,UNAVAILABLE (copyrighted),PLOS paper body + both supplementary files (S1/S2, raw .sav data),Paper only names 6 items of the STAI without reproducing wording; STAI is a commercially copyrighted Mind Garden instrument.
reinecke_2018_online_vigilance,open,AVAILABLE,PLOS ONE paper Table 2,Table 2 explicitly lists all 12 final Online Vigilance Scale items with wording.
amorim_2025_climej_climej,open,BLOCKED,SciELO/RAC paper (3 example items) + Harvard Dataverse record,Dataverse record confirmed to host questionnaire files but page could not be fetched (access wall).
enem_2013_1mil_mt,open,AVAILABLE,INEP official microdata/exam-booklet portal,INEP publicly hosts actual 2013 ENEM exam booklets with literal item text and answer keys.
schmidt_2017_pds,open,UNAVAILABLE,Web search for source paper; checked Petersen PDS reproductions,Could not identify the specific source paper; no checked PDS source reproduces full item wording.
moon_2023_selfesteem,open,UNAVAILABLE,"PeerJ 10.7717/peerj.16295 (Moon & Kim 2023), original PPP validation 1994",Neither citing paper nor original PPP source reproduces the 11-item self-esteem wording anywhere accessible.
lunacortes_2019_interperson_conn,open,AVAILABLE,PLOS paper body Table 1 (Items of the scales),Table 1 lists full item wording by construct including the 4-item IC scale.
liu_2023_adherence_factors,open,UNAVAILABLE,Extensive web search (author/topic/Redivis ID/sibling hints),Source paper/dataset could not be identified within bounded effort.
evpromisi_stone_2021_ddedanx,open,AVAILABLE,healthmeasures.net / LOINC / third-party CRF mirrors for PROMIS Anxiety item bank,PROMIS Emotional Distress-Anxiety is a standardized NIH-funded public item bank; full item text freely published independent of Dataverse access.
nomt_hooper_2024_study1,open,AVAILABLE,Figshare dataset file listing (via API),Open CC-licensed repo includes stimulus image sets and trial data; no text items exist to transcribe (nonverbal task), stimuli are openly available.
thanh_2025_perceived_control,open,AVAILABLE,PLOS S1 Appendix (docx),S1 Appendix "Questionnaire items" gives verbatim wording for all 5 items.
alsyouf_2024_effort_expectancy,open,UNAVAILABLE,PLOS paper full text,Paper states items were "adopted from" prior UTAUT studies but reproduces no wording; no supplementary questionnaire file found.
rzeszutek_2020_wwii_matgrandfather,open,AVAILABLE,PLOS paper S1/S2 supplementary files,S1 (Polish) and S2 (English) are the full survey instrument DOCX.
koirala_2024_brief_cope,open,AVAILABLE,PLOS paper + Univ. Miami measures library,Brief COPE (Carver 1997) is a well-known freely published instrument hosted by the author's institution; matches this table's construct/N.
liu_2023_adherence_tools,open,AVAILABLE,"data/liu_2023_medication_adherence.py processing script, EuropePMC supplementary .sav",Item wording present as Chinese variable labels in openly-accessible supplementary .sav, already translated in processing script header.
pisa2012_read,open,AVAILABLE,OECD PISA released-items search,OECD publicly publishes a Reading Literacy released-items booklet substantially overlapping the 2012 reading item pool (trend domain).
pierro_2018_locomotion_s1,open,AVAILABLE,PLOS paper (S1 = SPSS data only) + db.arabpsychology.com scales database,Locomotion Regulatory Mode Scale (Kruglanski et al. 2000) full item text freely published on an open psychological-scales database.
rowe_2016_symptoms,open,UNAVAILABLE (copyrighted),PLOS paper + S1 File description,Paper only names/describes instruments; Beck Anxiety Inventory portion is commercially copyrighted, other items have no standardized public wording.
teq_novak_2021_spirit,open,AVAILABLE,OSF z85cv + child nodes,"OSF project is entirely Toronto Empathy Questionnaire materials (Czech translation doc); dictionary Description (""Daily Spiritual Experience Scale"") is a mismatch -- actual instrument is TEQ, whose items are available."
liem_2024_perceived_benefit_ema,open,BLOCKED,Redivis table page + web search,Redivis pages are JS-rendered with no usable description via fetch tooling; source paper could not be identified from table name alone.
kraft_todd_2017_warmth,open,AVAILABLE,PLOS ONE article page,Paper lists S2 File "Measures" as a dedicated questionnaire-item supplementary file distinct from the raw-data file.
zhang_2025_environ_awareness,open,AVAILABLE,PLOS ONE article page,Paper states questionnaire items are shown in Supporting Information S2 File "List of scale items."
bfi_goldberg_1992_conscientiousness,claimed_excluded,AVAILABLE,openpsychometrics.org/_rawdata/,IPIP-FFM dataset ships as a zip with a codebook.txt containing full item wording alongside the data.
cfq_ruiz_2025_dass,claimed_excluded,AVAILABLE,OSF sv9c3 Questionnaires folder,Folder contains both CFQ.pdf and DASS-21.pdf despite the paper/table name mismatch.
cub_relgoods,claimed_excluded,UNAVAILABLE,"CRAN vignette PDF, rdocumentation, labstat.it",Only variable names/short labels and response-scale anchors documented anywhere findable; literal Italian item wording not reproduced.
matzke-experiment2-2022,claimed_excluded,AVAILABLE,He et al. 2022 Behav Res paper (PMC/Springer) + GitHub teamOSTAP/OSARI,Open-access paper and linked open-source GitHub repo both document actual on-screen task instructions/stimulus text.
anunciacao_2025_emotional_social-awareness,claimed_excluded,BLOCKED,OSF 9dps4 (API file listing) + Wiley paper landing page (402 paywall),OSF exposes no visible item/questionnaire file; license note "Permission via Email" suggests item text may exist via author correspondence not surfaced publicly.
sabfi2_gallardo_pujol_2018_micro,claimed_excluded,UNAVAILABLE,OSF kp572 (API file listing) + web search,OSF project contains only BFI-2 Spanish-adaptation files; no microaggression-scale materials or other publication found anywhere.
guatemala_2024_homes_energy,claimed_excluded,AVAILABLE,INE ENCASBA official boleta PDF,Official ENCASBA 2024 questionnaire PDF published alongside the survey contains literal item wording and response scales.
chile_2023_social-welfare-survey_ss,claimed_excluded,AVAILABLE,observatorio.ministeriodesarrollosocial.gob.cl EBS 2023 page + design doc,"Official EBS (Encuesta de Bienestar Social) 2023 instrument PDF confirms this table is EBS-specific, distinct from base CASEN -- same mismatch pattern as sibling _f table."
