"table","section_id","item","instrument","instructions","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","resp","language"
"gilbert_meta_71","gilbert_meta_71_1","mathwrit_std12_count1a","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"गिनो और सही संख्या पर घेरा (O) लगाओ।","Count and circle the correct number.",NA,NA,NA,NA,0,"Hindi"
"gilbert_meta_71","gilbert_meta_71_1","mathwrit_std12_count1a","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"गिनो और सही संख्या पर घेरा (O) लगाओ।","Count and circle the correct number.",NA,NA,NA,NA,1,"Hindi"
"gilbert_meta_71","gilbert_meta_71_1","mathwrit_std12_count1b","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"गिनो और सही संख्या पर घेरा (O) लगाओ।","Count and circle the correct number.",NA,NA,NA,NA,0,"Hindi"
"gilbert_meta_71","gilbert_meta_71_1","mathwrit_std12_count1b","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"गिनो और सही संख्या पर घेरा (O) लगाओ।","Count and circle the correct number.",NA,NA,NA,NA,1,"Hindi"
"gilbert_meta_71","gilbert_meta_71_2","mathwrit_std12_count2a","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"गिनो और लिखो।","Count and write.",NA,NA,NA,NA,0,"Hindi"
"gilbert_meta_71","gilbert_meta_71_2","mathwrit_std12_count2a","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"गिनो और लिखो।","Count and write.",NA,NA,NA,NA,1,"Hindi"
"gilbert_meta_71","gilbert_meta_71_2","mathwrit_std12_count2b","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"गिनो और लिखो।","Count and write.",NA,NA,NA,NA,0,"Hindi"
"gilbert_meta_71","gilbert_meta_71_2","mathwrit_std12_count2b","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"गिनो और लिखो।","Count and write.",NA,NA,NA,NA,1,"Hindi"
"gilbert_meta_71","gilbert_meta_71_3","mathwrit_std12_miss_no_a","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"खाली डिब्बे में छूटे हुए संख्या को लिखो।","Write the missing number in the empty box.",NA,NA,NA,NA,0,"Hindi"
"gilbert_meta_71","gilbert_meta_71_3","mathwrit_std12_miss_no_a","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"खाली डिब्बे में छूटे हुए संख्या को लिखो।","Write the missing number in the empty box.",NA,NA,NA,NA,1,"Hindi"
"gilbert_meta_71","gilbert_meta_71_3","mathwrit_std12_miss_no_b","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"खाली डिब्बे में छूटे हुए संख्या को लिखो।","Write the missing number in the empty box.","99 ___ 101","99 ___ 101",NA,NA,0,"Hindi"
"gilbert_meta_71","gilbert_meta_71_3","mathwrit_std12_miss_no_b","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"खाली डिब्बे में छूटे हुए संख्या को लिखो।","Write the missing number in the empty box.","99 ___ 101","99 ___ 101",NA,NA,1,"Hindi"
"gilbert_meta_71","gilbert_meta_71_4","mathwrit_std12_add1d_a","Written mathematics test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"हल करो।","Solve.",NA,NA,NA,NA,0,"Hindi"
