"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp","raw_resp"
"gilbert_meta_23","gilbert_meta_23_1","1code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Which number is fifteen?","B","5",0,"A"
"gilbert_meta_23","gilbert_meta_23_1","1code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Which number is fifteen?","B","15",1,"B"
"gilbert_meta_23","gilbert_meta_23_1","1code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Which number is fifteen?","B","50",0,"C"
"gilbert_meta_23","gilbert_meta_23_1","2code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Counting up from 10, which number comes next?","C","12",0,"A"
"gilbert_meta_23","gilbert_meta_23_1","2code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Counting up from 10, which number comes next?","C","9",0,"B"
"gilbert_meta_23","gilbert_meta_23_1","2code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Counting up from 10, which number comes next?","C","11",1,"C"
"gilbert_meta_23","gilbert_meta_23_1","3code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Count by 1s from the number 9. Drag and drop the numbers that are missing. Numbers to drag: 13, 40, 4, 3, 14, 30. 9, 10, 11, 12, ___, ___, 15, 16, 17, 18","13, 14",NA,0,NA
"gilbert_meta_23","gilbert_meta_23_1","3code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Count by 1s from the number 9. Drag and drop the numbers that are missing. Numbers to drag: 13, 40, 4, 3, 14, 30. 9, 10, 11, 12, ___, ___, 15, 16, 17, 18","13, 14",NA,1,NA
"gilbert_meta_23","gilbert_meta_23_1","4code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Put the numbers in order to show counting from 17. Numbers to drag: 19, 18, 20. 17, ___, ___, ___","18, 19, 20",NA,0,NA
"gilbert_meta_23","gilbert_meta_23_1","4code","Early elementary mathematics assessment assembled from the Certica item bank (Bang, Li & Flynn 2023)",NA,"Items administered at both pre-test and post-test","Put the numbers in order to show counting from 17. Numbers to drag: 19, 18, 20. 17, ___, ___, ___","18, 19, 20",NA,1,NA
