"table","section_id","item","instrument","instructions","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp","raw_resp","language"
"gilbert_meta_70","gilbert_meta_70_1","langwrit_std12_let_dic1","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"सुनो और अक्षर लिखो।","Listen and write the letter.",NA,NA,NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_1","langwrit_std12_let_dic1","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"सुनो और अक्षर लिखो।","Listen and write the letter.",NA,NA,NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_1","langwrit_std12_let_dic2","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"सुनो और अक्षर लिखो।","Listen and write the letter.",NA,NA,NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_1","langwrit_std12_let_dic2","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"सुनो और अक्षर लिखो।","Listen and write the letter.",NA,NA,NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_1","langwrit_std12_let_dic3","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"सुनो और अक्षर लिखो।","Listen and write the letter.",NA,NA,NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_1","langwrit_std12_let_dic3","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"सुनो और अक्षर लिखो।","Listen and write the letter.",NA,NA,NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_1","langwrit_std12_let_dic4","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"सुनो और अक्षर लिखो।","Listen and write the letter.",NA,NA,NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_1","langwrit_std12_let_dic4","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"सुनो और अक्षर लिखो।","Listen and write the letter.",NA,NA,NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_2","langwrit_std12_let_fill1","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"कौनसा अक्षर होना चाहिए? खाली डिब्बे में लिखो।","Which letter should it be? Write it in the empty box.",NA,NA,NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_2","langwrit_std12_let_fill1","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"कौनसा अक्षर होना चाहिए? खाली डिब्बे में लिखो।","Which letter should it be? Write it in the empty box.",NA,NA,NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_2","langwrit_std12_let_fill2_1","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"कौनसा अक्षर होना चाहिए? खाली डिब्बे में लिखो।","Which letter should it be? Write it in the empty box.","य ___ ___ व","ya ___ ___ va  (Devanagari letters; the child writes the two missing letters)",NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_2","langwrit_std12_let_fill2_1","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"कौनसा अक्षर होना चाहिए? खाली डिब्बे में लिखो।","Which letter should it be? Write it in the empty box.","य ___ ___ व","ya ___ ___ va  (Devanagari letters; the child writes the two missing letters)",NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_2","langwrit_std12_let_fill2_2","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"कौनसा अक्षर होना चाहिए? खाली डिब्बे में लिखो।","Which letter should it be? Write it in the empty box.","य ___ ___ व","ya ___ ___ va  (Devanagari letters; the child writes the two missing letters)",NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_2","langwrit_std12_let_fill2_2","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"कौनसा अक्षर होना चाहिए? खाली डिब्बे में लिखो।","Which letter should it be? Write it in the empty box.","य ___ ___ व","ya ___ ___ va  (Devanagari letters; the child writes the two missing letters)",NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_2","langwrit_std12_let_fill3_1","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"कौनसा अक्षर होना चाहिए? खाली डिब्बे में लिखो।","Which letter should it be? Write it in the empty box.","थ ___ ___ न","tha ___ ___ na  (Devanagari letters; the child writes the two missing letters)",NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_2","langwrit_std12_let_fill3_1","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"कौनसा अक्षर होना चाहिए? खाली डिब्बे में लिखो।","Which letter should it be? Write it in the empty box.","थ ___ ___ न","tha ___ ___ na  (Devanagari letters; the child writes the two missing letters)",NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_2","langwrit_std12_let_fill3_2","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"कौनसा अक्षर होना चाहिए? खाली डिब्बे में लिखो।","Which letter should it be? Write it in the empty box.","थ ___ ___ न","tha ___ ___ na  (Devanagari letters; the child writes the two missing letters)",NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_2","langwrit_std12_let_fill3_2","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"कौनसा अक्षर होना चाहिए? खाली डिब्बे में लिखो।","Which letter should it be? Write it in the empty box.","थ ___ ___ न","tha ___ ___ na  (Devanagari letters; the child writes the two missing letters)",NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_3","langwrit_std12_matpic1","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"कौनसा शब्द चित्र से मिलता है? उस पर घेरा (O) लगाओ।","Which word matches the picture? Circle it.",NA,NA,NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_3","langwrit_std12_matpic1","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"कौनसा शब्द चित्र से मिलता है? उस पर घेरा (O) लगाओ।","Which word matches the picture? Circle it.",NA,NA,NA,NA,NA,1,NA,"Hindi"
