"table","status","n_items_live","n_items_candidate","item_set_match","resp_set_match","uses_raw_resp","canonical_nulls","pct_item_text_missing","pct_option_text_missing","note"
"anxiety_gastro_symptoms","PASS",15,15,TRUE,TRUE,FALSE,TRUE,0,0,""
"audit_BrummerHoffman_2021","PASS",3,3,TRUE,TRUE,FALSE,TRUE,0,0,""
"brand_raffaelli_2024_recognition_20","WARN",101,101,TRUE,TRUE,FALSE,TRUE,0,0,"row-count anomaly (possible item-code conflation or missingness skew), median=592: 1_recognition, 101_recognition"
"cavalini_mokken","PASS",17,17,TRUE,TRUE,FALSE,TRUE,0,0,""
"conner_2017_lot","PASS",6,6,TRUE,TRUE,FALSE,TRUE,0,57.1,"57.1% of rows have blank option_text"
"consideration_future_consequences","PASS",12,12,TRUE,TRUE,FALSE,TRUE,0,0,""
"cordova2019_clinical_edu_environment","PASS",40,40,TRUE,TRUE,FALSE,TRUE,0,100,"100% of rows have blank option_text"
"cucchi_2018_pts","PASS",7,7,TRUE,TRUE,FALSE,TRUE,0,0,""
"disgust_berger2014","PASS",25,25,TRUE,TRUE,FALSE,TRUE,0,0,""
"ees_sarling_2024","PASS",30,30,TRUE,TRUE,FALSE,TRUE,0,0,""
