"table","mapping_basis","text_source","translation_source","key_source","source_ref","note","public_note","uploaded"
"anxiety_gastro_symptoms","data_labels","study_materials","","","OSF osf.io/gh624 (CC BY 4.0), 'Data Sets/EHAS_CFA.sav' and 'Code for Validation Analyses/Modified EHAS CFA code for R.docx'. Instrument context: Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (2024), 'Validation of a measure of hypervigilance and anxiety about gastrointestinal symptoms for individuals with elevated eating pathology', Psychological Assessment 36:41-52, doi:10.1037/pas0001280.","THE .SAV SUPPLIES EVERYTHING AND THE CODES ARE ITS OWN COLUMN NAMES, so there is no mapping step: aehas1-aehas15 carry variable labels giving the item and an identical value-label set giving the anchors. The one thing that needed checking is the coding shift -- the .sav stores 0-4 while IRW stores 1-5, because data/anxiety_gastro_symptoms.R reads with to.data.frame=TRUE (so the columns come back as label factors) and then match()es the label vector, which is 1-based. The verify script reproduces all 75 item x resp cells under resp = sav value + 1. The 9/6 anxiety/hypervigilance split named in the instrument string is the deposit's own CFA code, not a reading of the items. No instruction block is deposited, so instructions and section_prompt are empty rather than reconstructed. The measure is the Esophageal Hypervigilance and Anxiety Scale (Taft et al. 2018) modified to refer to the gut; the deposit and code call it GIHAS.","Fifteen statements about anxiety and hypervigilance regarding gut symptoms, rated 1 = Strongly Disagree to 5 = Strongly Agree. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale. The source file codes the same anchors 0-4; the IRW values are one higher.","NA"
"audit_BrummerHoffman_2021","data_labels","study_materials","study_supplied","","OSF osf.io/p8j2v (CC BY 4.0): 'Questionnaire_Portuguese_BR.pdf' (administered form, AUDIT-C at items 220-222), 'Deidentified data set/Question_framing_data_processing.Rmd' (the option -> score recode), and 'Questionnaire_English.pdf' (the study's own English). Brummer & Hoffman (2021).","THE DEPOSIT'S PROCESSING SCRIPT IS AN EXPLICIT OPTION -> RESP KEY and settles two things the questionnaires alone would leave open. (1) The study was administered in Brazilian Portuguese: the raw columns ARE the Portuguese question text, which the script renames to audit_frequency / audit_number_drinks / audit_binge. Portuguese therefore ships in the base fields and the study's own English in the *_translated ones. (2) THE ENGLISH QUESTIONNAIRE IS WRONG ABOUT THE THIRD ITEM. Questionnaire_English.pdf item 176 prints the options descending (1. Daily or almost daily ... 5. Never), which would make resp 0 mean daily binge drinking. The administered Portuguese item 222 runs ascending and the recode is explicit: 'Nunca'=0 ... 'Todos ou quase todos os dias'=4. The data agree (binge correlates +0.55 and +0.70 with the other two items, and 1034 of 1828 sit at 0). An earlier pass treated this as a judgement call against the source; it is not -- the source's own code settles it, and only its English translation disagrees. (3) The recode maps BOTH 'Nao bebo' and '1 ou 2' to 0 on audit_number_drinks. Two option rows on one resp is what irw-validate's resp_ambiguous check blocks, so they ship joined as a single label, 'Nao bebo / 1 ou 2'. The English questionnaire omits 'Nao bebo' entirely and lists only five options.","AUDIT-C administered in Brazilian Portuguese; the English alongside is the study's own translation. Two points to know before using the scores. The third item (six or more drinks on one occasion) is scored in the standard AUDIT-C direction, 0 = Nunca to 4 = Todos ou quase todos os dias -- the deposit's English questionnaire prints those options in the reverse order, which does not match the data. And on the second item, 'Nao bebo' (I do not drink) and '1 ou 2' were separate options on the form that both score 0, so a 0 there does not distinguish abstainers from light drinkers; the two are shown as one label because the value cannot tell them apart.","NA"
"brand_raffaelli_2024_recognition_20","data_labels","study_materials","","","ResearchBox 1892 (CC BY 4.0): the auto-generated codebooks 'Raw_Brand_Memory_Task_Prolific.xlsx___CODEBOOK.csv' and 'Raw_Logo_Memory_Task_Prolific.xlsx___CODEBOOK.csv', and the Qualtrics files 'Brand_Memory_Task_Prolific.qsf' / 'Logo_Memory_Task_Prolific.qsf'. Raffaelli, Bocchi, Estes & Adelman (2025), 'BRAND: Brand recognition and attitude norms database', Behavior Research Methods 57:17, doi:10.3758/s13428-024-02525-x.","AN ITEM CODE HERE IS A QUALTRICS LOOP POSITION, NOT A STIMULUS, AND THE TWO POOLED SUBSAMPLES NUMBER THEIR POSITIONS DIFFERENTLY. The brand-name task exports 2_Recognition..101_Recognition and the logo task 1_Recognition..100_Recognition, both covering 50 first-list then 50 second-list positions; the union is the 101-item live set and 100 of the 101 are answered by any one respondent (density 0.99). So N_recognition is serial position N-1 for item_family=name and position N for item_family=logo -- item_text says so per item. Within a subsample the stimulus at a position is fixed by cov_condition (List_1..List_10) through the .qsf loop tables; that is a three-way key and cannot be expressed in a table keyed on item alone, so the stimulus is not named (irw#1656 tracks recovering it). What the verify script does establish, from the data, is the old/new design: odd-numbered lists studied the low half and rejected the high half, even-numbered lists the reverse, with hit rates near .8 against false alarms near .2 -- which also fixes resp 1 = Old rather than 1 = New, independently of the .qsf's choice labels.","Old/new recognition memory for brand names and logos. An item code is a position in the Qualtrics loop, not a particular brand: the same code indexes a different serial position in the two subsamples (for item_family=name subtract one), and which brand or logo sits at that position depends on the respondent's cov_condition. resp is 1 for 'Old' and 2 for 'New'. Positions 1-50 of each subsample were the studied set for respondents in odd-numbered lists and the lures for even-numbered lists; positions 51-100 the reverse.","NA"
"cavalini_mokken","data_labels","translated_substitute","third_party_english","","mokken R package (CRAN, GPL-2+): data(cavalini) and its man page ?cavalini. Original study: Cavalini, P. M. (1992), 'It's an ill wind that brings no good: studies on odour annoyance and the dispersion of odorant concentrations from industries', doctoral dissertation, University of Groningen; see Sijtsma & Molenaar (2002), Introduction to nonparametric item response theory, pp. 82-86.","NO MAPPING STEP: Item1..Item17 are the packaged matrix's own column names, and the verify script reproduces all 68 live item x resp cells from data(cavalini). Two English renderings exist in the package and they differ slightly in eight of seventeen items -- attributes(cavalini)$labels (lower case, terse: 'avoid nose breathing') and the man page's \tabular ('Avoid breathing through the nose'). item_text ships the MAN PAGE wording because it is the package's published, human-facing rendering; the verify script prints both and shows they agree item for item. Neither is administered wording: the study was run in Dutch in the early 1990s and the dissertation is not online, so language=Dutch with English in the base fields and empty *_translated columns, which is the documented fallback.","Seventeen ways of coping with a bad smell from a nearby factory, each rated 0 = never to 3 = always. The study was conducted in Dutch; the English shipped here is the mokken R package's rendering, which is the form in which this data set is distributed. The seventeen items form four scales (Sijtsma & Molenaar 2002, pp. 82-86).","NA"
"conner_2017_lot","data_labels","study_materials","","","PLOS ONE 10.1371/journal.pone.0171206 supplementary file S1 (.sav, CC BY 4.0): SPSS variable and value labels for lot1-lot6 and rlot1-rlot6. Conner, Brookie, Carr, Mainvil & Vissers (2017).","THE LABELS SETTLE THE WORDING AND CONTRADICT THEMSELVES ON THE DIRECTION. Item codes are a number-preserving rename (lot1->item1 baseline, rlot1->item1 wave 1), so there is no mapping to infer. But three variables are labelled '(already reverse scored)' while carrying the same 1 = Strongly disagree value labels as the other three -- the value labels were not updated when the columns were reversed. The data settle it twice over: all six items intercorrelate positively (min 0.29) at baseline, and all six correlate NEGATIVELY with the same trial's CES-D (-0.32 to -0.41). A raw 'If something can go wrong for me, it will' must correlate positively with depression. The shipped anchors for item2, item4 and item5 are therefore inverted relative to the .sav value labels, and the override is deliberate. Only scale points 1, 4 and 7 were labelled on the administered form, so 2, 3, 5 and 6 ship with empty option_text. The four unscored LOT-R filler items are not in the data file.","Life Orientation Test-Revised, six scored items, measured at baseline (wave 0) and follow-up (wave 1). The three pessimism-worded items -- item2, item4 and item5 -- are stored ALREADY REVERSE-SCORED, as the source data file states, so for those three a high value means disagreement with the printed statement and the option labels shipped here are inverted to match. A 7-point scale labelled only at 1, 4 and 7.","NA"
"consideration_future_consequences","data_labels","study_materials","","","openpsychometrics.org/_rawdata/ CFCS archive (public domain), codebook.txt shipped beside data.csv. Instrument: Strathman, Gleicher, Boninger & Edwards (1994), Consideration of Future Consequences Scale.","BARE INTEGER ITEM CODES (1..12), so the mapping was reproduced rather than argued: the archive's Q1..Q12 columns reproduce all 60 live item x resp cells exactly under Qn -> n. The codebook supplies the wording and the 1-5 anchors verbatim. A third check confirms the numbering independently -- the five future-oriented items correlate positively with the future-subscale mean and all seven immediate-oriented items negatively, which a shifted numbering would break. ONE DATA-SIDE OBSERVATION, not an item-text problem: the live table carries 180,420 rows but only 180,069 have a response. The archive's 0 ('no answer chosen') and -1 codes are mapped to NA by data/consideration_future_consequences.R and never dropped, leaving 351 rows with no resp.","Twelve statements about weighing immediate against distant consequences, rated 1 = extremely uncharacteristic to 5 = extremely characteristic. Items 3, 4, 5, 9, 10, 11 and 12 are worded toward immediate concerns and key opposite to the rest; they are NOT reverse-scored in the data.","NA"
"cordova2019_clinical_edu_environment","data_labels","study_materials","machine_translation","","Harvard Dataverse doi:10.7910/DVN/SHWNK1 (CC0), file 'JEEHP-19-043_5_00_4202.xlsx' -- the study's own Google Forms export, whose question headers are the administered Spanish items. Paper: Cordova-Leon, Fernandez-Huerta & Rojas-Vargas (2019), J Educ Eval Health Prof 16:16, doi:10.3352/jeehp.2019.16.16 (CC BY), whose Table 1 reprints the instrument.","REPRODUCED, NOT INFERRED: the forty numbered question headers re-melt to item_01..item_40 and reproduce all 200 live item x resp cells exactly, 15,640 rows against 15,640. A second check confirms the numbering independently -- the only four items with means below 2.5 are 7, 8, 11 and 13, the PHEEM's four negatively-worded items. THE ANCHOR LABELS ARE NOT RECOVERABLE: the form stored 1-5, the Google Form is gone, and the paper states only that the scale runs 'totally in disagreement' to 'totally agree' scored 0 to 4, i.e. resp - 1. option_text is left empty rather than reconstructed from the English PHEEM. ONE WORDING NOTE: item_04 is shipped as the form asked it, 'Tuve un programa de introduccion informativo'; the paper's Table 1 prints 'Tuve un plan de induccion informativo'. The form is what respondents read. The English in item_text_translated is an IRW rendering -- this adaptation differs from the published PHEEM in its physiotherapy-specific wording, so no published English exists for it.","Chilean Spanish adaptation of the PHEEM (Postgraduate Hospital Educational Environment Measure) for physiotherapy interns, 40 items. The administered anchor labels were not published: responses are stored 1-5 and the paper states only that the scale runs from 'totally in disagreement' to 'totally agree', scored 0-4 (= resp minus 1), so option_text is left blank rather than guessed. Items 7, 8, 11 and 13 are the negatively-worded ones and are not reverse-scored in the data. The English translation was produced by IRW.","NA"
"cucchi_2018_pts","data_labels","study_materials","","","Europe PMC PMC6211265 supplementary file S3 (peerj-06-5756-s003.sav, CC BY 4.0), SPSS variable and value labels for PTS1-PTS7. Cucchi, Hampton & Moulton-Perkins (2018), PeerJ 6:e5756, doi:10.7717/peerj.5756. Instrument: Interpersonal Reactivity Index, Perspective Taking subscale (Davis 1980).","NO MAPPING STEP: PTS1-PTS7 are the .sav's own column names and each carries its item as a variable label. TWO THINGS RECORDED RATHER THAN SMOOTHED OVER. (1) The labels contain transcription slips against the published IRI -- PTS6 'ususally', and PTS3 reads 'imagining how things look from my perspective' where the IRI item reads 'from their perspective'. They ship as the study recorded them; correcting them silently is what the skill's ali_2021_isi case warns against. (2) The VALUE labels are not identical across the seven columns: five share one anchor set, PTS4 reads 'Describe me well' at 4, and PTS7 reads 'Describes me' at 4 and 'Describes me well' at 5 -- a whole set shifted down. The IRI's anchors are fixed across items, so these are label-entry slips, and the shipped anchors are the 5-of-7 set for all seven items. The verify script prints all three variants.","The seven-item Perspective Taking subscale of the Interpersonal Reactivity Index, rated 1 = Does not describe me well to 5 = Describes me very well. Item wording is the source data file's own variable labels, which carry two evident typos relative to the published IRI and are shipped unaltered. Two of the seven columns carried slightly different value labels in the source; the shared set is used for all seven.","NA"
"disgust_berger2014","paper_explicit","study_materials","official_instrument_english","","Harvard Dataverse doi:10.7910/DVN/27285 (CC0): 'DS-R_Hebrew.pdf' (the administered form, items numbered 1-27), the tab-delimited response file (columns Q1..Q27 with Q12_Catch and Q16_Catch), and 'synatx in txt format.txt' (the study's SPSS recode). English from the DS-R master copy, dscale-r1.doc, distributed by EARL at Vanderbilt. Berger & Anaki (2015), J Open Psychology Data 3:e1, doi:10.5334/jopd.ag.","THE CATCH ITEMS PIN THE NUMBERING. The DS-R designates items 12 and 16 as catch items, the raw file names exactly those two columns _Catch, and they are exactly the two Q-codes absent from the live table -- so Q-number equals DS-R item number, and the Hebrew PDF's 1-27 lines up item for item with the English master. DIRECTION: the deposit's syntax reverse-codes Q1, Q6 and Q10 (the DS-R's three reverse-keyed items), and the live data are NOT recoded -- those three are precisely the items with item-total correlations below 0.10 (-0.276, 0.042, -0.211). The shipped anchors therefore apply in the printed direction. TRANSCRIPTION: the Hebrew was read off a 200-dpi rendering of the PDF, not its text layer, because the text layer transposes characters across run boundaries. Two source typos ship as printed -- item 4 'tsiburim' for 'tsiburiyim', and item 13 'lo hayit' (2nd person) in a 1st-person sentence.","The Disgust Scale-Revised as administered in Hebrew. Two sections: items 1-14 are agreement statements and 15-27 are ratings of how disgusting an experience would be, both 0-4 but with different anchor wording. Items 12 and 16 are the scale's catch items and are not in the data. Items Q1, Q6 and Q10 are reverse-keyed and are stored UN-reversed here, so a high value on those three means low disgust sensitivity; the standard scoring subtracts them from 4. The English alongside is the published DS-R, not a translation of this Hebrew form.","NA"
"ees_sarling_2024","paper_explicit","study_materials","official_instrument_english","","OSF osf.io/fr7wz, 'EES_Supplementary Materials.pdf': Appendix A (administered Swedish instruction and anchors), Table S1 (VE1-VE15 / IU1-IU15 with the Swedish items and their survey position), Table S2 (the original English items, from Innamorati et al. 2019). Sarling et al., 'Psychometric Evaluation of the Swedish Version of the Empathic Experience Scale'.","ONE SUPPLEMENT SUPPLIES EVERY FIELD AGAINST THE LIVE ITEM CODES. Table S1's thirty labels are the live item set; its '(order in the survey)' column gives the administered interleaving, which the verify script confirms is VE at odd positions and IU at even. Table S2 is the instrument's published English, so the *_translated columns are the original rather than anything produced here -- this was added on a second pass, the first having shipped Swedish with no English alongside. A structural check: every item's mean correlation with its own subscale exceeds its correlation with the other, for all thirty, so the VE/IU labels are not swapped anywhere.","Swedish Empathic Experience Scale, thirty items in two subscales -- Vicarious Experience (VE1-VE15) and Intuitive Understanding (IU1-IU15) -- administered interleaved, VE at odd positions and IU at even, rated 1 = Stammer inte alls to 5 = Stammer fullstandigt. The English alongside is the instrument's original wording from Innamorati et al. (2019), reproduced by the study's own supplement.","NA"
