"table","batch","mapping_basis","uploaded","route","status","evidence"
"anxiety_gastro_symptoms","batch_303","data_labels","NA","deposit_variable_and_value_labels + coding_shift_reproduction","VERIFIED","There is no mapping step -- aehas1-aehas15 are the .sav's own column names and each carries its item as a variable label -- so the routes check the one thing that is not identity: the 0-4 to 1-5 shift. All 75 item x resp cells reproduce exactly from EHAS_CFA.sav under resp = sav value + 1 (5,730 rows against 5,730). Every column carries the same value-label set, which is what ships as option_text. The 9/6 anxiety/hypervigilance split named in the instrument string is the deposit's own lavaan code. NOT ESTABLISHED: the administered instruction block, which is nowhere in the deposit and is therefore left empty."
"audit_BrummerHoffman_2021","batch_303","data_labels","NA","deposit_processing_script_recode + administered_questionnaire + keying_polarity","VERIFIED","The deposit's own processing script is an explicit option -> score key: it renames the three raw columns from their Brazilian Portuguese question text and then car::recode()s every option label to its value. All three recodes reproduce the shipped option_text/resp pairs. This also settles a contradiction the questionnaires alone leave open -- Questionnaire_English.pdf prints the binge item's options DESCENDING (Never last), while the administered Portuguese form and the recode both run ascending; the data side agrees with the Portuguese (binge correlates +0.55 with frequency and +0.70 with quantity, and 1,034 of 1,828 sit at 0). NOT ESTABLISHED: nothing about the mapping. Note that 'Nao bebo' and '1 ou 2' both score 0 on audit_number_drinks and ship as one joined label, because two labels on one resp is what irw-validate's resp_ambiguous check blocks."
"brand_raffaelli_2024_recognition_20","batch_303","data_labels","NA","deposit_codebooks + qsf_choice_labels + old_new_design_recovery","VERIFIED","The two subsamples' auto-generated codebooks name every recognition column by serial position, and their column sets -- 2..101 for the brand task, 1..100 for the logo task -- match the live item sets per item_family exactly, which is the one-position offset item_text states. The .qsf declares the choices Old=1, New=2. The old/new design is then recovered from the data and independently fixes the direction of resp: for both subsamples, odd-numbered lists show p(Old) near .8 on the low half and near .2 on the high half, and even-numbered lists the reverse. NOT ESTABLISHED, and not establishable in a table keyed on item alone: which brand or logo occupies a given position for a given respondent, which needs item x item_family x cov_condition against the .qsf loop tables (irw#1656). item_text therefore describes the position, not the stimulus."
"cavalini_mokken","batch_303","data_labels","NA","packaged_data_reproduction + man_page_and_labels_attribute_agreement","VERIFIED","Item1..Item17 are the packaged matrix's own column names and data(cavalini) reproduces all 68 live item x resp cells exactly (14,076 rows against 14,076), so the mapping is identity. The package carries two English renderings of the seventeen statements -- the man page's tabular and attributes(cavalini)$labels -- which differ in wording for eight items but agree item for item; item_text ships the man-page rendering and the verify script prints both. NOT ESTABLISHED: the administered Dutch. Cavalini's 1992 Groningen dissertation is not online, so language=Dutch with English in the base fields, which is the documented fallback."
"conner_2017_lot","batch_303","data_labels","NA","deposit_variable_labels + keying_polarity + external_criterion","VERIFIED","The item mapping is a number-preserving rename of the .sav's own labelled columns (lot1/rlot1 -> item1), so it needs no inference; what needed verifying is the anchor DIRECTION, because the labels contradict themselves -- three columns are labelled '(already reverse scored)' while keeping the same 1 = Strongly disagree value labels as the rest. Two routes settle it. All six items intercorrelate positively at baseline (minimum 0.29), which is impossible if the three pessimism-worded items held raw agreement. And all six correlate negatively with the same trial's CES-D (-0.317 to -0.412); a raw 'If something can go wrong for me, it will' would have to correlate positively. The shipped anchors for item2, item4 and item5 are inverted relative to the .sav, deliberately. NOT ESTABLISHED: labels for scale points 2, 3, 5 and 6, which the administered form did not carry."
"consideration_future_consequences","batch_303","data_labels","NA","archive_codebook + full_reproduction + subscale_polarity","VERIFIED","The item codes are bare integers 1..12, so the mapping was reproduced rather than argued: the openpsychometrics archive's Q1..Q12 columns reproduce all 60 live item x resp cells exactly under Qn -> n (180,069 responses against 180,069). The codebook supplies the wording and the 1-5 anchors verbatim. A third route confirms the numbering independently: the five future-oriented items correlate positively with the future-subscale mean and all seven immediate-oriented items negatively, which a shifted numbering would break. NOT ESTABLISHED: nothing about the mapping. Data-side note, not an item-text limit -- the live table carries 180,420 rows, so 351 have no response; the archive's 0 ('no answer chosen') and -1 codes are mapped to NA by the processing script and never dropped."
"cordova2019_clinical_edu_environment","batch_303","data_labels","NA","deposit_column_headers + full_reproduction + negative_item_identification","VERIFIED","The deposit's single file is the study's own Google Forms export whose question headers are the administered Spanish items, each prefixed with the number the processing script turns into item_NN. Re-melting those forty columns reproduces all 200 live item x resp cells exactly (15,640 rows against 15,640). A second route confirms the numbering independently: the only four items with means below 2.5 are 7, 8, 11 and 13, which are the PHEEM's four negatively-worded items. NOT ESTABLISHED: the anchor labels, which no source publishes -- the form stored 1-5 and the paper says only that the scale runs 'totally in disagreement' to 'totally agree' scored 0-4, so option_text is empty rather than reconstructed. The English in item_text_translated is an IRW rendering; this adaptation's physiotherapy-specific wording has no published English."
"cucchi_2018_pts","batch_303","data_labels","NA","deposit_variable_and_value_labels","VERIFIED","PTS1-PTS7 are the .sav's own column names and each carries its item as a variable label, so there is no mapping step; the shipped item_text is those labels verbatim, including their transcription slips against the published IRI (PTS6 'ususally'; PTS3 'from my perspective' where the IRI reads 'from their perspective'). On the anchors the source is not self-consistent: five of seven columns share one value-label set, PTS4 reads 'Describe me well' at 4, and PTS7's set is shifted down one. The IRI's anchors are fixed across items, so these are label-entry slips and the 5-of-7 set ships for all seven. NOT ESTABLISHED: that the labels reproduce the IRI exactly -- they do not, and they are shipped unaltered rather than corrected."
"disgust_berger2014","batch_303","paper_explicit","NA","deposit_questionnaire + catch_item_positions + deposit_recode_syntax","VERIFIED","The DS-R designates items 12 and 16 as catch items; the deposit's raw file names exactly those two columns _Catch, and they are exactly the two Q-codes missing from the live table. That pins Q-number to DS-R item number, and the deposit's Hebrew questionnaire numbers its items 1-27 in the same order as the DS-R master copy, item for item. Direction is settled separately: the deposit's SPSS syntax reverse-codes Q1, Q6 and Q10 (the DS-R's three reverse-keyed items) and the live data are NOT recoded -- those three are precisely the items whose item-total correlations fall below 0.10 (-0.276, 0.042, -0.211). The two administered sections split at 14/15 with distinct anchor sets, as printed. NOT ESTABLISHED at the character level: the Hebrew was transcribed from a 200-dpi rendering because the PDF's text layer transposes characters across run boundaries; two source typos ship as printed."
"ees_sarling_2024","batch_303","paper_explicit","NA","supplement_table + survey_order + subscale_separation","VERIFIED","Table S1 of the study's own supplement pairs all thirty labels with the administered Swedish items and with their position in the survey; the label set is the live item set exactly, and the positions reproduce as VE at odd positions and IU at even. Appendix A gives the administered instruction and the five anchors verbatim. Table S2 gives the instrument's published English (Innamorati et al. 2019), which is what the *_translated columns carry -- added on a second pass, the first having shipped Swedish alone. A structural route confirms the labels are not swapped: for all thirty items the mean correlation with the item's own subscale exceeds its correlation with the other (within 0.41/0.53, between 0.25). NOT ESTABLISHED: nothing material."
