"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","raw_resp"
"cdm_timss03","cdm_timss03_1","M012001","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"In the figure, how many MORE small squares need to be shaded so that 4/5 of the small squares are shaded? [Figure: a rectangle divided into 10 small squares, in 2 rows of 5, with 3 of the squares shaded.]","A","5","A"
"cdm_timss03","cdm_timss03_1","M012001","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"In the figure, how many MORE small squares need to be shaded so that 4/5 of the small squares are shaded? [Figure: a rectangle divided into 10 small squares, in 2 rows of 5, with 3 of the squares shaded.]","A","4","B"
"cdm_timss03","cdm_timss03_1","M012001","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"In the figure, how many MORE small squares need to be shaded so that 4/5 of the small squares are shaded? [Figure: a rectangle divided into 10 small squares, in 2 rows of 5, with 3 of the squares shaded.]","A","3","C"
"cdm_timss03","cdm_timss03_1","M012001","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"In the figure, how many MORE small squares need to be shaded so that 4/5 of the small squares are shaded? [Figure: a rectangle divided into 10 small squares, in 2 rows of 5, with 3 of the squares shaded.]","A","2","D"
"cdm_timss03","cdm_timss03_1","M012001","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"In the figure, how many MORE small squares need to be shaded so that 4/5 of the small squares are shaded? [Figure: a rectangle divided into 10 small squares, in 2 rows of 5, with 3 of the squares shaded.]","A","1","E"
"cdm_timss03","cdm_timss03_1","M012002","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"The objects on the scale make it balance exactly. On the left pan there is a 1 kg weight (mass) and half a brick. On the right pan there is one brick. [Figure: a balance scale showing the objects described.] What is the weight (mass) of one brick?","C","0.5 kg","A"
"cdm_timss03","cdm_timss03_1","M012002","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"The objects on the scale make it balance exactly. On the left pan there is a 1 kg weight (mass) and half a brick. On the right pan there is one brick. [Figure: a balance scale showing the objects described.] What is the weight (mass) of one brick?","C","1 kg","B"
"cdm_timss03","cdm_timss03_1","M012002","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"The objects on the scale make it balance exactly. On the left pan there is a 1 kg weight (mass) and half a brick. On the right pan there is one brick. [Figure: a balance scale showing the objects described.] What is the weight (mass) of one brick?","C","2 kg","C"
"cdm_timss03","cdm_timss03_1","M012002","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"The objects on the scale make it balance exactly. On the left pan there is a 1 kg weight (mass) and half a brick. On the right pan there is one brick. [Figure: a balance scale showing the objects described.] What is the weight (mass) of one brick?","C","3 kg","D"
"cdm_timss03","cdm_timss03_1","M012004","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"Alice can run 4 laps around a track in the same time that Carol can run 3 laps. When Carol has run 12 laps, how many laps has Alice run?","D","9","A"
"cdm_timss03","cdm_timss03_1","M012004","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"Alice can run 4 laps around a track in the same time that Carol can run 3 laps. When Carol has run 12 laps, how many laps has Alice run?","D","11","B"
"cdm_timss03","cdm_timss03_1","M012004","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"Alice can run 4 laps around a track in the same time that Carol can run 3 laps. When Carol has run 12 laps, how many laps has Alice run?","D","13","C"
"cdm_timss03","cdm_timss03_1","M012004","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"Alice can run 4 laps around a track in the same time that Carol can run 3 laps. When Carol has run 12 laps, how many laps has Alice run?","D","16","D"
"cdm_timss03","cdm_timss03_1","M012016","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"In which of these pairs of numbers is 2.25 larger than the first number but smaller than the second number?","B","1 and 2","A"
"cdm_timss03","cdm_timss03_1","M012016","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"In which of these pairs of numbers is 2.25 larger than the first number but smaller than the second number?","B","2 and 5/2","B"
"cdm_timss03","cdm_timss03_1","M012016","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"In which of these pairs of numbers is 2.25 larger than the first number but smaller than the second number?","B","5/2 and 11/4","C"
"cdm_timss03","cdm_timss03_1","M012016","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"In which of these pairs of numbers is 2.25 larger than the first number but smaller than the second number?","B","11/4 and 3","D"
"cdm_timss03","cdm_timss03_1","M012017","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"Matchsticks are arranged as shown in the figures. [Figure: each figure shows a row of squares with a triangle attached at the right-hand end; Figure 1 has one square, Figure 2 has two squares, Figure 3 has three squares.] If the pattern is continued, how many matchsticks would be used to make Figure 10?","B","30","A"
"cdm_timss03","cdm_timss03_1","M012017","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"Matchsticks are arranged as shown in the figures. [Figure: each figure shows a row of squares with a triangle attached at the right-hand end; Figure 1 has one square, Figure 2 has two squares, Figure 3 has three squares.] If the pattern is continued, how many matchsticks would be used to make Figure 10?","B","33","B"
"cdm_timss03","cdm_timss03_1","M012017","TIMSS 2003 Eighth-Grade Mathematics Assessment",NA,NA,"Matchsticks are arranged as shown in the figures. [Figure: each figure shows a row of squares with a triangle attached at the right-hand end; Figure 1 has one square, Figure 2 has two squares, Figure 3 has three squares.] If the pattern is continued, how many matchsticks would be used to make Figure 10?","B","36","C"
