"table","mapping_basis","text_source","translation_source","key_source","source_ref","note","public_note","uploaded"
"imos_1985","data_labels","study_materials","","","Response data: Kaggle dataset 'imo-scores' (kaggle.com/datasets/luckyt/imo-scores), CC0 1.0 Public Domain, confirmed on the source page's structured metadata. Item text: the official English problem paper, imo-official.org/assets/documents/problems/1985/1985_eng.pdf.","THE MAPPING NEEDS NO INFERENCE: problem1..problem6 are the paper's Problems 1 to 6, each marked out of 7, three per day over two days. Persons are contestants. THE MATHEMATICAL NOTATION IS FLATTENED, agreed before extraction (#2228) and the same treatment as the nine Olympiad years in batch_301. item_text is a plain-text extraction of the official PDF, so display equations run inline and superscripts and fractions are lost. Mechanical artefacts were repaired -- big delimiters, dropped fi/fl ligatures, stray page numbers -- but the flattening is inherent and a reader needing the exact statement should use the source PDF.","The six problems of the 1985 International Mathematical Olympiad, each marked out of 7, with problems 1-3 sat on the first day and 4-6 on the second. NOTE ON NOTATION: the text is extracted from a PDF, so mathematical layout is flattened -- superscripts and fractions are lost, so n squared reads as 'n2'. Use the official paper if you need the exact statement.","NA"
"imos_1986","data_labels","study_materials","","","Response data: Kaggle dataset 'imo-scores' (kaggle.com/datasets/luckyt/imo-scores), CC0 1.0 Public Domain, confirmed on the source page's structured metadata. Item text: the official English problem paper, imo-official.org/assets/documents/problems/1986/1986_eng.pdf.","THE MAPPING NEEDS NO INFERENCE: problem1..problem6 are the paper's Problems 1 to 6, each marked out of 7, three per day over two days. Persons are contestants. THE MATHEMATICAL NOTATION IS FLATTENED, agreed before extraction (#2228) and the same treatment as the nine Olympiad years in batch_301. item_text is a plain-text extraction of the official PDF, so display equations run inline and superscripts and fractions are lost. Mechanical artefacts were repaired -- big delimiters, dropped fi/fl ligatures, stray page numbers -- but the flattening is inherent and a reader needing the exact statement should use the source PDF.","The six problems of the 1986 International Mathematical Olympiad, each marked out of 7, with problems 1-3 sat on the first day and 4-6 on the second. NOTE ON NOTATION: the text is extracted from a PDF, so mathematical layout is flattened -- superscripts and fractions are lost, so n squared reads as 'n2'. Use the official paper if you need the exact statement.","NA"
"iat_poverty","data_labels","study_materials","","","Project Implicit demo-website Race IAT dataset, 2021 wave (Xu, Nosek & Greenwald 2014, 'Psychology data from the race implicit association test on the Project Implicit demo website', Journal of Open Psychology Data, doi:10.5334/jopd.ac), osf.io/52qxl. Item wording from the deposit's own Race_IAT_public_2021_codebook.xlsx. Anchors from the recode vector in data/iat.R.","TWO LEVEL-1 SOURCES AND NO INFERENCE ANYWHERE. The wording comes from the deposit's codebook, which lists efp1 through efp12 against their full text, and the anchors come from the processing script itself: data/iat.R defines levs <- c('Not at All Important','Slightly Important','Moderately Imporant','Very Important','Extremely Important') and sets resp <- match(resp, levs), so 1-5 is that vector's order by construction. THE CODEBOOK STORES STEM AND BODY AS ONE STRING joined by an ellipsis -- 'There are many poor people in the world because of...Lack of thrift and proper money-management skills.' The stem is split into section_prompt and the cause into item_text, so the two fields concatenate back to the codebook string and nothing is invented or lost. THE THIRD ANCHOR SHIPS WITH ITS TYPO: 'Moderately Imporant' is what the script matches on, so correcting it would misrepresent the recode. ONLY THE 93 KB CODEBOOK WAS NEEDED, not the 210 MB data archive -- worth knowing for anyone revisiting the other Project Implicit tables.","Twelve possible explanations for poverty, each rated for how important it is. They share the stem 'There are many poor people in the world because of...' and were answered from 1 (not at all important) to 5 (extremely important). They come from the Project Implicit demo-website dataset, where they sit alongside the race IAT itself. The third response label is printed 'Moderately Imporant' in the source and is left as found.","NA"
"gcbs_brotherton_2013_vcl","data_labels","study_materials","","","openpsychometrics.org/_rawdata/, GCBS archive, CC BY 4.0; the archive ships codebook.txt beside data.csv. Instrument context: Brotherton, French & Pickering (2013), 'Measuring belief in conspiracy theories: the generic conspiracist beliefs scale', Frontiers in Psychology 4:279.","ONE CODEBOOK SUPPLIES EVERYTHING: the sixteen words against VCL1-VCL16, the instruction verbatim ('In the grid below, check all the words whose definitions you are sure you know'), the 1/0 coding, and -- the part that matters -- which words are fabricated. The codebook states 'The words at VCL6, VCL9, and VCL12 are not real words and can be used as a validity check', so the three fakes (cuivocal, florted, verdid) are the source's designation rather than this project's judgement. They ship in their own section so the over-claiming check is visible to a reader. THIS IS A VOCABULARY CHECK-LIST, NOT THE CONSPIRACY SCALE. It was administered alongside the GCBS as a validity screen; the conspiracy items are a different table.","A sixteen-word vocabulary check-list: respondents ticked every word whose definition they were sure they knew. Three of the words -- cuivocal, florted and verdid -- are not real words, and were included so that over-claiming could be detected; they are marked as such here. resp is 1 for checked and 0 for unchecked. The list was given alongside a conspiracy-belief scale as a validity check.","NA"
"envirisk_lalot_2025","data_labels","study_materials","","","Lalot, Raikkonen & Ahvenharju (2025), 'An item response theory approach to measurement in environmental psychology', Journal of Environmental Psychology, doi:10.1016/j.jenvp.2025.102520, CC BY; deposit osf.io/h6ru2, item labels and answer options from 'codebook EnviRisk.xlsx'.","THE CODEBOOK GIVES EVERY ITEM ITS OWN ANSWER OPTIONS, and reading them per item rather than once for the table is what makes this correct: the six risk items run 1 'Strongly disagree' to 7 'Strongly agree', the four policy items 1 'Very low acceptability' to 7 'Very high acceptability', and the two self-placements 0-10 with different poles each ('Left'/'Right' for polorient, 'Liberal'/'Conservative' for libcons). A single shared anchor set would have been wrong on six of the twelve items. TWO ITEMS ARE NOT ATTITUDE ITEMS: polorient and libcons are political self-placements, present because they are in the response table. They keep their own 0-10 anchors and their own section. The Finnish sample answered in Finnish but the codebook is in English and the deposit publishes no Finnish wording, so the labels ship as the codebook gives them.","Twelve items on environmental risk. Six ask how much you agree that biodiversity loss or climate change poses a threat, on a 1-7 scale from strongly disagree to strongly agree. Four ask how acceptable you find a particular environmental policy, on a 1-7 scale from very low to very high acceptability. The last two are not attitude questions at all but political self-placements on 0-10 scales -- left to right, and liberal to conservative. Each group keeps its own anchors.","NA"
"franco_2024_unfolding","paper_explicit","translated_substitute","study_supplied","","Franco & Carvalho (2023), 'A Tutorial on Unidimensional Unfolding: From Automatic Item Generation to Insightful Inferences', PsyArXiv doi:10.31234/osf.io/5hnkz, CC BY; deposit osf.io/pqjhv (CoombsGPT.csv). Item text from the preprint's Table 1; set selection and item order from its Methods and Results.","TWO CHOICES HAD TO COME FROM THE PAPER AND EITHER COULD HAVE GONE WRONG SILENTLY. (1) WHICH SET: the authors generated THREE sets of six items with ChatGPT's GPTbinarytree function and print all eighteen in Table 1, then state 'we decided to collect the psychometric data with the third set of items'. Taking the first set -- the obvious reading of a table that starts with it -- would have shipped six wrong statements with nothing in the data to reveal it. (2) WHICH ORDER: Table 1 labels its rows A to F by assumed level of attention-seeking, not by item number. The paper fixes the correspondence when it says the expected judge pattern is '654321', which makes item 1 row A (most attention-seeking) through item 6 row F. resp IS A RANK, NOT A RATING. Participants ranked the six statements from the one describing them best to the one describing them worst, so option_text labels only the two ends and every respondent's six values are a permutation of 1-6. The administered language is Brazilian Portuguese -- the authors asked ChatGPT to write the items in Portuguese for a Brazilian sample -- and ships in item_text, with the paper's own English alongside in item_text_translated.","Six statements about how much value the respondent places on receiving attention from others, ranked from the one that describes them best (1) to the one that describes them worst (6) -- so the response is a rank, not a rating, and every respondent uses each number once. The statements were generated by ChatGPT for a tutorial on unfolding models and administered in Brazilian Portuguese, shown here with the authors' English alongside. They are ordered from the most to the least attention-seeking.","NA"
"gilbert_meta_28","data_labels","study_materials","","","Banerji, Berry & Shotland (2017), 'The impact of maternal literacy and participation programs: evidence from a randomized evaluation in India', AEJ: Applied Economics 9(4):303; deposit Harvard Dataverse doi:10.7910/DVN/19PPE7, CC0, behind Guestbook 269 and obtained for batch_203. Item text is the deposit's own variable labels in ml_merged.dta.","THE SAME DEPOSIT AS gilbert_meta_30, which batch_203 shipped -- that table is the CHILD ASER test from this study and this one is the MOTHER ASER test, so no new access was needed. The deposit labels every maser variable (b_maser_math_add1 is 'q33 Can do one digit sums'), which is level 1 of the source ranking, and data/gilbertmeta.R strips only the wave prefix. ONE CODE-SPELLING MISMATCH, harmless but worth recording: the live codes read maser_mobildial1 and maser_mobildial2 where the deposit's variables are mobile_dial1 and mobile_dial2 -- a dropped underscore somewhere upstream. The labels are unambiguous so the mapping is not in doubt. THE SAME read1 DEFECT AS THE CHILD TEST, AND THIS MAKES IT SYSTEMATIC. batch_203 reported that caser_math_read1 passes at 1.3 per cent where the deposit's count coding implies 58-64 per cent, consistent with dichotomising one step too low. maser_math_read1 does the same thing: it passes at 1.7 per cent while IDENTIFYING the same digits 1-9 passes at 54.9 per cent and reading the harder 11-20 range passes at 42.6 per cent. Reading 1-9 is the easiest rung on the ladder and cannot sit two orders of magnitude below its neighbours. Finding it in both the child and mother versions of the same instrument makes it systematic in this study's ASER recoding rather than a one-off. It is also the only code here restricted to a single wave. Item text is unaffected and ships; the resp is what should not be trusted, and it belongs in the data-side issue alongside its sibling.","Seventeen tasks from a numeracy and mobile-phone test given orally to mothers, covering number reading and identification, addition and subtraction, word problems, telling the time, and using a phone. The wording shown is the study's own short description of each task rather than what an enumerator read out. THE TEST CASCADES -- two-digit addition was only attempted by mothers who passed one-digit addition -- so the harder items have far fewer respondents and their pass rates are conditional on an already more able group. KNOWN PROBLEM WITH ONE ITEM: maser_math_read1 (reading digits 1-9) passes at under 2 per cent where identifying the same digits passes at 55 per cent, which is not possible; it appears to be dichotomised one step too low, the same fault already reported for the child version of this test. Its item text is correct; treat its resp as unreliable.","NA"
"gilbert_meta_72","data_labels","study_materials","","","Banerjee, Banerji, Berry, Duflo, Kannan, Mukerji et al. (2017), 'From proof of concept to scalable policies', deposit Harvard Dataverse doi:10.7910/DVN/DUBA3J, CC0 -- the same deposit used in batch_202 and batch_203. Task descriptions are the deposit's own variable dictionary, RawTestVariables_UTK_BH.xlsx.","THE STANDARD 3-5 HINDI WRITTEN TEST, sibling to batch_203's gilbert_meta_70 (standard 1-2). ITEM TEXT IS THE TASK DESCRIPTION, NOT A LITERAL QUESTION, and that is deliberate rather than a gap: the deposit ships FOUR parallel forms whose content differs and the live table records no form, so no literal item is a property of a code. The visible consequence is that item_text repeats across a task family. ALL 53 CODES RESOLVE, which took both sheets: 48 are in the baseline dictionary and the remaining five (comp01a, comp01b, comp02a, comp02b, word_dic4) appear only in the endline sheet under an e1_ prefix. THIS IS THE SAME UPSTREAM GAP the data-side issue asks about. gilbert_meta_68, 69, 70, 72 and 73 all come from parallel-form tests whose form variable exists in the deposit (b_hindi12_sample and its siblings) but was dropped when datasets_list.Rdata was built. Carrying it would let every one of these ship literal questions instead of task descriptions.","Fifty-three tasks from a written Hindi test for children in standards 3 to 5: letter and word dictation, filling in missing letters, matching words to pictures, opposites, completing sentences and a story, and comprehension questions. What is shown for each item is the task it belongs to rather than the actual question. That is because the study used four different versions of the test and the data does not record which version a child sat, so no single question can be attached to an item. Items in the same task therefore share a description.","NA"
"gilbert_meta_95","data_labels","study_materials","","","Cicek, Ulker, Ozer & Kiyak, 'ChatGPT versus expert feedback on clinical reasoning questions and their effect on learning: a randomized controlled trial', Postgraduate Medical Journal, doi:10.1093/postmj/qgae170; deposit zenodo.org/records/13769970, CC BY 4.0, file 'Immediate Test.xlsx'.","THE MAPPING IS EXACT AND THE WORDING IS UNAVAILABLE, and the two are worth separating. The deposit's column headers are 'Uncomplicated UTI KFQ 1' through 'Pyelonephritis KFQ 4', which lowercased and underscored are precisely the twelve live codes -- no inference at all. But Key Features Questions are clinical vignettes and neither the deposit nor the paper prints them: Europe PMC reports the article as not open access. So item_text names the scenario and the question number and states outright that the vignette is unpublished, rather than inventing a stem. resp IS CONTINUOUS BECAUSE KFQs CARRY PARTIAL CREDIT across the decisions a vignette requires -- the live values include 0.5, 1.75, 2.1 and so on -- so correct_response is empty; there is no single right answer to record. ONE THING THE TABLE MAY POOL: the deposit also holds 'Delayed Test.xlsx' with the same twelve column headers, and the live table does not distinguish immediate from delayed administration, so a code may cover both.","Twelve clinical reasoning questions given to medical students, four each on three urinary tract infection scenarios: uncomplicated UTI, complicated UTI, and pyelonephritis. They are Key Features Questions, which present a case and ask for the decisions critical to resolving it, and they are marked with partial credit -- which is why the scores are fractional rather than right or wrong. THE QUESTIONS THEMSELVES ARE NOT SHOWN: the case vignettes are not published in the data deposit and the article is paywalled, so only the scenario and the question number are given.","NA"
"gilbert_meta_66","reconstructed","study_materials","","","A cluster-randomised controlled trial of a mental health literacy program for community sport leaders, doi:10.1016/j.mhp.2023.200259; deposit bridges.monash.edu article 20422257, CC BY 4.0. Instrument: General Help Seeking Questionnaire (Wilson, Deane, Ciarrochi & Rickwood 2005).","NO ITEM TEXT SHIPS, AND THE REASON IS AN ADAPTATION THAT CANNOT BE PINNED DOWN. The GHSQ lists help sources -- intimate partner, friend, parent, mental health professional and so on -- and asks how likely the respondent would be to seek help from each. The deposit's data file carries only bare column names (GHSQ_1..GHSQ_10 plus a _T2 set and totals) with no variable labels, and the paper is not open access. THE TEN-CODE MATCH IS TEMPTING AND NOT SUFFICIENT. The canonical GHSQ has ten sources, which matches. But the canonical scale is answered 1 to 7, extremely unlikely to extremely likely, and THIS DATA IS 1 TO 4 -- so the study demonstrably adapted the instrument. An adaptation that changes the response scale can equally change or reorder the source list, and for help-seeking content a wrong assignment (naming an intimate partner where the item is a doctor) is worse than none. So the instrument, the ten-item structure and the scale are recorded and item_text is left blank. WHAT WOULD UNBLOCK IT: the trial's own questionnaire, or a labelled copy of the deposit's data file.","Ten items from the General Help Seeking Questionnaire, which asks how likely you would be to turn to each of several people or services if you were having a personal or emotional problem. THE INDIVIDUAL HELP SOURCES ARE NOT SHOWN: the published questionnaire has ten of them, matching the ten items here, but this study used a four-point answer scale where the published version uses seven, so it clearly modified the instrument and the source list cannot be assumed to be the standard one. Naming the wrong source would be worse than naming none, so the items are left blank.","NA"
