"table","section_id","item","item_text","item_text_translated","correct_response","section_prompt","section_prompt_translated","instrument","language","instructions","instructions_translated","option_text","option_text_translated","resp"
"baquerotomas_2026_phq9","baquerotomas_2026_phq9_1","PHQ9_1","Poco interés o placer en hacer cosas","Little interest or pleasure in doing things",NA,NA,NA,"Patient Health Questionnaire-9 (PHQ-9), Spanish version","Spanish","Durante las últimas 2 semanas, ¿qué tan seguido ha tenido molestias debido a los siguientes problemas?","Over the last 2 weeks, how often have you been bothered by any of the following problems?","Ningún día","Not at all",0
"baquerotomas_2026_phq9","baquerotomas_2026_phq9_1","PHQ9_1","Poco interés o placer en hacer cosas","Little interest or pleasure in doing things",NA,NA,NA,"Patient Health Questionnaire-9 (PHQ-9), Spanish version","Spanish","Durante las últimas 2 semanas, ¿qué tan seguido ha tenido molestias debido a los siguientes problemas?","Over the last 2 weeks, how often have you been bothered by any of the following problems?","Varios días","Several days",1
"baquerotomas_2026_phq9","baquerotomas_2026_phq9_1","PHQ9_1","Poco interés o placer en hacer cosas","Little interest or pleasure in doing things",NA,NA,NA,"Patient Health Questionnaire-9 (PHQ-9), Spanish version","Spanish","Durante las últimas 2 semanas, ¿qué tan seguido ha tenido molestias debido a los siguientes problemas?","Over the last 2 weeks, how often have you been bothered by any of the following problems?","Más de la mitad de los días","More than half the days",2
"baquerotomas_2026_phq9","baquerotomas_2026_phq9_1","PHQ9_1","Poco interés o placer en hacer cosas","Little interest or pleasure in doing things",NA,NA,NA,"Patient Health Questionnaire-9 (PHQ-9), Spanish version","Spanish","Durante las últimas 2 semanas, ¿qué tan seguido ha tenido molestias debido a los siguientes problemas?","Over the last 2 weeks, how often have you been bothered by any of the following problems?","Casi todos los días","Nearly every day",3
"baquerotomas_2026_phq9","baquerotomas_2026_phq9_1","PHQ9_2","Se ha sentido decaído(a), deprimido(a) o sin esperanzas","Feeling down, depressed, or hopeless",NA,NA,NA,"Patient Health Questionnaire-9 (PHQ-9), Spanish version","Spanish","Durante las últimas 2 semanas, ¿qué tan seguido ha tenido molestias debido a los siguientes problemas?","Over the last 2 weeks, how often have you been bothered by any of the following problems?","Ningún día","Not at all",0
"baquerotomas_2026_phq9","baquerotomas_2026_phq9_1","PHQ9_2","Se ha sentido decaído(a), deprimido(a) o sin esperanzas","Feeling down, depressed, or hopeless",NA,NA,NA,"Patient Health Questionnaire-9 (PHQ-9), Spanish version","Spanish","Durante las últimas 2 semanas, ¿qué tan seguido ha tenido molestias debido a los siguientes problemas?","Over the last 2 weeks, how often have you been bothered by any of the following problems?","Varios días","Several days",1
"baquerotomas_2026_phq9","baquerotomas_2026_phq9_1","PHQ9_2","Se ha sentido decaído(a), deprimido(a) o sin esperanzas","Feeling down, depressed, or hopeless",NA,NA,NA,"Patient Health Questionnaire-9 (PHQ-9), Spanish version","Spanish","Durante las últimas 2 semanas, ¿qué tan seguido ha tenido molestias debido a los siguientes problemas?","Over the last 2 weeks, how often have you been bothered by any of the following problems?","Más de la mitad de los días","More than half the days",2
"baquerotomas_2026_phq9","baquerotomas_2026_phq9_1","PHQ9_2","Se ha sentido decaído(a), deprimido(a) o sin esperanzas","Feeling down, depressed, or hopeless",NA,NA,NA,"Patient Health Questionnaire-9 (PHQ-9), Spanish version","Spanish","Durante las últimas 2 semanas, ¿qué tan seguido ha tenido molestias debido a los siguientes problemas?","Over the last 2 weeks, how often have you been bothered by any of the following problems?","Casi todos los días","Nearly every day",3
"baquerotomas_2026_phq9","baquerotomas_2026_phq9_1","PHQ9_3","Ha tenido dificultad para quedarse o permanecer dormido(a), o ha dormido demasiado","Trouble falling or staying asleep, or sleeping too much",NA,NA,NA,"Patient Health Questionnaire-9 (PHQ-9), Spanish version","Spanish","Durante las últimas 2 semanas, ¿qué tan seguido ha tenido molestias debido a los siguientes problemas?","Over the last 2 weeks, how often have you been bothered by any of the following problems?","Ningún día","Not at all",0
"baquerotomas_2026_phq9","baquerotomas_2026_phq9_1","PHQ9_3","Ha tenido dificultad para quedarse o permanecer dormido(a), o ha dormido demasiado","Trouble falling or staying asleep, or sleeping too much",NA,NA,NA,"Patient Health Questionnaire-9 (PHQ-9), Spanish version","Spanish","Durante las últimas 2 semanas, ¿qué tan seguido ha tenido molestias debido a los siguientes problemas?","Over the last 2 weeks, how often have you been bothered by any of the following problems?","Varios días","Several days",1
