"table","section_id","item","item_text","item_text_translated","correct_response","section_prompt","section_prompt_translated","instrument","language","instructions","instructions_translated","option_text","option_text_translated","resp"
"baquerotomas_2026_gad7","baquerotomas_2026_gad7_1","GAD7_1","Se ha sentido nervioso(a), ansioso(a) o con los nervios de punta","Feeling nervous, anxious or on edge",NA,NA,NA,"Generalized Anxiety Disorder-7 (GAD-7), Spanish version","Spanish","Durante las últimas 2 semanas, ¿qué tan seguido ha tenido molestias debido a los siguientes problemas?","Over the last 2 weeks, how often have you been bothered by the following problems?","Ningún día","Not at all",0
"baquerotomas_2026_gad7","baquerotomas_2026_gad7_1","GAD7_1","Se ha sentido nervioso(a), ansioso(a) o con los nervios de punta","Feeling nervous, anxious or on edge",NA,NA,NA,"Generalized Anxiety Disorder-7 (GAD-7), Spanish version","Spanish","Durante las últimas 2 semanas, ¿qué tan seguido ha tenido molestias debido a los siguientes problemas?","Over the last 2 weeks, how often have you been bothered by the following problems?","Varios días","Several days",1
"baquerotomas_2026_gad7","baquerotomas_2026_gad7_1","GAD7_1","Se ha sentido nervioso(a), ansioso(a) o con los nervios de punta","Feeling nervous, anxious or on edge",NA,NA,NA,"Generalized Anxiety Disorder-7 (GAD-7), Spanish version","Spanish","Durante las últimas 2 semanas, ¿qué tan seguido ha tenido molestias debido a los siguientes problemas?","Over the last 2 weeks, how often have you been bothered by the following problems?","Más de la mitad de los días","More than half the days",2
"baquerotomas_2026_gad7","baquerotomas_2026_gad7_1","GAD7_1","Se ha sentido nervioso(a), ansioso(a) o con los nervios de punta","Feeling nervous, anxious or on edge",NA,NA,NA,"Generalized Anxiety Disorder-7 (GAD-7), Spanish version","Spanish","Durante las últimas 2 semanas, ¿qué tan seguido ha tenido molestias debido a los siguientes problemas?","Over the last 2 weeks, how often have you been bothered by the following problems?","Casi todos los días","Nearly every day",3
"baquerotomas_2026_gad7","baquerotomas_2026_gad7_1","GAD7_2","No ha sido capaz de parar o controlar su preocupación","Not being able to stop or control worrying",NA,NA,NA,"Generalized Anxiety Disorder-7 (GAD-7), Spanish version","Spanish","Durante las últimas 2 semanas, ¿qué tan seguido ha tenido molestias debido a los siguientes problemas?","Over the last 2 weeks, how often have you been bothered by the following problems?","Ningún día","Not at all",0
"baquerotomas_2026_gad7","baquerotomas_2026_gad7_1","GAD7_2","No ha sido capaz de parar o controlar su preocupación","Not being able to stop or control worrying",NA,NA,NA,"Generalized Anxiety Disorder-7 (GAD-7), Spanish version","Spanish","Durante las últimas 2 semanas, ¿qué tan seguido ha tenido molestias debido a los siguientes problemas?","Over the last 2 weeks, how often have you been bothered by the following problems?","Varios días","Several days",1
"baquerotomas_2026_gad7","baquerotomas_2026_gad7_1","GAD7_2","No ha sido capaz de parar o controlar su preocupación","Not being able to stop or control worrying",NA,NA,NA,"Generalized Anxiety Disorder-7 (GAD-7), Spanish version","Spanish","Durante las últimas 2 semanas, ¿qué tan seguido ha tenido molestias debido a los siguientes problemas?","Over the last 2 weeks, how often have you been bothered by the following problems?","Más de la mitad de los días","More than half the days",2
"baquerotomas_2026_gad7","baquerotomas_2026_gad7_1","GAD7_2","No ha sido capaz de parar o controlar su preocupación","Not being able to stop or control worrying",NA,NA,NA,"Generalized Anxiety Disorder-7 (GAD-7), Spanish version","Spanish","Durante las últimas 2 semanas, ¿qué tan seguido ha tenido molestias debido a los siguientes problemas?","Over the last 2 weeks, how often have you been bothered by the following problems?","Casi todos los días","Nearly every day",3
"baquerotomas_2026_gad7","baquerotomas_2026_gad7_1","GAD7_3","Se ha preocupado demasiado por motivos diferentes","Worrying too much about different things",NA,NA,NA,"Generalized Anxiety Disorder-7 (GAD-7), Spanish version","Spanish","Durante las últimas 2 semanas, ¿qué tan seguido ha tenido molestias debido a los siguientes problemas?","Over the last 2 weeks, how often have you been bothered by the following problems?","Ningún día","Not at all",0
"baquerotomas_2026_gad7","baquerotomas_2026_gad7_1","GAD7_3","Se ha preocupado demasiado por motivos diferentes","Worrying too much about different things",NA,NA,NA,"Generalized Anxiety Disorder-7 (GAD-7), Spanish version","Spanish","Durante las últimas 2 semanas, ¿qué tan seguido ha tenido molestias debido a los siguientes problemas?","Over the last 2 weeks, how often have you been bothered by the following problems?","Varios días","Several days",1
"baquerotomas_2026_gad7","baquerotomas_2026_gad7_1","GAD7_3","Se ha preocupado demasiado por motivos diferentes","Worrying too much about different things",NA,NA,NA,"Generalized Anxiety Disorder-7 (GAD-7), Spanish version","Spanish","Durante las últimas 2 semanas, ¿qué tan seguido ha tenido molestias debido a los siguientes problemas?","Over the last 2 weeks, how often have you been bothered by the following problems?","Más de la mitad de los días","More than half the days",2
"baquerotomas_2026_gad7","baquerotomas_2026_gad7_1","GAD7_3","Se ha preocupado demasiado por motivos diferentes","Worrying too much about different things",NA,NA,NA,"Generalized Anxiety Disorder-7 (GAD-7), Spanish version","Spanish","Durante las últimas 2 semanas, ¿qué tan seguido ha tenido molestias debido a los siguientes problemas?","Over the last 2 weeks, how often have you been bothered by the following problems?","Casi todos los días","Nearly every day",3
