table,cluster,tables_in_cluster,doi_in_dictionary,openalex_title,openalex_authors,openalex_year,openalex_venue,reference,url_for_data,contributor,flagged_by,proposed_correction,confidence
goksel_2026_embarrassment_wcm,Goksel/JPSP:PPID,13,10.1037/pspa0000478,Face the difference: Metacontrast as an affordance to spontaneous social categorization.,Verena Heidrich; Felicitas Flade; Roland Imhoff,2026,Journal of Personality and Social Psychology,"Goksel, S., Sezer, O., & Berman, J. Z. (2026). Transcending embarrassment: On the reputational benefits of laughing at yourself.Journal of Personality and Social Psychology, 130(6), 1078–1101.",https://osf.io/jwdq6/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1037/pspa0000477,high
goksel_2026_embarrassment_socialcompetence,Goksel/JPSP:PPID,13,10.1037/pspa0000479,"Absolute moral perceptions of the self and others: People are bad, a person is good, I am great.",André Vaz; André Mata; Clayton R. Critcher,2026,Journal of Personality and Social Psychology,"Goksel, S., Sezer, O., & Berman, J. Z. (2026). Transcending embarrassment: On the reputational benefits of laughing at yourself.Journal of Personality and Social Psychology, 130(6), 1078–1101.",https://osf.io/jwdq6/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1037/pspa0000477,high
goksel_2026_embarrassment_resilience,Goksel/JPSP:PPID,13,10.1037/pspa0000480,On the relationship between indirect measures of Black versus White racial attitudes and discriminatory outcomes: An adversarial collaboration using a sample of White Americans.,Jordan R. Axt; Paul Connor; Suzanne Hoogeveen; Cory Clark; Michelangelo Vianello,2026,Journal of Personality and Social Psychology,"Goksel, S., Sezer, O., & Berman, J. Z. (2026). Transcending embarrassment: On the reputational benefits of laughing at yourself.Journal of Personality and Social Psychology, 130(6), 1078–1101.",https://osf.io/jwdq6/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1037/pspa0000477,high
goksel_2026_embarrassment_warmth_competence,Goksel/JPSP:PPID,13,10.1037/pspa0000481,Clarifying the diploma divide: The growing importance of higher education for political identity.,Michael Prinzing; Michael Vazquez,2026,Journal of Personality and Social Psychology,"Goksel, S., Sezer, O., & Berman, J. Z. (2026). Transcending embarrassment: On the reputational benefits of laughing at yourself.Journal of Personality and Social Psychology, 130(6), 1078–1101.",https://osf.io/jwdq6/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1037/pspa0000477,high
goksel_2026_embarrassment_puremorality,Goksel/JPSP:PPID,13,10.1037/pspa0000482,Belief in a diversity–meritocracy trade-off.,Evan P. Apfelbaum; Eileen Y. Suh; Yue Wu,2026,Journal of Personality and Social Psychology,"Goksel, S., Sezer, O., & Berman, J. Z. (2026). Transcending embarrassment: On the reputational benefits of laughing at yourself.Journal of Personality and Social Psychology, 130(6), 1078–1101.",https://osf.io/jwdq6/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1037/pspa0000477,high
goksel_2026_embarrassment_purewarmth,Goksel/JPSP:PPID,13,10.1037/pspa0000483,Fleeting generalization: How unstable belief updating keeps people overly pessimistic about talking to strangers.,Stav Atir; Nicholas Epley,2026,Journal of Personality and Social Psychology,"Goksel, S., Sezer, O., & Berman, J. Z. (2026). Transcending embarrassment: On the reputational benefits of laughing at yourself.Journal of Personality and Social Psychology, 130(6), 1078–1101.",https://osf.io/jwdq6/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1037/pspa0000477,high
goksel_2026_embarrassment_moralityandwarmth,Goksel/JPSP:PPID,13,10.1037/pspa0000484,Finding agreement: Functional magnetic resonance imaging hyperscanning reveals that mental state space exploration facilitates opinion alignment.,Sebastian Speer; Haran Sened; Laetitia Mwilambwe-Tshilobo; Lily Tsoi; Shannon M. Burns,2026,Journal of Personality and Social Psychology,"Goksel, S., Sezer, O., & Berman, J. Z. (2026). Transcending embarrassment: On the reputational benefits of laughing at yourself.Journal of Personality and Social Psychology, 130(6), 1078–1101.",https://osf.io/jwdq6/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1037/pspa0000477,high
goksel_2026_embarrassment_emb_perception,Goksel/JPSP:PPID,13,10.1037/pspa0000485,The environment impressions model.,Travis Lim; Eric Hehman,2026,Journal of Personality and Social Psychology,"Goksel, S., Sezer, O., & Berman, J. Z. (2026). Transcending embarrassment: On the reputational benefits of laughing at yourself.Journal of Personality and Social Psychology, 130(6), 1078–1101.",https://osf.io/jwdq6/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1037/pspa0000477,high
goksel_2026_embarrassment_appeasement,Goksel/JPSP:PPID,13,10.1037/pspa0000486,The unexpected importance of expectations in self-conscious emotions.,Jessica L. Tracy; Gabrielle C. Ibasco,2026,Journal of Personality and Social Psychology,"Goksel, S., Sezer, O., & Berman, J. Z. (2026). Transcending embarrassment: On the reputational benefits of laughing at yourself.Journal of Personality and Social Psychology, 130(6), 1078–1101.",https://osf.io/jwdq6/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1037/pspa0000477,high
goksel_2026_embarrassment_affectivetrust,Goksel/JPSP:PPID,13,10.1037/pspa0000487,Can I make the time or is it running out? That depends in part on what difficulty implies about me.,Su Young (Kevin) Choi; Daphna Oyserman,2026,Journal of Personality and Social Psychology,"Goksel, S., Sezer, O., & Berman, J. Z. (2026). Transcending embarrassment: On the reputational benefits of laughing at yourself.Journal of Personality and Social Psychology, 130(6), 1078–1101.",https://osf.io/jwdq6/overview,Aanya Tashfeen,"pass1-structural (same Reference+URL, sequential DOIs) + pass2-openalex",10.1037/pspa0000477,high
