source,title,url,doi,license,flag,reasons,n_responses,n_participants,n_items,density,data_file,n_other_files,refined_flag,refined_reason
pmc,"Cannabis use increases surgical, medical, and psychosocial complications after lower extremity fracture fixation and shows compounded risk with concurrent nicotine use.",https://europepmc.org/article/PMC/PMC13470265,10.1038/s41598-026-55842-w,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Category', 'Descriptor', 'Code']",,,,,41598_2026_55842_MOESM2_ESM.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,Sex-related differences in parental rearing patterns in young adults with bipolar disorder.,https://europepmc.org/article/PMC/PMC10709453,10.1038/s41598-023-48576-6,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Unnamed: 1', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'M1', 'M2', 'M3', 'M4', 'M5']",,,,,41598_2023_48576_MOESM1_ESM.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,Exploring cross-cultural variations in visual attention patterns inside and outside national borders using immersive virtual reality.,https://europepmc.org/article/PMC/PMC10620163,10.1038/s41598-023-46103-1,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Variable', 'Factor level', 'Czechia', 'Ghana', 'Taiwan', 'Turkey East', 'Turkey West', 'Total']",,,,,41598_2023_46103_MOESM1_ESM.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,Classifying mental stress from eye tracking data: deep learning approaches for out-of-the-lab conditions.,https://europepmc.org/article/PMC/PMC13283211,10.1038/s41598-026-58429-7,cc-by,human_assistance,"via Data Availability link https://zenodo.org/records/17972964 | Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6']",,,,,meta.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,The word order of languages predicts native speakers' working memory.,https://europepmc.org/article/PMC/PMC6362290,10.1038/s41598-018-37654-9,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Detected trial_* columns (['Trial_ID']). This may be trials-based data (IRW standard, Trials). `item` must still identify the probe (C3); trial_ columns carry trial-level details such as the trial index or block, which is what tells repeated responses to one item apart (C5). Manual mapping required.",,,,,41598_2018_37654_MOESM2_ESM.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,"The influence of stimuli valence, extraversion, and emotion regulation on visual search within real-world scenes.",https://europepmc.org/article/PMC/PMC8766590,10.1038/s41598-022-04964-y,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8', 'Unnamed: 9', 'Unnamed: 10', 'Unnamed: 11', 'Unnamed: 12', 'Unnamed: 13', 'Unnamed: 14']",,,,,41598_2022_4964_MOESM1_ESM.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,The impact of momentary stress on autobiographical memory recall in a self-efficacy intervention.,https://europepmc.org/article/PMC/PMC11612412,10.1038/s41598-024-80896-z,cc-by,human_assistance,"via Data Availability link https://osf.io/crx54/?view_only=25ea66227cd943278062b4a7d6ffcf71 | Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['id\t""gender""\t""day""\t""trigger""\t""beep_cont""\t""stressed""\t""relaxed""\t""recall_difficulty""\t""vividness""\t""gse_sum_pre""\t""gse_sum_post""']",,,,,data_anonymised.csv,1.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,A neural signature of social support mitigates negative emotion.,https://europepmc.org/article/PMC/PMC10570303,10.1038/s41598-023-43273-w,unknown,human_assistance,"via Data Availability link https://osf.io/6qts3/ | Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used the row position as the person id (one row = one respondent) and kept every source column available as an item or covariate — verify the file really is one row per person. | Detected trial_* columns (['tri",,,,,trialLevelData.csv,2.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,Sclerostin and bone remodeling biomarkers responses to whole-body cryotherapy (- 110 °C) in healthy young men with different physical fitness levels.,https://europepmc.org/article/PMC/PMC8352874,10.1038/s41598-021-95492-8,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used the row position as the person id (one row = one respondent) and kept every source column available as an item or covariate — verify the file really is one row per person. | Could not confidently identify item columns. | Columns present: ['Sclerostin and b",,,,,41598_2021_95492_MOESM1_ESM.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,Graph Ricci curvatures reveal atypical functional connectivity in autism spectrum disorder.,https://europepmc.org/article/PMC/PMC9117309,10.1038/s41598-022-12171-y,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used the row position as the person id (one row = one respondent) and kept every source column available as an item or covariate — verify the file really is one row per person. | Could not confidently identify item columns. | Columns present: ['Supplementary Ta",,,,,41598_2022_12171_MOESM2_ESM.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,RNA sequencing of blood from sex- and age-matched discordant siblings supports immune and transcriptional dysregulation in autism spectrum disorder.,https://europepmc.org/article/PMC/PMC9842630,10.1038/s41598-023-27378-w,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'baseMean', 'log2FoldChange', 'lfcSE', 'stat', 'pvalue', 'padj']",,,,,41598_2023_27378_MOESM2_ESM.csv,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,Genomic selection signatures in autism spectrum disorder identifies cognitive genomic tradeoff and its relevance in paradoxical phenotypes of deficits versus potentialities.,https://europepmc.org/article/PMC/PMC8119484,10.1038/s41598-021-89798-w,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['gene no.', 'gene-symbol', 'gene-name', 'chromosome', 'genetic-category', 'Location', 'HGVS Name', 'SNP id', 'type of variant', 'amino acid change', 'study population', 'source']",,,,,41598_2021_89798_MOESM3_ESM.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,An integrated transcriptomic analysis of autism spectrum disorder.,https://europepmc.org/article/PMC/PMC6694127,10.1038/s41598-019-48160-x,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Interested drugs of animal models', 'Unnamed: 1']",,,,,41598_2019_48160_MOESM4_ESM.xlsx,3.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,Understanding the impact of SNPs associated with autism spectrum disorder on biological pathways in the human fetal and adult cortex.,https://europepmc.org/article/PMC/PMC8342620,10.1038/s41598-021-95447-z,cc-by,human_assistance,Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Supplementary tables for:'],,,,,41598_2021_95447_MOESM2_ESM.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
