_key,Evaluator,"Decision
Yes=start github issue
Maybe=start gihtub issue and @ someone
No=not relevant",source,title,url,doi,flag,reasons,n_responses,n_participants,n_items,density,data_file,n_other_files,license,refined_flag,refined_reason,source_language,,,,,justification,,Key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Padma K,No,figshare,Influences of Cognitive and Aerobic Training in PD Patients,https://figshare.com/articles/dataset/Influences_of_Cognitive_and_Aerobic_Training_in_PD_Patients/28425242,10.6084/m9.figshare.28425242.v1,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8', 'Unnamed: 9', 'Unnamed: 10', 'Unnamed: 11', 'Unnamed: 12', 'Unnamed: 13', 'Unnamed: 14', 'Unnamed: 15', 'Unnamed: 16', 'Unnamed",,,,,Training PD_4groups.xlsx,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Not an IRW candidate,,,need to create issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Padma K,Maybe,figshare,Normative data for executive function tests in an Ecuadorian Waranka minority population,https://tandf.figshare.com/articles/dataset/Normative_data_for_executive_function_tests_in_an_Ecuadorian_Waranka_minority_population/26133967,10.6084/m9.figshare.26133967.v1,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'Unnamed: 0' as fallback — verify this is the person identifier. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7',",,,,,ntcn_a_2367748_sm0902.xlsx,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Can open issue,,,created issue need to process data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Padma K,No,figshare,Effects of Conflict-Induced Cognitive Load on Reactive Turning Strategies and Postural Control Timing,https://tandf.figshare.com/articles/dataset/Effects_of_Conflict-Induced_Cognitive_Load_on_Reactive_Turning_Strategies_and_Postural_Control_Timing/32359973,10.6084/m9.figshare.32359973.v1,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Supplementary Table S1. Estimated marginal means for pre-cue forward center of mass velocity (m/s)', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5']",,,,,vjmb_a_2670477_sm1798.xlsx,1,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Not relevant for psychometrics,,,created issue and processed data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7910/dvn/l7zzop,Padma K,No,dataverse,Assessing Executive Function in Adolescence: A scoping review of existing measures and their psychometric robustness,https://doi.org/10.7910/DVN/L7ZZOP,10.7910/dvn/l7zzop,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['First Author', 'Study year', 'Title of Article/publication', 'Journal', 'Sample description', 'Age Range', 'Country', 'Tools/Tests', 'Psychometrics', 'Comments', 'Full copy retrieved', 'Unnamed: 11'] | license_unknown* — license 'this-data-is-made-avai",,,,,Scoping Review data analysis sheets_n_705.xlsx,0,this-data-is-made-available-under-the-creative-commons-attribution-4.0-international-(cc-by-4.0)---cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Not a dataset,,,maybe so need to create issue and @ someone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7910/dvn/apbox9,Padma K,No,dataverse,Replication Data for: Standardizing the Measurement and Interpretation of Quality of Life Using the “Keratoconus End-Points Assessment Questionnaire” (KEPAQ),https://doi.org/10.7910/DVN/APBOX9,10.7910/dvn/apbox9,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['KEPAQ Single Patient Calculator', 'Unnamed: 1', 'Unnamed: 2']",,,,,KEPAQ Score Calculator.xlsx,0,cc0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,This is a software tool,,,after maybe issue has been created,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7910/dvn/enoeqs,Padma K,Yes,dataverse,Replication Data for: Measuring Media Freedom: An Item Response Theory Analysis of Existing Indicators,https://doi.org/10.7910/DVN/ENOEQS,10.7910/dvn/enoeqs,human_review,Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['country\tmsf\tpostsd\tISO3V10'],,,,,2016MSFMmap.csv,6,cc0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Explicit Item Response Theory analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7910/dvn/ab5umy,Padma K,Maybe,dataverse,Male Attitudes towards Infertility: Results from a Global Questionnaire,https://doi.org/10.7910/DVN/AB5UMY,10.7910/dvn/ab5umy,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Unnamed: 1']",,,,,WJMH data share.xlsx,0,cc0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Check data file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Padma K,No,dataverse,Placement Preference Task,https://doi.org/10.7910/DVN/TWZ4JF,10.7910/dvn/twz4jf,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Unnamed: 1', 'Distance moved', 'In zone 2', 'In zone 2.1', 'In zone 2.2', 'In zone 2.3', 'In zone 2.4', 'In zone 2.5', 'In zone 2.6', 'In zone 2.7', 'In zone 2.8', 'In zone 2.9', 'In zone 2.10', 'In zone 2.11', 'In zone 2.12', 'In zone 2.",,,,,3P_Trial_1__Indigo__Violet__None_3__Lilac.xlsx,251,cc0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Spatial data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Padma K,Maybe,dataverse,"Summary data for ""Premovement suppression of corticospinal excitability is modulated by reaction time task requirements""",https://doi.org/10.7910/DVN/QN0N2G,10.7910/dvn/qn0n2g,human_review,Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Detected trial_* columns (['Trial_Code']). This may be trials-based data (IRW standard §Trials). The item column will be uninformative; trial_ columns carry the probe information. Manual mapping required.,,,,,RT-MEPdata.csv,0,cc0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Advanced modeling candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.6084/m9.figshare.22122380.v1,Padma K,Maybe,figshare,A Research on Genomic Literacy in Japan,https://figshare.com/articles/dataset/A_Research_on_Genomic_Literacy_in_Japan/22122380,10.6084/m9.figshare.22122380.v1,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5']",,,,,"A Research on Genomic Literacy in Japan (Miyoshi,T & Watanabe, M).xlsx",0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Check data file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7910/dvn/gtnejd,Padma K,No,dataverse,"RLI-PeopleSuN Energy Audits (RLI-PSN): Household and enterprise energy supply, use and preference data from rural Nigeria",https://doi.org/10.7910/DVN/GTNEJD,10.7910/dvn/gtnejd,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['list', 'name', 'label'] | license_unknown* — license 'odc-by' not recognised as open; verify before submission",,,,,peoplesun_ent_odk_choices.xlsx,3,odc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Not an IRW candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7910/dvn/h9y1vk,Padma K,Maybe,dataverse,Also Children’s Cognitive Effort to Process Language is Affected by the Predictability of Visual Context Information,https://doi.org/10.7910/DVN/H9Y1VK,10.7910/dvn/h9y1vk,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'subject;group;type;item;condition;subject.start;verb.start;gleich.start;art.start;noun.start;postview.start;Subject.Duration;Verb.Duration;Noun.Duration;left.S100;right.S100;left.S200;right.S200;left.S300;right.S300;left.S400;right.S400;left.",,,,,ica_raw data.csv,1,cc0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Open issue and check trial structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.6084/m9.figshare.17087507.v1,Padma K,Maybe,figshare,Mediating Role of Envy and Forgiveness on the Relationship between the Dark Triad and Religiosity,https://figshare.com/articles/dataset/Mediating_Role_of_Envy_and_Forgiveness_on_the_Relationship_between_the_Dark_Triad_and_Religiosity/17087507,10.6084/m9.figshare.17087507.v1,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Variable Information', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8']",,,,,Codebook.xlsx,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Check repository for data file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7910/dvn/ghqso0,Padma K,No,dataverse,Replication Data for: The “Medellín Dry Eye Inventory” (ME·Dry) is a Reliable Scale for Measuring Multidimensional Quality of Life Compromise in Patients with Dry Eye Disease: A Rasch Development and Validation Study,https://doi.org/10.7910/DVN/GHQSO0,10.7910/dvn/ghqso0,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Medellín Dry Eye Inventory (ME·Dry) \nCalculator', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4']",,,,,ME·Dry Calculator.xls,0,cc0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Sofware tool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.6084/m9.figshare.13601096.v1,Padma K,Yes,figshare,"EXPLORATION OF THE SPANISH VERSION OF THE ATTACHMENT STYLE QUESTIONNAIRE: A COMPARATIVE STUDY BETWEEN SPANISH, ITALIAN, AND JAPANESE CULTURE",https://figshare.com/articles/dataset/EXPLORATION_OF_THE_SPANISH_VERSION_OF_THE_ATTACHMENT_STYLE_QUESTIONNAIRE_A_COMPARATIVE_STUDY_BETWEEN_SPANISH_ITALIAN_AND_JAPANESE_CULTURE/13601096,10.6084/m9.figshare.13601096.v1,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['ID', 'Nº de registro', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4']",,,,,Dataset subido a mendeley.xlsx,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Ideal use case for Item Response Theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7910/dvn/dejqm4,Padma K,Yes,dataverse,MEQ30 and Personality traits and demographics Freediving follow-up survey raw data,https://doi.org/10.7910/DVN/DEJQM4,10.7910/dvn/dejqm4,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Timestamp', 'Каковы ваши отношения с фридайвингом после курса 1 волны? ', 'Случалось ли на 1 волне почувствовать ощущение внутренней тишины под водой, забыв и про время, и про всё, что вокруг?', 'Помимо статики, перед *каждым* ли нырком в упражнениях н",,,,,FFR_pool_5_shortestSurvey_Rus.xlsx,0,cc0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Has raw individal survey rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.6084/m9.figshare.7582019.v1,Padma K,Yes,figshare,"Dataset for the paper Incomplete Information Choices, Cognitive Ability and Personality",https://figshare.com/articles/dataset/Dataset_for_the_paper_Incomplete_Information_Choices_Cognitive_Ability_and_Personality/7582019,10.6084/m9.figshare.7582019.v1,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Data', 'Um bastão e uma bola custam $1,10. O bastão custa um real a mais do que a bola. Quanto custa a bola?', 'Se são necessárias 5 máquinas por 5 minutos para se fazer 5 aparelhos, quanto tempo 100 máquinas fariam 100 aparelhos?', 'Num lago há uma ár",,,,,"Dataset for the paper Incomplete Information Choices, Cognitive Ability and Personality.xlsx",0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Tracks raw item matrices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7910/dvn/vmj6nv,Padma K,Yes,dataverse,"Behavioral data for ""A functional connectome phenotyping dataset including cognitive state and personality measures""",https://doi.org/10.7910/DVN/VMJ6NV,10.7910/dvn/vmj6nv,human_review,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['participant_id', 'SNYCQ_pre-ses-02_positive', 'SNYCQ_pre-ses-02_negative', 'SNYCQ_pre-ses-02_future', 'SNYCQ_pre-ses-02_past', 'SNYCQ_pre-ses-02_myself', 'SNYCQ_pre-ses-02_people', 'SNYCQ_pre-ses-02_surrpundings', 'SNYCQ_pre-ses-02_vigilance', 'SNYCQ_p",,,,,SNYCQ.tsv,1,this-dataset-is-made-available-under-a-creative-commons-cc0-license-with-the-following-additional/modified-terms-and-conditions:,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,Seems really good for research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
