source,journal,doi,title,url,pmcid,license,flag,reasons,data_file,n_responses,n_participants,n_items,density,n_other_files,refined_flag,refined_reason
pmc,peerj,10.7717/peerj.6566,Association of late-onset postpartum depression of mothers with expressive language development during infancy and early childhood: the HBC study.,https://europepmc.org/article/PMC/PMC6408909,PMC6408909,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['id', 'ptinc0']",peerj-07-6566-s007.xls,,,,,2.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,peerj,10.7717/peerj.17120,Assessing the professional quality of life in the context of pediatric care.,https://europepmc.org/article/PMC/PMC10946390,PMC10946390,cc-by,human_assistance,QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*,peerj-12-17120-s001.sav,132.0,1.0,4.0,33.0,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,peerj,10.7717/peerj.19089,The impact of long COVID on quality of life and work performance among healthcare workers in Portugal.,https://europepmc.org/article/PMC/PMC11905913,PMC11905913,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",peerj-13-19089-s001.sav,2784.0,2.0,8.0,174.0,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,peerj,10.7717/peerj.19914,Exploration of gray matter alterations and cognitive function impairment in adolescents with first-episode non-suicidal self-injury and the associations with self-injury characteristics.,https://europepmc.org/article/PMC/PMC12396207,PMC12396207,cc-by,human_assistance,"QC failed on: dup_id_item | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",peerj-13-19914-s001.xlsx,627.0,29.0,11.0,1.9655,1.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,peerj,10.7717/peerj.19620,Internal structure of the action and acceptance questionnaire II (AAQ-II): evidence for a three-factor and bifactor model in two samples of university students.,https://europepmc.org/article/PMC/PMC12255244,PMC12255244,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values*",peerj-13-19620-s003.xlsx,6637.0,12.0,8.0,69.1354,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,peerj,10.7717/peerj.20453,"Mirror feedback in Zumba dance education: effects on proprioception, balance and mood state.",https://europepmc.org/article/PMC/PMC12950186,PMC12950186,cc-by,human_assistance,"QC failed on: dup_id_item | QC warnings to review: resp_ordinal*, resp_direction*, multi_scale*",peerj-14-20453-s001.xlsx,507.0,22.0,13.0,1.7727,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,peerj,10.7717/peerj.20777,"Effects of dynamic taping and moderate-intensity TheraBand training &lt;i&gt;versus&lt;/i&gt; usual care on pain, disability, and well-being in adult National Cadet Corps with chronic heel pain: a pilot and feasibility trial.",https://europepmc.org/article/PMC/PMC12970306,PMC12970306,cc-by,human_assistance,"QC failed on: dup_id_item | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*",peerj-14-20777-s001.xlsx,2860.0,14.0,143.0,1.4286,1.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,peerj,10.7717/peerj.20411,Paw-spective shift: how our mood alters the way we read dog emotions.,https://europepmc.org/article/PMC/PMC12684405,PMC12684405,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*",peerj-13-20411-s001.xls,1565.0,44.0,8.0,4.446,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,peerj,10.7717/peerj.1264,Measuring the well-being of health care professionals in the Punjab: a psychometric evaluation of the Warwick-Edinburgh Mental Well-being Scale in a Pakistani population.,https://europepmc.org/article/PMC/PMC4636413,PMC4636413,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'Score' as fallback — verify this is the person identifier. | Could not confidently identify item columns. | Columns present: ['Score']",peerj-03-1264-s002.xlsx,,,,,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,peerj,10.7717/peerj.2790,Psychometric properties of the Perceived Stress Scale (PSS): measurement invariance between athletes and non-athletes and construct validity.,https://europepmc.org/article/PMC/PMC5162397,PMC5162397,cc-by,human_assistance,QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*,peerj-04-2790-s002.sav,3871.0,2.0,16.0,120.9688,3.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,peerj,10.7717/peerj.14302,Distressed (Type D) personality is predicted by avoidance: evidence from a computer-based avatar task.,https://europepmc.org/article/PMC/PMC9618263,PMC9618263,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*",peerj-10-14302-s001.xlsx,1510.0,13.0,5.0,23.2308,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,peerj,10.7717/peerj.10362,Effects of personality on the developmental trajectories of academic burnout among Korean medical students.,https://europepmc.org/article/PMC/PMC7666816,PMC7666816,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*",peerj-08-10362-s001.xlsx,3784.0,2.0,22.0,86.0,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,peerj,10.7717/peerj.17491,Cognitive-behavioral treatment for insomnia and mindfulness-based stress reduction in nurses with insomnia: a non-inferiority internet delivered randomized controlled trial.,https://europepmc.org/article/PMC/PMC11283175,PMC11283175,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'Group;Condition;Sex;Sex1;Age;BLANK1;MindfT1;mINDFt2;PHQT1;PHQT2;InsomniaT1;InsomniaT2;BLANK;ZMindfT1;ZmINDFt2;ZPHQT1;ZPHQT2;ZInsomniaT1;ZInsomniaT2' as fallback — verify this is the person identifier. | Could not confidently identify item col",peerj-12-17491-s002.csv,,,,,1.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,peerj,10.7717/peerj.2506,Exploring the socio-emotional factors associated with subjective well-being in the unemployed.,https://europepmc.org/article/PMC/PMC5068347,PMC5068347,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*",peerj-04-2506-s001.xlsx,5269.0,42.0,12.0,10.4544,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,peerj,10.7717/peerj.4605,Barefoot running does not affect simple reaction time: an exploratory study.,https://europepmc.org/article/PMC/PMC5896505,PMC5896505,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'Unnamed: 0' as fallback — verify this is the person identifier. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'export_preset', '<?xml version=""1.0"" encoding=""utf-16""?>_x000D_\n<Preset xmlns:xsi=""http://www.w",peerj-06-4605-s001.xlsx,,,,,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,peerj,10.7717/peerj.6502,Subjective wellbeing at different spatial scales for individuals satisfied and dissatisfied with life.,https://europepmc.org/article/PMC/PMC6387756,PMC6387756,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Unnamed: 1', 'SA1', 'SA2', 'SA3', 'SA4', 'State', 'SA1.1', 'SA2.1', 'SA3.1', 'SA4.1', 'State.1', 'SA1.2', 'SA2.2', 'SA3.2', 'SA4.2', 'State.2']",peerj-07-6502-s001.xlsx,,,,,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,bmcpubhealth,10.1186/s12889-021-11553-7,"The individual, place, and wellbeing - a network analysis.",https://europepmc.org/article/PMC/PMC8419673,PMC8419673,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Variable', 'Question(s)', 'Source ', 'Scoring', 'Variable type (used in analysis)', 'Descriptive statistics/component loadings']",12889_2021_11553_MOESM1_ESM.xlsx,,,,,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
