_key,source,title,url,doi,license,flag,reasons,n_responses,n_participants,n_items,density,data_file,n_other_files,refined_flag,refined_reason
10.5281/zenodo.7398425,zenodo,Peer Preference Nominations Questionnaire / Cuestionario de Nominaciones de Preferencias entre Iguales // SOCIOMET-P_Data_IC_T2-Pre,https://zenodo.org/records/7398425,10.5281/zenodo.7398425,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",7691.0,265.0,35.0,0.8292,SOCIOMET-P_Data_IC_T2-Pre.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
10.5281/zenodo.7398444,zenodo,Peer Preference Nominations Questionnaire / Cuestionario de Nominaciones de Preferencias entre Iguales // SOCIOMET-P_Data_IC_T3-Pre,https://zenodo.org/records/7398444,10.5281/zenodo.7398444,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",4187.0,265.0,19.0,0.8316,SOCIOMET-P_Data_IC_T3-Pre.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
10.5281/zenodo.17253323,zenodo,Busy Bees: How does Conscientiousness affect Labor Market Outcomes?,https://zenodo.org/records/17253323,10.5281/zenodo.17253323,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, imputed_values*, multi_scale*, composite_items*",5377847.0,40884.0,157.0,0.8378,big5_final_v4.dta,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
10.5281/zenodo.7398403,zenodo,Peer Preference Nominations Questionnaire / Cuestionario de Nominaciones de Preferencias entre Iguales // SOCIOMET-P_Data_IC_T1-Pre,https://zenodo.org/records/7398403,10.5281/zenodo.7398403,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",4219.0,265.0,19.0,0.8379,SOCIOMET-P_Data_IC_T1-Pre.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
10.5281/zenodo.7398178,zenodo,Peer Preference Nominations Questionnaire / Cuestionario de Nominaciones de Preferencias entre Iguales // SOCIOMET-P_Data_CC_T4-Pre,https://zenodo.org/records/7398178,10.5281/zenodo.7398178,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",4630.0,290.0,19.0,0.8403,SOCIOMET-P_Data_CC_T4-Pre.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
10.5281/zenodo.7406980,zenodo,Peer Friendship Nominations Questionnaire / Cuestionario de Nominaciones de Amistad entre Iguales // SOCIOMET-F_Data_IC_T2-Post,https://zenodo.org/records/7406980,10.5281/zenodo.7406980,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",2983.0,265.0,13.0,0.8659,SOCIOMET-F_Data_IC_T2-Post.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
10.5281/zenodo.7406968,zenodo,Peer Friendship Nominations Questionnaire / Cuestionario de Nominaciones de Amistad entre Iguales // SOCIOMET-F_Data_IC_T1-Post,https://zenodo.org/records/7406968,10.5281/zenodo.7406968,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",2076.0,265.0,9.0,0.8704,SOCIOMET-F_Data_IC_T1-Post.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
10.5281/zenodo.7406947,zenodo,Peer Friendship Nominations Questionnaire / Cuestionario de Nominaciones de Amistad entre Iguales // SOCIOMET-F_Data_IC_T1-Pre,https://zenodo.org/records/7406947,10.5281/zenodo.7406947,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",2079.0,265.0,9.0,0.8717,SOCIOMET-F_Data_IC_T1-Pre.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
10.5281/zenodo.13382904,zenodo,PISA 2022 Database,https://zenodo.org/records/13382904,10.5281/zenodo.13382904,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*, composite_items*",5424915.0,21629.0,282.0,0.8894,CY08MSP_SCH_QQQ.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
10.5281/zenodo.13383223,zenodo,PISA 2015 Database,https://zenodo.org/records/13383223,10.5281/zenodo.13383223,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",3712347.0,17908.0,230.0,0.9013,CY6_MS_CMB_SCH_QQQ.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
