source,title,url,doi,license,flag,reasons,n_responses,n_participants,n_items,density,data_file,n_other_files,refined_flag,refined_reason
zenodo,Bangla Validation of the Smartphone Addiction Scale and the Academic Underachievement Scale: The Associative Role of Classroom Mindful Attention in the Relationship Between Smartphone Addiction and Underachievement Among Adolescents and Young Adults,https://zenodo.org/records/19685114,10.5281/zenodo.19685114,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*",34887.0,712.0,49.0,1.0,"SA,CMARS, and PAUS Manuscript Combined Data FINAL.sav",2.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Self-perceived Victimization Questionnaire / Cuestionario de Autopercepción de Ser Victimizado // VICTIMIZATION_Data_CC-CS_T6-Post,https://zenodo.org/records/7393729,10.5281/zenodo.7393729,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*",1470.0,490.0,3.0,1.0,VICTIMIZATION_Data_CC-CS_T6-Post.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Self-perceived Victimization Questionnaire / Cuestionario de Autopercepción de Ser Victimizado // VICTIMIZATION_Data_CS_T3-Post,https://zenodo.org/records/7393692,10.5281/zenodo.7393692,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",600.0,200.0,3.0,1.0,VICTIMIZATION_Data_CS_T3-Post.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Self-perceived Victimization Questionnaire / Cuestionario de Autopercepción de Ser Victimizado // VICTIMIZATION_Data_CC_T4-Post,https://zenodo.org/records/7393713,10.5281/zenodo.7393713,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",870.0,290.0,3.0,1.0,VICTIMIZATION_Data_CC_T4-Post.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,"Psychosomatic Competence Inventory: a novel self-report measure on interoceptive awareness, cognitive appraisal and conscious self-regulation",https://zenodo.org/records/2643228,10.5281/zenodo.2643228,cc-by,human_assistance,"QC failed on: resp_scale_mixed | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*, composite_items*",8755.0,103.0,85.0,1.0,PSCI_fazekas_data_4_archive.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
dataverse,Replication Data for Psychometric Evaluation of the Turkish Version of the Anticipated Food Scarcity Scale (AFSS) in Female University Students,https://doi.org/10.7910/DVN/ZCG7HG,10.7910/dvn/zcg7hg,cc0,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used the row position as the person id (one row = one respondent) and kept every source column available as an item or covariate — verify the file really is one row per person. | Could not confidently identify item columns. | Columns present: ['Number;Education",,,,,AFSS_datasset.csv,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Loneliness and Social Dissatisfaction Questionnaire / Cuestionario de Soledad e Insatisfacción Social // LONELINESS_Data_CC-CS_T1-Pre,https://zenodo.org/records/7393426,10.5281/zenodo.7393426,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*",1470.0,490.0,3.0,1.0,LONELINESS_Data_CC-CS_ T1-Pre.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Loneliness and Social Dissatisfaction Questionnaire / Cuestionario de Soledad e Insatisfacción Social // LONELINESS_Data_CS_T3-Post,https://zenodo.org/records/7393460,10.5281/zenodo.7393460,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",600.0,200.0,3.0,1.0,LONELINESS_Data_CS_T3-Post.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Turkish Adaptation of the Abbreviated Place Attachment Scale (APAS) and Its Relationship with Well-Being After Earthquakes Dataset,https://zenodo.org/records/17037365,10.5281/zenodo.17037365,cc-by,human_assistance,QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*,798.0,133.0,6.0,1.0,AFA.sav,2.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Parenting Practices Questionnaire / Cuestionario de Prácticas Educativas de Padres y Madres // PARENTING_Data_CC_T6-Post,https://zenodo.org/records/7496981,10.5281/zenodo.7496981,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",870.0,290.0,3.0,1.0,PARENTING_Data_CC_T6-Post.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
