source,title,url,doi,license,flag,reasons,n_responses,n_participants,n_items,density,data_file,n_other_files,refined_flag,refined_reason
datacite,Montreal Cognitive Assessment’s auditory items (MoCA-22): Normative data and reliable change indices,https://tandf.figshare.com/articles/dataset/Montreal_Cognitive_Assessment_s_auditory_items_MoCA-22_Normative_data_and_reliable_change_indices/26872134/1,10.6084/m9.figshare.26872134,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Amitrano et al. (2023) MoCA-22 Normative Calculator', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5']",,,,,hapn_a_2396380_sm0014.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
dataverse,Structural Equation Modeling and Item Response Theory Parameter Equivalency Studies,https://doi.org/10.7910/DVN/WNF1EW,10.7910/dvn/wnf1ew,cc0,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['A', 'sim.mean', 'sim.sd', 'eap.mean', 'eap.sd', 'ebm.mean', 'ebm.sd', 'ml.mean', 'ml.sd']",,,,,Alpha0p0_parType4_N10000_loopn500_I13_SigmaType1_1-12_19-24_complete.tab,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
figshare,The use of artificial intelligence in English language teaching and learning in higher education: a systematic literature review,https://tandf.figshare.com/articles/dataset/The_use_of_artificial_intelligence_in_English_language_teaching_and_learning_in_higher_education_a_systematic_literature_review/32969149,10.6084/m9.figshare.32969149.v1,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'StudyID', 'Design', 'S1', 'S2', 'Q1', 'Q2', 'Q3', 'Q4', 'Q5']",,,,,oaed_a_2696619_sm6133.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
datacite,Mejoramiento del rendimiento académico mediante el uso de un programa de nivelación,https://data.mendeley.com/datasets/kw57jvts9m,10.17632/kw57jvts9m,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used the row position as the person id (one row = one respondent) and kept every source column available as an item or covariate — verify the file really is one row per person. | Could not confidently identify item columns. | Columns present: ['PREGUNTA', '2', ",,,,,Resultados.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
dataverse,Replication Data for: Party cues or policy information? The differential influence of financial and economic literacy on economic policy preferences,https://doi.org/10.7910/DVN/D5XHHN,10.7910/dvn/d5xhhn,cc0,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used the row position as the person id (one row = one respondent) and kept every source column available as an item or covariate — verify the file really is one row per person. | Could not confidently identify NUMERIC item columns, but 3 column(s) look like tex",,,,,CB_survey_final.tab,2.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
dataverse,Survey Response Data,https://doi.org/10.7910/DVN/F7GZF6,10.7910/dvn/f7gzf6,cc0,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['progress', 'duration', 'operation_size_product', 'county', 'operation_characteristics', 'ag_stewardship', 'operation_type', 'crop_group_already', 'crop_group_would', 'crop_group_wouldnt', 'crop_group_na', 'livestock_group_already', 'livestock_group_wou",,,,,ALL_RESPONSES.tab,1.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
dataverse,Selected personality data from the SAPA-Project: 18aug2010 to 08dec2013,https://doi.org/10.7910/DVN/C40K1U,10.7910/dvn/c40k1u,cc0,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['X', 'Item', 'IPIP100', 'BFAS', 'HEXACO', 'QB6', 'MPQ', 'IPIPneo']",,,,,ItemInfo373.tab,2.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
figshare,Data_Sheet_2_Development of depression detection algorithm using text scripts of routine psychiatric interview.xlsx,https://frontiersin.figshare.com/articles/dataset/Data_Sheet_2_Development_of_depression_detection_algorithm_using_text_scripts_of_routine_psychiatric_interview_xlsx/24941241,10.3389/fpsyt.2023.1256571.s002,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used the row position as the person id (one row = one respondent) and kept every source column available as an item or covariate — verify the file really is one row per person. | Could not confidently identify item columns. | Columns present: ['Architecture of ",,,,,Data_Sheet_2_Development of depression detection algorithm using text scripts of routine psychiatric interview.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
figshare,Dataset for the paper Item Response Theory Modeling of High-School Students’ Behavior in a High-Stake Exam,https://figshare.com/articles/dataset/Dataset_for_the_paper_Item_Response_Theory_Modeling_of_High-School_Students_Behavior_in_a_High-Stake_Exam/5882377,10.6084/m9.figshare.5882377.v1,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['I1 ""I2"" ""I3"" ""I4"" ""I5"" ""I6"" ""I7"" ""I8"" ""I9"" ""I10"" ""I11"" ""I12"" ""I13"" ""I14"" ""I15"" ""I16"" ""I17"" ""I18"" ""I19"" ""I20"" ""I21"" ""I22"" ""I23"" ""I24"" ""I25"" ""I26"" ""I27"" ""I28"" ""I29"" ""I30"" ""I31"" ""I32"" ""I33"" ""I34"" ""I35"" ""I36"" ""I37"" ""I38"" ""I39"" ""I40"" ""I41"" ""I42"" ""I43"" ""I44""",,,,,ProvaPAS3aEtp2006.csv,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
datacite,Data for “Reading as Resemiotization: Pre-service English Teachers’ Evolving Conceptions of Literacy in a Virtual Reality-Mediated Multiliteracies Practice”,https://data.mendeley.com/datasets/s94pg6bc7t/1,10.17632/s94pg6bc7t.1,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Inter-Rater Reliability Workbook — Literography / Multiliteracies Study', 'Unnamed: 1']",,,,,IRR_Workbook_Multiliteracies_Coding.xlsx,4.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
figshare,Table_1_Bidialectalism and Bilingualism: Exploring the Role of Language Similarity as a Link Between Linguistic Ability and Executive Control.xlsx,https://frontiersin.figshare.com/articles/dataset/Table_1_Bidialectalism_and_Bilingualism_Exploring_the_Role_of_Language_Similarity_as_a_Link_Between_Linguistic_Ability_and_Executive_Control_xlsx/7240841,10.3389/fpsyg.2018.01997.s004,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Contrast', 'BF10', 'Error', 'Date Analysis Performed', 'Code']",,,,,Table_1_Bidialectalism and Bilingualism: Exploring the Role of Language Similarity as a Link Between Linguistic Ability and Executive Control.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
dataverse,Replication Data for: Particle Pollution and Cognition: Evidence from Sensitive Cognitive Tests in Brazil,https://doi.org/10.7910/DVN/QJUPHO,10.7910/dvn/qjupho,cc0,human_assistance,Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Wide source file contains response-level column(s) ['date'] — cannot safely melt. Manual mapping required.,,,,,environ_cid_uni.tab,6.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
