"table","shard","resp_type","n_rows","n_resp_not_null","n_resp_na_token","n_resp_blank","n_resp_excl_na","pct_na_of_responses"
"neurodegenerative_huizinga_2019_cvc","item_response_warehouse","string",23376,23376,1447,0,21929,6.19
"pks_probability","item_response_warehouse","string",12096,12096,1908,0,10188,15.77
"idcr_martinez_2023_ps","item_response_warehouse","string",4212,4212,2,0,4210,0.05
"PEMAIW_Qiu_2020_SWLS","item_response_warehouse","string",5460,5460,3,0,5457,0.05
"genpsych_russell_2024_llama3","item_response_warehouse","string",30030,30030,351,0,29679,1.17
"short_dark_triad","item_response_warehouse","string",491184,491184,748,0,490436,0.15
"genpsych_russell_2024_gemma","item_response_warehouse","string",28028,28028,306,0,27722,1.09
"FEDSP_Trzcinska_2023_SMSD","item_response_warehouse","string",2574,2574,7,0,2567,0.27
"pechorro_impulsivity_2021_ypitris","item_response_warehouse","string",9009,9009,2,0,9007,0.02
"gender_roles","item_response_warehouse","string",14017212,14017212,33596,0,13983616,0.24
"PEMAIW_Qiu_2020_PANAS","item_response_warehouse","string",21680,21680,69,0,21611,0.32
"BPAQ_Christopher_2024_PROMIS","item_response_warehouse","string",4080,4080,762,0,3318,18.68
"erf_breuer_2017_frmmc","item_response_warehouse","string",10825,10825,5075,0,5750,46.88
"PROMISPME_Forrest_2021_LS_Proxy","item_response_warehouse","string",54040,54040,115,0,53925,0.21
"FEDSP_Trzcinska_2023_PRD","item_response_warehouse","string",990,990,2,0,988,0.2
"dumas_Organisciak_2022","item_response_warehouse","string",21960,21960,178,0,21782,0.81
"PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSR","item_response_warehouse","string",1272,1272,3,0,1269,0.24
"idcr_martinez_2023_Story_Recall_2","item_response_warehouse","string",10545,10545,20,0,10525,0.19
"paampsmartsud_saba_2023_ffmq","item_response_warehouse","string",4800,4800,480,0,4320,10
"SAS_Deters_2022","item_response_warehouse","string",134824,134824,189,0,134635,0.14
"mft_validationandreplication","item_response_warehouse","string",30060,30060,299,0,29761,0.99
"envirisk_lalot_2025","item_response_warehouse","string",24060,24060,22,0,24038,0.09
"rrca_mcneish_2025_exp","item_response_warehouse","string",3088,3088,273,0,2815,8.84
"EMSC_Kuan-chin_2023","item_response_warehouse","string",693,693,8,0,685,1.15
"bfi_goldberg_1992_neuroticism","item_response_warehouse","string",197190,197190,10,0,197180,0.01
"gilbert_meta_20","item_response_warehouse","string",24180,24180,18,0,24162,0.07
"genpsych_russell_2024_gpt3_5","item_response_warehouse","string",31031,31031,385,0,30646,1.24
"dvivdtws_ppmial_marcatto_2023_ocs","item_response_warehouse","string",12166,12166,21,0,12145,0.17
"mturkddm_recognition","item_response_warehouse","string",76908,76908,284,0,76624,0.37
"FACIT_YOUNT_2021_limitations","item_response_warehouse","string",42200,42200,10276,0,31924,24.35
"brand_raffaelli_2024_liking_24","item_response_warehouse","string",48262,48262,660,0,47602,1.37
"MEFSIRODGAS_Nileksela_2023_freq","item_response_warehouse","string",45409,45409,1556,0,43853,3.43
"neurodegenerative_huizinga_2019_brief","item_response_warehouse","string",109575,109575,13365,0,96210,12.2
"gilbert_meta_74","item_response_warehouse","string",29400,29400,73,0,29327,0.25
"ffm_OPN","item_response_warehouse","string",10153410,10153410,93395,0,10060015,0.92
"VCISM_Polish_Trzcinska_2023","item_response_warehouse","string",2070,2070,3,0,2067,0.14
"hypersensitive_narcissism","item_response_warehouse","string",1187582,1187582,6170,0,1181412,0.52
"singh_2025_identity_irs","item_response_warehouse","string",14700,14700,1704,0,12996,11.59
"evpromisi_stone_2021_global","item_response_warehouse","string",4860,4860,13,0,4847,0.27
"much_tte_2025_concentrationtask","item_response_warehouse","string",11196,11196,1,0,11195,0.01
"bfi_goldberg_1992_conscientiousness","item_response_warehouse","string",197190,197190,10,0,197180,0.01
"paampsmartsud_saba_2023_pss","item_response_warehouse","string",2000,2000,200,0,1800,10
"PEMAIW_Qiu_2020_MEQ","item_response_warehouse","string",33510,33510,246,0,33264,0.73
"mhscdc_fried_2020_loneliness","item_response_warehouse","string",800,800,15,0,785,1.88
"hexaco_ashton_2014_e","item_response_warehouse","string",911440,911440,28,0,911412,0
"deception_game","item_response_warehouse","string",15264,15264,4,0,15260,0.03
"geography","item_response_warehouse","string",10087305,10087305,281706,0,9805599,2.79
"FACES_Spanish_Vegas_2022_FSS","item_response_warehouse","string",11960,11960,136,0,11824,1.14
"PBS_Surrain_2019_PoB","item_response_warehouse","string",13966,13966,917,0,13049,6.57
"BPAQ_Christopher_2024_SCSS","item_response_warehouse","string",2040,2040,1,0,2039,0.05
