table,shard,n_rows,n_resp_na,share
dscore_bayley_weber_2019,item_response_warehouse_2,4139616,3715652,0.8976
dscore_griffiths_weber_2019,item_response_warehouse_2,1508416,1373321,0.9104
dscore_dutch_weber_2019,item_response_warehouse_2,953154,787033,0.8257
quopl2_forster_2021_elfe,item_response_warehouse_2,546356,509272,0.9321
Veterans_Affairs_SSVF_Survey_2018-20,item_response_warehouse,1475369,476509,0.323
western_reserve_project,item_response_warehouse,1445422,378887,0.2621
geography,item_response_warehouse,10087305,281706,0.0279
dscore_asq_weber_2019,item_response_warehouse_2,191406,172867,0.9031
face_memory_test,item_response_warehouse,309400,157566,0.5093
issueirt_votes_shin_2024,item_response_warehouse_2,303921,130615,0.4298
quopl2_forster_2021_cft,item_response_warehouse_2,149550,129069,0.863
dscore_vineland_weber_2019,item_response_warehouse_2,208800,125242,0.5998
dscore_denver_weber_2019,item_response_warehouse_2,142899,118589,0.8299
quopl2_forster_2021_quop,item_response_warehouse_2,733792,110199,0.1502
nit_must_2014,item_response_warehouse_2,512052,106566,0.2081
dscore_battelle_weber_2019,item_response_warehouse_2,131100,101558,0.7747
16_personalityfactors,item_response_warehouse,8012917,98919,0.0123
ffm_EST,item_response_warehouse,10153410,95533,0.0094
ffm_CSN,item_response_warehouse,10153410,95466,0.0094
ffm_OPN,item_response_warehouse,10153410,93395,0.0092
ffm_AGR,item_response_warehouse,10153410,90888,0.009
ffm_EXT,item_response_warehouse,10153410,84238,0.0083
vocabulary_iq,item_response_warehouse,912975,76191,0.0835
quopl2_forster_2021_dmat,item_response_warehouse_2,63808,53823,0.8435
rating_speed_2025,item_response_warehouse_2,2286137,40817,0.0179
sexual_selfconcept,item_response_warehouse,1768500,37688,0.0213
neurips_2022,item_response_warehouse,509957,37648,0.0738
gender_roles,item_response_warehouse,14017212,33596,0.0024
credentialform_lnirt,item_response_warehouse,327200,32720,0.1
riasec,item_response_warehouse,10791272,30619,0.0028
neurodegenerative_huizinga_2019_sims,item_response_warehouse,109575,18800,0.1716
crspolish_wiesyk_2024_enrich,item_response_warehouse_2,21720,15858,0.7301
fad_dataset2,item_response_warehouse,34456,14702,0.4267
feminist_perspectives,item_response_warehouse,808620,14291,0.0177
neurodegenerative_huizinga_2019_brief,item_response_warehouse,109575,13365,0.122
Fh_Okcsr_Roos_2022_study1_Feeling_Heard,item_response_warehouse,20176,12888,0.6388
crspolish_wiesyk_2024_lie,item_response_warehouse_2,17376,12687,0.7301
spelling2pronounce_edwards2023,item_response_warehouse,629815,12582,0.02
dscore_barrera_weber_2019,item_response_warehouse_2,14674,11328,0.772
musifeast17_vanderwalle_2025,item_response_warehouse_2,297925,10539,0.0354
FACIT_YOUNT_2021_limitations,item_response_warehouse,42200,10276,0.2435
close_relationships,item_response_warehouse,1853676,9534,0.0051
nonverbal_immediacy,item_response_warehouse,7896928,8712,0.0011
Fh_Okcsr_Roos_2022_study2_Feeling_Heard,item_response_warehouse,40854,8000,0.1958
mhscdc_fried_2020_ema,item_response_warehouse,78696,7738,0.0983
crspolish_wiesyk_2024_p_stress,item_response_warehouse_2,10136,7399,0.73
BAFACALO_Golino_2013_CIS,item_response_warehouse,17520,6911,0.3945
dscore_mds_weber_2019,item_response_warehouse_2,7866,6572,0.8355
neurodegenerative_huizinga_2019_vfq,item_response_warehouse,42369,6385,0.1507
psychoneurotic_inventory,item_response_warehouse,698204,6334,0.0091
rapm_poulton_2022_untimed,item_response_warehouse_2,14592,6216,0.426
hypersensitive_narcissism,item_response_warehouse,1187582,6170,0.0052
SV-MAIA2_Randelovic_2021_MAIA,item_response_warehouse,25086,5846,0.233
erf_breuer_2017_frmfr,item_response_warehouse,10825,5750,0.5312
depression_anxiety_stress,item_response_warehouse,2704700,5357,0.002
nas_rogoza_2024_study5_ngs,item_response_warehouse,38040,5257,0.1382
nas_rogoza_2024_study5_nas,item_response_warehouse,38040,5208,0.1369
nas_rogoza_2024_study5_nvs,item_response_warehouse,38040,5172,0.136
erf_breuer_2017_frmmc,item_response_warehouse,10825,5075,0.4688
neurodegenerative_huizinga_2019_dass,item_response_warehouse,30681,4515,0.1472
neurodegenerative_huizinga_2019_user,item_response_warehouse,30681,4283,0.1396
neurodegenerative_huizinga_2019_feda,item_response_warehouse,39447,4050,0.1027
rapm_poulton_2022_timed,item_response_warehouse_2,11496,4020,0.3497
5personalityfactors,item_response_warehouse,626780,3675,0.0059
pezzuti_2025_coolpeople_benevolent,item_response_warehouse_2,33936,3349,0.0987
deception_professors,item_response_warehouse,11928,3262,0.2735
BAFACALO_Golino_2013_SMS,item_response_warehouse,10804,3199,0.2961
BAFACALO_Golino_2013_FIS,item_response_warehouse,17520,2888,0.1648
tma,item_response_warehouse,270500,2612,0.0097
brain_hemisphere,item_response_warehouse,590880,2482,0.0042
mbft_anunciacao_2024,item_response_warehouse,42290975,2251,0.0001
dscore_sbi_weber_2019,item_response_warehouse_2,6765,2177,0.3218
identity_fusion_gomez_2025,item_response_warehouse_2,46669,2077,0.0445
rosenberg_selfesteem,item_response_warehouse,479740,2059,0.0043
BAFACALO_Golino_2013_BVPS,item_response_warehouse,18104,2046,0.113
nerdy_personality,item_response_warehouse,777660,1917,0.0025
PROMISPME_Forrest_2021_GHGlobal_Proxy,item_response_warehouse,37947,1909,0.0503
pks_probability,item_response_warehouse,12096,1908,0.1577
timss_tam,item_response_warehouse,19503,1896,0.0972
wooly_hartman2022,item_response_warehouse,29659,1857,0.0626
singh_2025_identity_irs,item_response_warehouse,14700,1704,0.1159
MEFSIRODGAS_Nileksela_2023_freq,item_response_warehouse,45409,1556,0.0343
MEFSIRODGAS_Nileksela_2023_severity,item_response_warehouse,45409,1556,0.0343
paampsmartsud_saba_2023_amps,item_response_warehouse,6000,1552,0.2587
sd3ypl_klimczak_2019_sd3,item_response_warehouse_2,18980,1460,0.0769
neurodegenerative_huizinga_2019_cvc,item_response_warehouse,23376,1447,0.0619
fcupanas_cffsdas_reyna_2018,item_response_warehouse,32720,1430,0.0437
PROMISPME_Forrest_2021_Physical_Children,item_response_warehouse,238118,1304,0.0055
artistic_preferences,item_response_warehouse,1040200,1291,0.0012
lys_2020_rape_3_asi,item_response_warehouse,9504,1213,0.1276
gilbert_meta_86,item_response_warehouse,27210,1205,0.0443
PROMISPME_Forrest_2021_PosAff_Children,item_response_warehouse,99322,1186,0.0119
gilbert_meta_87,item_response_warehouse,19954,1051,0.0527
PBS_Surrain_2019_PoB,item_response_warehouse,13966,917,0.0657
gilbert_meta_55,item_response_warehouse,26445,885,0.0335
erf_breuer_2017_tai,item_response_warehouse,6495,855,0.1316
FACES_Spanish_Vegas_2022_FACES,item_response_warehouse,50232,844,0.0168
rightwing_authoritariansim,item_response_warehouse,474288,832,0.0018
schoen_2019_to_2022_mkt,item_response_warehouse_2,74624,814,0.0109
PROMISPME_Forrest_2021_Family_Proxy,item_response_warehouse,208485,771,0.0037
PROMISPME_Forrest_2021_Family_Children,item_response_warehouse,208485,771,0.0037
BPAQ_Christopher_2024_PROMIS,item_response_warehouse,4080,762,0.1868
PROMISPME_Forrest_2021_Physical_Proxy,item_response_warehouse,121418,751,0.0062
short_dark_triad,item_response_warehouse,491184,748,0.0015
paampsmartsud_saba_2023_ders,item_response_warehouse,7400,740,0.1
BPAQ_Christopher_2024_BPAQSF,item_response_warehouse,4080,672,0.1647
brand_raffaelli_2024_familiarity_24,item_response_warehouse,48262,660,0.0137
brand_raffaelli_2024_liking_24,item_response_warehouse,48262,660,0.0137
PROMISPME_Forrest_2021_LS_Children,item_response_warehouse,111552,633,0.0057
pezzuti_2025_coolpeople_single-items,item_response_warehouse_2,56560,627,0.0111
PTAM_Kretzschmar_2017_Reasoning,item_response_warehouse,8424,616,0.0731
experimental_iq,item_response_warehouse,10000,526,0.0526
gcb5_2025,item_response_warehouse_2,4920,515,0.1047
gmc_kay_2025,item_response_warehouse_2,4920,515,0.1047
cmq_kay_2025,item_response_warehouse_2,4920,515,0.1047
erf_breuer_2017_dosp,item_response_warehouse,3897,513,0.1316
paampsmartsud_saba_2023_ffmq,item_response_warehouse,4800,480,0.1
PROMISPME_Forrest_2021_Psych_Children,item_response_warehouse,119936,452,0.0038
act_kay_2025,item_response_warehouse_2,3936,412,0.1047
genpsych_russell_2024_gpt3_5,item_response_warehouse,31031,385,0.0124
opentsstvr_linnig_2025_vrexperience,item_response_warehouse_2,2774,365,0.1316
genpsych_russell_2024_gpt4o,item_response_warehouse,34965,362,0.0104
dscore_macarthur_weber_2019,item_response_warehouse_2,1230,356,0.2894
consideration_future_consequences,item_response_warehouse,180420,351,0.0019
genpsych_russell_2024_llama3,item_response_warehouse,30030,351,0.0117
rrca_mcneish_2025_sen,item_response_warehouse,3088,350,0.1133
PEMAIW_Qiu_2020_FFMQ,item_response_warehouse,46176,322,0.007
PROMISPME_Forrest_2021_MP_Children,item_response_warehouse,104225,308,0.003
genpsych_russell_2024_gemma,item_response_warehouse,28028,306,0.0109
mft_validationandreplication,item_response_warehouse,30060,299,0.0099
CHEXI_Lin_2019,item_response_warehouse,53088,289,0.0054
genpsych_russell_2024_mixtral,item_response_warehouse,31936,285,0.0089
mturkddm_recognition,item_response_warehouse,76908,284,0.0037
rrca_mcneish_2025_exp,item_response_warehouse,3088,273,0.0884
FACIT_YOUNT_2021_crqsasx,item_response_warehouse,12160,273,0.0225
promispfue_2_0e_gershon_2019_promis,item_response_warehouse,20400,249,0.0122
climatechange_geiger_2025,item_response_warehouse_2,51142,247,0.0048
PEMAIW_Qiu_2020_MEQ,item_response_warehouse,33510,246,0.0073
qol_islam_2025,item_response_warehouse,29822,238,0.008
PROMISPME_Forrest_2021_Psych_Proxy,item_response_warehouse,58432,230,0.0039
mturkddm_by,item_response_warehouse,132800,230,0.0017
hexaco_silvia_2025,item_response_warehouse_2,53000,222,0.0042
bfi2_zhang_2025,item_response_warehouse_2,80100,212,0.0026
rrca_mcneish_2025_use,item_response_warehouse,3088,203,0.0657
paampsmartsud_saba_2023_pss,item_response_warehouse,2000,200,0.1
SV-MAIA2_Randelovic_2021_hexaco60,item_response_warehouse,8280,199,0.024
sexual_compulsivity,item_response_warehouse,33760,195,0.0058
HEARD_Roch_2022_COPE,item_response_warehouse,14400,193,0.0134
SAS_Deters_2022,item_response_warehouse,134824,189,0.0014
selfcompassionscale_shortform_fuochi_2025,item_response_warehouse,24816,186,0.0075
EEN_Lacey_2024_Parent,item_response_warehouse,59640,184,0.0031
aappss_malpas_2019_scl,item_response_warehouse,54990,182,0.0033
fisher_temperment,item_response_warehouse,437096,180,0.0004
dumas_Organisciak_2022,item_response_warehouse,21960,178,0.0081
MGSISGCLQ_Hollyhead_2018,item_response_warehouse,950,175,0.1842
hpwt_bayona_2025_workcharacteristics,item_response_warehouse,38808,168,0.0043
humor_styles,item_response_warehouse,34272,162,0.0047
CQTMS_Hur_2023,item_response_warehouse,122720,157,0.0013
gilbert_meta_76,item_response_warehouse,66768,155,0.0023
nature_relatedness,item_response_warehouse,48704,155,0.0032
anunciacao_2025_personality_exhibition,item_response_warehouse_2,2455605,150,0.0001
psychotools_gratitude_gart,item_response_warehouse_2,22480,149,0.0066
spelling_assessment_study2,item_response_warehouse,56592,145,0.0026
much_tte_2025_matrixreasoning,item_response_warehouse,24880,143,0.0057
mindfulness_assessment,item_response_warehouse,23439,139,0.0059
FACES_Spanish_Vegas_2022_FSS,item_response_warehouse,11960,136,0.0114
mturkddm_lexical,item_response_warehouse,68160,136,0.002
anunciacao_2025_personality_deference,item_response_warehouse_2,2455605,131,0.0001
anunciacao_2025_personality_autonomy,item_response_warehouse_2,2455605,131,0.0001
anunciacao_2025_personality_affiliation,item_response_warehouse_2,2455605,131,0.0001
SCS_Suh_2023_SIAPS,item_response_warehouse,4332,130,0.03
anunciacao_2025_personality_nurturance,item_response_warehouse_2,2182760,125,0.0001
anunciacao_2025_personality_achievement,item_response_warehouse_2,2455605,125,0.0001
