table,shard,n_rows,n_na,pct_na,n_items,n_items_all_na,na_in_all_na_items,n_items_no_na,n_ids,n_ids_all_na,na_in_all_na_ids,n_ids_no_na,pct_na_in_all_na_items,pct_na_in_all_na_ids
PEMAIW_Qiu_2020_SWLS,item_response_warehouse,5460,3,0.055,5,0,0,2,1092,0,0,1089,0.0,0.0
pks_probability,item_response_warehouse,12096,1908,15.774,24,0,0,12,504,0,0,345,0.0,0.0
idcr_martinez_2023_ps,item_response_warehouse,4212,2,0.047,18,0,0,16,234,0,0,233,0.0,0.0
neurodegenerative_huizinga_2019_cvc,item_response_warehouse,23376,1447,6.19,16,0,0,0,1461,29,464,899,0.0,32.07
genpsych_russell_2024_llama3,item_response_warehouse,30030,351,1.169,30,0,0,0,1001,0,0,901,0.0,0.0
short_dark_triad,item_response_warehouse,491184,748,0.152,27,0,0,0,18192,6,162,17740,0.0,21.66
FEDSP_Trzcinska_2023_SMSD,item_response_warehouse,2574,7,0.272,13,0,0,8,198,0,0,192,0.0,0.0
genpsych_russell_2024_gemma,item_response_warehouse,28028,306,1.092,28,0,0,0,1001,1,28,895,0.0,9.15
pechorro_impulsivity_2021_ypitris,item_response_warehouse,9009,2,0.022,21,0,0,19,429,0,0,427,0.0,0.0
PEMAIW_Qiu_2020_PANAS,item_response_warehouse,21680,69,0.318,20,0,0,0,1084,0,0,1065,0.0,0.0
BPAQ_Christopher_2024_PROMIS,item_response_warehouse,4080,762,18.676,24,0,0,12,170,0,0,50,0.0,0.0
gender_roles,item_response_warehouse,14017212,33596,0.24,44,0,0,0,318573,3,132,292388,0.0,0.39
erf_breuer_2017_frmmc,item_response_warehouse,10825,5075,46.882,25,0,0,0,433,203,5075,230,0.0,100.0
PROMISPME_Forrest_2021_LS_Proxy,item_response_warehouse,54040,115,0.213,56,0,0,8,964,0,0,921,0.0,0.0
FEDSP_Trzcinska_2023_PRD,item_response_warehouse,990,2,0.202,5,0,0,3,198,0,0,197,0.0,0.0
dumas_Organisciak_2022,item_response_warehouse,21960,178,0.811,10,0,0,0,92,0,0,39,0.0,0.0
PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSR,item_response_warehouse,1272,3,0.236,6,0,0,3,199,0,0,198,0.0,0.0
idcr_martinez_2023_Story_Recall_2,item_response_warehouse,10545,20,0.19,48,0,0,28,235,0,0,230,0.0,0.0
paampsmartsud_saba_2023_ffmq,item_response_warehouse,4800,480,10.0,24,0,0,0,100,10,480,90,0.0,100.0
SAS_Deters_2022,item_response_warehouse,134824,189,0.14,19,0,0,0,1526,0,0,1390,0.0,0.0
mft_validationandreplication,item_response_warehouse,30060,299,0.995,36,0,0,0,835,5,180,823,0.0,60.2
envirisk_lalot_2025,item_response_warehouse,24060,22,0.091,12,0,0,10,2005,0,0,1993,0.0,0.0
rrca_mcneish_2025_exp,item_response_warehouse,3088,273,8.841,8,0,0,0,386,0,0,247,0.0,0.0
EMSC_Kuan-chin_2023,item_response_warehouse,693,8,1.154,7,0,0,4,99,0,0,92,0.0,0.0
bfi_goldberg_1992_neuroticism,item_response_warehouse,197190,10,0.005,10,0,0,0,19719,1,10,19718,0.0,100.0
gilbert_meta_20,item_response_warehouse,24180,18,0.074,93,0,0,75,186,0,0,185,0.0,0.0
