table,shard,n_rows,n_na,share_na,n_items,n_ids
mbft_anunciacao_2024,item_response_warehouse,42290975,2251,5.322648626568671e-05,155,272845
gender_roles,item_response_warehouse,14017212,33596,0.0023967676311095,44,318573
riasec,item_response_warehouse,10791272,30619,0.0028373856205274,74,145828
ffm_AGR,item_response_warehouse,10153410,90888,0.0089514754156485,10,1015341
ffm_EST,item_response_warehouse,10153410,95533,0.0094089571877822,10,1015341
ffm_CSN,item_response_warehouse,10153410,95466,0.0094023584194866,10,1015341
ffm_EXT,item_response_warehouse,10153410,84238,0.0082965230400427,10,1015341
ffm_OPN,item_response_warehouse,10153410,93395,0.0091983875367979,10,1015341
geography,item_response_warehouse,10087305,281706,0.0279267852017957,1458,91331
16_personalityfactors,item_response_warehouse,8012917,98919,0.0123449425471398,163,49159
nonverbal_immediacy,item_response_warehouse,7896928,8712,0.0011032138066853,52,151864
depression_anxiety_stress,item_response_warehouse,2704700,5357,0.0019806263171516,68,39775
anunciacao_2025_personality_exhibition,item_response_warehouse_2,2455605,150,6.108474286377492e-05,9,272845
anunciacao_2025_personality_deference,item_response_warehouse_2,2455605,131,5.334734210103009e-05,9,272845
anunciacao_2025_personality_achievement,item_response_warehouse_2,2455605,125,5.09039523864791e-05,9,272845
anunciacao_2025_personality_autonomy,item_response_warehouse_2,2455605,131,5.334734210103009e-05,9,272845
anunciacao_2025_personality_affiliation,item_response_warehouse_2,2455605,131,5.334734210103009e-05,9,272845
rating_speed_2025,item_response_warehouse_2,2286137,40817,0.0178541356007973,8,24037
anunciacao_2025_personality_persistence,item_response_warehouse_2,2182760,95,4.352287929043963e-05,8,272845
anunciacao_2025_personality_nurturance,item_response_warehouse_2,2182760,125,5.726694643478898e-05,8,272845
anunciacao_2025_personality_succorance,item_response_warehouse_2,1909915,102,5.340551804661464e-05,7,272845
anunciacao_2025_personality_intraception,item_response_warehouse_2,1909915,103,5.392910155687557e-05,7,272845
anunciacao_2025_personality_change,item_response_warehouse_2,1909915,99,5.1834767515831854e-05,7,272845
anunciacao_2025_personality_dominance,item_response_warehouse_2,1909915,105,5.497626857739743e-05,7,272845
close_relationships,item_response_warehouse,1853676,9534,0.0051432936500229,36,51491
sexual_selfconcept,item_response_warehouse,1768500,37688,0.0213107152954481,100,17685
anunciacao_2025_personality_order,item_response_warehouse_2,1637070,94,5.741965829194842e-05,6,272845
anunciacao_2025_personality_aggression,item_response_warehouse_2,1364225,73,5.351023474866682e-05,5,272845
hypersensitive_narcissism,item_response_warehouse,1187582,6170,0.0051954307155211,22,53981
artistic_preferences,item_response_warehouse,1040200,1291,0.0012411074793308,56,18575
hexaco_ashton_2014_h,item_response_warehouse,911440,22,2.4137628368296323e-05,40,22786
hexaco_ashton_2014_c,item_response_warehouse,911440,27,2.9623452997454574e-05,40,22786
hexaco_ashton_2014_e,item_response_warehouse,911440,28,3.0720617923286226e-05,40,22786
hexaco_ashton_2014_a,item_response_warehouse,911440,24,2.6331958219959623e-05,40,22786
hexaco_ashton_2014_x,item_response_warehouse,911440,13,1.4263144035811465e-05,40,22786
hexaco_ashton_2014_o,item_response_warehouse,911440,15,1.6457473887474765e-05,40,22786
feminist_perspectives,item_response_warehouse,808620,14291,0.0176733199772451,60,13477
nerdy_personality,item_response_warehouse,777660,1917,0.0024650875704035,52,14955
psychoneurotic_inventory,item_response_warehouse,698204,6334,0.0090718471965213,116,6019
spelling2pronounce_edwards2023,item_response_warehouse,629815,12582,0.0199772949199368,1,23282
brain_hemisphere,item_response_warehouse,590880,2482,0.004200514486867,20,29544
short_dark_triad,item_response_warehouse,491184,748,0.0015228509071956,27,18192
rosenberg_selfesteem,item_response_warehouse,479740,2059,0.0042919081168966,10,47974
rightwing_authoritariansim,item_response_warehouse,474288,832,0.0017542084134534,48,9881
fisher_temperment,item_response_warehouse,437096,180,0.0004118088474843,88,4967
musifeast17_vanderwalle_2025,item_response_warehouse_2,297925,10539,0.0353746748342703,25,701
tma,item_response_warehouse,270500,2612,0.0096561922365988,50,5410
PROMISPME_Forrest_2021_Physical_Children,item_response_warehouse,238118,1304,0.0054762764679696,122,3854
PROMISPME_Forrest_2021_Family_Proxy,item_response_warehouse,208485,771,0.0036981077775379,113,1845
PROMISPME_Forrest_2021_Family_Children,item_response_warehouse,208485,771,0.0036981077775379,113,1845
bfi_goldberg_1992_openness_to_experience,item_response_warehouse,197190,10,5.071251077640854e-05,10,19719
bfi_goldberg_1992_conscientiousness,item_response_warehouse,197190,10,5.071251077640854e-05,10,19719
bfi_goldberg_1992_extraversion,item_response_warehouse,197190,10,5.071251077640854e-05,10,19719
bfi_goldberg_1992_neuroticism,item_response_warehouse,197190,10,5.071251077640854e-05,10,19719
bfi_goldberg_1992_agreeableness,item_response_warehouse,197190,10,5.071251077640854e-05,10,19719
consideration_future_consequences,item_response_warehouse,180420,351,0.0019454605919521,12,15035
cbq_huczewska2022,item_response_warehouse,175488,54,0.0003077133479212,64,2742
mturkddm_by,item_response_warehouse,132800,230,0.0017319277108433,20,166
mturkddm_y25,item_response_warehouse,127488,55,0.0004314131526104,12,166
CQTMS_Hur_2023,item_response_warehouse,122720,157,0.0012793350717079,160,767
PROMISPME_Forrest_2021_Physical_Proxy,item_response_warehouse,121418,751,0.0061852443624503,122,1957
PROMISPME_Forrest_2021_Psych_Children,item_response_warehouse,119936,452,0.0037686766275346,64,1874
PROMISPME_Forrest_2021_LS_Children,item_response_warehouse,111552,633,0.0056744836488812,56,1992
promis_BrummerHoffman_2021,item_response_warehouse,109602,8,7.299136877064287e-05,80,1828
PROMISPME_Forrest_2021_MP_Children,item_response_warehouse,104225,308,0.0029551451187335,55,1895
PROMISPME_Forrest_2021_PosAff_Children,item_response_warehouse,99322,1186,0.0119409597068121,53,1874
aestheticfluency_cotter2023,item_response_warehouse,89280,15,0.0001680107526881,36,2480
phq_BrummerHoffman_2021,item_response_warehouse,82260,54,0.0006564551422319,45,1828
bfi2_zhang_2025,item_response_warehouse_2,80100,212,0.0026466916354556,60,1335
mturkddm_recognition,item_response_warehouse,76908,284,0.0036927237738596,2202,142
schoen_2019_to_2022_mkt,item_response_warehouse_2,74624,814,0.0109080188679245,35,1045
spelling_assessment_study1,item_response_warehouse,73357,54,0.0007361260684051,109,673
cud_stone2024,item_response_warehouse,71108,103,0.0014485008719131,44,413
mturkddm_lexical,item_response_warehouse,68160,136,0.0019953051643192,4588,142
gilbert_meta_76,item_response_warehouse,66768,155,0.0023214713635274,78,428
PROMISPME_Forrest_2021_GHGlobal_Children,item_response_warehouse,65430,2,3.056701818737582e-05,18,3635
gad_BrummerHoffman_2021,item_response_warehouse,63980,45,0.0007033447952485,35,1828
protestant_workethic,item_response_warehouse,60750,114,0.0018765432098765,45,1350
EEN_Lacey_2024_Parent,item_response_warehouse,59640,184,0.003085177733065,24,2485
PROMISPME_Forrest_2021_Psych_Proxy,item_response_warehouse,58432,230,0.0039361993428258,64,913
spelling_assessment_study2,item_response_warehouse,56592,145,0.0025621996041843,72,786
pezzuti_2025_coolpeople_single-items,item_response_warehouse_2,56560,627,0.0110855728429985,10,5656
aappss_malpas_2019_scl,item_response_warehouse,54990,182,0.0033096926713947,90,611
PROMISPME_Forrest_2021_LS_Proxy,item_response_warehouse,54040,115,0.0021280532938564,56,964
CHEXI_Lin_2019,item_response_warehouse,53088,289,0.0054437914406268,24,2212
hexaco_silvia_2025,item_response_warehouse_2,53000,222,0.004188679245283,100,530
climatechange_geiger_2025,item_response_warehouse_2,51142,247,0.0048296898830706,14,3653
PROMISPME_Forrest_2021_MP_Proxy,item_response_warehouse,51040,115,0.0022531347962382,55,927
FACES_Spanish_Vegas_2022_FACES,item_response_warehouse,50232,844,0.0168020385411689,42,1196
nature_relatedness,item_response_warehouse,48704,155,0.0031824901445466,32,1522
brand_raffaelli_2024_familiarity_24,item_response_warehouse,48262,660,0.0136753553520368,59,818
brand_raffaelli_2024_liking_24,item_response_warehouse,48262,660,0.0136753553520368,59,818
PROMISPME_Forrest_2021_PosAff_Proxy,item_response_warehouse,48177,117,0.0024285447412665,53,909
identity_fusion_gomez_2025,item_response_warehouse_2,46669,2077,0.0445049176112622,51,2577
PEMAIW_Qiu_2020_FFMQ,item_response_warehouse,46176,322,0.0069733194733194,39,1184
PROMISPME_Forrest_2021_Strength_Children,item_response_warehouse,45600,85,0.0018640350877192,25,1824
MEFSIRODGAS_Nileksela_2023_severity,item_response_warehouse,45409,1556,0.0342663348675372,91,499
MEFSIRODGAS_Nileksela_2023_freq,item_response_warehouse,45409,1556,0.0342663348675372,91,499
LSHS-E_Quidaja_2022,item_response_warehouse,42624,25,0.000586524024024,16,2664
hpwt_bayona_2025_workcharacteristics,item_response_warehouse,38808,168,0.0043290043290043,77,504
grit,item_response_warehouse,37944,113,0.0029780729496099,12,3162
disgust_berger2014,item_response_warehouse,35350,30,0.0008486562942008,25,1414
genpsych_russell_2024_gpt4o,item_response_warehouse,34965,362,0.0103532103532103,35,999
humor_styles,item_response_warehouse,34272,162,0.0047268907563025,32,1071
socialstereotype_hughes_2025_personality_other,item_response_warehouse,34076,19,0.0005575771804202,28,312
sexual_compulsivity,item_response_warehouse,33760,195,0.0057760663507109,10,3376
PEMAIW_Qiu_2020_MEQ,item_response_warehouse,33510,246,0.0073410922112802,30,1117
evpromisi_stone_2021_ddedanx,item_response_warehouse,33131,34,0.0010262292113126,7,183
fcupanas_cffsdas_reyna_2018,item_response_warehouse,32720,1430,0.0437041564792176,40,1636
genpsych_russell_2024_mixtral,item_response_warehouse,31936,285,0.0089240981963927,32,998
evpromisi_stone_2021_ddpainin,item_response_warehouse,31536,35,0.0011098427194317,6,200
genpsych_russell_2024_gpt3_5,item_response_warehouse,31031,385,0.0124069478908188,31,1001
mft_validationandreplication,item_response_warehouse,30060,299,0.0099467731204258,36,835
genpsych_russell_2024_llama3,item_response_warehouse,30030,351,0.0116883116883116,30,1001
qol_islam_2025,item_response_warehouse,29822,238,0.0079806854000402,26,1147
gilbert_meta_74,item_response_warehouse,29400,73,0.0024829931972789,12,1225
DART_Brysbaert_2020_3_4_5,item_response_warehouse,28908,124,0.0042894700428947,158,219
QCDQES_Oliveira_2022,item_response_warehouse,28854,13,0.0004505441186663,42,687
genpsych_russell_2024_gemma,item_response_warehouse,28028,306,0.0109176537747966,28,1001
gilbert_meta_86,item_response_warehouse,27210,1205,0.0442851892686512,15,1244
gilbert_meta_55,item_response_warehouse,26445,885,0.0334656834940442,15,1763
much_tte_2025_matrixreasoning,item_response_warehouse,24880,143,0.0057475884244372,20,1244
selfcompassionscale_shortform_fuochi_2025,item_response_warehouse,24816,186,0.007495164410058,12,1816
gilbert_meta_20,item_response_warehouse,24180,18,0.0007444168734491,93,186
