table,shard,n_rows,n_na,n_items,n_items_all_na,na_in_all_na_items,n_ids,n_ids_all_na,na_in_all_na_ids,err,share_na,item_conc,id_conc,bucket
Veterans_Affairs_SSVF_Survey_2018-20,item_response_warehouse,1396328,397468,53,0,0,26347,0,0,,0.28465231664766444,0.0,0.0,E_scattered
dscore_dutch_weber_2019,item_response_warehouse_2,953154,787033,57,0,0,2038,0,0,,0.8257144176072282,0.0,0.0,E_scattered
western_reserve_project,item_response_warehouse,1388458,327600,2610,0,0,2880,3,657,,0.23594519963873592,0.0,0.0020054945054945057,E_scattered
dscore_bayley_weber_2019,item_response_warehouse_2,4139616,3715652,416,0,0,7536,1683,1047072,,0.897583737235531,0.0,0.2818003408284737,E_scattered
dscore_griffiths_weber_2019,item_response_warehouse_2,1508416,1373321,296,0,0,2774,1683,745032,,0.9104391626713055,0.0,0.5425039011272674,D_mostly_ids
quopl2_forster_2021_elfe,item_response_warehouse_2,546356,509272,274,14,27916,1994,1641,449634,,0.9321248416783197,0.054815501343093674,0.8828955842850186,D_mostly_ids
dscore_vineland_weber_2019,item_response_warehouse_2,208800,125242,50,0,0,2389,145,7400,,0.5998180076628352,0.0,0.059085610258539464,E_scattered
geography,item_response_warehouse,10087305,281706,1458,0,0,91331,564,1563,,0.02792678520179572,0.0,0.00554833762859151,E_scattered
quopl2_forster_2021_cft,item_response_warehouse_2,149550,129069,75,0,0,1994,1662,124650,,0.863049147442327,0.0,0.9657624991283732,D_mostly_ids
issueirt_votes_shin_2024,item_response_warehouse_2,303921,130615,373,0,0,697,0,0,,0.4297662879498291,0.0,0.0,E_scattered
face_memory_test,item_response_warehouse,309400,157566,175,0,0,1768,0,0,,0.5092630898513252,0.0,0.0,E_scattered
dscore_asq_weber_2019,item_response_warehouse_2,191406,172867,146,0,0,1311,644,94024,,0.903143057166442,0.0,0.5439094795420757,D_mostly_ids
