table,check,severity,message,n_rows,n_items,n_participants
16_personalityfactors,resp_na,warn,resp has 98919 NAs,7913998,163,49004
4thgrade_math_sirt,imputed_values*,warn,Item 'MA1' has one resp value accounting for 89% of responses — possible mean imputation.,19920,30,664
4thgrade_math_sirt,multi_scale*,warn,"Item names suggest 7 subscales (['ma', 'mb', 'mc', 'md']) — IRW requires separate tables per construct.",19920,30,664
4thgrade_math_sirt,column_order,warn,"columns start ['item', 'id', 'resp']; datastandard.md step 7 writes [id, item, resp] + covariates.",19920,30,664
5personalityfactors,resp_na,warn,resp has 3675 NAs,623105,70,8936
5personalityfactors,dup_id_item,error,1260 duplicate id+item rows with no wave/timepoint/date column,623105,70,8936
AAQ-II,dup_id_item,error,42 duplicate id+item rows with no wave/timepoint/date column,10521,7,1497
AAQ-II,name_charset,warn,"table name 'AAQ-II' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",10521,7,1497
AAQ-II,column_order,warn,"columns start ['id', 'age', 'item']; datastandard.md step 7 writes [id, item, resp] + covariates.",10521,7,1497
ALSECYPIAMH_WU_2022_CPS,name_charset,warn,"table name 'ALSECYPIAMH_WU_2022_CPS' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",114804,12,9567
ALSECYPIAMH_WU_2022_Empathy,name_charset,warn,"table name 'ALSECYPIAMH_WU_2022_Empathy' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",54894,7,7842
ALSECYPIAMH_WU_2022_MIL,multi_scale*,warn,"Item names suggest 2 subscales (['mils', 'milp']) — IRW requires separate tables per construct.",78420,10,7842
ALSECYPIAMH_WU_2022_MIL,name_charset,warn,"table name 'ALSECYPIAMH_WU_2022_MIL' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",78420,10,7842
ALSECYPIAMH_WU_2022_NEI,imputed_values*,warn,Item 'NEI1' has one resp value accounting for 71% of responses — possible mean imputation.,39210,5,7842
ALSECYPIAMH_WU_2022_NEI,name_charset,warn,"table name 'ALSECYPIAMH_WU_2022_NEI' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",39210,5,7842
ALSECYPIAMH_WU_2022_PEI,imputed_values*,warn,Item 'PEI1' has one resp value accounting for 64% of responses — possible mean imputation.,39210,5,7842
ALSECYPIAMH_WU_2022_PEI,name_charset,warn,"table name 'ALSECYPIAMH_WU_2022_PEI' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",39210,5,7842
ALSECYPIAMH_WU_2022_PHQ,name_charset,warn,"table name 'ALSECYPIAMH_WU_2022_PHQ' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",15684,2,7842
ALSECYPIAMH_WU_2022_PIL,name_charset,warn,"table name 'ALSECYPIAMH_WU_2022_PIL' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",31368,4,7842
ALSECYPIAMH_WU_2022_SDQ,name_charset,warn,"table name 'ALSECYPIAMH_WU_2022_SDQ' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",47046,6,7841
ALSECYPIAMH_WU_2022_SWEMWBS,name_charset,warn,"table name 'ALSECYPIAMH_WU_2022_SWEMWBS' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",54894,7,7842
ALSECYPIAMH_WU_2022_SWLS,name_charset,warn,"table name 'ALSECYPIAMH_WU_2022_SWLS' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",39210,5,7842
AMI_CV_Hewitt2024,resp_na,warn,resp has 5 NAs,3397,18,189
AMI_CV_Hewitt2024,name_charset,warn,"table name 'AMI_CV_Hewitt2024' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",3397,18,189
AMI_CV_Hewitt2024,column_order,warn,"columns start ['id', 'age', 'item']; datastandard.md step 7 writes [id, item, resp] + covariates.",3397,18,189
AOMT_BR_SF_EDPANAB_Geiger_2021_AOT,dup_id_item,error,3094 duplicate id+item rows with no wave/timepoint/date column,7098,14,286
AOMT_BR_SF_EDPANAB_Geiger_2021_AOT,imputed_values*,warn,Item 'AOT10' has one resp value accounting for 68% of responses — possible mean imputation.,7098,14,286
AOMT_BR_SF_EDPANAB_Geiger_2021_AOT,name_charset,warn,"table name 'AOMT_BR_SF_EDPANAB_Geiger_2021_AOT' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",7098,14,286
AOMT_BR_SF_EDPANAB_Geiger_2021_BRS,dup_id_item,error,4420 duplicate id+item rows with no wave/timepoint/date column,10140,20,286
AOMT_BR_SF_EDPANAB_Geiger_2021_BRS,multi_scale*,warn,"Item names suggest 2 subscales (['bsr', 'mot']) — IRW requires separate tables per construct.",10140,20,286
AOMT_BR_SF_EDPANAB_Geiger_2021_BRS,name_charset,warn,"table name 'AOMT_BR_SF_EDPANAB_Geiger_2021_BRS' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",10140,20,286
AOMT_BR_SF_EDPANAB_Geiger_2021_RF,dup_id_item,error,6188 duplicate id+item rows with no wave/timepoint/date column,14196,28,286
AOMT_BR_SF_EDPANAB_Geiger_2021_RF,multi_scale*,warn,"Item names suggest 4 subscales (['afp', 'rcg', 'rcl', 'afn']) — IRW requires separate tables per construct.",14196,28,286
AOMT_BR_SF_EDPANAB_Geiger_2021_RF,name_charset,warn,"table name 'AOMT_BR_SF_EDPANAB_Geiger_2021_RF' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",14196,28,286
Adherence_Zissette_2018_SDB,imputed_values*,warn,Item 'q_s_025_SDB' has one resp value accounting for 88% of responses — possible mean imputation.,18409,26,709
Adherence_Zissette_2018_SDB,name_charset,warn,"table name 'Adherence_Zissette_2018_SDB' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",18409,26,709
Aspirations_Sonmez_2023,resp_na,warn,resp has 4 NAs,16551,35,265
Aspirations_Sonmez_2023,dup_id_item,error,7280 duplicate id+item rows with no wave/timepoint/date column,16551,35,265
Aspirations_Sonmez_2023,imputed_values*,warn,Item 'Asp11_Relationships' has one resp value accounting for 75% of responses — possible mean imputation.,16551,35,265
Aspirations_Sonmez_2023,name_charset,warn,"table name 'Aspirations_Sonmez_2023' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",16551,35,265
BAFACALO_Golino_2013_BVPS,resp_na,warn,resp has 2046 NAs,16058,62,292
BAFACALO_Golino_2013_BVPS,imputed_values*,warn,Item 'CFi01' has one resp value accounting for 87% of responses — possible mean imputation.,16058,62,292
BAFACALO_Golino_2013_BVPS,multi_scale*,warn,"Item names suggest 2 subscales (['cfi', 'vzi']) — IRW requires separate tables per construct.",16058,62,292
BAFACALO_Golino_2013_BVPS,name_charset,warn,"table name 'BAFACALO_Golino_2013_BVPS' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",16058,62,292
BAFACALO_Golino_2013_BVPS,column_order,warn,"columns start ['id', 'age', 'item']; datastandard.md step 7 writes [id, item, resp] + covariates.",16058,62,292
BAFACALO_Golino_2013_CIS,resp_na,warn,resp has 6911 NAs,10609,60,292
BAFACALO_Golino_2013_CIS,imputed_values*,warn,Item 'V1i01' has one resp value accounting for 75% of responses — possible mean imputation.,10609,60,292
BAFACALO_Golino_2013_CIS,name_charset,warn,"table name 'BAFACALO_Golino_2013_CIS' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",10609,60,292
BAFACALO_Golino_2013_CIS,column_order,warn,"columns start ['id', 'age', 'item']; datastandard.md step 7 writes [id, item, resp] + covariates.",10609,60,292
BAFACALO_Golino_2013_FIS,resp_na,warn,resp has 2888 NAs,14632,60,292
BAFACALO_Golino_2013_FIS,imputed_values*,warn,Item 'Ii01' has one resp value accounting for 96% of responses — possible mean imputation.,14632,60,292
BAFACALO_Golino_2013_FIS,multi_scale*,warn,"Item names suggest 3 subscales (['rli', 'ii', 'rgi']) — IRW requires separate tables per construct.",14632,60,292
BAFACALO_Golino_2013_FIS,name_charset,warn,"table name 'BAFACALO_Golino_2013_FIS' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",14632,60,292
BAFACALO_Golino_2013_FIS,column_order,warn,"columns start ['id', 'age', 'item']; datastandard.md step 7 writes [id, item, resp] + covariates.",14632,60,292
BAFACALO_Golino_2013_SMS,resp_na,warn,resp has 3199 NAs,7605,37,292
BAFACALO_Golino_2013_SMS,imputed_values*,warn,Item 'MA1i01' has one resp value accounting for 77% of responses — possible mean imputation.,7605,37,292
BAFACALO_Golino_2013_SMS,multi_scale*,warn,"Item names suggest 3 subscales (['ma', 'mvio', 'mvi']) — IRW requires separate tables per construct.",7605,37,292
BAFACALO_Golino_2013_SMS,name_charset,warn,"table name 'BAFACALO_Golino_2013_SMS' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",7605,37,292
BAFACALO_Golino_2013_SMS,column_order,warn,"columns start ['id', 'age', 'item']; datastandard.md step 7 writes [id, item, resp] + covariates.",7605,37,292
BPAQ_Christopher_2024_BPAQSF,resp_na,warn,resp has 672 NAs,3408,12,170
BPAQ_Christopher_2024_BPAQSF,dup_id_item,warn,2040 duplicate id+item rows (longitudinal column ['wave'] present — likely ok),3408,12,170
BPAQ_Christopher_2024_BPAQSF,imputed_values*,warn,Item 'bpaqsf_q12' has one resp value accounting for 69% of responses — possible mean imputation.,3408,12,170
BPAQ_Christopher_2024_BPAQSF,name_charset,warn,"table name 'BPAQ_Christopher_2024_BPAQSF' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",3408,12,170
BPAQ_Christopher_2024_BPAQSF,column_order,warn,"columns start ['id', 'group', 'treat']; datastandard.md step 7 writes [id, item, resp] + covariates.",3408,12,170
BPAQ_Christopher_2024_FFMQSF,resp_na,warn,resp has 4 NAs,2546,15,170
BPAQ_Christopher_2024_FFMQSF,name_charset,warn,"table name 'BPAQ_Christopher_2024_FFMQSF' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",2546,15,170
BPAQ_Christopher_2024_OBSI,name_charset,warn,"table name 'BPAQ_Christopher_2024_OBSI' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",2720,16,170
BPAQ_Christopher_2024_PCL5,imputed_values*,warn,Item 'pcl5_q12_b' has one resp value accounting for 61% of responses — possible mean imputation.,2180,20,109
BPAQ_Christopher_2024_PCL5,name_charset,warn,"table name 'BPAQ_Christopher_2024_PCL5' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",2180,20,109
BPAQ_Christopher_2024_PROMIS,resp_na,warn,resp has 762 NAs,3318,24,170
BPAQ_Christopher_2024_PROMIS,imputed_values*,warn,Item 'promis_alc1_b' has one resp value accounting for 68% of responses — possible mean imputation.,3318,24,170
BPAQ_Christopher_2024_PROMIS,name_charset,warn,"table name 'BPAQ_Christopher_2024_PROMIS' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",3318,24,170
BPAQ_Christopher_2024_PSS10,name_charset,warn,"table name 'BPAQ_Christopher_2024_PSS10' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",1090,10,109
BPAQ_Christopher_2024_SCSS,resp_na,warn,resp has 1 NAs,2039,12,170
BPAQ_Christopher_2024_SCSS,name_charset,warn,"table name 'BPAQ_Christopher_2024_SCSS' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",2039,12,170
BSCS_fadplus_goto2021,name_charset,warn,"table name 'BSCS_fadplus_goto2021' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",10426,13,802
BSCS_fadplus_goto2021,column_order,warn,"columns start ['id', 'age', 'gender']; datastandard.md step 7 writes [id, item, resp] + covariates.",10426,13,802
CBI_Rodriguez_2021,imputed_values*,warn,Item 'cbi10' has one resp value accounting for 84% of responses — possible mean imputation.,58296,28,2082
CBI_Rodriguez_2021,name_charset,warn,"table name 'CBI_Rodriguez_2021' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",58296,28,2082
CFC_Balaji_2019,name_charset,warn,"table name 'CFC_Balaji_2019' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",1584,12,132
CHEXI_Lin_2019,resp_na,warn,resp has 289 NAs,52799,24,2212
CHEXI_Lin_2019,name_charset,warn,"table name 'CHEXI_Lin_2019' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",52799,24,2212
COACH_Chen_2022_ADL,dup_id_item,warn,62557 duplicate id+item rows (longitudinal column ['wave'] present — likely ok),95653,14,2364
COACH_Chen_2022_ADL,imputed_values*,warn,Item 'ra_adl_q10' has one resp value accounting for 67% of responses — possible mean imputation.,95653,14,2364
COACH_Chen_2022_ADL,name_charset,warn,"table name 'COACH_Chen_2022_ADL' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",95653,14,2364
COACH_Chen_2022_ADL,column_order,warn,"columns start ['id', 'item', 'wave']; datastandard.md step 7 writes [id, item, resp] + covariates.",95653,14,2364
COACH_Chen_2022_CSQ,name_charset,warn,"table name 'COACH_Chen_2022_CSQ' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",18891,8,2362
COACH_Chen_2022_CSQ,column_order,warn,"columns start ['id', 'resp', 'item']; datastandard.md step 7 writes [id, item, resp] + covariates.",18891,8,2362
COACH_Chen_2022_HDRS,dup_id_item,warn,191801 duplicate id+item rows (longitudinal column ['wave'] present — likely ok),232006,17,2365
COACH_Chen_2022_HDRS,imputed_values*,warn,Item 'ra_hdrs_q17' has one resp value accounting for 90% of responses — possible mean imputation.,232006,17,2365
COACH_Chen_2022_HDRS,name_charset,warn,"table name 'COACH_Chen_2022_HDRS' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",232006,17,2365
COACH_Chen_2022_HDRS,column_order,warn,"columns start ['id', 'item', 'wave']; datastandard.md step 7 writes [id, item, resp] + covariates.",232006,17,2365
COACH_Chen_2022_IADL,dup_id_item,warn,35741 duplicate id+item rows (longitudinal column ['wave'] present — likely ok),54653,8,2364
COACH_Chen_2022_IADL,imputed_values*,warn,Item 'ra_iadl_q7' has one resp value accounting for 67% of responses — possible mean imputation.,54653,8,2364
COACH_Chen_2022_IADL,name_charset,warn,"table name 'COACH_Chen_2022_IADL' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",54653,8,2364
COACH_Chen_2022_IADL,column_order,warn,"columns start ['id', 'item', 'wave']; datastandard.md step 7 writes [id, item, resp] + covariates.",54653,8,2364
COACH_Chen_2022_MOS_SSS_C,dup_id_item,warn,84731 duplicate id+item rows (longitudinal column ['wave'] present — likely ok),129644,19,2364
COACH_Chen_2022_MOS_SSS_C,name_charset,warn,"table name 'COACH_Chen_2022_MOS_SSS_C' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",129644,19,2364
COACH_Chen_2022_MOS_SSS_C,column_order,warn,"columns start ['id', 'item', 'wave']; datastandard.md step 7 writes [id, item, resp] + covariates.",129644,19,2364
COACH_Chen_2022_PHQ9,dup_id_item,warn,101378 duplicate id+item rows (longitudinal column ['wave'] present — likely ok),122645,9,2363
COACH_Chen_2022_PHQ9,imputed_values*,warn,Item 'pcp_phq9_q9' has one resp value accounting for 95% of responses — possible mean imputation.,122645,9,2363
COACH_Chen_2022_PHQ9,name_charset,warn,"table name 'COACH_Chen_2022_PHQ9' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",122645,9,2363
COACH_Chen_2022_PHQ9,column_order,warn,"columns start ['id', 'item', 'wave']; datastandard.md step 7 writes [id, item, resp] + covariates.",122645,9,2363
COACH_Chen_2022_SNS,dup_id_item,warn,24270 duplicate id+item rows (longitudinal column ['wave'] present — likely ok),50272,11,2364
COACH_Chen_2022_SNS,imputed_values*,warn,Item 'ra_social_network_size_q9' has one resp value accounting for 70% of responses — possible mean imputation.,50272,11,2364
COACH_Chen_2022_SNS,name_charset,warn,"table name 'COACH_Chen_2022_SNS' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",50272,11,2364
COACH_Chen_2022_SNS,column_order,warn,"columns start ['id', 'item', 'wave']; datastandard.md step 7 writes [id, item, resp] + covariates.",50272,11,2364
COACH_Chen_2022_WHOQOL_BREF,dup_id_item,warn,114914 duplicate id+item rows (longitudinal column ['wave'] present — likely ok),176081,26,2364
COACH_Chen_2022_WHOQOL_BREF,name_charset,warn,"table name 'COACH_Chen_2022_WHOQOL_BREF' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",176081,26,2364
COACH_Chen_2022_WHOQOL_BREF,column_order,warn,"columns start ['id', 'item', 'wave']; datastandard.md step 7 writes [id, item, resp] + covariates.",176081,26,2364
COACH_Chen_2022_treatmentStigma,dup_id_item,warn,6627 duplicate id+item rows (longitudinal column ['wave'] present — likely ok),13722,3,2365
COACH_Chen_2022_treatmentStigma,imputed_values*,warn,Item 'ra_treatment_stigma_2' has one resp value accounting for 70% of responses — possible mean imputation.,13722,3,2365
COACH_Chen_2022_treatmentStigma,name_charset,warn,"table name 'COACH_Chen_2022_treatmentStigma' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",13722,3,2365
COACH_Chen_2022_treatmentStigma,column_order,warn,"columns start ['id', 'item', 'wave']; datastandard.md step 7 writes [id, item, resp] + covariates.",13722,3,2365
CPDMMC_Kunnari_2020_HCD,name_charset,warn,"table name 'CPDMMC_Kunnari_2020_HCD' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",12516,12,1043
CPDMMC_Kunnari_2020_PDP,imputed_values*,warn,Item 'AB_C' has one resp value accounting for 75% of responses — possible mean imputation.,18774,18,1043
CPDMMC_Kunnari_2020_PDP,name_charset,warn,"table name 'CPDMMC_Kunnari_2020_PDP' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",18774,18,1043
CQTMS_Hur_2023,resp_na,warn,resp has 157 NAs,122563,160,767
CQTMS_Hur_2023,imputed_values*,warn,Item 'itm118' has one resp value accounting for 61% of responses — possible mean imputation.,122563,160,767
CQTMS_Hur_2023,name_charset,warn,"table name 'CQTMS_Hur_2023' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",122563,160,767
CSE_Bayazit_2022,name_charset,warn,"table name 'CSE_Bayazit_2022' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",9765,15,651
CV_OASIS_ODSIS_PPE_Novak_2020_BFI,dup_id_item,error,8 duplicate id+item rows with no wave/timepoint/date column,19280,8,2409
CV_OASIS_ODSIS_PPE_Novak_2020_BFI,name_charset,warn,"table name 'CV_OASIS_ODSIS_PPE_Novak_2020_BFI' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",19280,8,2409
