table,ref,n_pairs,max_copies,share_singletons,modal_copies,repeated_pairs,conflicting_pairs,conflict_share,shape,histogram,error
5personalityfactors,datapages.item_response_warehouse:as2e:v46_0.5personalityfactors:fct1,625520,2,0.99799,1,1260,980,0.77778,duplication or id collision: a tail at 2 only,1:624260|2:1260,
Aspirations_Sonmez_2022,datapages.item_response_warehouse:as2e:v46_0.aspirations_sonmez_2022:a5b2,9275,2,0.21509,2,7280,4960,0.68132,repeated measurement: most pairs repeat,1:1995|2:7280,
concretewords,datapages.item_response_warehouse:as2e:v46_0.concretewords:aa55,691688,2,1.0,1,1,0,0.0,duplication or id collision: a tail at 2 only,1:691687|2:1,
duolingo_en_es__listen,datapages.item_response_warehouse:as2e:v46_0.duolingo_en_es_listen:f7pj,703987,11,0.93373,1,46650,6478,0.13886,mixed: a tail beyond 2 with most pairs single,1:657337|2:42611|3:3217|4:612|5:121|6:55|7:23|8:4|9:2|10:3|11:2,
duolingo_en_es__reverse_tap,datapages.item_response_warehouse:as2e:v46_0.duolingo_en_es_reverse_tap:mntj,645687,12,0.93545,1,41682,3353,0.08044,mixed: a tail beyond 2 with most pairs single,1:604005|2:36824|3:3769|4:780|5:196|6:59|7:22|8:16|9:6|10:6|11:1|12:3,
duolingo_en_es__reverse_translate,datapages.item_response_warehouse:as2e:v46_0.duolingo_en_es_reverse_translate:zbv7,1093471,12,0.93802,1,67778,12742,0.188,mixed: a tail beyond 2 with most pairs single,1:1025693|2:58844|3:6790|4:1559|5:378|6:139|7:37|8:21|9:4|10:1|12:5,
duolingo_es_en__listen,datapages.item_response_warehouse:as2e:v46_0.duolingo_es_en_listen:dfdk,798412,22,0.93558,1,51435,6959,0.1353,mixed: a tail beyond 2 with most pairs single,1:746977|2:45477|3:4538|4:1045|5:211|6:82|7:37|8:14|9:17|10:3|11:1|17:8|18:1|22:1,
duolingo_es_en__reverse_tap,datapages.item_response_warehouse:as2e:v46_0.duolingo_es_en_reverse_tap:1ktz,491130,13,0.9205,1,39043,3570,0.09144,mixed: a tail beyond 2 with most pairs single,1:452087|2:32427|3:4770|4:1132|5:357|6:183|7:74|8:51|9:34|10:9|11:4|13:2,
duolingo_es_en__reverse_translate,datapages.item_response_warehouse:as2e:v46_0.duolingo_es_en_reverse_translate:7992,531505,17,0.93396,1,35102,8993,0.2562,mixed: a tail beyond 2 with most pairs single,1:496403|2:29372|3:4040|4:1043|5:311|6:164|7:72|8:34|9:31|10:6|11:5|12:14|16:1|17:9,
duolingo_fr_en__listen,datapages.item_response_warehouse:as2e:v46_0.duolingo_fr_en_listen:46g1,173221,13,0.95589,1,7641,1490,0.195,mixed: a tail beyond 2 with most pairs single,1:165580|2:6778|3:657|4:147|5:36|6:11|7:6|8:4|13:2,
duolingo_fr_en__reverse_tap,datapages.item_response_warehouse:as2e:v46_0.duolingo_fr_en_reverse_tap:3xm9,318898,22,0.89957,1,32028,2877,0.08983,mixed: a tail beyond 2 with most pairs single,1:286870|2:27174|3:3752|4:709|5:230|6:91|7:39|8:16|9:10|11:4|16:1|22:2,
duolingo_fr_en__reverse_translate,datapages.item_response_warehouse:as2e:v46_0.duolingo_fr_en_reverse_translate:akbr,348467,11,0.9108,1,31083,7017,0.22575,mixed: a tail beyond 2 with most pairs single,1:317384|2:25786|3:3913|4:918|5:285|6:106|7:45|8:18|9:6|10:3|11:3,
FEDSP_Trzcinska_2023_MonKnow,datapages.item_response_warehouse:as2e:v46_0.fedsp_trzcinska_2023_monknow:bztq,394,2,0.99492,1,2,0,0.0,duplication or id collision: a tail at 2 only,1:392|2:2,
FEDSP_Trzcinska_2023_PRD,datapages.item_response_warehouse:as2e:v46_0.fedsp_trzcinska_2023_prd:t75m,985,2,0.99492,1,5,3,0.6,duplication or id collision: a tail at 2 only,1:980|2:5,
FEDSP_Trzcinska_2023_PSPCSA,datapages.item_response_warehouse:as2e:v46_0.fedsp_trzcinska_2023_pspcsa:ekqe,2364,4,0.49746,2,1188,1182,0.99495,repeated measurement: most pairs repeat,1:1176|2:1182|4:6,
Fh_Okcsr_Roos_2022_study1_Feeling_Heard,datapages.item_response_warehouse:as2e:v46_0.fh_okcsr_roos_2022_study1_feeling_heard:p726,20564,2,0.88679,1,2328,0,0.0,duplication or id collision: a tail at 2 only,1:18236|2:2328,
florida_twins_behavior_cads,datapages.item_response_warehouse:as2e:v46_0.florida_twins_behavior_cads:vdh2,78146,2,0.0,2,78146,0,0.0,"duplication: every pair repeats exactly 2x and none of 78,146 ever disagrees",2:78146,
florida_twins_behavior_cadsyv,datapages.item_response_warehouse:as2e:v46_0.florida_twins_behavior_cadsyv:skgn,48427,2,0.0,2,48427,0,0.0,"duplication: every pair repeats exactly 2x and none of 48,427 ever disagrees",2:48427,
florida_twins_behavior_ecs,datapages.item_response_warehouse:as2e:v46_0.florida_twins_behavior_ecs:k8ev,53221,2,0.0,2,53221,0,0.0,"duplication: every pair repeats exactly 2x and none of 53,221 ever disagrees",2:53221,
florida_twins_behavior_friends,datapages.item_response_warehouse:as2e:v46_0.florida_twins_behavior_friends:tct8,16193,2,0.0,2,16193,0,0.0,"duplication: every pair repeats exactly 2x and none of 16,193 ever disagrees",2:16193,
florida_twins_behavior_panas,datapages.item_response_warehouse:as2e:v46_0.florida_twins_behavior_panas:xr8g,44101,2,0.0,2,44101,0,0.0,"duplication: every pair repeats exactly 2x and none of 44,101 ever disagrees",2:44101,
florida_twins_behavior_rcads,datapages.item_response_warehouse:as2e:v46_0.florida_twins_behavior_rcads:aa37,104498,2,0.0,2,104498,0,0.0,"duplication: every pair repeats exactly 2x and none of 104,498 ever disagrees",2:104498,
florida_twins_behavior_tas,datapages.item_response_warehouse:as2e:v46_0.florida_twins_behavior_tas:w13d,25681,2,0.0,2,25681,0,0.0,"duplication: every pair repeats exactly 2x and none of 25,681 ever disagrees",2:25681,
KTEEM_Schoen_2019-2022,datapages.item_response_warehouse:as2e:v46_0.kteem_schoen_2019_2022:7rw6,38047,5,0.28554,2,27183,11106,0.40856,repeated measurement: most pairs repeat,1:10864|2:13193|3:7201|4:5394|5:1395,
motion,datapages.item_response_warehouse:as2e:v46_0.motion:z76c,3180,10,0.0,10,3180,2186,0.68742,design: every pair repeats exactly 10x,10:3180,
