"table","mapping_basis","text_source","source_ref","key_source","note","public_note","uploaded"
"anh_2026_ai_adoption","paper_explicit","translated_substitute","PLOS ONE 10.1371/journal.pone.0340002, Table 3 'Measurement model assessment' (block 'Artificial intelligence (AI) [37]', rows AI1-AI8); S1 File (.s001 CSV) for the column codes.","","Item wording transcribed by eye from the Table 3 PNG (journals.plos.org/plosone/article/figure/image?size=large&id=10.1371/journal.pone.0340002.t003); the table is published only as an image, so no text route reaches it and the transcription is fallible - spot-check punctuation. Transcribed literally: AI1-AI4 end in a full stop and AI5-AI8 do not, exactly as printed. Block boundary: the AI block is delimited in Table 3 by the bold construct headers 'Artificial intelligence (AI) [37]' above AI1 and 'Financial behavior (FB) [38]' below AI8, giving exactly 8 rows, matching the 8 live item codes and the S1 header run AI1..AI8 (columns 15-22, between FS7 and FB1). Codes: data/anh_2026_finwellbeing.py melts S1 columns AI1..AI8 by name into one of five sibling tables, so the IRW item code IS the source column name - no positional step. Administered in Vietnamese (paper sec 3.3: English scales translated and back-translated). No Vietnamese wording exists in the record - the only supplement is S1 File, which is pure ASCII (0 Vietnamese diacritic characters) and whose header carries bare codes only - so the paper's English is shipped in the base fields with the _translated columns left empty, per the fallback rule. instructions left blank: the paper describes the response format ('All items used a 5-point Likert scale ranging from 1 (""strongly disagree"") to 5 (""strongly agree"")') but prints no verbatim instruction text. option_text is populated only for the two labelled anchors (1, 5); scale points 2-4 are unlabelled in the source and are left blank rather than padded.","Item text for this table is the study's English source wording, taken from the paper's Table 3 image; the questionnaire was actually administered in Vietnamese and no Vietnamese version was deposited, so these are not the strings respondents read. Only scale points 1 and 5 carry anchor labels in the source.",""
"anh_2026_digitaltrust","paper_explicit","translated_substitute","PLOS ONE 10.1371/journal.pone.0340002, Table 3 (.t003 image); S1 File (.s001, CSV)","","mapping_basis=paper_explicit: Table 3 prints each item against the very variable code the S1 File CSV uses, and data/anh_2026_finwellbeing.py melts those columns by name (value_vars=['DT1'..'DT6']), so the IRW item code IS the source column name -- no positional assignment and no order inference. Corroborated numerically: Table 3's per-item VIF (1.694/1.823/1.987/1.986/2.102/2.440) reproduces from the S1 DT columns to <=4e-4 in shipped order, and published AVE 0.630 reproduces exactly. Wording read from the .t003 PNG (no text route exists); line-wrap hyphens removed; English shipped for a Vietnamese administration.","The Digital Trust items were administered in Vietnamese; no deposited file contains the Vietnamese wording, so the English wording published in the paper's Table 3 is shipped in its place. Response options 2-4 are unlabeled in the source and are left blank.",""
"anh_2026_finliteracy","paper_explicit","translated_substitute","PLOS ONE 10.1371/journal.pone.0340002 (Anh 2026), Table 3 ""Measurement model assessment"", block headed ""Financial literacy (FL) [40]"" -- an IMAGE table, read from the full-res PNG (article/figure/image?size=large&id=...t003, cached .cache/anh_2026_finliteracy/t003.png); anchors from Methods 3.3; item codes from the S1 File data CSV (.s001).","","Table 3 prints the literal variable code FL1-FL8 beside each item, and those codes ARE the S1 CSV column headers, which data/anh_2026_finwellbeing.py melts verbatim into the live item column (no rename, no positional assignment) -- so the code-to-text tie is a label match, not an order inference. BLOCK BOUNDARY (the main risk here, since one Table 3 carries all six of the paper's constructs and five sibling IRW tables come from the same script): the FL block begins immediately after the FW7 row under the heading ""Financial literacy (FL) [40]"" and ends at FL8, immediately before the heading ""Digital Trust (DT) [34]""; it contains exactly 8 rows, matching the 8 live item codes. Independently, Cronbach's alpha over exactly the S1 columns FL1-FL8 is 0.9035 against the published 0.904, which pins which 8 of the 51 S1 columns are the FL construct. TRANSCRIPTION: OCR by eye from the table image -- worth a human spot-check for that reason. Two deliberate deviations, both cosmetic: soft hyphens at the image's line breaks were closed up (""consider-/ing"" -> ""considering"" in FL3), and the typographic apostrophe in FL6 (""I’m"") was written as an ASCII apostrophe. Terminal punctuation is as printed (all eight items end in a period). LANGUAGE: the study was administered in VIETNAMESE (Methods 3.3: English items translated and back-translated into Vietnamese). The administered Vietnamese wording is not recoverable within scope -- the only supplement the article lists is S1 File, a pure-ASCII data CSV (0 non-ASCII characters, headers are bare codes), and there is no questionnaire supplement -- so this ships the paper's own English under the 2026-09-01 fallback: English in the base fields, language=Vietnamese, _translated columns present but empty. RESPONSES: resp is a chosen agreement level, not a correctness score; Methods 3.3 gives 5-point Likert 1 (""strongly disagree"") to 5 (""strongly agree"") with the intermediate points unlabelled, so option_text is populated for resp 1 and 5 only and left blank for 2-4 rather than padded. This is a subjective/self-assessed financial-literacy scale (every item is ""I am aware...""/""I feel confident...""), NOT a knowledge test, so there is no answer key and correct_response is blank throughout. DATA ODDITY (does not affect the mapping): all eight FL items have a mean within 0.03 of the scale midpoint (2.971-3.013) with near-identical SDs (0.973-1.024) over 306 respondents -- the same pattern already noted for the sibling table anh_2026_finbehavior in batch_006.","The financial-literacy items were administered in Vietnamese; the wording shipped here is the English source wording the paper prints in its Table 3, so it is a parallel version rather than the string respondents actually read, and the Vietnamese original is not in the article's deposit.",""
"anh_2026_finsocialization","paper_explicit","translated_substitute","PLOS ONE 10.1371/journal.pone.0340002, Table 3 (Measurement model assessment; variable code + item text, image table doi .t003); Methods 3.2-3.3 for the anchors and the Vietnamese administration; S1 File data CSV (.s001) for the column headers","","PLOS Table 3 is an IMAGE table; the article text and the .t003 HTML endpoint carry no item wording, so the seven stems were transcribed by eye from the full-resolution .t003 PNG -- worth a human spot-check for that reason. BLOCK BOUNDARY: the FS block runs from the row under the heading 'Family financial socialisation (FS) [10]' (FS1) to FS7, immediately above the heading 'Artificial intelligence (AI) [37]'; the file's other four constructs (AI, FB, FW, FL, DT) are outside it. Table 3 prefixes each row with the variable code, and those codes are literally the S1 File CSV column headers (header verified: ...,FS1,FS2,...,FS7,AI1,...), which data/anh_2026_finwellbeing.py melts verbatim into item -- the IRW code IS the source column name, so there is no positional step. VERBATIM: the source's odd sentence-medial periods are kept as printed (FS1 'growing up at home. my family', FS2 'Growing up at home. My family', FS3 'As I was growing up. My family', FS6 'at home. I received'); the only edit is joining FS4's line-break hyphenation 'grow-ing' to 'growing'. ANCHORS: Methods 3.3 states all items used a 5-point Likert scale from 1 ('strongly disagree') to 5 ('strongly agree'); points 2-4 are unlabelled in the source, so option_text is blank for them rather than padded with their own numbers. LANGUAGE: Methods 3.3 states the questionnaire was translated into Vietnamese and back-translated, i.e. it was ADMINISTERED IN VIETNAMESE; the only supporting file is the S1 data CSV, which is pure ASCII (zero non-ASCII characters across all 306x52 cells) and holds no Vietnamese wording, and the paper reproduces only the English source items. So this is the scoped fallback: English in the base fields, _translated columns present but empty, language=Vietnamese, text_source=translated_substitute. NOTE the already-published sibling anh_2026_finbehavior ships no language column at all (it predates the 2026-09-01 rule and is flagged NEEDS_REVIEW in language_backfill/audit_2026-09-01.csv) -- this finding answers that row for all six tables from this deposit. DATA ODDITY (property of the response data, not of the mapping): all seven FS items sit within 0.03 of the 1-5 scale midpoint (means 2.974-3.026, SDs 0.990-1.030, n=306 each), the same near-midpoint pattern already noted for anh_2026_finbehavior. No instruction text is published anywhere in the paper or deposit, so instructions is blank; there is no testlet structure, so one trivial section_id with a blank section_prompt.","Item text is the English source wording printed in the paper's Table 3, but the questionnaire was administered in Vietnamese (translated and back-translated); the Vietnamese wording respondents actually read is not published in the paper or its S1 data file, so it could not be shipped. The stems were read from an image table and retain the source's own sentence-medial periods.",""
"anh_2026_finwellbeing","paper_explicit","translated_substitute","PLOS ONE 10.1371/journal.pone.0340002, Table 3 'Financial well-being (FW) [39]' block (image table; read from the full-res .t003 PNG, article text and table HTML carry no wording), plus S1 File data CSV (.s001) and Methods 3.3","","Table 3 prints its own 'Variable code' column, FW1-FW7, which are verbatim the S1 CSV column headers that data/anh_2026_finwellbeing.py melts with var_name='item' (value_vars = FW1..FW7 only), so the item code IS the source column name -- no positional step. Block boundary established from the image: the FW block is bounded above by the FB9 row and below by the 'Financial literacy (FL) [40]' header, and contains exactly seven rows FW1-FW7; the same table also carries FS/AI/FB/FL/DT blocks belonging to the five sibling tables, which were not used. Wording OCR'd by eye from the table image and transcribed character for character, INCLUDING the source's own punctuation errors: FW1 has no terminal period; FW4 reads 'At the end of the month. I have extra money.' and FW6 'I can reach long-term financial objectives. including purchasing a home.' -- periods where a comma belongs, left as printed. FW7 uses a typographic apostrophe (U+2019) as the image does. Worth a human eye on the transcription because it came from an image. LANGUAGE: the study was run in Vietnam and Methods 3.3 states the items were translated into Vietnamese by two bilingual experts and back-translated, so respondents read Vietnamese. The only supplement is S1 File, a numeric CSV; the article carries no Vietnamese anywhere. The administered wording is therefore unrecoverable within the deposit and the paper's own supplements, so this ships the fallback: the paper's English in the base fields, the four _translated columns emitted but empty, language=Vietnamese. ANCHORS: Methods 3.3 gives 1 = 'strongly disagree' and 5 = 'strongly agree'; the intermediate points are not labelled anywhere, so option_text is blank for resp 2-4 rather than padded. DATA ODDITY, checked directly against the S1 file rather than taken from the sibling report: all seven FW items have means within 0.04 of the 1-5 midpoint (2.961-3.026) with near-identical SDs (0.971-1.016) over 306 respondents. That is a property of the deposited data, not of the IRW processing, and it does not affect the item-to-text mapping.","The item text shipped here is the English wording the paper prints in its Table 3. The study was conducted in Vietnam and its Methods state the questionnaire was translated into Vietnamese and back-translated, so respondents answered a Vietnamese version that neither the article nor its single supplement (a numeric data CSV) reproduces. The English was also read from a table image rather than machine-readable text. Response anchors are labelled only at the ends, 1 = strongly disagree and 5 = strongly agree.",""
"cacciatore_2021_isel","data_labels","study_materials","PLOS ONE 10.1371/journal.pone.0252324 S1 Data (journal.pone.0252324.s002, Qualtrics export); item text is row 0 of that sheet, the Qualtrics question-text header, under columns Q29-Q40.","","Item codes Q29-Q40 ARE the source spreadsheet's own column names (data/cacciatore_2021_grief_support.py melts ISEL_ITEMS = [f'Q{n}' for n in range(29,41)] with no rename), and the sheet's header row carries each column's full question text, so code-to-text needs no inference. Transcribed verbatim from that header, with one disclosed deviation: the Q29 cell begins with the block preamble 'The next set of questions specifically explores your social support experiences.' followed by a newline and the item; the preamble was moved to `instructions` and the item sentence kept as Q29's item_text. No other edits, including 'house/apartment (plants, pets, garden, etc)' left without its terminal period as written. resp 1-4 = Definitely false / Probably false / Probably true / Definitely true, taken from ISEL_MAP in the processing script and cross-checked against the raw sheet, which contains exactly those four labels and no others. Corroboration beyond the labels (not required for data_labels, run because it was free): per-item non-missing counts in the raw sheet reproduce the live per-item n exactly for all 12 items (346/361/360/361/361/361/361/360/362/362/361/357) and sum to 4,313 = the live row count. Keying polarity in the raw data matches canonical ISEL-12 exactly -- same-polarity pairs r = +0.37..+0.68, cross-polarity r = -0.40..-0.66, with {Q29,Q30,Q35,Q36,Q39,Q40} the reverse-worded class -- confirming the items are stored RAW, not pre-reversed. Step 3b: 12 items, all 12 in canonical ISEL-12 order, wording adapted to bereavement (item 1 'go on a trip for a day' -> 'visit my loved one at the cemetery'; item 3 'If I were sick' -> ""When I'm intensely grieving""; item 6 'suggestions on how to deal with a personal problem' -> 'support dealing with grief'; item 11 -> 'support me in my grief'; item 12 'help in moving to a new house' -> ""help dealing with my loved one's belongings""). The paper itself never names the ISEL. Sibling table cacciatore_2021_ongoing_satisfaction (Q25_1-9) built by the same script was not touched.","The item wording shipped for this table is transcribed verbatim from the study's own Qualtrics export; the source paper never names the instrument, and its identification as a bereavement-adapted 12-item Interpersonal Support Evaluation List (ISEL-12) is IRW's, based on all 12 items matching the ISEL-12 in canonical order with the situations reworded to a grief context. Responses are stored raw, so the six reverse-worded items (Q29, Q30, Q35, Q36, Q39, Q40) are not pre-reversed.",""
"cacciatore_2021_ongoing_satisfaction","data_labels","study_materials","https://doi.org/10.1371/journal.pone.0252324 (S1 Data: journal.pone.0252324.s002, Qualtrics header row)","","Item text is the Qualtrics question-text header row (row 0 of S1 Data, journal.pone.0252324.s002), which the processing script drops; the IRW item codes ARE the source column names Q25_1-Q25_9, so no mapping inference. The shared matrix stem is recorded once in instructions and item_text carries each matrix row label verbatim (e.g. 'Pets/animals'). resp 1-5 is the literal SAT_MAP in data/cacciatore_2021_grief_support.py (Extremely dissatisfied=1, Moderately dissatisfied=2, Adequately satisfied=3, Moderately satisfied=4, Extremely satisfied=5). Corroborated against the paper's own Results text, which reproduces per-item percentages: recomputing from the raw file under that coding gives dissatisfied (resp<=2) of 40.8/41.1/42.5% for faith leaders/family/neighbors (paper: 41-43%), 36.1% colleagues (36%), 24.7% counselors and 25.4% friends (~25% each), 22.9% in-person groups (23%), 8.2% online groups (8.2%), 0.8% animals (<1%), and 89.1% of Q25_9 at resp>=4 with n=248 (paper: 89% of 248 'extremely or mostly satisfied' with pets/animals). Per-item n reproduced exactly for all 9 items against irw_table_sets (263/196/338/338/247/243/188/241/248), including Q25_9's absent resp=1. Not a named published instrument: a study-designed Qualtrics matrix question, so instrument is descriptive. Note the paper's prose calls resp=4 'mostly satisfied' while the raw data label is 'Moderately satisfied'; the raw label is shipped. All 9 items ship all five option rows even though Q25_9 has no observed resp=1.","",""
"campos_2023_oes","reconstructed","translated_substitute","Campos LA, Kamarainen M, Silvola AS, Maroco J, Peltomaki T, Campos JADB (2023), PLOS ONE 18(6):e0287235, doi:10.1371/journal.pone.0287235 (S1 File data s004.xlsx sheet DB; S1/S2 Tables s001/s002); item wording from Table 1 of Campos LA, Maroco J, John MT, Santos-Pinto A, Campos JADB (2020) PeerJ 8:e8814 (OES-Pt), which reprints the English OES of Larsson et al. (2010) Int J Prosthodont 23:190-200 alongside the Portuguese version; data/campos_2023_aesthetic_dental.py","","Item text is the ENGLISH source instrument, not the administered wording. The study administered the Finnish version (n=3614) and the Brazilian Portuguese version (n=3979) and pools both in one table, so no single administered string exists for a row; neither the deposit (S1 File s004.xlsx: sheet DB carries bare column headers country/age/sex/.../PIDAQ01-24/OES01-07/SWLS01-05 and no variable labels; sheet Scores is unlabelled) nor the paper nor S1-S3 Tables reproduces any item wording in any language. Shipped English is the OES original (Larsson et al. 2010) as reprinted in Table 1 of the same authors' OES-Pt paper; that table also prints the Portuguese administered wording (e.g. OES01 'Sua aparencia facial'), which a later pass could ship in the base fields for the Brazilian half if the table were ever split by country. The Finnish wording is in the authors' Acta Odontol Scand 2020 paper (ref 15), which is not open access. language is set to 'Finnish; Portuguese' with empty _translated columns, which is the fallback signal per the standard. INSTRUMENT CHECK (Step 3b): live data is 7 items on 0-10, matching the paper's 'OES is a 7-item, one-dimension scale with an 11-point numerical response scale ranging from 0 (very dissatisfied) to 10 (very satisfied)'; the OES's eighth global item was not administered/retained and is absent from the deposit. SIBLING BOUNDARY: the deposit holds three instruments in one sheet; data/campos_2023_aesthetic_dental.py selects columns by NAME into three tables (OES01-07 0-10, PIDAQ01-24 0-4, SWLS01-05 1-7), the resp range alone separates them, and the OES block is confirmed independently by CHECK 1 of verify_campos_2023_oes.R (the paper's published OES score 7.01/1.58 Finland and 7.13/1.74 Brazil reproduce to 7.010/1.579 and 7.127/1.742 from exactly these seven columns). DEVIATIONS: instructions are the English instruction printed in OES-Pt Table 1 in full, including '...and your tooth replacements (crowns, bridges, and implants)'; the Portuguese instruction printed beside it is shorter and omits the tooth-replacement clause, so the administered framing was not identical across the two halves. Only resp 0 and 10 carry option_text ('very dissatisfied' / 'very satisfied'), verbatim and lower-case as the source prints them; resp 1-9 are unlabelled on an 11-point numeric rating scale and are left BLANK rather than padded. Typographic apostrophes in 'mouth's' and 'gum's' are as printed.","This table pools Finnish-language (n=3,614) and Brazilian Portuguese-language (n=3,979) administrations of the Orofacial Esthetic Scale, and the item text shipped here is the English source instrument (Larsson et al. 2010) rather than either administered version; no file in the study's deposit or supplements reproduces the items in any language.",""
"campos_2023_pidaq","paper_explicit","translated_substitute","Campos LA, Campos JADB, Maroco J, Peltomaki T (2023), PLOS ONE 18(6):e0287235, doi:10.1371/journal.pone.0287235 (S1 File data s004.xlsx sheet DB; S1-S3 Tables s001-s003); item wording and item numbering from Table 1 of Campos LA, Costa MA, Bonafe FSS, Maroco J, Campos JADB (2020) Int Dent J 70(5):321-327 (PMC9379174), the 24-item version this study says it used; numbering corroborated by Campos LA, Kamarainen M, Silvola AS, Maroco J, Peltomaki T, Campos JADB (2021) Acta Odontol Scand 79(5):335-343 (PIDAQ-Fi); data/campos_2023_aesthetic_dental.py","","MAPPING: the deposit column names ARE the live item codes (data/campos_2023_aesthetic_dental.py selects PIDAQ01..PIDAQ24 by name and melts them; no rename, no positional step), so the only question is which PIDAQ item number each code is. Two rival numbering conventions exist in the literature: the ORIGINAL interleaved order (Dental Self-Confidence = items 4,7,12,17,21,23) and a subscale-sequential renumbering (DSC = 1..6) used by several validation papers. This study uses the interleaved one: Campos et al. 2020 Table 1 prints the 24 items labelled it1..it24 with DSC = it4, it7, it12, it17, it21, it23, it24; the 2021 PIDAQ-Fi paper repeats that assignment; this paper S1/S2 Tables exclude items 9, 13, 14, 15 as Social Impact items for the Finnish sample and item 6 as a Psychological Impact item for the Brazilian sample, both only true under the interleaved numbering; and the data agree, with exactly {4,7,12,17,21,23,24} correlating negatively with all 17 other items. INSTRUMENT CHECK (Step 3b): live data is 24 items on 0-4, matching the paper statement that the version used has 24 items with a 5-point Likert-type response scale assessing 4 dimensions; the 24th item is the tooth-colour item Campos et al. (2020) added to Dental Self-Confidence (based on original item 23 with position replaced by color), and it is indeed the 24th column and sits in the positive-worded block. SIBLING BOUNDARY: the deposit holds three instruments in one sheet (DB columns H-AE PIDAQ, AF-AL OES, AM-AQ SWLS, per the file own Scores sheet); the script selects by NAME and the resp range separates them (PIDAQ 0-4, OES 0-10, SWLS 1-7). This extraction touches only the 24 PIDAQ columns. TEXT: shipped item_text is the ENGLISH source instrument, not the administered wording. The study administered the Finnish version (n=3614) and the Brazilian Portuguese version (n=3979) and pools both in one table, so no single administered string exists for a row; the deposit carries bare column headers and no variable or value labels, and neither the paper nor S1-S3 Tables reproduces any item wording in any language. The English shipped is the English column of Campos et al. 2020 Table 1 (the original PIDAQ wording of Klages et al. 2006); that same table prints the administered Brazilian Portuguese wording (Sardenberg et al. 2011), which a later pass could ship for the Brazilian half if the table were ever split by country, and the Finnish wording is in Supplemental File 1 of the same authors 2021 Acta Odontol Scand paper. language is set to 'Finnish; Portuguese' with empty _translated columns, the fallback signal per the standard. DEVIATIONS: the source table prints its English it15 with a trailing period and no other item with one; removed. Its English it6 prints a stray opening quote in ""others""; transcribed as an apostrophe. The English and Portuguese columns of that table are not word-for-word equivalents for every item (it9, it16 and it22 differ in content between the two versions), so the shipped English is the instrument original rather than a translation of what Brazilian respondents read. For the Finnish half item 22 was deliberately reworded gender-neutral to 'I sometimes worry about what people with whom I would like to have a relationship think about my teeth' (2021 paper, Methods); the original wording is shipped. OPTIONS: 0=I do not agree, 1=I agree a little, 2=I somewhat agree, 3=I agree a lot, 4=I totally agree, as stated by this paper and by both instrument papers. The deposit Scores sheet glosses the same codes with the generic Klages anchors (0=not at all ... 4=very strongly); the direction is identical and the administered wording per the study text was used. instructions left blank: no source reproduces the PIDAQ instruction text. correct_response blank throughout (attitude scale).","This table pools Finnish-language (n=3,614) and Brazilian Portuguese-language (n=3,979) administrations of the 24-item PIDAQ, and the item text shipped here is the English source instrument (Klages et al. 2006, as reprinted by Campos et al. 2020) rather than either administered version; the Finnish administration also reworded item 22 to be gender-neutral, and no file in the study deposit or supplements reproduces the items in any language.",""
"campos_2023_swls","paper_order","translated_substitute","Campos et al. 2023 PLOS ONE 10.1371/journal.pone.0287235 (S1 File s004.xlsx, 'Scores' codebook sheet: block boundary + 1-7 anchors); Diener E, Emmons RA, Larsen RJ, Griffin S, The Satisfaction With Life Scale, J Pers Assess 1985;49(1):71-75 (item wording)","","Item codes SWLS01-SWLS05 ARE the source column names: data/campos_2023_aesthetic_dental.py melts columns SWLS01..SWLS05 of the S1 File 'DB' sheet, so there is no positional or generated-code step. Block boundary is settled by the deposit's own 'Scores' codebook sheet, which maps columns H-AE to PIDAQ (0-4), AF-AL to OES (0-10) and AM-AQ to 'Responses to Satisfaction with Life Scale items' (1=Strongly disagree .. 7=Strongly agree); the live table's 5 items on resp 1-7 match SWLS and cannot be either sibling. option_text is transcribed verbatim from that codebook sheet (trailing whitespace stripped), so the option_text<->resp axis carries no inference. item_text is NOT in the paper or any supplement: the paper only cites the scale (refs 27-29) and prints no item wording and no per-item statistics, and the deposit documents the block only as 'Responses to Satisfaction with Life Scale items'. The five stems are therefore the canonical Diener et al. (1985) wording, aligned to SWLS01..SWLS05 by the deposit's own numbering following that published item order. ADMINISTRATION WAS NOT IN ENGLISH: Finnish and Brazilian samples received the Finnish and Portuguese versions (refs 28-29, Gouveia 2005 and Realo & Dobewall 2011), and neither wording appears in the article, S1-S3 Tables, the reviewer-response file (s005) or the S1 File. Per the core-model fallback the English goes in the base fields, the _translated columns are left empty and language names both administered languages. instructions are left BLANK deliberately: the study ran online in LimeSurvey and its own instruction text was not deposited, and the canonical SWLS instruction describes a paper form ('placing the appropriate number on the line preceding that item') that this administration did not use, so shipping it would be an invented claim. Step 5b is PARTIAL - see verify_campos_2023_swls.R.","Respondents answered Finnish and Brazilian-Portuguese versions of the SWLS, but neither wording is in the paper or its data deposit, so the shipped item text is the canonical English of Diener et al. (1985) and the assignment of items 1-4 to SWLS01-SWLS04 rests on the deposit's numbering alone (only SWLS05 is independently pinned, by being the least-endorsed, weakest-loading item in both samples).",""
