"table","status","n_items_live","n_items_candidate","item_set_match","resp_set_match","uses_raw_resp","canonical_nulls","pct_item_text_missing","pct_option_text_missing","note"
"anh_2026_ai_adoption","PASS",8,8,TRUE,TRUE,FALSE,TRUE,0,60,"60% of rows have blank option_text"
"anh_2026_digitaltrust","PASS",6,6,TRUE,TRUE,FALSE,TRUE,0,60,"60% of rows have blank option_text"
"anh_2026_finliteracy","PASS",8,8,TRUE,TRUE,FALSE,TRUE,0,60,"60% of rows have blank option_text"
"anh_2026_finsocialization","PASS",7,7,TRUE,TRUE,FALSE,TRUE,0,60,"60% of rows have blank option_text"
"anh_2026_finwellbeing","PASS",7,7,TRUE,TRUE,FALSE,TRUE,0,60,"60% of rows have blank option_text"
"cacciatore_2021_isel","PASS",12,12,TRUE,TRUE,FALSE,TRUE,0,0,""
"cacciatore_2021_ongoing_satisfaction","PASS",9,9,TRUE,TRUE,FALSE,TRUE,0,0,""
"campos_2023_oes","PASS",7,7,TRUE,TRUE,FALSE,TRUE,0,81.8,"81.8% of rows have blank option_text"
"campos_2023_pidaq","PASS",24,24,TRUE,TRUE,FALSE,TRUE,0,0,""
"campos_2023_swls","PASS",5,5,TRUE,TRUE,FALSE,TRUE,0,0,""
"carney_2023_substance_use","PASS",8,8,TRUE,TRUE,FALSE,TRUE,0,0,""
"rosenberg_selfesteem","PASS",10,10,TRUE,TRUE,FALSE,TRUE,0,0,""
