"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"gilbert_meta_55","gilbert_meta_55_1","e1_item1","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): Read aloud the following letters (the first 4 letters from the Bengali alphabet) | Level 2 (Grade 2): Make two words using the Bangla letter ----. | Level 3 (Grade 3 & 4): Read aloud this following paragraph (Bangla).",NA,NA,0
"gilbert_meta_55","gilbert_meta_55_1","e1_item1","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): Read aloud the following letters (the first 4 letters from the Bengali alphabet) | Level 2 (Grade 2): Make two words using the Bangla letter ----. | Level 3 (Grade 3 & 4): Read aloud this following paragraph (Bangla).",NA,NA,1
"gilbert_meta_55","gilbert_meta_55_1","e1_item2","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): Fill in the gaps (5 Bangla letters with 2 gaps). | Level 2 (Grade 2): Fill in the gap (a line in Bangla from the textbook) | Level 3 (Grade 3 & 4): What is the antonym of the Bangla word (FREEDOM)?",NA,NA,0
"gilbert_meta_55","gilbert_meta_55_1","e1_item2","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): Fill in the gaps (5 Bangla letters with 2 gaps). | Level 2 (Grade 2): Fill in the gap (a line in Bangla from the textbook) | Level 3 (Grade 3 & 4): What is the antonym of the Bangla word (FREEDOM)?",NA,NA,1
"gilbert_meta_55","gilbert_meta_55_1","e1_item3","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): Make a word with the Bengali letter -----. | Level 2 (Grade 2): What is the spelling of the word (Sundarbans)? | Level 3 (Grade 3 & 4): What is the spelling of the word (Bangla of freedom fighter)?",NA,NA,0
"gilbert_meta_55","gilbert_meta_55_1","e1_item3","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): Make a word with the Bengali letter -----. | Level 2 (Grade 2): What is the spelling of the word (Sundarbans)? | Level 3 (Grade 3 & 4): What is the spelling of the word (Bangla of freedom fighter)?",NA,NA,1
"gilbert_meta_55","gilbert_meta_55_1","e1_item4","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): What is the spelling of (Bengali word)? | Level 2 (Grade 2): What is the antonym of the Bangla word (high)? | Level 3 (Grade 3 & 4): What is the meaning of this Bangla word (Bangla word from the textbook)?",NA,NA,0
"gilbert_meta_55","gilbert_meta_55_1","e1_item4","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): What is the spelling of (Bengali word)? | Level 2 (Grade 2): What is the antonym of the Bangla word (high)? | Level 3 (Grade 3 & 4): What is the meaning of this Bangla word (Bangla word from the textbook)?",NA,NA,1
"gilbert_meta_55","gilbert_meta_55_1","e1_item5","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): Read the following word (CAP). | Level 2 (Grade 2): Read the following word (FARMER)? | Level 3 (Grade 3 & 4): Read aloud this following paragraph (English).",NA,NA,0
"gilbert_meta_55","gilbert_meta_55_1","e1_item5","Endline learning assessment test (Bangla literacy, English literacy, and numeracy)","Bengali",NA,NA,"Level 1 (Grade 1): Read the following word (CAP). | Level 2 (Grade 2): Read the following word (FARMER)? | Level 3 (Grade 3 & 4): Read aloud this following paragraph (English).",NA,NA,1
