"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"mede_2025_goals_priority","mede_2025_goals_priority_1","GOALS_PRIO_health","Desired goals of science - priority (TISP core questionnaire, question GOALS_PRIO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","What goals should scientists prioritize?",NA,"Improving public health",NA,"Very low priority",1
"mede_2025_goals_priority","mede_2025_goals_priority_1","GOALS_PRIO_health","Desired goals of science - priority (TISP core questionnaire, question GOALS_PRIO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","What goals should scientists prioritize?",NA,"Improving public health",NA,NA,2
"mede_2025_goals_priority","mede_2025_goals_priority_1","GOALS_PRIO_health","Desired goals of science - priority (TISP core questionnaire, question GOALS_PRIO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","What goals should scientists prioritize?",NA,"Improving public health",NA,NA,3
"mede_2025_goals_priority","mede_2025_goals_priority_1","GOALS_PRIO_health","Desired goals of science - priority (TISP core questionnaire, question GOALS_PRIO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","What goals should scientists prioritize?",NA,"Improving public health",NA,NA,4
"mede_2025_goals_priority","mede_2025_goals_priority_1","GOALS_PRIO_health","Desired goals of science - priority (TISP core questionnaire, question GOALS_PRIO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","What goals should scientists prioritize?",NA,"Improving public health",NA,"Very high priority",5
"mede_2025_goals_priority","mede_2025_goals_priority_1","GOALS_PRIO_energy","Desired goals of science - priority (TISP core questionnaire, question GOALS_PRIO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","What goals should scientists prioritize?",NA,"Solving energy problems (renewable sources, energy security)",NA,"Very low priority",1
"mede_2025_goals_priority","mede_2025_goals_priority_1","GOALS_PRIO_energy","Desired goals of science - priority (TISP core questionnaire, question GOALS_PRIO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","What goals should scientists prioritize?",NA,"Solving energy problems (renewable sources, energy security)",NA,NA,2
"mede_2025_goals_priority","mede_2025_goals_priority_1","GOALS_PRIO_energy","Desired goals of science - priority (TISP core questionnaire, question GOALS_PRIO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","What goals should scientists prioritize?",NA,"Solving energy problems (renewable sources, energy security)",NA,NA,3
"mede_2025_goals_priority","mede_2025_goals_priority_1","GOALS_PRIO_energy","Desired goals of science - priority (TISP core questionnaire, question GOALS_PRIO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","What goals should scientists prioritize?",NA,"Solving energy problems (renewable sources, energy security)",NA,NA,4
"mede_2025_goals_priority","mede_2025_goals_priority_1","GOALS_PRIO_energy","Desired goals of science - priority (TISP core questionnaire, question GOALS_PRIO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","What goals should scientists prioritize?",NA,"Solving energy problems (renewable sources, energy security)",NA,"Very high priority",5
"mede_2025_goals_priority","mede_2025_goals_priority_1","GOALS_PRIO_poverty","Desired goals of science - priority (TISP core questionnaire, question GOALS_PRIO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","What goals should scientists prioritize?",NA,"Reducing poverty",NA,"Very low priority",1
"mede_2025_goals_priority","mede_2025_goals_priority_1","GOALS_PRIO_poverty","Desired goals of science - priority (TISP core questionnaire, question GOALS_PRIO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","What goals should scientists prioritize?",NA,"Reducing poverty",NA,NA,2
"mede_2025_goals_priority","mede_2025_goals_priority_1","GOALS_PRIO_poverty","Desired goals of science - priority (TISP core questionnaire, question GOALS_PRIO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","What goals should scientists prioritize?",NA,"Reducing poverty",NA,NA,3
"mede_2025_goals_priority","mede_2025_goals_priority_1","GOALS_PRIO_poverty","Desired goals of science - priority (TISP core questionnaire, question GOALS_PRIO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","What goals should scientists prioritize?",NA,"Reducing poverty",NA,NA,4
"mede_2025_goals_priority","mede_2025_goals_priority_1","GOALS_PRIO_poverty","Desired goals of science - priority (TISP core questionnaire, question GOALS_PRIO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","What goals should scientists prioritize?",NA,"Reducing poverty",NA,"Very high priority",5
"mede_2025_goals_priority","mede_2025_goals_priority_1","GOALS_PRIO_defense","Desired goals of science - priority (TISP core questionnaire, question GOALS_PRIO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","What goals should scientists prioritize?",NA,"Developing defense and military technology",NA,"Very low priority",1
"mede_2025_goals_priority","mede_2025_goals_priority_1","GOALS_PRIO_defense","Desired goals of science - priority (TISP core questionnaire, question GOALS_PRIO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","What goals should scientists prioritize?",NA,"Developing defense and military technology",NA,NA,2
"mede_2025_goals_priority","mede_2025_goals_priority_1","GOALS_PRIO_defense","Desired goals of science - priority (TISP core questionnaire, question GOALS_PRIO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","What goals should scientists prioritize?",NA,"Developing defense and military technology",NA,NA,3
"mede_2025_goals_priority","mede_2025_goals_priority_1","GOALS_PRIO_defense","Desired goals of science - priority (TISP core questionnaire, question GOALS_PRIO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","What goals should scientists prioritize?",NA,"Developing defense and military technology",NA,NA,4
"mede_2025_goals_priority","mede_2025_goals_priority_1","GOALS_PRIO_defense","Desired goals of science - priority (TISP core questionnaire, question GOALS_PRIO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","What goals should scientists prioritize?",NA,"Developing defense and military technology",NA,"Very high priority",5
