_key,source,title,url,doi,flag,reasons,n_responses,n_participants,n_items,density,data_file,n_other_files,license
10.6084/m9.figshare.32052513.v1,figshare,Artificial Intelligence Music Platform for Piano Majors Improves Learning and Reduces Anxiety:2Randomized Study with Heart Rate Variability Cues,https://figshare.com/articles/dataset/Artificial_Intelligence_Music_Platform_for_Piano_Majors_Improves_Learning_and_Reduces_Anxiety_2Randomized_Study_with_Heart_Rate_Variability_Cues/32052513,10.6084/m9.figshare.32052513.v1,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_direction*,120,40,3,1.0,data.xlsx,0.0,
10.7910/dvn/nfrees,dataverse,A new validation of Burnout Assessment Tool: An IRT Analysis Among Teachers,https://doi.org/10.7910/DVN/NFREES,10.7910/dvn/nfrees,good,"Passed (no errors); 3 note(s) to glance at before submitting. | QC warnings to review: resp_direction*, imputed_values*, multi_scale*",21454,631,34,1.0,BAT Data.xlsx,0.0,
10.7910/dvn/px4suz,dataverse,Assessing Computable Gaps in AI Governance for Children: Evidence-Mechanism-Governance-Indicator Modelling of UNICEF's Guidance on Artificial Intelligence and Children 3.0 Using the Graph-GAP Framework Dataset,https://doi.org/10.7910/DVN/PX4SUZ,10.7910/dvn/px4suz,good,"Passed (no errors); 2 note(s) to glance at before submitting. | QC warnings to review: resp_direction*, imputed_values*",40,10,4,1.0,requirement_level_summary_stats.csv,0.0,
https://osf.io/pvb2j/,osf,Hierarchical Joint Modeling of Item Responses and Response Times on an Intelligence Test Battery: Detecting Unusual Examinee Behavior and Heterogeneous Relationships Between Working Speed and Ability (supplemental files),https://osf.io/pvb2j/,,good,"Passed (no errors); 2 note(s) to glance at before submitting. | QC warnings to review: resp_direction*, imputed_values*",4401,1467,3,1.0,misfit_examinees.csv,5.0,
10.7910/dvn/dwplbc,dataverse,Self-reported Political Preference in China,https://doi.org/10.7910/DVN/DWPLBC,10.7910/dvn/dwplbc,good,"Passed (no errors); 3 note(s) to glance at before submitting. | QC warnings to review: resp_direction*, imputed_values*, multi_scale*",17640,392,45,1.0,survey data.xlsx,0.0,
10.7910/dvn/iek9pw,dataverse,Connecting Personality and Entrepreneurship: A Study on Intentions and Education in Brazilian students,https://doi.org/10.7910/DVN/IEK9PW,10.7910/dvn/iek9pw,good,"Passed (no errors); 3 note(s) to glance at before submitting. | QC warnings to review: resp_direction*, imputed_values*, multi_scale*",7480,340,22,1.0,Base EI_vf.xlsx,0.0,
https://osf.io/h6gqf/,osf,Properties of resting state functional connectivity associated with integrated combined subscales of Dark Triad,https://osf.io/h6gqf/,,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_direction*,645,129,5,1.0,demographic_and_beahavioural.xlsx,0.0,
10.6084/m9.figshare.26130403.v1,figshare,"<b>Quarter-Life Crisis During the Pandemic: Career Indecision, Intolerance of Uncertainty and Mental Well-Being in Emerging Adults</b>",https://figshare.com/articles/dataset/_b_Quarter-Life_Crisis_During_the_Pandemic_Career_Indecision_Intolerance_of_Uncertainty_and_Mental_Well-Being_in_Emerging_Adults_b_/26130403,10.6084/m9.figshare.26130403.v1,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_direction*,3420,90,38,1.0,Research Data  .xlsx,0.0,cc-by
10.7910/dvn/w27gr5,dataverse,Who Cares? Measuring Differences in Preference Intensity,https://doi.org/10.7910/DVN/W27GR5,10.7910/dvn/w27gr5,good,"Passed (no errors); 2 note(s) to glance at before submitting. | QC warnings to review: resp_direction*, imputed_values*",74,37,2,1.0,Codebook_GFK variables.xlsx,0.0,cc0
10.3389/fpsyg.2020.00356.s001,figshare,Data_Sheet_1_A Multiple-Baseline Evaluation of Acceptance and Commitment Therapy Focused on Repetitive Negative Thinking for Comorbid Generalized Anxiety Disorder and Depression.xlsx,https://frontiersin.figshare.com/articles/dataset/Data_Sheet_1_A_Multiple-Baseline_Evaluation_of_Acceptance_and_Commitment_Therapy_Focused_on_Repetitive_Negative_Thinking_for_Comorbid_Generalized_Anxiety_Disorder_and_Depression_xlsx/23808924,10.3389/fpsyg.2020.00356.s001,good,Passed (no errors); 1 note(s) to glance at before submitting. | QC warnings to review: resp_direction*,140,14,10,1.0,Data_Sheet_1_A Multiple-Baseline Evaluation of Acceptance and Commitment Therapy Focused on Repetitive Negative Thinking for Comorbid Generalized Anxi.xlsx,0.0,cc-by
