table,table.lower,Description,URL (for data),Reference,DOI (for paper),Original License,Custom License,Public Reshare?,Derived License,Custom License,Notes,Contributor,Date
altahla_2024_whoqol,altahla_2024_whoqol,"26-item WHOQOL-BREF quality-of-life scale (1-5 Likert), combined spinal-cord-injury (n=189) and healthy comparison (n=223) samples, China",https://europepmc.org/article/PMC/PMC11670754,"Altahla R, Alshorman J, Ali-Shah SZ, Nasb M, Tao X (2024). Quality of life and subjective well-being comparison between traumatic, nontraumatic chronic spinal cord injury, and healthy individuals in China. PeerJ.",10.7717/peerj.18709,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
altahla_2024_swls,altahla_2024_swls,"5-item Satisfaction With Life Scale (1-7 Likert), same combined SCI/healthy sample as altahla_2024_whoqol",https://europepmc.org/article/PMC/PMC11670754,"Altahla R, Alshorman J, Ali-Shah SZ, Nasb M, Tao X (2024). Quality of life and subjective well-being comparison between traumatic, nontraumatic chronic spinal cord injury, and healthy individuals in China. PeerJ.",10.7717/peerj.18709,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
alexander_2017_dsi,alexander_2017_dsi,"23-item Differentiation of Self Inventory (DSI, 1-6 Likert), US undergraduate psychology students (n=148, mixed gender)",https://europepmc.org/article/PMC/PMC5345385,"Alexander KE (2017). Attachment anxiety is associated with a fear of becoming fat, which is mediated by binge eating. PeerJ.",10.7717/peerj.3034,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
alexander_2017_ecr,alexander_2017_ecr,"36-item Experiences in Close Relationships attachment scale (1-7 Likert), same sample as alexander_2017_dsi (n=148, mixed gender)",https://europepmc.org/article/PMC/PMC5345385,"Alexander KE (2017). Attachment anxiety is associated with a fear of becoming fat, which is mediated by binge eating. PeerJ.",10.7717/peerj.3034,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
silva_2023_ecohis,silva_2023_ecohis,"13-item Early Childhood Oral Health Impact Scale (ECOHIS, 0-5 scale), n=371 preschoolers, Brazil",https://europepmc.org/article/PMC/PMC10569180,Silva et al. (2023). The Early Childhood Oral Health Impact Scale (ECOHIS): psychometric properties and application on preschoolers. PeerJ.,10.7717/peerj.16035,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
medvedev_2018_oxh,medvedev_2018_oxh,"29-item Oxford Happiness Questionnaire (1-6 Likert), raw as-recorded items (reverse-coded duplicate columns excluded)",https://europepmc.org/article/PMC/PMC5985772,"Medvedev ON (2018). Exploring constructs of well-being, happiness and quality of life. PeerJ.",10.7717/peerj.4903,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
medvedev_2018_ql,medvedev_2018_ql,"26-item quality-of-life scale (1-5 Likert), same sample as medvedev_2018_oxh",https://europepmc.org/article/PMC/PMC5985772,"Medvedev ON (2018). Exploring constructs of well-being, happiness and quality of life. PeerJ.",10.7717/peerj.4903,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
medvedev_2018_sl,medvedev_2018_sl,"5-item Satisfaction With Life Scale (1-7 Likert), same sample as medvedev_2018_oxh",https://europepmc.org/article/PMC/PMC5985772,"Medvedev ON (2018). Exploring constructs of well-being, happiness and quality of life. PeerJ.",10.7717/peerj.4903,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
medvedev_2018_pan,medvedev_2018_pan,"20-item PANAS positive/negative affect schedule (1-5 Likert), same sample as medvedev_2018_oxh",https://europepmc.org/article/PMC/PMC5985772,"Medvedev ON (2018). Exploring constructs of well-being, happiness and quality of life. PeerJ.",10.7717/peerj.4903,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
li_2024_fa,li_2024_fa,"13-item Food Addiction scale (binary 0/1), n=1151 Chinese college students",https://europepmc.org/article/PMC/PMC11332389,Li et al. (2024). Does how individuals handle social situations exacerbate the relationship between physique anxiety and food addiction? PeerJ.,10.7717/peerj.17910,CC BY 4.0,,Public,CC BY 4.0,,,automated,2026-08-12
