source,title,url,doi,license,flag,reasons,n_responses,n_participants,n_items,density,data_file,n_other_files,refined_flag,refined_reason
figshare,Mean values (SD) and ANOVA results on the six profiling variables in the three clusters of social anxiety disorder.,https://plos.figshare.com/articles/dataset/Mean_values_SD_and_ANOVA_results_on_the_six_profiling_variables_in_the_three_clusters_of_social_anxiety_disorder_/12216791,10.1371/journal.pone.0232187.t005,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b></b>', '<b>1 (n = 69) Prototypical</b>', '<b>2 (n = 62) Introvert-Conscientious</b>', ""<b>3 (n = 79)<a target='_blank' href='http://www.plosone.org/article/info:doi/10.1371/journal.pone.0232187#t005fn004'><sup>b</sup></a> Instable-Open</b>"", '<b>F (",,,,,Table 5.xls,0.0,not_item_response,"HTML markup in column names — file is a scraped paper table, not raw data"
figshare,Pearson’s correlations among factors of the 14-item eating disorder examination questionnaire 6.0 (EDE-Q 6.0) and the Rosenberg’s self-esteem scale in women (<i>n</i> = 591) and men (<i>n</i> = 382).,https://plos.figshare.com/articles/dataset/Pearson_s_correlations_among_factors_of_the_14-item_eating_disorder_examination_questionnaire_6_0_EDE-Q_6_0_and_the_Rosenberg_s_self-esteem_scale_in_women_i_n_i_591_and_men_i_n_i_382_/19541525,10.1371/journal.pone.0266507.t008,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>Factor</b>', '<b>1</b>', '<b>2</b>', '<b>3</b>', '<b>4</b>', '<b>5</b>', '<b>6</b>', '<b>7</b>', '<b><i>M</i></b>', '<b><i>SD</i></b>']",,,,,Table 8.xls,0.0,not_item_response,"HTML markup in column names — file is a scraped paper table, not raw data"
figshare,"Standardized path coefficients for the predictions of the dimensions of shame and guilt, and cognitive reappraisal & emotion suppression by the dimensions in the QCAE ESEM-5 model.",https://plos.figshare.com/articles/dataset/Standardized_path_coefficients_for_the_predictions_of_the_dimensions_of_shame_and_guilt_and_cognitive_reappraisal_emotion_suppression_by_the_dimensions_in_the_QCAE_ESEM-5_model_/19132638,10.1371/journal.pone.0261914.t004,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b></b>', '<b>TOSCA-3</b>', 'Unnamed: 2', '<b>ERQ</b>', 'Unnamed: 4']",,,,,Table 4.xls,0.0,not_item_response,"HTML markup in column names — file is a scraped paper table, not raw data"
figshare,HEXACO-100 items with highest and lowest test-retest reliabilities.,https://plos.figshare.com/articles/dataset/HEXACO-100_items_with_highest_and_lowest_test-retest_reliabilities_/18337323,10.1371/journal.pone.0262465.t003,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>Item</b>', '<b>Code</b>', '<b><i>r</i><sub xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">TT</sub></b>']",,,,,Table 3.xls,0.0,not_item_response,"HTML markup in column names — file is a scraped paper table, not raw data"
figshare,"Spearman correlations of <i>r</i><sub>TT</sub>, α, and <i>r</i><sub>CA</sub> of HEXACO facets.",https://plos.figshare.com/articles/dataset/Spearman_correlations_of_i_r_i_sub_TT_sub_and_i_r_i_sub_CA_sub_of_HEXACO_facets_/18337320,10.1371/journal.pone.0262465.t002,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>Estimate</b>', '<b>α</b>', '<b><i>r</i><sub xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">TT</sub></b>', '<b><i>r</i><sub xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/",,,,,Table 2.xls,0.0,not_item_response,"HTML markup in column names — file is a scraped paper table, not raw data"
figshare,"Associations of personality with FOC (W-DEQ-A), subjective birth experiences (W-DEQ-B), and the discrepancy between subjective birth experiences and previous FOC (W-DEQ-B minus W-DEQ-A).",https://plos.figshare.com/articles/dataset/Associations_of_personality_with_FOC_W-DEQ-A_subjective_birth_experiences_W-DEQ-B_and_the_discrepancy_between_subjective_birth_experiences_and_previous_FOC_W-DEQ-B_minus_W-DEQ-A_/16924561,10.1371/journal.pone.0258696.t002,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b></b>', '<b>FOC</b>', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', '<b>Subjective birth experience</b>', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8', '<b>Difference between FOC and subjective birth experience</b>', 'Unnamed: 10', 'Unnamed: 11', 'Unnamed: 1",,,,,Table 2.xls,0.0,not_item_response,"HTML markup in column names — file is a scraped paper table, not raw data"
figshare,Sample characteristics of people with Borderline Personality Disorder (N = 184) followed up for 12-months.,https://plos.figshare.com/articles/dataset/Sample_characteristics_of_people_with_Borderline_Personality_Disorder_N_184_followed_up_for_12-months_/15061940,10.1371/journal.pone.0255055.t002,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b></b>', '<b>M</b>', '<b>SD</b>', '<b>Percentage</b>', '<b>N</b>']",,,,,Table 2.xls,0.0,not_item_response,"HTML markup in column names — file is a scraped paper table, not raw data"
figshare,Mean and SD for Big Five personality factors residualized scores.,https://plos.figshare.com/articles/dataset/Mean_and_SD_for_Big_Five_personality_factors_residualized_scores_/14982873,10.1371/journal.pone.0254458.t001,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>Variable</b>', '<b>Group</b>', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6']",,,,,Table 1.xls,0.0,not_item_response,"HTML markup in column names — file is a scraped paper table, not raw data"
figshare,Pattern matrix obtained in the confirmatory factor analysis.,https://plos.figshare.com/articles/dataset/Pattern_matrix_obtained_in_the_confirmatory_factor_analysis_/14934538,10.1371/journal.pone.0254342.t001,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>Item</b>', '<b>F1</b>', '<b>F2</b>', '<b>F3</b>', '<b>F4</b>']",,,,,Table 1.xls,0.0,not_item_response,"HTML markup in column names — file is a scraped paper table, not raw data"
figshare,Cyberbullying and the Dark Triad,https://figshare.com/articles/dataset/Cyberbullying_and_the_Dark_Triad/13636379,10.6084/m9.figshare.13636379.v1,cc-by,human_assistance,Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Sex;Age;Country;Education;Student;Emotional_intelligence;Empathy;Primary_psychopathy;Secondary_psychopathy;Leadership;Entitlement_an_Exhibitionism;Vulnerable_narcissism;MACH*;GAIT;ECIPQ_total'],,,,,Analysis data.csv,0.0,not_item_response,"File is semicolon-delimited but read as CSV; columns appear to be non-item metadata (['Sex', 'Age', 'Country', 'Education', 'Student'])"
