source,doi,title,url,license,flag,reasons,data_availability,external_link,data_file,n_responses,n_participants,n_items,density,n_other_files
plos,10.1371/journal.pone.0276534,Combining the GP’s assessment and the PHQ-9 questionnaire leads to more reliable and clinically relevant diagnoses in primary care,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0276534,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"Our data contain potentially identifying or sensitive patient information. Therefore, the Medical Ethics Committee of the Technical University Munich has restricted data access. The data are held by the Institute of General Practice and Health Services Research of the Technical University Munich. Th",,,,,,,
plos,10.1371/journal.pone.0119147,Screening for Major Depressive Disorder with the Patient Health Questionnaire (PHQ-9 and PHQ-2) in an Outpatient Clinic Staffed by Primary Care Physicians in Japan: A Case Control Study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0119147,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the paper.,,,,,,,
plos,10.1371/journal.pone.0263027,Validation of the patient health questionnaire-9 and the generalized anxiety disorder-7 in Lithuanian student sample,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0263027,cc-by,human_assistance,"Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: https://doi.org/10.1371/journal.pone.0263027.s001",All relevant data are within the paper and its  Supporting information  files.,,journal.pone.0263027_S1_Dataset.sav,29876,1358,22,1.0,0
plos,10.1371/journal.pone.0151042,PHQ-9 and PHQ-2 for Screening Depression in Chinese Rural Elderly,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0151042,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"Relevant data cannot be made publicly available because of the information might compromise patient privacy. Excerpts of data are available upon request. Please send the request to the corresponding author ( xiaosy@csu.edu.cn ), or to the first author ( liuzw12269796@gmail.com ).",,,,,,,
plos,10.1371/journal.pone.0269634,Validity and reliability of the Patient Health Questionnaire scale (PHQ-9) among university students of Bangladesh,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0269634,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: id_na, resp_ordinal*, resp_direction*, imputed_values* | SI caption: PHQ-9_dataset.   https://doi.org/10.1371/journal.pone.026963",All relevant data are within the paper and its  Supporting information  files.,,journal.pone.0269634_S1_Dataset.dta,7447,333,11,2.033,0
plos,10.1371/journal.pone.0197943,Psychometric properties of the PHQ-9 depression scale in people with multiple sclerosis: A systematic review,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0197943,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,The data underlying this study is third-party data which is available from seven primary studies as detailed in the paper and its Supporting Information files. The authors confirm that they did not have any special access to this data.,,,,,,,
plos,10.1371/journal.pone.0234095,"Validity, reliability and cut-offs of the Patient Health Questionnaire-9 as a screening tool for depression among patients living with epilepsy in Rwanda",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0234095,cc-by,no_usable_file,no tabular-format Supporting Information file on article page; Data Availability points elsewhere: https://doi.org/10.5061/dryad.76hdr7stc,The data underlying this study have been uploaded to Dryad and are accessible using the following link:  https://doi.org/10.5061/dryad.76hdr7stc .,https://doi.org/10.5061/dryad.76hdr7stc,,,,,,
plos,10.1371/journal.pone.0191782,Validation of the Patient Health Questionnaire (PHQ-9) as a screening tool for depression in pregnant women: Afaan Oromo version,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0191782,cc0,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the paper.,,,,,,,
plos,10.1371/journal.pone.0201047,Prediction of major depressive episodes and suicide-related ideation over a 3-year interval among Japanese undergraduates,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0201047,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the paper and its Supporting Information files.,,,,,,,
plos,10.1371/journal.pone.0078493,"Detecting Depression in Patients with Coronary Heart Disease: a Diagnostic Evaluation of the PHQ-9 and HADS-D in Primary Care, Findings From the UPBEAT-UK Study",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0078493,unknown,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
