source,journal,doi,title,url,pmcid,license,flag,reasons,data_file,n_responses,n_participants,n_items,density,n_other_files
pmc,peerj,10.7717/peerj.19304,"Self-esteem and stress: a structural equation modelling of biosocial determinants, psychological mediators and anxiety among Malaysian undergraduates.",https://europepmc.org/article/PMC/PMC12204089,PMC12204089,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*",peerj-13-19304-s003.sav,127651,5,107,238.6,0
pmc,peerj,10.7717/peerj.16295,Multiple mediation effect of coping styles and self-esteem in the relationship between spousal support and pregnancy stress of married immigrant pregnant women.,https://europepmc.org/article/PMC/PMC10629385,PMC10629385,cc-by,human_assistance,"Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*",peerj-11-16295-s001.sav,12763,206,62,0.9993,0
pmc,peerj,10.7717/peerj.12047,"Self-reported body weight and weight-related stigmatization experiences among young adult women-two contexts, but similar attitudes related to body image, mental <i>self</i>-schemas, self-esteem, and stereotypes of people with obesity.",https://europepmc.org/article/PMC/PMC8483002,PMC8483002,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, multi_scale*",peerj-09-12047-s003.xlsx,23188,374,62,1.0,0
pmc,peerj,10.7717/peerj.21309,Factors associated with quality of life in patients with epilepsy: a preliminary path analysis of psychological and neurobiological determinants.,https://europepmc.org/article/PMC/PMC13235685,PMC13235685,cc-by,human_assistance,"Column mapping was a low-confidence guess. | QC warnings to review: id_na, resp_ordinal*, resp_direction*",peerj-14-21309-s001.xlsx,385,32,12,1.0026,0
pmc,peerj,10.7717/peerj.20567,Perceived social support as a mediator between left-behind experience and subjective well-being in Chinese college students.,https://europepmc.org/article/PMC/PMC12794631,PMC12794631,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values*, multi_scale*",peerj-14-20567-s001.xlsx,40524,2,33,614.0,0
pmc,peerj,10.7717/peerj.19382,From grit to flourishing: physical literacy's mediating role in enhancing well-being among college students with obesity.,https://europepmc.org/article/PMC/PMC12060899,PMC12060899,cc-by,no_usable_file,no tabular-format file among 20 supplementary file(s): peerj-13-19382-e004.jpg; peerj-13-19382-g002.jpg; peerj-13-19382-g003.gif; peerj-13-19382-e005.jpg; peerj-13-19382-g005.jpg; peerj-13-19382-g003.jpg; peerj-13-19382-e002.jpg; peerj-13-19382-g006.jpg; peerj-13-19382-g004.jpg; peerj-13-19382-g004.gif,,,,,,
pmc,peerj,10.7717/peerj.19326,"Quality of life and parental stress related to executive functioning, sensory processing, and activities of daily living in children and adolescents with neurodevelopmental disorders.",https://europepmc.org/article/PMC/PMC12034243,PMC12034243,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'Codigo' as fallback — verify this is the person identifier. | Could not confidently identify NUMERIC item columns, but 81 column(s) look like text-coded Likert items (e.g. ['Diagnostico', 'Edad', 'Sexo_Niño']) rather than numeric codes. Needs",peerj-13-19326-s001.sav,,,,,0
pmc,peerj,10.7717/peerj.18709,"Quality of life and subjective well-being comparison between traumatic, nontraumatic chronic spinal cord injury, and healthy individuals in China.",https://europepmc.org/article/PMC/PMC11670754,PMC11670754,cc-by,good,"Passed (no errors); 2 note(s) to glance at before submitting. | QC warnings to review: resp_direction*, imputed_values*",peerj-12-18709-s001.xlsx,8316,189,44,1.0,0
pmc,peerj,10.7717/peerj.17090,The relationship between appearance anxiety and depression among students in a medical university in China: a serial multiple mediation model.,https://europepmc.org/article/PMC/PMC10984188,PMC10984188,cc-by,no_usable_file,no tabular-format file among 12 supplementary file(s): peerj-12-17090-g003.gif; peerj-12-17090-g005.jpg; peerj-12-17090-g004.gif; peerj-12-17090-g002.jpg; peerj-12-17090-g004.jpg; peerj-12-17090-g003.jpg; peerj-12-17090-g005.gif; peerj-12-17090-s001.zip; peerj-12-17090-g002.gif; peerj-12-17090-g001.gif,,,,,,
pmc,peerj,10.7717/peerj.19467,The effect of the Buteyko breathing technique on asthma control and quality of life in children with asthma aged 7-12 years: a randomized controlled study.,https://europepmc.org/article/PMC/PMC12143287,PMC12143287,cc-by,human_assistance,"Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",peerj-13-19467-s002.sav,455,65,7,1.0,0
