table,table.lower,Description,URL (for data),Reference,DOI (for paper),DOI (for data),Original License,Custom License (source),Public Reshare?,Derived License,Custom License (derived),Notes,Contributor,Date
bicb-j_ishiguro_2025,bicb-j_ishiguro_2025,,,,,,,,Public,CC BY-NC-ND,,"Included by written permission from the corresponding author (Chiaki Ishiguro), not under a public licence: Original License = Permission via Email. The author asked that the redistribution carry the article licence, CC BY-NC-ND 4.0, because participants were consented for research and educational purposes; that is the Derived License, and it binds downstream users of the IRW table, not IRW. The OSF deposit (osf.io/ravcq) carries no licence of its own. Permission on file at licenseinfo/emails/bicb-j_ishiguro_2025.md. Reasoning and the ND question: irw#2002.",automated,
cure_data,cure_data,,,,,10.33009/ldbase.1667941609.e3ab,,,Public,CC BY 4.0,,,automated,9/6/2026
icar_sapa,icar_sapa,,,,,10.7910/DVN/AD9RVY,,,Public,CC BY 4.0,,,automated,9/6/2026
mtf,mtf,,,,,10.3886/ICPSR38503.v1,,,Private,Missing (NA),,,automated,9/6/2026
loneliness_mudfold,loneliness_mudfold,,,,,10.17605/OSF.IO/U6GCK,,,Public,GPL-3.0,,,automated,9/6/2026
mental_health_malawi,mental_health_malawi,,,,,10.17632/xbfbcy5bhv.3,,,Public,CC BY 4.0,,,automated,9/6/2026
number_pattern_game,number_pattern_game,,,,,10.7910/DVN/A8ZWLF,,,Public,CC BY 4.0,,,automated,9/6/2026
parental_text_intervention,parental_text_intervention,,,,,10.7910/DVN/XUEU90,,,Public,CC BY 4.0,,,automated,9/6/2026
sapa_personality,sapa_personality,,,,,10.7910/DVN/SD7SVE,,,Public,CC BY 4.0,,,automated,9/6/2026
spanishmegastudy,spanishmegastudy,,,,,10.6084/m9.figshare.14073899,,,Public,CC BY 4.0,,,automated,9/6/2026
western_reserve_project,western_reserve_project,,,,,10.33009/ldbase.1643647104.07c5,,,Public,CC BY 4.0,,,automated,9/6/2026
promis1wave1_anger,promis1wave1_anger,,,,,10.7910/DVN/0NGAKG,,,Public,CC0 1.0,,,automated,9/6/2026
promis1wave1_cesd,promis1wave1_cesd,,,,,10.7910/DVN/0NGAKG,,,Public,CC0 1.0,,,automated,9/6/2026
promis1wave1_fatigue,promis1wave1_fatigue,,,,,10.7910/DVN/0NGAKG,,,Public,CC0 1.0,,,automated,9/6/2026
promis1wave1_pain,promis1wave1_pain,,,,,10.7910/DVN/0NGAKG,,,Public,CC0 1.0,,,automated,9/6/2026
